id,text,dataset,league,season,season_type,source_endpoint,source_params_json,run_id,fetched_at_utc,row_content_hash,source_response_keys,team_id_clean,team_name_clean,dataset_clean,_cleaned_at_utc,_clean_run_id,_row_content_hash
1611661330,ATL,teams_directory,wnba,,,/get-teams/wnba,{},20260602T225839Z,2026-06-02T22:58:40+00:00,a0366a5c31c02c099dd570499f783dafc6009230ec78b4e6ae2cfbf76d46b49f,"[""teams""]",1611661330,ATL,teams_directory,2026-06-02T22:58:43+00:00,20260602T225839Z,b65f8abe327b64bda42124ee92fe5c5e47e3d43864f8b57b679f3d992270f2bc
1611661329,CHI,teams_directory,wnba,,,/get-teams/wnba,{},20260602T225839Z,2026-06-02T22:58:40+00:00,953da1f8a0d39010834ba1e0f1716f9851e050873128001596b7d5f2b1726431,"[""teams""]",1611661329,CHI,teams_directory,2026-06-02T22:58:43+00:00,20260602T225839Z,37345ab25b2093877a2f599497a9132ac48bc17cbe40c4df9b090de183958ee7
1611661323,CON,teams_directory,wnba,,,/get-teams/wnba,{},20260602T225839Z,2026-06-02T22:58:40+00:00,c41883367d0fda3409c937c0d736c17672448aa8290633935b15942a25e16138,"[""teams""]",1611661323,CON,teams_directory,2026-06-02T22:58:43+00:00,20260602T225839Z,f3784c3da0f60e48105506182118b4c2c1acc0bbed7a38941452596665aed99f
1611661321,DAL,teams_directory,wnba,,,/get-teams/wnba,{},20260602T225839Z,2026-06-02T22:58:40+00:00,48aa697cf56e063eb84a7eff95510cfcfa3b1b16816798ab84c45bd2fe542278,"[""teams""]",1611661321,DAL,teams_directory,2026-06-02T22:58:43+00:00,20260602T225839Z,0bbbcae409588fdd221dd7efee9e35450f8c12b0f675750a7501c1d66202326d
1611661331,GSV,teams_directory,wnba,,,/get-teams/wnba,{},20260602T225839Z,2026-06-02T22:58:40+00:00,43eec841383c3cfc9d2c3421d1b5e73caa6bc9303b525d37f508b47c00ba9c70,"[""teams""]",1611661331,GSV,teams_directory,2026-06-02T22:58:43+00:00,20260602T225839Z,5053bce79174365c486be280fc6b14a9d2e645992d4633d56e2ed73f88c67414
1611661325,IND,teams_directory,wnba,,,/get-teams/wnba,{},20260602T225839Z,2026-06-02T22:58:40+00:00,e02a225b6c39873af2d2b77c4f9b083ea3583ab3de3376c70ab48b0cfd5311e6,"[""teams""]",1611661325,IND,teams_directory,2026-06-02T22:58:43+00:00,20260602T225839Z,b5116b30bffa5ff2512c3492ee3940f44b12f89039d542ea5dfde1b17c8dd987
1611661320,LAS,teams_directory,wnba,,,/get-teams/wnba,{},20260602T225839Z,2026-06-02T22:58:40+00:00,9c0addb6f10873848798db4768db4d8ee845e95e938384a1e0251f51af7d20ef,"[""teams""]",1611661320,LAS,teams_directory,2026-06-02T22:58:43+00:00,20260602T225839Z,ec9f68bde9bfe6f026ca8895fdfcd2ddcc4da3947134c387784320e7be50cbf9
1611661319,LVA,teams_directory,wnba,,,/get-teams/wnba,{},20260602T225839Z,2026-06-02T22:58:40+00:00,a1604065f63cae221c63413dc6de3e7dae4dcfb8cf4a77e360e1b7fcfc9a3262,"[""teams""]",1611661319,LVA,teams_directory,2026-06-02T22:58:43+00:00,20260602T225839Z,08c74b41e299ac8a9ff17f4d8f2c312386518e80cdd60871492c99cd912aa6e6
1611661324,MIN,teams_directory,wnba,,,/get-teams/wnba,{},20260602T225839Z,2026-06-02T22:58:40+00:00,95a03b646c0d36eea490342febbba8c2dda06a8548ac319f70380e4f8ad40dd0,"[""teams""]",1611661324,MIN,teams_directory,2026-06-02T22:58:43+00:00,20260602T225839Z,e3c1f2b6dccb2a7af4cd84f8f52198024b1fb0802de61f00b43738cf1ccdc56f
1611661313,NYL,teams_directory,wnba,,,/get-teams/wnba,{},20260602T225839Z,2026-06-02T22:58:40+00:00,f14c24a2e8a3275c6c14aa2123efa31caa2ba7717be758b434d2e62e8116d9cb,"[""teams""]",1611661313,NYL,teams_directory,2026-06-02T22:58:43+00:00,20260602T225839Z,bdc185a2b72221774c06b57ae9c4a37f3dca09e4c2eaf146795be74b6a6a357e
