team_abbreviation,candidates,top_score,avg_score
ATL,12,68.11990810703236,56.86266054719224
CHI,14,67.3658888482986,48.26860287194979
CON,14,65.27962559172006,44.70855936328354
DAL,14,67.12235636019622,52.96960113957689
GSV,15,70.1848570935607,54.36539541516798
IND,14,66.39324836548687,51.41229988789257
LAS,15,59.387735236855825,44.562044309073386
LVA,10,72.4932237499066,58.679786401826746
MIN,13,74.65912151016187,59.96808178406776
NYL,17,69.60903908789899,51.34735120457003
PDX,15,53.53541039995807,43.719180679007955
PHX,14,61.8366526024672,49.23425346607137
SEA,15,54.5800383081049,43.250116022714955
TOR,15,65.70937010971792,50.15282440663073
WAS,13,59.277145260193855,44.214070933584296
