season,as_of_date,player_id,player_name,team_id,team_abbreviation,position,games_played,team_games_played,availability_rate,minutes,mpg,eligible_flag,candidate_tier,eligibility_reason
2026,2026-07-07,1629491,Jessica Shepard,1611661321,DAL,F,21,21,1.0,367.0,17.476190476190474,True,Core Candidate,"Meets minutes, games, and team-game share thresholds"
2026,2026-07-07,1642289,Kamilla Cardoso,1611661329,CHI,C,20,20,1.0,363.0,18.15,True,Core Candidate,"Meets minutes, games, and team-game share thresholds"
2026,2026-07-07,1631019,NaLyssa Smith,1611661319,LVA,F,21,21,1.0,357.0,17.0,True,Core Candidate,"Meets minutes, games, and team-game share thresholds"
2026,2026-07-07,203400,Skylar Diggins,1611661329,CHI,G,19,20,0.95,353.0,18.57894736842105,True,Core Candidate,"Meets minutes, games, and team-game share thresholds"
2026,2026-07-07,203826,Alyssa Thomas,1611661317,PHX,F,19,21,0.9047619047619048,349.0,18.36842105263158,True,Core Candidate,"Meets minutes, games, and team-game share thresholds"
2026,2026-07-07,1628932,A'ja Wilson,1611661319,LVA,C,19,21,0.9047619047619048,321.0,16.894736842105264,True,Core Candidate,"Meets minutes, games, and team-game share thresholds"
2026,2026-07-07,1643428,Flau'jae Johnson,1611661328,SEA,G,22,22,1.0,321.0,14.590909090909092,True,Core Candidate,"Meets minutes, games, and team-game share thresholds"
2026,2026-07-07,1627668,Breanna Stewart,1611661313,NYL,F,20,21,0.9523809523809523,315.0,15.75,True,Core Candidate,"Meets minutes, games, and team-game share thresholds"
2026,2026-07-07,203827,Natasha Howard,1611661324,MIN,F,20,20,1.0,305.0,15.25,True,Core Candidate,"Meets minutes, games, and team-game share thresholds"
2026,2026-07-07,1629481,Arike Ogunbowale,1611661321,DAL,G,21,21,1.0,304.0,14.476190476190476,True,Core Candidate,"Meets minutes, games, and team-game share thresholds"
2026,2026-07-07,1629567,Natisha Hiedeman,1611661328,SEA,G,22,22,1.0,303.0,13.772727272727273,True,Core Candidate,"Meets minutes, games, and team-game share thresholds"
