entity_id,team_id,name,short_name,row_id,team_abbreviation,seconds_played,games_played,minutes,plus_minus,off_poss,def_poss,penalty_off_poss,penalty_def_poss,second_chance_off_poss,total_poss,at_rim_fgm,at_rim_fga,second_chance_at_rim_fgm,second_chance_at_rim_fga,penalty_at_rim_fgm,penalty_at_rim_fga,short_mid_range_fgm,short_mid_range_fga,long_mid_range_fgm,long_mid_range_fga,arc3_fga,penalty_arc3_fga,fg2_m,fg2_a,fg3_a,ft_points,points,opponent_points,second_chance_fg2_m,second_chance_fg2_a,second_chance_ft_points,second_chance_points,penalty_fg2_m,penalty_fg2_a,penalty_fg3_a,penalty_ft_points,penalty_points,pts_assisted2s,pts_unassisted2s,pts_putbacks,non_heave_arc3_fga,fg2a_blocked,two_pt_assists,three_pt_assists,assists,arc3_assists,corner3_assists,at_rim_assists,short_mid_range_assists,long_mid_range_assists,assist_points,off_three_pt_rebounds,off_two_pt_rebounds,def_three_pt_rebounds,def_two_pt_rebounds,ftdef_rebounds,def_rebounds,off_rebounds,rebounds,self_oreb,steals,bad_pass_steals,lost_ball_steals,live_ball_turnovers,bad_pass_out_of_bounds_turnovers,bad_pass_turnovers,dead_ball_turnovers,lost_ball_out_of_bounds_turnovers,lost_ball_turnovers,travels,turnovers,second_chance_turnovers,penalty_turnovers,shooting_fouls,fouls,charge_fouls,loose_ball_fouls,offensive_fouls,fouls_drawn,loose_ball_fouls_drawn,offensive_fouls_drawn,fta,2pt_and_1_free_throw_trips,two_pt_shooting_fouls_drawn,non_shooting_fouls_drawn,blocked2s,blocked3s,blocked_arc3,blocked_at_rim,blocked_short_mid_range,blocks,recovered_blocks,first_chance_points,penalty_points_excluding_take_fouls,penalty_off_poss_excluding_take_fouls,non_shooting_penalty_non_take_fouls,non_shooting_penalty_non_take_fouls_drawn,period1_fouls2_minutes,period2_fouls2_minutes,period3_fouls3_minutes,period4_fouls4_minutes,period4_fouls5_minutes,on_off_rtg,on_def_rtg,assisted2s_pct,non_putbacks_assisted2s_pct,fg2_pct,second_chance_fg2_pct,penalty_fg2_pct,efg_pct,second_chance_efg_pct,penalty_efg_pct,ts_pct,second_chance_ts_pct,penalty_ts_pct,fg3_apct,fg2_apct_blocked,at_rim_pct_blocked,short_mid_range_pct_blocked,usage,live_ball_turnover_pct,def_ftrebound_pct,def_two_pt_rebound_pct,off_two_pt_rebound_pct,def_three_pt_rebound_pct,off_three_pt_rebound_pct,def_fgrebound_pct,off_fgrebound_pct,off_at_rim_rebound_pct,off_short_mid_range_rebound_pct,off_long_mid_range_rebound_pct,off_arc3_rebound_pct,off_corner3_rebound_pct,def_at_rim_rebound_pct,def_short_mid_range_rebound_pct,def_long_mid_range_rebound_pct,def_arc3_rebound_pct,def_corner3_rebound_pct,self_oreb_pct,blocks_recovered_pct,at_rim_frequency,at_rim_accuracy,unblocked_at_rim_accuracy,at_rim_pct_assisted,short_mid_range_frequency,short_mid_range_accuracy,unblocked_short_mid_range_accuracy,short_mid_range_pct_assisted,long_mid_range_frequency,long_mid_range_accuracy,unblocked_long_mid_range_accuracy,long_mid_range_pct_assisted,arc3_frequency,second_chance_at_rim_frequency,second_chance_at_rim_accuracy,second_chance_at_rim_pct_assisted,penalty_at_rim_frequency,penalty_at_rim_accuracy,penalty_arc3_frequency,at_rim_fg3_afrequency,shotquality_pbp_avg,shotquality_pbp_second_chance_avg,shotquality_pbp_penalty_avg,shooting_fouls_drawn_pct,two_pt_shooting_fouls_drawn_pct,second_chance_points_pct,penalty_points_pct,avg2pt_shot_distance,avg3pt_shot_distance,at_rim_off_rebounded_pct,short_mid_range_off_rebounded_pct,long_mid_range_off_rebounded_pct,penalty_off_poss_pct,dataset,league,season,season_type,ftoff_rebounds,defensive_3_seconds_violations,period2_fouls3_minutes,period3_fouls4_minutes,off_ftrebound_pct,corner3_fga,second_chance_corner3_fga,second_chance_arc3_fga,second_chance_fg3_a,corner3_frequency,second_chance_corner3_frequency,second_chance_arc3_frequency,three_pt_off_rebounded_pct,corner3_fgm,penalty_corner3_fga,arc3_fgm,penalty_arc3_fgm,fg3_m,penalty_fg3_m,pts_assisted3s,pts_unassisted3s,non_heave_arc3_fgm,fg3a_blocked,technical_free_throw_trips,three_pt_shooting_fouls_drawn,blocked_corner3,assisted3s_pct,fg3_pct,penalty_fg3_pct,non_heave_fg3_pct,fg3_apct_blocked,long_mid_range_pct_blocked,arc3_pct_blocked,corner3_accuracy,unblocked_corner3_accuracy,corner3_pct_assisted,arc3_accuracy,unblocked_arc3_accuracy,arc3_pct_assisted,penalty_corner3_frequency,penalty_arc3_accuracy,non_heave_arc3_accuracy,three_pt_shooting_fouls_drawn_pct,second_chance_arc3_fgm,second_chance_fg3_m,charge_fouls_drawn,second_chance_fg3_pct,second_chance_arc3_accuracy,second_chance_arc3_pct_assisted,second_chance_corner3_fgm,penalty_corner3_fgm,step_out_of_bounds_turnovers,period_otfouls4_minutes,period_otfouls5_minutes,second_chance_corner3_accuracy,second_chance_corner3_pct_assisted,penalty_corner3_accuracy,blocked_long_mid_range,corner3_pct_blocked,3pt_and_1_free_throw_trips,period3_fouls5_minutes,offensive_goaltends,period2_fouls4_minutes,player_id_clean,player_name_clean,dataset_clean,feature_level,entity_id_feature,entity_name_feature,detected_zone_fga_total,rim_fga_share,rim_efg_pct,short_mid_fga_share,short_mid_efg_pct,long_mid_fga_share,long_mid_efg_pct,corner3_fga_share,corner3_efg_pct,above_break3_fga_share,above_break3_efg_pct,midrange_fga_share,three_point_fga_share,rim_and_three_fga_share,paint_pressure_fga_share,shot_zone_concentration_score,shot_diet_diversity_score,fga_feature_source,efg_pct_feature,ts_pct_feature,points_per_fga_feature,fta_rate_feature,three_point_attempt_rate_feature,shotquality_pbp_feature,shotquality_pbp_source_column,shot_making_over_shotquality_pbp,sample_size_flag,efg_pct_feature_percentile,ts_pct_feature_percentile,points_per_fga_feature_percentile,fta_rate_feature_percentile,three_point_attempt_rate_feature_percentile,shotquality_pbp_feature_percentile,shot_making_over_shotquality_pbp_percentile,rim_fga_share_percentile,midrange_fga_share_percentile,three_point_fga_share_percentile,rim_and_three_fga_share_percentile,paint_pressure_fga_share_percentile,shot_zone_concentration_score_percentile,shot_diet_diversity_score_percentile,corner3_fga_share_percentile,above_break3_fga_share_percentile,corner3_efg_pct_percentile,above_break3_efg_pct_percentile,rim_efg_pct_percentile,long_mid_efg_pct_percentile,short_mid_efg_pct_percentile,shooting_efficiency_category,ts_efficiency_category,shotquality_pbp_profile_label,shot_diet_profile_label,specialized_shooter_label,shot_diet_risk_label,_feature_run_id,_featured_at_utc,_row_content_hash
203826,1611661317,Alyssa Thomas,Alyssa Thomas,203826,PHX,20730.4,18,346.0,-49.0,1189,1203,320.0,288.0,133.0,2392,47.0,71.0,9.0,11.0,15.0,22.0,43.0,103.0,11.0,19.0,1.0,1.0,101.0,193.0,1.0,62.0,264.0,1345,13.0,21.0,15.0,41.0,24.0,48.0,1.0,32.0,80.0,98.0,104.0,12.0,1.0,12.0,80.0,71.0,151.0,51.0,20.0,37.0,29.0,14.0,373.0,10.0,17.0,33.0,50.0,8.0,91.0,27.0,118.0,3.0,26.0,13.0,13.0,37.0,15.0,29.0,33.0,2.0,8.0,2.0,70.0,6.0,19.0,15.0,47.0,2.0,6.0,10.0,80.0,7.0,6.0,91.0,11.0,33.0,18.0,4.0,2.0,2.0,2.0,2.0,6.0,1.0,223.0,80.0,317.0,2.0,17.0,4.0,21.0,14.0,29.0,4.0,108.9991589571068,111.8038237738986,0.4851485148514851,0.5157894736842106,0.5233160621761658,0.6190476190476191,0.5,0.520618556701031,0.6190476190476191,0.4897959183673469,0.5641025641025641,0.6612903225806451,0.5555555555555556,0.0051546391752577,0.0621761658031088,0.0422535211267605,0.087378640776699,22.65275707898659,0.5285714285714286,0.2758620689655172,0.1798561151079136,0.0586206896551724,0.1314741035856573,0.0414937759336099,0.1568998109640831,0.0508474576271186,0.0240963855421686,0.0774647887323943,0.0615384615384615,0.0457142857142857,0.0303030303030303,0.2065217391304347,0.1492537313432835,0.2115384615384615,0.1291866028708134,0.1428571428571428,0.0379746835443038,0.1666666666666666,0.3659793814432989,0.6619718309859155,0.6911764705882353,0.3191489361702128,0.5309278350515464,0.4174757281553398,0.4574468085106383,0.5581395348837209,0.0979381443298969,0.5789473684210527,0.5789473684210527,0.9090909090909092,0.0051546391752577,0.5238095238095238,0.8181818181818182,0.2222222222222222,0.4489795918367347,0.6818181818181818,0.0204081632653061,0.3711340206185567,0.4792720207253886,0.5051933333333333,0.4974458333333333,0.1527777777777778,0.1534883720930232,0.1553030303030303,0.303030303030303,6.466839378238341,56.9,0.2608695652173913,0.1864406779661017,0.25,0.2691337258200168,player_totals,wnba,2026,Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203826,Alyssa Thomas,player_totals,player,203826,Alyssa Thomas,194.0,0.36597938144329895,0.6619718309859155,0.5309278350515464,0.4174757281553398,0.0979381443298969,0.5789473684210527,,,0.005154639175257732,,0.6288659793814433,,,0.8969072164948453,0.4254437240939526,0.5956897681373738,detected_zone_fga_total,0.520618556701031,0.5641025641025641,1.3608247422680413,0.4690721649484536,0.005154639175257732,0.4792720207253886,shotquality_pbp_avg,0.04134653597564236,Usable,0.5656565656565656,0.582089552238806,0.6965174129353234,0.7978723404255319,0.005208333333333333,0.21153846153846154,0.6818181818181818,0.6494845360824743,0.9751552795031055,,,0.9293478260869565,0.8076923076923077,0.17307692307692307,,0.005376344086021506,,,0.5432432432432432,0.8770491803278688,0.5433526011560693,Average Efficiency,Average Efficiency,Tough-Shot Maker,Unavailable Shot Diet,Midrange Specialist,Midrange-Heavy Risk,20260630T161336Z,2026-06-30T16:13:36+00:00,64925d422f5cd438bc1f76ffded68a4c93824699675659fcec18501e2289a7a6
1642289,1611661329,Kamilla Cardoso,Kamilla Cardoso,1642289,CHI,20185.1,19,336.0,-59.0,1013,1025,174.0,241.0,111.0,2038,96.0,143.0,22.0,33.0,19.0,27.0,13.0,38.0,,1.0,,,109.0,182.0,,58.0,276.0,1136,23.0,36.0,14.0,60.0,21.0,30.0,,13.0,55.0,170.0,48.0,34.0,,23.0,35.0,10.0,45.0,7.0,3.0,22.0,8.0,5.0,100.0,14.0,34.0,26.0,71.0,16.0,113.0,50.0,163.0,10.0,9.0,5.0,4.0,16.0,2.0,8.0,18.0,2.0,8.0,3.0,34.0,3.0,5.0,38.0,68.0,2.0,4.0,6.0,76.0,2.0,2.0,80.0,14.0,46.0,1.0,31.0,,,20.0,11.0,31.0,16.0,216.0,55.0,173.0,4.0,1.0,,28.0,12.0,23.0,6.0,106.3178677196446,110.82926829268293,0.7798165137614679,0.9239130434782608,0.5989010989010989,0.6388888888888888,0.7,0.5989010989010989,0.6388888888888888,0.7,0.641860465116279,0.6818181818181818,0.7432432432432432,,0.1263736263736263,0.1258741258741259,0.131578947368421,21.78477690288714,0.4705882352941176,0.5,0.2320261437908496,0.1205673758865248,0.134020618556701,0.0795454545454545,0.194,0.1048034934497816,0.1590909090909091,0.1008403361344537,0.032258064516129,0.0681818181818181,0.1136363636363636,0.2047244094488189,0.2439024390243902,0.2678571428571428,0.119205298013245,0.1860465116279069,0.2040816326530612,0.5161290322580645,0.7857142857142857,0.6713286713286714,0.768,0.7604166666666666,0.2087912087912088,0.3421052631578947,0.3939393939393939,0.9230769230769232,0.0054945054945054,,,,,0.9166666666666666,0.6666666666666666,0.1818181818181818,0.9,0.7037037037037037,,0.7857142857142857,0.5846494505494505,0.6052137931034484,0.6277933333333333,0.2149532710280373,0.2149532710280373,0.217391304347826,0.1992753623188405,2.767582417582417,,0.4468085106382978,0.1666666666666666,,0.1717670286278381,player_totals,wnba,2026,Regular Season,2.0,1.0,2.0,9.0,0.0571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642289,Kamilla Cardoso,player_totals,player,1642289,Kamilla Cardoso,182.0,0.7857142857142857,0.6713286713286714,0.2087912087912088,0.34210526315789475,0.005494505494505495,,,,,,0.2142857142857143,,,0.9945054945054945,0.6609708972346335,0.3387100227465479,detected_zone_fga_total,0.5989010989010989,0.641860465116279,1.5164835164835164,0.43956043956043955,,0.5846494505494505,shotquality_pbp_avg,0.014251648351648383,Usable,0.8383838383838383,0.8756218905472637,0.8557213930348259,0.7553191489361702,,0.9711538461538461,0.5707070707070707,0.9845360824742269,0.18322981366459629,,,0.9836956521739131,0.9326923076923077,0.0625,,,,,0.6108108108108108,,0.2774566473988439,Strong Efficiency,Strong Efficiency,High-Quality Shot Profile,Unavailable Shot Diet,Rim Pressure Finisher,Specialist-Dependent,20260630T161336Z,2026-06-30T16:13:36+00:00,2100c40deca34de12318924d00d16bd5578afb2750ff826cb61b9bc4e7e55a54
1629491,1611661321,Jessica Shepard,Jessica Shepard,1629491,DAL,20133.9,19,336.0,14.0,1212,1211,190.0,252.0,159.0,2423,77.0,110.0,11.0,19.0,9.0,13.0,24.0,54.0,9.0,16.0,6.0,2.0,110.0,180.0,7.0,51.0,271.0,1316,15.0,29.0,9.0,39.0,15.0,24.0,2.0,14.0,44.0,150.0,70.0,6.0,6.0,10.0,67.0,35.0,102.0,30.0,5.0,35.0,16.0,16.0,239.0,24.0,33.0,45.0,99.0,17.0,161.0,58.0,219.0,2.0,14.0,8.0,6.0,18.0,5.0,13.0,14.0,2.0,5.0,2.0,32.0,4.0,7.0,19.0,42.0,1.0,2.0,3.0,76.0,12.0,,71.0,15.0,39.0,4.0,,,,,,,,232.0,44.0,186.0,3.0,4.0,,1.0,4.0,14.0,3.0,109.73597359735976,108.67052023121389,0.6818181818181818,0.7009345794392523,0.6111111111111112,0.5172413793103449,0.625,0.5882352941176471,0.4838709677419355,0.5769230769230769,0.6302325581395349,0.5571428571428572,0.6666666666666666,0.0374331550802139,0.0555555555555555,0.0545454545454545,0.074074074074074,17.69340974212034,0.5625,0.6071428571428571,0.2911764705882353,0.0953757225433526,0.2356020942408377,0.1012658227848101,0.2711864406779661,0.0977701543739279,0.0909090909090909,0.1144578313253012,0.0652173913043478,0.0994764397905759,0.108695652173913,0.288135593220339,0.2822085889570552,0.3220338983050847,0.2389937106918239,0.21875,0.0303030303030303,,0.5882352941176471,0.7,0.7403846153846154,0.7272727272727273,0.2887700534759358,0.4444444444444444,0.48,0.4583333333333333,0.0855614973262032,0.5625,0.5625,0.8888888888888888,0.0320855614973262,0.6129032258064516,0.5789473684210527,0.4545454545454545,0.5,0.6923076923076923,0.0769230769230769,0.6256684491978609,0.5234763440860215,0.5529124999999999,0.476304,0.1848341232227488,0.1911764705882352,0.1439114391143911,0.1623616236162361,4.987222222222223,27.914285714285715,0.1818181818181818,0.1724137931034483,,0.1567656765676567,player_totals,wnba,2026,Regular Season,1.0,1.0,,,0.0303030303030303,1.0,1.0,1.0,2.0,0.0053475935828877,0.032258064516129,0.032258064516129,0.1428571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1629491,Jessica Shepard,player_totals,player,1629491,Jessica Shepard,187.0,0.5882352941176471,0.7,0.2887700534759358,0.4444444444444444,0.0855614973262032,0.5625,0.0053475935828877,,0.03208556149732621,,0.37433155080213903,0.03743315508021391,0.625668449197861,0.8770053475935828,0.4377877548685979,0.633453810729881,detected_zone_fga_total,0.5882352941176471,0.6302325581395349,1.4491978609625669,0.37967914438502676,0.0374331550802139,0.5234763440860215,shotquality_pbp_avg,0.06475895003162557,Usable,0.8156565656565656,0.835820895522388,0.7960199004975125,0.6382978723404256,0.03125,0.6875,0.7929292929292929,0.9097938144329897,0.6708074534161491,0.006024096385542169,0.25153374233128833,0.907608695652174,0.8269230769230769,0.20673076923076922,0.005813953488372093,0.043010752688172046,,,0.7027027027027027,0.860655737704918,0.6242774566473989,Strong Efficiency,Strong Efficiency,Average Shot Quality Profile,Paint-Oriented,Rim Pressure Finisher,Spacing-Limited Profile,20260630T161336Z,2026-06-30T16:13:36+00:00,55b4ca7a53e31f44cd787ba9d0d92b1c91983f868c08033500af25c1ac4f5e2a
203400,1611661329,Skylar Diggins,Skylar Diggins,203400,CHI,19729.5,18,329.0,-71.0,1046,1060,221.0,286.0,123.0,2106,20.0,54.0,3.0,8.0,9.0,17.0,25.0,62.0,11.0,29.0,53.0,15.0,56.0,145.0,64.0,66.0,250.0,1191,7.0,18.0,7.0,21.0,14.0,31.0,17.0,23.0,69.0,46.0,66.0,8.0,53.0,11.0,66.0,23.0,89.0,18.0,5.0,48.0,17.0,1.0,201.0,2.0,10.0,24.0,20.0,2.0,46.0,13.0,59.0,6.0,18.0,11.0,7.0,18.0,6.0,16.0,12.0,2.0,2.0,1.0,30.0,1.0,3.0,10.0,39.0,,3.0,2.0,52.0,,2.0,86.0,6.0,35.0,5.0,8.0,2.0,1.0,6.0,2.0,10.0,5.0,229.0,67.0,220.0,5.0,2.0,,14.0,8.0,4.0,,107.07456978967494,112.35849056603774,0.4107142857142857,0.4423076923076923,0.3862068965517241,0.3888888888888889,0.4516129032258064,0.4401913875598086,0.3181818181818182,0.4791666666666667,0.5040650406504065,0.4,0.5564516129032258,0.3062200956937799,0.0758620689655172,0.074074074074074,0.0967741935483871,23.05764411027569,0.6,0.0714285714285714,0.0634920634920634,0.0317460317460317,0.1263157894736842,0.0103092783505154,0.0871287128712871,0.0235756385068762,0.0259740259740259,0.0390625,0.0303030303030303,0.0133333333333333,,0.0307692307692307,0.0806451612903225,0.0983606557377049,0.1493506493506493,0.0277777777777777,0.0521739130434782,0.5,0.2583732057416268,0.3703703703703703,0.4,0.4,0.2966507177033493,0.4032258064516129,0.4464285714285714,0.4,0.138755980861244,0.3793103448275862,0.3928571428571428,0.4545454545454545,0.2535885167464115,0.3636363636363636,0.375,,0.3541666666666667,0.5294117647058824,0.3125,0.5645933014354066,0.5021679425837321,0.529271052631579,0.5216979166666667,0.1576763485477178,0.2011494252873563,0.084,0.276,7.729655172413793,24.30625,0.2424242424242424,0.3513513513513513,0.3333333333333333,0.2112810707456979,player_totals,wnba,2026,Regular Season,1.0,,2.0,,0.0303030303030303,11.0,2.0,2.0,4.0,0.0526315789473684,0.0909090909090909,0.0909090909090909,0.2564102564102564,4.0,2.0,20.0,6.0,24.0,6.0,57.0,15.0,20.0,1.0,3.0,3.0,1.0,0.7916666666666666,0.375,0.3529411764705882,0.375,0.015625,0.0344827586206896,0.0188679245283018,0.3636363636363636,0.3636363636363636,0.75,0.3773584905660377,0.3846153846153846,0.8,0.0416666666666666,0.4,0.3773584905660377,0.044776119402985,,,,,,,,,,,,,,,,,,,,,203400,Skylar Diggins,player_totals,player,203400,Skylar Diggins,209.0,0.2583732057416268,0.37037037037037035,0.2966507177033493,0.4032258064516129,0.13875598086124402,0.3793103448275862,0.05263157894736842,0.5454545454545454,0.2535885167464115,0.5660377358490566,0.4354066985645933,0.3062200956937799,0.5645933014354068,0.5550239234449761,0.24108880291202123,0.9239948803401715,detected_zone_fga_total,0.4401913875598086,0.5040650406504065,1.1961722488038278,0.41148325358851673,0.3062200956937799,0.5021679425837321,shotquality_pbp_avg,-0.06197655502392352,Usable,0.2474747474747475,0.3781094527363184,0.4129353233830846,0.7340425531914894,0.28125,0.3942307692307692,0.25757575757575757,0.41237113402061853,0.782608695652174,0.25301204819277107,0.147239263803681,0.532608695652174,0.08653846153846154,0.9038461538461539,0.2703488372093023,0.3870967741935484,0.4432624113475177,0.6481481481481481,0.06486486486486487,0.4344262295081967,0.49710982658959535,Low Efficiency,Low Efficiency,Average Shot Quality Profile,Diversified Shot Profile,No Clear Shooting Specialty,Midrange-Heavy Risk,20260630T161336Z,2026-06-30T16:13:36+00:00,ed75cc2e4db247a4cb78ce95a00b58d3ea27ad218c28904a05bb0743a513de4c
1628932,1611661319,A'ja Wilson,A'ja Wilson,1628932,LVA,19265.2,19,321.0,125.0,1222,1230,332.0,239.0,143.0,2452,63.0,79.0,12.0,13.0,18.0,25.0,69.0,157.0,24.0,52.0,40.0,5.0,156.0,288.0,44.0,123.0,489.0,1300,20.0,31.0,22.0,71.0,39.0,64.0,6.0,57.0,147.0,246.0,66.0,12.0,40.0,13.0,31.0,24.0,55.0,18.0,6.0,10.0,14.0,7.0,134.0,18.0,18.0,57.0,72.0,12.0,141.0,37.0,178.0,10.0,30.0,28.0,2.0,32.0,4.0,19.0,19.0,2.0,13.0,,51.0,3.0,12.0,19.0,35.0,2.0,1.0,9.0,155.0,4.0,,149.0,17.0,66.0,16.0,35.0,3.0,3.0,14.0,21.0,38.0,20.0,418.0,147.0,332.0,,15.0,,8.0,15.0,1.0,1.0,116.61211129296235,105.6910569105691,0.7884615384615384,0.82,0.5416666666666666,0.6451612903225806,0.609375,0.5512048192771084,0.6805555555555556,0.6428571428571429,0.6146095717884131,0.7553191489361702,0.7277227722772277,0.1325301204819277,0.0451388888888888,0.0126582278481012,0.0700636942675159,32.34657039711191,0.6274509803921569,0.4285714285714285,0.2105263157894736,0.0559006211180124,0.2244094488188976,0.0865384615384615,0.2164429530201342,0.0679245283018867,0.0491803278688524,0.0531914893617021,0.0684931506849315,0.0864197530864197,0.0869565217391304,0.174757281553398,0.2011834319526627,0.2857142857142857,0.2200956937799043,0.2444444444444444,0.0699300699300699,0.5263157894736842,0.2379518072289156,0.7974683544303798,0.8076923076923077,0.7619047619047619,0.4728915662650602,0.4394904458598726,0.4726027397260274,0.7971014492753623,0.1566265060240964,0.4615384615384615,0.4705882352941176,0.8333333333333334,0.1204819277108433,0.3611111111111111,0.9230769230769232,0.5,0.3571428571428571,0.72,0.0714285714285714,0.3704819277108434,0.4594840361445783,0.4806942307692307,0.4726692857142857,0.1732283464566929,0.1958456973293768,0.1451942740286298,0.3006134969325153,8.447916666666666,24.65909090909091,0.375,0.3908045977011494,0.1785714285714285,0.2716857610474631,player_totals,wnba,2026,Regular Season,1.0,,,3.0,0.0285714285714285,4.0,,5.0,5.0,0.0120481927710843,,0.1388888888888889,0.16,2.0,1.0,16.0,4.0,18.0,4.0,51.0,3.0,16.0,,1.0,,,0.9444444444444444,0.4090909090909091,0.6666666666666666,0.4090909090909091,,0.0192307692307692,,0.5,0.5,1.0,0.4,0.4,0.9375,0.0142857142857142,0.8,0.4,,3.0,3.0,2.0,0.6,0.6,1.0,,,,,,,,,,,,,,,1628932,A'ja Wilson,player_totals,player,1628932,A'ja Wilson,332.0,0.23795180722891565,0.7974683544303798,0.47289156626506024,0.4394904458598726,0.1566265060240964,0.46153846153846156,0.012048192771084338,0.75,0.12048192771084337,0.6,0.6295180722891567,0.13253012048192772,0.3704819277108434,0.7108433734939759,0.3194404122514153,0.804222269154651,detected_zone_fga_total,0.5512048192771084,0.6146095717884131,1.4728915662650603,0.44879518072289154,0.13253012048192772,0.4594840361445783,shotquality_pbp_avg,0.09172078313253013,Strong,0.6919191919191919,0.7611940298507462,0.8159203980099502,0.776595744680851,0.10416666666666667,0.08173076923076923,0.8737373737373737,0.36082474226804123,0.9813664596273292,0.07228915662650602,0.012269938650306749,0.7717391304347826,0.5576923076923077,0.4519230769230769,0.023255813953488372,0.14516129032258066,0.7269503546099291,0.7469135802469136,0.8756756756756757,0.6024590163934426,0.6069364161849711,Average Efficiency,Strong Efficiency,Tough-Shot Maker,Midrange-Heavy,Midrange Specialist,Midrange-Heavy Risk,20260630T161336Z,2026-06-30T16:13:36+00:00,6f1e082b6de127bafa4b7f9c7a02b9bf278c599e5fc589a12c3f0a5f484d4dac
1631019,1611661319,NaLyssa Smith,NaLyssa Smith,1631019,LVA,19151.9,19,319.0,39.0,879,887,147.0,104.0,111.0,1766,44.0,57.0,17.0,21.0,5.0,8.0,37.0,61.0,2.0,5.0,4.0,1.0,83.0,123.0,4.0,40.0,209.0,959,20.0,26.0,6.0,49.0,11.0,15.0,1.0,10.0,32.0,112.0,54.0,30.0,4.0,9.0,14.0,3.0,17.0,3.0,,5.0,7.0,2.0,37.0,12.0,24.0,31.0,50.0,2.0,83.0,36.0,119.0,2.0,9.0,6.0,3.0,6.0,1.0,3.0,13.0,1.0,3.0,1.0,19.0,2.0,1.0,33.0,55.0,1.0,3.0,7.0,72.0,12.0,6.0,74.0,9.0,33.0,9.0,12.0,1.0,1.0,6.0,6.0,13.0,8.0,160.0,32.0,147.0,2.0,6.0,,28.0,25.0,14.0,6.0,113.53811149032992,108.11724915445322,0.6746987951807228,0.8235294117647058,0.6747967479674797,0.7692307692307693,0.7333333333333333,0.6653543307086615,0.7962962962962963,0.6875,0.653125,0.7,0.6956521739130435,0.0314960629921259,0.073170731707317,0.0701754385964912,0.081967213114754,17.764471057884233,0.3157894736842105,0.1,0.217391304347826,0.1034482758620689,0.1589743589743589,0.0769230769230769,0.1905882352941176,0.0927835051546391,0.1081081081081081,0.0902777777777777,0.1372549019607843,0.0916666666666666,0.0277777777777777,0.2096774193548387,0.2564102564102564,0.1372549019607843,0.1509433962264151,0.1944444444444444,0.0588235294117647,0.6153846153846154,0.4488188976377952,0.7719298245614035,0.8301886792452831,0.5909090909090909,0.4803149606299212,0.6065573770491803,0.6607142857142857,0.7567567567567568,0.0393700787401574,0.4,0.4,1.0,0.0314960629921259,0.7777777777777778,0.8095238095238095,0.1176470588235294,0.5,0.625,0.0625,0.4803149606299212,0.4899460629921259,0.5787047619047618,0.4656875,0.2185430463576159,0.2244897959183673,0.2344497607655502,0.1531100478468899,4.95609756097561,25.6,0.3076923076923077,0.0833333333333333,0.3333333333333333,0.167235494880546,player_totals,wnba,2026,Regular Season,,,1.0,,,,,1.0,1.0,,,0.037037037037037,0.3333333333333333,,,1.0,,1.0,,3.0,,1.0,,,,,1.0,0.25,,0.25,,,,,,,0.25,0.25,1.0,,,0.25,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,1631019,NaLyssa Smith,player_totals,player,1631019,NaLyssa Smith,127.0,0.44881889763779526,0.7719298245614035,0.48031496062992124,0.6065573770491803,0.03937007874015748,0.4,,,0.031496062992125984,0.375,0.5196850393700787,,,0.9291338582677164,0.43468286936573863,0.5890556795781048,detected_zone_fga_total,0.6653543307086615,0.653125,1.6456692913385826,0.5826771653543307,0.031496062992125984,0.4899460629921259,shotquality_pbp_avg,0.17540826771653556,Usable,0.9545454545454546,0.9104477611940298,0.945273631840796,0.8776595744680851,0.020833333333333332,0.2932692307692308,0.9545454545454546,0.788659793814433,0.9254658385093167,,,0.9565217391304348,0.8221153846153846,0.15865384615384615,,0.03763440860215054,,0.20987654320987653,0.8594594594594595,0.47950819672131145,0.9017341040462428,Elite Efficiency,Elite Efficiency,Average Shot Quality Profile,Unavailable Shot Diet,Rim Pressure Finisher,Balanced / Low Risk,20260630T161336Z,2026-06-30T16:13:36+00:00,818ae58f3a9b766ffbfd702a246453efd81c1696668c7e01877c298e43bc1479
