change_type,athlete_id,player_name,old_value,new_value,review_status
activated,4282168,Kiana Williams,False,True,reviewed
added_active,4398965,Christyn Williams,,active,reviewed
added_active,5208984,Elena Buenavida,,active,reviewed
added_active,4398589,Elizabeth Balogun,,active,reviewed
position_changed,4433744,Michelle Onyiah,F-C,C,reviewed
position_changed,4599199,Morgan Maly,F,G,reviewed
removed_from_active_page,2955898,Damiris Dantas,active,inactive,reviewed
removed_from_active_page,869,DeWanna Bonner,active,free-agent,reviewed
team_changed,4282168,Kiana Williams,6,131935,reviewed
