team_id,team_abbreviation,clutch_off_poss,clutch_def_poss,clutch_off_rating,clutch_def_rating,clutch_net_rating,clutch_games,coverage_through
1611661313,NYL,123,119,117.88617886178862,110.92436974789916,6.9618091138894584,13,2026-07-22
1611661317,PHX,118,113,122.88135593220339,131.858407079646,-8.977051147442623,15,2026-07-22
1611661319,LVA,55,56,109.09090909090908,123.21428571428572,-14.123376623376643,8,2026-07-22
1611661320,LAS,79,72,126.58227848101266,125.0,1.5822784810126649,10,2026-07-22
1611661321,DAL,128,118,130.46875,116.10169491525424,14.367055084745758,18,2026-07-22
1611661322,WAS,183,188,106.55737704918033,98.93617021276596,7.621206836414373,16,2026-07-22
1611661323,CON,114,120,92.98245614035088,137.5,-44.51754385964912,16,2026-07-22
1611661324,MIN,130,119,124.61538461538461,93.27731092436974,31.33807369101487,15,2026-07-22
1611661325,IND,127,135,111.0236220472441,112.5925925925926,-1.568970545348492,12,2026-07-22
1611661327,PDX,117,122,128.2051282051282,110.65573770491804,17.549390500210166,10,2026-07-22
1611661328,SEA,107,112,95.32710280373831,131.25,-35.92289719626169,12,2026-07-22
1611661329,CHI,143,138,100.0,123.18840579710144,-23.18840579710144,16,2026-07-22
1611661330,ATL,89,91,134.8314606741573,100.0,34.83146067415731,12,2026-07-22
1611661331,GSV,104,106,105.76923076923077,106.60377358490567,-0.8345428156748937,13,2026-07-22
1611661332,TOR,75,83,118.66666666666667,106.02409638554218,12.642570281124492,10,2026-07-22
