alpha,cv_rmse
100.0,117.86997787888139
250.0,117.62692930007756
500.0,117.49605779540447
1000.0,117.41625087135466
2000.0,117.37809920246984
4000.0,117.36939117435688
8000.0,117.37904093627746
16000.0,117.39569730095711
32000.0,117.41074928643975
64000.0,117.421067392464
