player_id,player_name,team_abbreviation,rapm_rank,o_rapm,d_rapm,rapm,off_poss,def_poss,total_poss,sample_flag,coverage_through
203866,Kayla Thornton,GSV,1,0.996,2.026,3.022,1187,1181,2368,Reliable,2026-07-22
1643426,Olivia Miles,MIN,2,0.957,1.115,2.072,1499,1510,3009,Reliable,2026-07-22
1631019,NaLyssa Smith,LVA,3,0.421,1.404,1.826,951,951,1902,Reliable,2026-07-22
1630471,Maya Caldwell,MIN,4,0.599,1.049,1.648,798,805,1603,Reliable,2026-07-22
1627675,Courtney Williams,MIN,5,1.181,0.455,1.636,1499,1507,3006,Reliable,2026-07-22
1629546,Marine Johannes,NYL,6,0.12,1.486,1.606,1039,1049,2088,Reliable,2026-07-22
1643425,Azzi Fudd,DAL,7,1.571,0.002,1.574,1541,1544,3085,Reliable,2026-07-22
203825,Kayla McBride,MIN,8,1.088,0.471,1.558,1597,1603,3200,Reliable,2026-07-22
1631021,Sika Kone,ATL,9,1.269,0.284,1.553,417,424,841,Reliable,2026-07-22
1631007,Veronica Burton,GSV,10,0.338,1.205,1.543,1387,1383,2770,Reliable,2026-07-22
1643433,Raven Johnson,IND,11,1.217,0.285,1.503,774,781,1555,Reliable,2026-07-22
1643469,Indya Nivar,ATL,12,1.035,0.463,1.498,284,277,561,Reliable,2026-07-22
204323,Cheyenne Parker-Tyus,LVA,13,1.134,0.304,1.439,534,542,1076,Reliable,2026-07-22
203833,Chelsea Gray,LVA,14,1.009,0.418,1.426,1439,1452,2891,Reliable,2026-07-22
1643447,Gabriela Jaquez,CHI,15,1.164,0.222,1.387,969,957,1926,Reliable,2026-07-22
1642801,Aaliyah Nye,ATL,16,1.111,0.25,1.36,165,167,332,Low sample,2026-07-22
1642820,Liatu King,MIN,17,0.581,0.732,1.314,176,176,352,Low sample,2026-07-22
1642302,Isobel Borlase,ATL,18,0.869,0.407,1.277,688,681,1369,Reliable,2026-07-22
1642291,Angel Reese,ATL,19,-0.066,1.317,1.251,1349,1354,2703,Reliable,2026-07-22
203827,Natasha Howard,MIN,20,0.525,0.713,1.238,1423,1434,2857,Reliable,2026-07-22
1643493,Noemie Brochant,PHX,21,0.574,0.661,1.235,1062,1067,2129,Reliable,2026-07-22
1628881,Monique Billings,IND,22,0.635,0.586,1.221,905,910,1815,Reliable,2026-07-22
1642784,Paige Bueckers,DAL,23,0.627,0.587,1.214,1580,1575,3155,Reliable,2026-07-22
1629498,Jackie Young,LVA,24,0.967,0.241,1.208,1397,1407,2804,Reliable,2026-07-22
1628899,Myisha Hines-Allen,IND,25,1.752,-0.59,1.163,759,765,1524,Reliable,2026-07-22
1642797,Anastasiia Olairi Kosu,MIN,26,0.803,0.334,1.137,648,648,1296,Reliable,2026-07-22
1629482,Sophie Cunningham,IND,27,1.087,0.041,1.128,1208,1207,2415,Reliable,2026-07-22
1628508,Cecilia Zandalasini,GSV,28,0.299,0.774,1.074,668,667,1335,Reliable,2026-07-22
1642822,Kaitlyn Chen,GSV,29,0.48,0.53,1.009,785,796,1581,Reliable,2026-07-22
1629491,Jessica Shepard,DAL,30,1.286,-0.295,0.991,1705,1696,3401,Reliable,2026-07-22
1642290,Aaliyah Edwards,CON,31,0.178,0.795,0.973,621,628,1249,Reliable,2026-07-22
1630142,Leonie Fiebich,NYL,32,0.624,0.305,0.928,793,796,1589,Reliable,2026-07-22
1642768,Kyara Linskens,PHX,33,-0.246,1.142,0.897,337,334,671,Reliable,2026-07-22
1627668,Breanna Stewart,NYL,34,0.612,0.262,0.875,1615,1613,3228,Reliable,2026-07-22
1631044,Naz Hillmon,ATL,35,0.523,0.326,0.849,1365,1356,2721,Reliable,2026-07-22
1628932,A'ja Wilson,LVA,36,1.059,-0.246,0.812,1290,1296,2586,Reliable,2026-07-22
204335,Betnijah Laney-Hamilton,WAS,37,0.096,0.708,0.805,589,589,1178,Reliable,2026-07-22
204468,Valeriane Ayayi,PHX,38,0.604,0.193,0.797,695,691,1386,Reliable,2026-07-22
1630112,Tyasha Harris,IND,39,0.728,0.061,0.789,697,692,1389,Reliable,2026-07-22
1628931,Gabby Williams,GSV,40,0.124,0.65,0.774,1196,1196,2392,Reliable,2026-07-22
1628269,Nia Coffey,MIN,41,0.705,0.052,0.758,1280,1293,2573,Reliable,2026-07-22
1629481,Arike Ogunbowale,DAL,42,0.376,0.375,0.751,1466,1444,2910,Reliable,2026-07-22
203400,Skylar Diggins,CHI,43,0.691,0.06,0.751,959,966,1925,Reliable,2026-07-22
204319,Jewell Loyd,LVA,44,0.719,0.016,0.735,1342,1347,2689,Reliable,2026-07-22
1630149,Satou Sabally,NYL,45,0.308,0.383,0.691,425,420,845,Reliable,2026-07-22
1643487,Quionche Carter,PHX,46,-0.087,0.685,0.598,237,233,470,Low sample,2026-07-22
1642815,Makayla Timpson,IND,47,0.114,0.484,0.598,907,897,1804,Reliable,2026-07-22
1642292,Jacy Sheldon,CHI,48,-0.341,0.935,0.594,1225,1228,2453,Reliable,2026-07-22
1630150,Chennedy Carter,LVA,49,0.982,-0.394,0.588,452,462,914,Reliable,2026-07-22
1641657,Dorka Juhasz,MIN,50,0.417,0.162,0.579,182,183,365,Low sample,2026-07-22
203822,Rebekah Gardner,NYL,51,0.453,0.117,0.57,769,764,1533,Reliable,2026-07-22
1628279,Brittney Sykes,TOR,52,0.569,-0.025,0.544,905,908,1813,Reliable,2026-07-22
1643445,Kiki Rice,TOR,53,0.575,-0.038,0.536,468,465,933,Reliable,2026-07-22
1631022,Shakira Austin,WAS,54,-0.742,1.278,0.536,1312,1300,2612,Reliable,2026-07-22
1629479,Teaira McCowan,MIN,55,0.13,0.384,0.514,171,172,343,Low sample,2026-07-22
1628276,Kelsey Plum,PHX,56,0.868,-0.366,0.503,818,812,1630,Reliable,2026-07-22
1643431,Madina Okot,ATL,57,0.815,-0.315,0.5,581,571,1152,Reliable,2026-07-22
1643489,Antonia Delaere,MIN,58,0.166,0.334,0.5,709,715,1424,Reliable,2026-07-22
1630461,Kiana Williams,TOR,59,-0.141,0.596,0.455,512,516,1028,Reliable,2026-07-22
1641656,Laeticia Amihere,GSV,60,0.023,0.415,0.437,551,545,1096,Reliable,2026-07-22
203824,Odyssey Sims,DAL,61,0.607,-0.181,0.425,528,529,1057,Reliable,2026-07-22
1631006,Kierstan Bell,LVA,62,0.273,0.135,0.408,529,530,1059,Reliable,2026-07-22
1630386,Awak Kuier,DAL,63,0.278,0.127,0.405,734,734,1468,Reliable,2026-07-22
1642288,Rickea Jackson,CHI,64,-0.168,0.568,0.401,228,227,455,Low sample,2026-07-22
1642767,Janelle Salaun,GSV,65,-0.118,0.487,0.369,1247,1257,2504,Reliable,2026-07-22
1643430,Cotie McMahon,WAS,66,-0.808,1.174,0.366,975,969,1944,Reliable,2026-07-22
1629497,Marina Mabrey,TOR,67,0.619,-0.254,0.365,1341,1347,2688,Reliable,2026-07-22
1642794,Juste Jocyte,GSV,68,0.198,0.162,0.36,193,190,383,Low sample,2026-07-22
1629501,Alanna Smith,DAL,69,-0.239,0.591,0.352,533,529,1062,Reliable,2026-07-22
203024,Damiris Dantas,IND,70,0.845,-0.5,0.345,257,254,511,Reliable,2026-07-22
1627673,Jonquel Jones,NYL,71,0.56,-0.23,0.33,1390,1394,2784,Reliable,2026-07-22
1628909,Kelsey Mitchell,IND,72,1.127,-0.807,0.32,1555,1555,3110,Reliable,2026-07-22
1641648,Aliyah Boston,IND,73,0.476,-0.163,0.313,1126,1125,2251,Reliable,2026-07-22
204329,Kiah Stokes,GSV,74,-0.411,0.711,0.301,942,956,1898,Reliable,2026-07-22
1629488,Brianna Turner,LVA,75,0.347,-0.064,0.283,479,488,967,Reliable,2026-07-22
202664,Courtney Vandersloot,CHI,76,0.594,-0.313,0.281,354,343,697,Reliable,2026-07-22
1643443,Awa Fam,SEA,77,0.39,-0.116,0.274,1285,1279,2564,Reliable,2026-07-22
1643437,Ashlon Jackson,CON,78,-0.225,0.492,0.267,120,122,242,Low sample,2026-07-22
1629566,Han Xu,NYL,79,0.151,0.115,0.266,765,766,1531,Reliable,2026-07-22
1628922,Azura Stevens,CHI,80,0.196,0.067,0.263,1071,1075,2146,Reliable,2026-07-22
202252,Alysha Clark,DAL,81,-0.407,0.637,0.23,403,408,811,Reliable,2026-07-22
1642804,Te-Hina Paopao,ATL,82,0.106,0.106,0.212,672,675,1347,Reliable,2026-07-22
1643505,Jovana Nogic,PHX,83,-0.068,0.278,0.211,619,614,1233,Reliable,2026-07-22
1630446,Michaela Onyenwere,WAS,84,-0.295,0.485,0.19,1015,1011,2026,Reliable,2026-07-22
1642781,Georgia Amoore,WAS,85,-1.03,1.215,0.185,919,899,1818,Reliable,2026-07-22
1628280,Brionna Jones,ATL,86,0.329,-0.147,0.181,71,68,139,Low sample,2026-07-22
