player_id,player_name,team_abbreviation,rapm_rank,o_rapm,d_rapm,rapm,off_poss,def_poss,total_poss,sample_flag,coverage_through
1643686,Nadia Fingall,GSV,87,0.213,-0.05,0.163,52,53,105,Low sample,2026-07-22
1642793,Aziaha James,DAL,88,-0.004,0.165,0.16,692,683,1375,Reliable,2026-07-22
1643438,Marta Suarez,PHX,89,0.046,0.096,0.143,234,234,468,Low sample,2026-07-22
1643448,Nell Angloma,CON,90,-0.252,0.394,0.141,512,511,1023,Reliable,2026-07-22
1630097,Kaila Charles,GSV,91,-0.555,0.69,0.135,993,1004,1997,Reliable,2026-07-22
1629483,Napheesa Collier,MIN,92,-0.027,0.141,0.114,53,55,108,Low sample,2026-07-22
1630996,Rae Burrell,LAS,93,0.775,-0.662,0.113,1346,1337,2683,Reliable,2026-07-22
1631263,Nikolina Milic,TOR,94,0.143,-0.037,0.106,113,118,231,Low sample,2026-07-22
1642798,Dominique Malonga,SEA,95,0.433,-0.342,0.092,1072,1058,2130,Reliable,2026-07-22
1630384,Raquel Carrera,NYL,96,-0.091,0.182,0.091,212,216,428,Low sample,2026-07-22
1642286,Caitlin Clark,IND,97,0.37,-0.289,0.081,1222,1221,2443,Reliable,2026-07-22
1643527,Jordan Harrison,PDX,98,-0.088,0.167,0.079,85,83,168,Low sample,2026-07-22
1629574,Li Yueru,DAL,99,0.326,-0.263,0.063,485,485,970,Reliable,2026-07-22
1642814,Taylor Thierry,SEA,100,-0.509,0.565,0.056,148,144,292,Low sample,2026-07-22
1631064,Chloe Bibby,MIN,101,-0.079,0.103,0.025,59,59,118,Low sample,2026-07-22
1642818,Maddy Westbeld,PHX,102,-0.113,0.137,0.024,64,64,128,Low sample,2026-07-22
1631086,Lexie Hull,IND,103,0.499,-0.486,0.013,1090,1088,2178,Reliable,2026-07-22
1643494,Frieda Buhner,PDX,104,0.233,-0.234,-0.002,711,700,1411,Reliable,2026-07-22
1643525,Alex Fowler,NYL,105,-0.064,0.062,-0.003,69,65,134,Low sample,2026-07-22
1629484,Megan DiLeo,PDX,106,0.17,-0.182,-0.012,997,991,1988,Reliable,2026-07-22
1642293,Alissa Pili,LAS,107,-0.019,-0.013,-0.032,55,57,112,Low sample,2026-07-22
1643479,Ndjakalenga Mwenentanda,GSV,108,0.284,-0.327,-0.043,97,96,193,Low sample,2026-07-22
1643490,Eliska Joklova,MIN,109,-0.004,-0.053,-0.057,169,173,342,Low sample,2026-07-22
1643441,Raegan Beers,CON,110,0.13,-0.19,-0.059,472,483,955,Reliable,2026-07-22
1643450,Rori Harmon,WAS,111,-0.091,0.022,-0.069,225,228,453,Low sample,2026-07-22
1641650,Haley Jones,DAL,112,-0.019,-0.06,-0.078,125,126,251,Low sample,2026-07-22
1641683,Holly Winterburn,PDX,113,0.469,-0.56,-0.092,292,296,588,Reliable,2026-07-22
1643488,Emma Cechova,MIN,114,-0.072,-0.022,-0.094,98,98,196,Low sample,2026-07-22
1631083,Emily Engstler,PDX,115,0.739,-0.833,-0.095,1197,1202,2399,Reliable,2026-07-22
1631055,Nyara Sabally,TOR,116,-0.414,0.305,-0.108,781,783,1564,Reliable,2026-07-22
203855,Stephanie Talbot,LVA,117,-0.397,0.28,-0.117,953,971,1924,Reliable,2026-07-22
1642785,Sonia Citron,WAS,118,-1.088,0.961,-0.127,1385,1381,2766,Reliable,2026-07-22
1628244,Sami Whitcomb,PHX,119,0.174,-0.304,-0.13,86,82,168,Low sample,2026-07-22
1642324,Kate Martin,LAS,120,-0.173,0.041,-0.132,259,258,517,Reliable,2026-07-22
1628886,Jordin Canada,ATL,121,-0.782,0.643,-0.139,1537,1533,3070,Reliable,2026-07-22
1627701,Temi Fagbenle,TOR,122,-0.01,-0.141,-0.151,318,317,635,Reliable,2026-07-22
204324,Dearica Hamby,LAS,123,0.601,-0.752,-0.151,1379,1384,2763,Reliable,2026-07-22
1642210,Julie Vanloo,NYL,124,0.084,-0.245,-0.16,182,180,362,Low sample,2026-07-22
1642786,Aicha Coulibaly,CHI,125,-0.111,-0.053,-0.165,390,388,778,Reliable,2026-07-22
1643462,Chance Gray,LAS,126,-0.422,0.254,-0.168,534,543,1077,Reliable,2026-07-22
1642289,Kamilla Cardoso,CHI,127,-0.111,-0.071,-0.182,1209,1213,2422,Reliable,2026-07-22
1629568,Kennedy Burke,CON,128,-0.952,0.736,-0.216,1101,1086,2187,Reliable,2026-07-22
1629496,Ezi Magbegor,SEA,129,0.03,-0.248,-0.219,68,66,134,Low sample,2026-07-22
1642790,Sania Feagin,LAS,130,-0.064,-0.182,-0.245,59,61,120,Low sample,2026-07-22
203026,Tiffany Hayes,GSV,131,-0.173,-0.074,-0.247,688,696,1384,Reliable,2026-07-22
1643495,Justine Pissott,LVA,132,0.024,-0.283,-0.259,95,98,193,Low sample,2026-07-22
1631009,Rhyne Howard,ATL,133,0.506,-0.77,-0.263,1574,1566,3140,Reliable,2026-07-22
1628278,Shatori Walker-Kimbrough,ATL,134,-0.207,-0.089,-0.296,60,59,119,Low sample,2026-07-22
1628242,Emma Cannon,LAS,135,-0.2,-0.111,-0.311,211,201,412,Low sample,2026-07-22
1642307,Mackenzie Holmes,SEA,136,-1.232,0.917,-0.315,503,500,1003,Reliable,2026-07-22
1642788,Bree Hall,IND,137,-0.1,-0.225,-0.325,55,55,110,Low sample,2026-07-22
1630389,Dana Evans,LVA,138,-0.044,-0.298,-0.341,74,71,145,Low sample,2026-07-22
204296,Rebecca Allen,NYL,139,0.181,-0.522,-0.342,391,390,781,Reliable,2026-07-22
1643506,Teja Oblak,PDX,140,-0.061,-0.288,-0.35,455,453,908,Reliable,2026-07-22
1630993,Anneli Maley,NYL,141,-0.119,-0.236,-0.356,133,132,265,Low sample,2026-07-22
1629477,Sabrina Ionescu,NYL,142,0.297,-0.654,-0.357,860,855,1715,Reliable,2026-07-22
1643461,Laura Ziegler,LAS,143,0.164,-0.537,-0.373,85,86,171,Low sample,2026-07-22
1629576,Maria Conde,TOR,144,0.269,-0.649,-0.379,1332,1334,2666,Reliable,2026-07-22
1642304,Carla Leite,PDX,145,0.594,-1.007,-0.413,1174,1173,2347,Reliable,2026-07-22
1642809,Saniya Rivers,CON,146,-0.053,-0.387,-0.44,873,876,1749,Reliable,2026-07-22
1643467,Cassandre Prosper,WAS,147,-0.194,-0.247,-0.44,589,594,1183,Reliable,2026-07-22
1643458,Saylor Poffenbarger,PHX,148,-0.72,0.279,-0.441,105,106,211,Low sample,2026-07-22
1628277,Allisha Gray,ATL,149,-0.433,-0.017,-0.451,1573,1579,3152,Reliable,2026-07-22
1642808,JJ Quinerly,DAL,150,-0.388,-0.069,-0.458,50,51,101,Low sample,2026-07-22
1630469,Marine Fauthoux,NYL,151,-0.133,-0.339,-0.472,154,153,307,Low sample,2026-07-22
1628882,Lexie Brown,SEA,152,-0.815,0.327,-0.489,261,265,526,Reliable,2026-07-22
1641651,Jordan Horston,SEA,153,-0.282,-0.212,-0.494,762,755,1517,Reliable,2026-07-22
1643453,Grace VanSlooten,IND,154,-0.539,0.04,-0.499,244,243,487,Low sample,2026-07-22
1630108,Mariella Fasoula,TOR,155,-0.308,-0.215,-0.523,56,54,110,Low sample,2026-07-22
1630134,Sug Sutton,DAL,156,-0.291,-0.247,-0.537,391,390,781,Reliable,2026-07-22
1631118,Lexi Held,PHX,157,-0.179,-0.37,-0.549,885,878,1763,Reliable,2026-07-22
1643444,Ta'Niya Latson,LVA,158,-0.135,-0.445,-0.58,171,168,339,Low sample,2026-07-22
1642775,Alex Wilson,WAS,159,-0.384,-0.202,-0.586,109,116,225,Low sample,2026-07-22
204322,Elizabeth Williams,CHI,160,-0.637,0.019,-0.618,991,983,1974,Reliable,2026-07-22
1627671,Rachel Banham,CHI,161,-1.161,0.533,-0.629,594,596,1190,Reliable,2026-07-22
1642802,Lucy Olsen,WAS,162,-0.828,0.127,-0.702,341,338,679,Reliable,2026-07-22
1629567,Natisha Hiedeman,SEA,163,-0.699,-0.005,-0.704,1563,1553,3116,Reliable,2026-07-22
1631136,Pauline Astier,NYL,164,-0.091,-0.648,-0.739,1295,1317,2612,Reliable,2026-07-22
1641652,Maddy Siegrist,DAL,165,-0.206,-0.543,-0.749,719,711,1430,Reliable,2026-07-22
1641660,Zia Cooke,SEA,166,-0.726,-0.041,-0.767,913,912,1825,Reliable,2026-07-22
1643455,Angela Dugalic,WAS,167,-0.653,-0.15,-0.804,588,589,1177,Reliable,2026-07-22
203405,Kayla Alexander,TOR,168,-0.26,-0.577,-0.837,113,114,227,Low sample,2026-07-22
1628317,Karlie Samuelson,PDX,169,-0.783,-0.064,-0.846,382,383,765,Reliable,2026-07-22
1643647,Tima Pouye,TOR,170,-0.357,-0.501,-0.858,519,512,1031,Reliable,2026-07-22
1627700,Julie Allemand,TOR,171,-0.648,-0.246,-0.893,1051,1052,2103,Reliable,2026-07-22
1630442,Natasha Mack,PHX,172,-1.232,0.315,-0.917,883,898,1781,Reliable,2026-07-22
1643427,Lauren Betts,WAS,173,-0.521,-0.396,-0.917,812,826,1638,Reliable,2026-07-22
1630143,Luisa Geiselsoder,PDX,174,-1.081,0.125,-0.956,722,725,1447,Reliable,2026-07-22
204330,Isabelle Harrison,TOR,175,0.951,-1.943,-0.992,680,674,1354,Reliable,2026-07-22
1643644,Alicia Florez,WAS,176,-1.054,0.048,-1.006,499,512,1011,Reliable,2026-07-22
203826,Alyssa Thomas,PHX,177,-0.577,-0.45,-1.028,1487,1491,2978,Reliable,2026-07-22
1642792,Kiki Iriafen,WAS,178,-1.927,0.886,-1.042,1137,1128,2265,Reliable,2026-07-22
1642782,Sarah Ashlee Barker,PDX,179,-0.223,-0.863,-1.086,1211,1207,2418,Reliable,2026-07-22
1642287,Cameron Brink,LAS,180,-0.777,-0.346,-1.123,619,622,1241,Reliable,2026-07-22
203828,Stefanie Dolson,SEA,181,-1.296,0.139,-1.156,903,914,1817,Reliable,2026-07-22
1643457,Teonni Key,TOR,182,-0.502,-0.665,-1.166,549,546,1095,Reliable,2026-07-22
1631141,Jade Melbourne,SEA,183,-1.16,-0.009,-1.169,1290,1290,2580,Reliable,2026-07-22
1642296,Nyadiew Puoch,PDX,184,-0.211,-0.961,-1.172,841,841,1682,Reliable,2026-07-22
1628878,Ariel Atkins,LAS,185,-1.128,-0.058,-1.186,1175,1160,2335,Reliable,2026-07-22
1643436,Serah Williams,PDX,186,-0.185,-1.017,-1.202,563,565,1128,Reliable,2026-07-22
204365,Erica Wheeler,LAS,187,-0.002,-1.211,-1.213,1362,1353,2715,Reliable,2026-07-22
1643428,Flau'jae Johnson,SEA,188,-0.541,-0.737,-1.278,1557,1545,3102,Reliable,2026-07-22
1631135,Olivia Nelson-Ododa,CON,189,-1.588,0.288,-1.3,828,825,1653,Reliable,2026-07-22
1629478,Katie Lou Samuelson,SEA,190,-1.274,-0.05,-1.324,744,737,1481,Reliable,2026-07-22
1627674,Kahleah Copper,PHX,191,-0.39,-0.949,-1.339,1492,1513,3005,Reliable,2026-07-22
1643429,Gianna Kneepkens,CON,192,-0.951,-0.388,-1.339,397,399,796,Reliable,2026-07-22
1642303,Leila Lacan,CON,193,-0.532,-0.817,-1.349,855,858,1713,Reliable,2026-07-22
1643420,Laura Juskaite,TOR,194,0.948,-2.31,-1.361,1249,1252,2501,Reliable,2026-07-22
203014,Nneka Ogwumike,LAS,195,-0.44,-0.94,-1.381,1457,1443,2900,Reliable,2026-07-22
201886,DeWanna Bonner,ATL,196,-0.646,-0.744,-1.39,1327,1321,2648,Reliable,2026-07-22
1629524,Bridget Carleton,PDX,197,-0.104,-1.287,-1.391,1401,1398,2799,Reliable,2026-07-22
203398,Brittney Griner,CON,198,-1.082,-0.315,-1.396,691,687,1378,Reliable,2026-07-22
1642321,Sydney Taylor,CHI,199,-0.642,-0.771,-1.413,1016,1022,2038,Reliable,2026-07-22
1630148,Jihyun Park,LAS,200,-0.852,-0.617,-1.47,446,440,886,Reliable,2026-07-22
1642777,Monique Akoa Makani,LAS,201,-1.5,-0.068,-1.568,692,700,1392,Reliable,2026-07-22
1642817,Hailey Van Lith,CON,202,-0.602,-1.074,-1.676,387,391,778,Reliable,2026-07-22
204333,Natasha Cloud,CHI,203,-0.759,-1.06,-1.818,1411,1413,2824,Reliable,2026-07-22
1643449,Charlisse Leger-Walker,CON,204,-2.305,0.354,-1.952,1142,1137,2279,Reliable,2026-07-22
1641649,Diamond Miller,CON,205,-1.382,-0.781,-2.163,1091,1087,2178,Reliable,2026-07-22
1628915,Kia Nurse,TOR,206,-0.615,-2.102,-2.718,792,788,1580,Reliable,2026-07-22
1642800,Aneesah Morrow,TOR,207,-1.582,-1.147,-2.729,795,785,1580,Reliable,2026-07-22
