team_id,team_abbreviation,starters_only_off_poss,starters_only_def_poss,starters_only_off_rating,starters_only_def_rating,starters_only_net_rating,any_bench_off_poss,any_bench_def_poss,any_bench_off_rating,any_bench_def_rating,any_bench_net_rating,bench_heavy_off_poss,bench_heavy_def_poss,bench_heavy_off_rating,bench_heavy_def_rating,bench_heavy_net_rating,bench_dropoff,coverage_through
1611661313,NYL,539,534,115.0278293135436,110.48689138576779,4.540937927775815,1602,1611,110.1123595505618,107.44878957169459,2.6635699788672156,613,610,111.58238172920065,104.75409836065575,6.828283368544902,1.8773679489085993,2026-07-22
1611661317,PHX,483,488,101.44927536231884,109.42622950819671,-7.976954145877869,1557,1555,106.48683365446372,109.83922829581994,-3.352394641356213,525,513,104.38095238095238,103.7037037037037,0.6772486772486843,-4.624559504521656,2026-07-22
1611661319,LVA,379,389,112.92875989445909,105.39845758354755,7.530302310911537,1528,1534,115.6413612565445,107.496740547588,8.144620708956495,652,661,118.09815950920246,108.92586989409985,9.172289615102613,-0.6143183980449578,2026-07-22
1611661320,LAS,571,563,108.93169877408056,113.67673179396091,-4.745033019880353,1482,1481,107.2199730094467,114.71978392977718,-7.499810920330475,465,465,104.73118279569893,107.74193548387096,-3.0107526881720332,2.7547779004501223,2026-07-22
1611661321,DAL,550,555,106.36363636363637,104.32432432432432,2.039312039312051,1596,1581,115.72681704260653,110.18342820999368,5.543388832612848,462,463,103.24675324675326,105.83153347732181,-2.5847802305685548,-3.504076793300797,2026-07-22
1611661322,WAS,336,326,97.02380952380952,95.39877300613497,1.6250365176745447,1648,1655,101.2742718446602,105.6797583081571,-4.405486463496899,538,551,97.58364312267658,107.62250453720507,-10.038861414528498,6.030522981171444,2026-07-22
1611661323,CON,370,357,99.45945945945947,120.16806722689076,-20.70860776743129,1607,1618,99.62663347853142,108.03461063040791,-8.407977151876494,793,789,100.63051702395964,109.63244613434728,-9.001929110387636,-12.300630615554795,2026-07-22
1611661324,MIN,730,748,118.08219178082192,107.0855614973262,10.996630283495719,1339,1335,113.59223300970874,101.12359550561798,12.46863750409075,491,501,115.88594704684319,100.79840319361277,15.087543853230414,-1.4720072205950316,2026-07-22
1611661325,IND,384,381,110.67708333333333,112.5984251968504,-1.9213418635170711,1768,1770,117.02488687782807,108.3050847457627,8.719802132065368,900,899,118.77777777777779,109.89988876529478,8.87788901248301,-10.64114399558244,2026-07-22
1611661327,PDX,597,604,108.20770519262982,121.19205298013244,-12.984347787502628,1468,1459,107.42506811989101,112.47429746401644,-5.049229344125436,770,762,108.7012987012987,111.41732283464567,-2.716024133346977,-7.935118443377192,2026-07-22
1611661328,SEA,493,493,106.89655172413792,104.46247464503043,2.434077079107496,1752,1741,101.25570776255708,110.74095347501436,-9.485245712457285,674,667,99.85163204747775,103.59820089955024,-3.7465688520724854,11.919322791564781,2026-07-22
1611661329,CHI,366,374,115.02732240437159,101.33689839572193,13.690424008649657,1763,1754,105.72887124220078,111.2314709236032,-5.502599681402415,733,724,104.77489768076398,107.45856353591161,-2.6836658551476233,19.193023690052073,2026-07-22
1611661330,ATL,657,662,108.21917808219179,105.89123867069486,2.327939411496928,1413,1403,113.8004246284501,107.5552387740556,6.2451858543945065,312,311,132.37179487179486,107.07395498392283,25.29783988787203,-3.9172464428975786,2026-07-22
1611661331,GSV,423,427,113.47517730496455,98.12646370023418,15.348713604730364,1586,1589,108.95334174022699,103.27249842668344,5.680843313543548,782,786,109.2071611253197,104.70737913486006,4.499781990459638,9.667870291186816,2026-07-22
1611661332,TOR,367,368,115.25885558583107,108.69565217391303,6.563203411918039,1720,1719,108.95348837209302,117.04479348458405,-8.091305112491028,655,648,104.27480916030534,117.43827160493827,-13.163462444632927,14.654508524409067,2026-07-22
