player_id,player_name,team_abbreviation,usage,ts_pct_feature,rim_fga_share,three_point_fga_share,shot_diet_profile_label,fit_profile_tags,allstar_value_score
203826,Alyssa Thomas,PHX,22.415185783521807,0.5607798165137615,0.3972222222222222,,Unavailable Shot Diet,rim-pressure,59.31064545082356
1627674,Kahleah Copper,PHX,29.164969450101832,0.5508744038155803,0.2936802973977695,0.3717472118959108,Diversified Shot Profile,"high-usage, spacing",45.43547015285303
203833,Chelsea Gray,LVA,18.226399673069064,0.5787965616045845,0.0455927051671732,0.486322188449848,Perimeter-Leaning,spacing,62.16221510632511
203825,Kayla McBride,MIN,21.048451151707702,0.6376811594202898,0.2081447963800905,0.5339366515837104,Modern Shot Diet,"spacing, efficient",70.67092940708429
1627668,Breanna Stewart,NYL,27.739307535641547,0.5703764320785597,0.3031496062992126,0.1988188976377952,Midrange-Heavy,high-usage,68.50124949134305
1628909,Kelsey Mitchell,IND,27.03131193024177,0.6414790996784566,0.3183453237410072,0.3920863309352518,Modern Shot Diet,"high-usage, spacing, efficient",66.64536292303721
1629498,Jackie Young,LVA,23.781757600999583,0.6128048780487805,0.163716814159292,0.4115044247787611,Balanced Shot Diet,"spacing, efficient",69.72635341288077
1631009,Rhyne Howard,ATL,19.84375,0.5639658848614072,0.1586206896551724,0.6252873563218391,Modern Shot Diet,spacing,68.18564958382167
1629491,Jessica Shepard,DAL,18.39563208735825,0.6220159151193634,0.5498489425981873,0.0302114803625377,Paint-Oriented,"rim-pressure, efficient",66.39675808023273
1628277,Allisha Gray,ATL,22.75971451229184,0.5731939163498099,0.3688888888888889,0.3844444444444444,Modern Shot Diet,"spacing, rim-pressure",66.30659798064161
1627675,Courtney Williams,MIN,22.75198661647846,0.5175257731958763,0.0815450643776824,0.2381974248927038,Midrange-Heavy,context-dependent,66.30030882922355
1629567,Natisha Hiedeman,SEA,23.354297693920334,0.5636743215031316,0.1624713958810068,0.4553775743707093,Perimeter-Leaning,spacing,55.53473786267537
1642784,Paige Bueckers,DAL,24.806534823731727,0.6056751467710372,0.1282051282051282,0.2991452991452991,Midrange-Heavy,"high-usage, efficient",62.12410841020965
1628886,Jordin Canada,ATL,17.589175891758916,0.5394736842105263,0.3475177304964539,0.3333333333333333,Balanced Shot Diet,context-dependent,64.31243009474015
1628932,A'ja Wilson,LVA,32.87119856887299,0.6187214611872146,0.24,0.1327272727272727,Midrange-Heavy,"high-usage, efficient",74.31182976065527
1643426,Olivia Miles,MIN,26.966783216783217,0.6189555125725339,0.4503311258278146,0.2847682119205297,Modern Shot Diet,"high-usage, rim-pressure, efficient",73.53801015713137
203827,Natasha Howard,MIN,21.885964912280706,0.6243961352657005,0.6611111111111111,0.0361111111111111,Paint-Oriented,"rim-pressure, efficient",77.98669872415284
1629481,Arike Ogunbowale,DAL,22.76867030965392,0.5256696428571429,0.1834170854271356,0.4321608040201005,Diversified Shot Profile,spacing,54.96271317842648
1642785,Sonia Citron,WAS,21.6998191681736,0.6044226044226044,0.2878787878787879,0.3606060606060606,Diversified Shot Profile,"spacing, efficient",60.30234325849668
203014,Nneka Ogwumike,LAS,22.377307519135524,0.6036446469248291,0.2935323383084577,0.2860696517412935,Diversified Shot Profile,efficient,56.99096303209105
1627673,Jonquel Jones,NYL,20.81989866421004,0.631233595800525,0.3140243902439024,0.4786585365853659,Modern Shot Diet,"spacing, efficient",66.65321379908009
1643428,Flau'jae Johnson,SEA,25.297346752058555,0.4968085106382979,0.324455205811138,0.3680387409200968,Diversified Shot Profile,"high-usage, spacing",55.989822248602685
201886,DeWanna Bonner,PHX,17.663817663817664,0.515850144092219,0.2590163934426229,0.5114754098360655,Modern Shot Diet,spacing,58.77942270806474
1642291,Angel Reese,ATL,25.456125108601217,0.5051440329218106,0.72544080604534,0.0982367758186398,Modern Shot Diet,"high-usage, rim-pressure",60.4651368612438
1643425,Azzi Fudd,DAL,17.918805412972468,0.5584045584045584,0.1169590643274853,0.4561403508771929,Perimeter-Leaning,spacing,60.179224212161074
204324,Dearica Hamby,LAS,21.06715731370745,0.61489898989899,0.6646706586826348,0.1077844311377245,Modern Shot Diet,"rim-pressure, efficient",61.391171612156576
1629524,Bridget Carleton,PDX,20.169651272384545,0.573076923076923,0.0914127423822714,0.6260387811634349,Modern Shot Diet,spacing,57.91387332594304
1630996,Rae Burrell,LAS,21.17924528301887,0.5729442970822282,0.3414634146341463,0.3841463414634146,Modern Shot Diet,spacing,45.94201589741508
1631022,Shakira Austin,WAS,25.864519185220274,0.5513100436681223,0.4099216710182767,0.1148825065274151,Paint-Oriented,"high-usage, rim-pressure",59.63057542668624
1631007,Veronica Burton,GSV,19.939577039274926,0.5677233429394812,0.21,0.4033333333333333,Balanced Shot Diet,spacing,73.28414482911577
204333,Natasha Cloud,CHI,16.387959866220736,0.6003649635036497,0.2660944206008583,0.4463519313304721,Modern Shot Diet,"spacing, efficient",56.36229849818772
1631044,Naz Hillmon,ATL,13.238770685579198,0.5916666666666667,0.4189189189189189,0.5135135135135135,Modern Shot Diet,"spacing, rim-pressure, efficient",54.14029188911105
204365,Erica Wheeler,LAS,17.678484701311316,0.495049504950495,0.2105263157894736,0.5052631578947369,Modern Shot Diet,spacing,48.66761356278178
1629497,Marina Mabrey,TOR,30.24536805207812,0.6049019607843137,0.1703056768558952,0.5458515283842795,Modern Shot Diet,"high-usage, spacing, efficient",48.86998464426655
1642286,Caitlin Clark,IND,31.4930388862218,0.6013513513513513,0.2237442922374429,0.5,Modern Shot Diet,"high-usage, spacing, efficient",62.21539576141471
1629576,Maria Conde,TOR,17.225609756097562,0.496551724137931,0.1985294117647058,0.5404411764705883,Modern Shot Diet,spacing,42.17153175086403
204319,Jewell Loyd,LVA,14.40501043841336,0.5060483870967742,0.0775862068965517,0.7025862068965517,Modern Shot Diet,spacing,50.85858201179647
1642289,Kamilla Cardoso,CHI,22.48182762201453,0.6133333333333333,0.794392523364486,,Unavailable Shot Diet,"rim-pressure, efficient",65.45251448736371
1628878,Ariel Atkins,LAS,17.17436974789916,0.4981949458483754,0.1235521235521235,0.5057915057915058,Perimeter-Leaning,spacing,49.71544419630839
1631141,Jade Melbourne,SEA,17.54107048224695,0.577490774907749,0.4133333333333333,0.3511111111111111,Modern Shot Diet,"spacing, rim-pressure",52.62999840723936
1643443,Awa Fam,SEA,16.914103923647932,0.552434456928839,0.2204724409448819,0.4566929133858268,Perimeter-Leaning,spacing,48.49104515451644
1642792,Kiki Iriafen,WAS,24.208266237251745,0.54375,0.5542168674698795,0.1024096385542168,Paint-Oriented,"high-usage, rim-pressure",56.30871514006578
1641648,Aliyah Boston,IND,25.971261309207023,0.6192214111922141,0.3608815426997245,0.2286501377410468,Paint-Oriented,"high-usage, rim-pressure, efficient",70.11403881768885
1631019,NaLyssa Smith,LVA,18.594355285002766,0.6428571428571429,0.46484375,,Unavailable Shot Diet,"rim-pressure, efficient",64.82601802386078
203866,Kayla Thornton,GSV,16.217765042979945,0.5348837209302325,0.1470588235294117,0.6470588235294117,Modern Shot Diet,spacing,57.98421566003783
1628269,Nia Coffey,MIN,12.431544359255202,0.5640394088669951,0.268041237113402,0.5824742268041236,Modern Shot Diet,spacing,69.7980280952151
1631136,Pauline Astier,NYL,16.929133858267715,0.6544715447154471,0.4691943127962085,0.1895734597156398,Paint-Oriented,"rim-pressure, efficient",64.82754501410281
1643420,Laura Juskaite,TOR,18.84306987399771,0.5793357933579336,0.4025423728813559,0.3983050847457627,Modern Shot Diet,"spacing, rim-pressure",52.244411779886406
1631083,Emily Engstler,PDX,18.656716417910445,0.5513307984790875,0.2899159663865546,0.4159663865546218,Modern Shot Diet,spacing,54.44712049207387
1643493,Noemie Brochant,PHX,12.364294330518698,0.5852272727272727,0.1744186046511628,0.5116279069767442,Perimeter-Leaning,"spacing, efficient",53.38108040453498
1642304,Carla Leite,PDX,28.52153667054715,0.596401028277635,0.3366013071895425,0.2124183006535947,Midrange-Heavy,"high-usage, efficient",51.27670514515227
1627700,Julie Allemand,TOR,9.617612977983775,0.7107438016528925,0.2393162393162393,0.641025641025641,Modern Shot Diet,"spacing, efficient",55.18031896706933
1628931,Gabby Williams,GSV,28.89993784959602,0.5250596658711217,0.1820580474934037,0.3905013192612137,Diversified Shot Profile,"high-usage, spacing",62.35475147263852
1629482,Sophie Cunningham,IND,13.689776733254996,0.6866028708133971,0.2166666666666666,0.6833333333333333,Modern Shot Diet,"spacing, efficient",59.94142473181447
1630446,Michaela Onyenwere,WAS,16.417910447761194,0.5829596412556054,0.2959183673469387,0.4897959183673469,Modern Shot Diet,"spacing, efficient",48.91132271074523
1642781,Georgia Amoore,WAS,16.075794621026894,0.4742268041237113,0.1452513966480447,0.7039106145251396,Modern Shot Diet,spacing,39.07166223664464
204329,Kiah Stokes,GSV,9.174917491749175,0.516260162601626,0.293103448275862,0.4827586206896552,Modern Shot Diet,spacing,62.391119525778144
1642767,Janelle Salaun,GSV,23.38961851156973,0.6020114942528736,0.1282051282051282,0.6442307692307692,Modern Shot Diet,"spacing, efficient",62.99173562815415
1643449,Charlisse Leger-Walker,CON,16.676923076923078,0.4627906976744186,0.1989795918367347,0.4030612244897959,Diversified Shot Profile,spacing,38.63909760354934
1629568,Kennedy Burke,CON,17.260108630054315,0.5145833333333333,0.2910798122065727,0.4976525821596244,Modern Shot Diet,spacing,48.61207291149511
1629484,Megan DiLeo,PDX,19.7016780609074,0.652027027027027,0.3741007194244604,0.3597122302158273,Modern Shot Diet,"spacing, rim-pressure, efficient",54.08216681378953
1641649,Diamond Miller,CON,21.35253600500939,0.4898305084745762,0.2862595419847328,0.4236641221374045,Modern Shot Diet,spacing,39.71415310962863
1642292,Jacy Sheldon,CHI,13.803872579637725,0.5717948717948718,0.2865168539325842,0.4831460674157303,Modern Shot Diet,spacing,57.377653587122936
1642798,Dominique Malonga,SEA,29.62962962962963,0.56625,0.3809523809523809,0.1568627450980392,Paint-Oriented,"high-usage, rim-pressure",52.20887773668896
1629477,Sabrina Ionescu,NYL,23.34200260078024,0.5714285714285714,0.2509090909090909,0.509090909090909,Modern Shot Diet,spacing,49.47013057622012
1628881,Monique Billings,IND,14.451612903225806,0.61,0.5161290322580645,0.1032258064516129,Paint-Oriented,"rim-pressure, efficient",66.42955382443385
1629546,Marine Johannes,NYL,19.63806970509384,0.5857740585774058,0.0826086956521739,0.7956521739130434,Modern Shot Diet,"spacing, efficient",56.38324605312689
1631086,Lexie Hull,IND,12.458581842279656,0.565625,0.1917808219178082,0.5410958904109588,Modern Shot Diet,spacing,54.02572481060938
1642782,Sarah Ashlee Barker,PDX,19.43095072866065,0.6096491228070176,0.3255813953488372,0.4186046511627906,Modern Shot Diet,"spacing, efficient",51.860834429726815
1630097,Kaila Charles,GSV,16.008614501076813,0.4895833333333333,0.2514285714285714,0.4228571428571428,Diversified Shot Profile,spacing,58.59443112933784
1642303,Leila Lacan,CON,21.822033898305083,0.5057034220532319,0.2175732217573222,0.3138075313807531,Midrange-Heavy,context-dependent,47.15968734081366
1643430,Cotie McMahon,WAS,17.236467236467238,0.4857142857142857,0.3409090909090909,0.3522727272727273,Diversified Shot Profile,spacing,50.125918230949374
1630442,Natasha Mack,PHX,14.776119402985074,0.6502890173410405,0.3571428571428571,0.0519480519480519,Paint-Oriented,"rim-pressure, efficient",60.19243763763176
1628922,Azura Stevens,CHI,22.34273318872017,0.5074626865671642,0.4331983805668016,0.3522267206477733,Modern Shot Diet,"spacing, rim-pressure",49.91399523216833
1642809,Saniya Rivers,CON,19.21965317919075,0.3991228070175439,0.2731707317073171,0.2536585365853658,Midrange-Heavy,context-dependent,41.66617208759751
1642321,Sydney Taylor,CHI,28.498168498168496,0.5893371757925072,0.270440251572327,0.5220125786163522,Modern Shot Diet,"high-usage, spacing, efficient",56.86915065557433
1631135,Olivia Nelson-Ododa,CON,19.832826747720365,0.6059907834101382,0.5549132947976878,,Unavailable Shot Diet,"rim-pressure, efficient",59.1142188126798
1643447,Gabriela Jaquez,CHI,17.384731670445955,0.5251256281407035,0.3828571428571428,0.2971428571428571,Paint-Oriented,rim-pressure,43.5964470916909
203855,Stephanie Talbot,LVA,10.819411296738265,0.495575221238938,0.1904761904761904,0.5904761904761905,Modern Shot Diet,spacing,50.85197079589647
204322,Elizabeth Williams,CHI,16.666666666666668,0.4611398963730569,0.5859872611464968,,Unavailable Shot Diet,rim-pressure,58.70504805389209
1631055,Nyara Sabally,TOR,21.61729383506805,0.6148936170212767,0.5050505050505051,0.2525252525252525,Modern Shot Diet,"rim-pressure, efficient",58.34833776085944
203828,Stefanie Dolson,SEA,10.68825910931174,0.6116504854368932,0.2159090909090909,0.5340909090909091,Modern Shot Diet,"spacing, efficient",49.89870507552824
203400,Skylar Diggins,CHI,22.980392156862745,0.5134615384615384,0.2612612612612612,0.3063063063063063,Diversified Shot Profile,context-dependent,51.67731915996545
1642815,Makayla Timpson,IND,10.43956043956044,0.6318181818181818,0.7872340425531915,,Unavailable Shot Diet,"rim-pressure, efficient",65.52667412970706
1641651,Jordan Horston,SEA,16.68077900084674,0.4503105590062112,0.2758620689655172,0.3103448275862069,Diversified Shot Profile,context-dependent,46.16180578906394
1642296,Nyadiew Puoch,PDX,12.615643397813288,0.4661654135338345,0.416,0.4639999999999999,Perimeter-Leaning,"spacing, rim-pressure",38.42321780526715
1643427,Lauren Betts,WAS,17.001675041876048,0.5857142857142857,0.4932432432432432,,Unavailable Shot Diet,"rim-pressure, efficient",57.35589609385202
1642800,Aneesah Morrow,TOR,24.37449556093624,0.4924528301886792,0.4041666666666667,0.3,Modern Shot Diet,"high-usage, rim-pressure",
1641660,Zia Cooke,SEA,26.63793103448276,0.478021978021978,0.1638655462184874,0.3823529411764705,Midrange-Heavy,"high-usage, spacing",39.39201030408375
1628508,Cecilia Zandalasini,GSV,24.02957486136784,0.5298165137614679,0.0531400966183574,0.5072463768115942,Perimeter-Leaning,"high-usage, spacing",53.53143265620246
1628276,Kelsey Plum,PHX,27.81222320637733,0.6573033707865169,0.2251082251082251,0.4372294372294372,Balanced Shot Diet,"high-usage, spacing, efficient",
1631118,Lexi Held,PHX,16.696750902527075,0.4904458598726114,0.1959459459459459,0.4797297297297297,Perimeter-Leaning,spacing,38.69785815528653
203822,Rebekah Gardner,NYL,14.924039320822164,0.5608108108108109,0.4651162790697674,0.2868217054263566,Modern Shot Diet,rim-pressure,56.904365581740485
204468,Valeriane Ayayi,PHX,18.53526220614828,0.5884146341463414,0.2295081967213114,0.4918032786885246,Modern Shot Diet,"spacing, efficient",45.30954349546584
203026,Tiffany Hayes,GSV,22.170252572497663,0.5728155339805825,0.3353293413173652,0.3293413173652694,Balanced Shot Diet,context-dependent,62.26615063783835
1642777,Monique Akoa Makani,LAS,19.846596356663472,0.5662650602409639,0.1736111111111111,0.4097222222222222,Diversified Shot Profile,spacing,
1628279,Brittney Sykes,TOR,28.39851024208566,0.5462962962962963,0.3245614035087719,0.2587719298245614,Diversified Shot Profile,high-usage,51.94623223180103
1630471,Maya Caldwell,MIN,15.293040293040294,0.493006993006993,0.2045454545454545,0.5,Modern Shot Diet,spacing,58.42837892249961
1630386,Awak Kuier,DAL,16.288252714708783,0.572463768115942,0.3968253968253968,0.3968253968253968,Modern Shot Diet,"spacing, rim-pressure",59.28697211440426
1629566,Han Xu,NYL,16.839134524929445,0.6358024691358025,0.2631578947368421,0.4671052631578947,Modern Shot Diet,"spacing, efficient",66.18076243369588
1642822,Kaitlyn Chen,GSV,22.166998011928428,0.6081081081081081,0.3076923076923077,0.2544378698224852,Balanced Shot Diet,efficient,55.81631991061651
204330,Isabelle Harrison,TOR,24.42899702085402,0.5794392523364486,0.4232804232804232,0.2169312169312169,Paint-Oriented,"high-usage, rim-pressure",46.176227730700965
1643494,Frieda Buhner,PDX,18.60226104830421,0.5691823899371069,0.2571428571428571,0.5,Modern Shot Diet,spacing,42.32429474202344
203398,Brittney Griner,CON,23.6734693877551,0.572139303482587,0.4057142857142857,,Unavailable Shot Diet,rim-pressure,56.94320243292267
1642287,Cameron Brink,LAS,23.7,0.6022099447513812,0.3529411764705882,0.4052287581699346,Modern Shot Diet,"spacing, rim-pressure, efficient",56.97602603720228
1629478,Katie Lou Samuelson,SEA,12.273212379935966,0.5922330097087378,0.1595744680851064,0.7127659574468086,Modern Shot Diet,"spacing, efficient",43.98396635467462
1641652,Maddy Siegrist,DAL,17.309697601668404,0.5828025477707006,0.273972602739726,0.3835616438356164,Diversified Shot Profile,"spacing, efficient",62.59916810349941
1630142,Leonie Fiebich,NYL,15.515288788221971,0.6194690265486725,0.2156862745098039,0.5882352941176471,Modern Shot Diet,"spacing, efficient",
1643489,Antonia Delaere,MIN,10.189075630252102,0.6265060240963856,0.1481481481481481,0.691358024691358,Modern Shot Diet,"spacing, efficient",61.64751908286168
1628899,Myisha Hines-Allen,IND,14.97844827586207,0.5336538461538461,0.5638297872340425,0.2021276595744681,Modern Shot Diet,rim-pressure,57.55962883548996
1642290,Aaliyah Edwards,CON,22.48062015503876,0.5872093023255814,0.4829931972789115,0.0680272108843537,Paint-Oriented,"rim-pressure, efficient",42.4821391376012
1643445,Kiki Rice,TOR,18.161925601750543,0.6312056737588653,0.4102564102564102,0.3076923076923076,Modern Shot Diet,"rim-pressure, efficient",
1642302,Isobel Borlase,ATL,16.877637130801688,0.5182481751824818,0.390625,0.375,Modern Shot Diet,"spacing, rim-pressure",46.25587532118036
1629501,Alanna Smith,DAL,18.161925601750543,0.4854014598540146,0.365079365079365,0.4444444444444444,Modern Shot Diet,"spacing, rim-pressure",42.21399266538307
1629488,Brianna Turner,LVA,7.168037602820212,0.6222222222222222,0.6590909090909091,,Unavailable Shot Diet,"rim-pressure, efficient",52.190622910344686
1630112,Tyasha Harris,IND,14.237668161434978,0.5275229357798165,0.1443298969072164,0.5154639175257731,Perimeter-Leaning,spacing,55.4310661936015
1642793,Aziaha James,DAL,26.26832018038332,0.4833333333333333,0.2245989304812834,0.2780748663101604,Midrange-Heavy,high-usage,63.39914998555291
1627671,Rachel Banham,CHI,17.806603773584904,0.5,0.056910569105691,0.7398373983739838,Modern Shot Diet,spacing,43.20739979962479
1628915,Kia Nurse,TOR,17.12907117008444,0.5037593984962406,0.1367521367521367,0.7094017094017094,Modern Shot Diet,spacing,39.616945361766085
203824,Odyssey Sims,DAL,18.430884184308844,0.5121951219512195,0.3181818181818182,0.3,Diversified Shot Profile,context-dependent,
1643433,Raven Johnson,IND,17.082294264339154,0.4772727272727273,0.2285714285714285,0.4095238095238095,Diversified Shot Profile,spacing,45.70141356344473
1630143,Luisa Geiselsoder,PDX,16.38491547464239,0.4392523364485981,0.16,0.55,Modern Shot Diet,spacing,38.53823478055905
1643436,Serah Williams,PDX,16.75603217158177,0.5817307692307693,0.627906976744186,0.0232558139534883,Paint-Oriented,"rim-pressure, efficient",52.15580007068804
202664,Courtney Vandersloot,CHI,20.790816326530614,0.5492424242424242,0.3853211009174312,0.3394495412844037,Modern Shot Diet,rim-pressure,
1643467,Cassandre Prosper,WAS,15.678524374176549,0.3484848484848485,0.3695652173913043,0.4130434782608695,Modern Shot Diet,"spacing, rim-pressure",
204296,Rebecca Allen,NYL,12.651413189771198,0.5294117647058824,0.1625,0.6499999999999999,Modern Shot Diet,spacing,
1643505,Jovana Nogic,PHX,21.974965229485395,0.6037037037037037,0.1596638655462184,0.6386554621848739,Modern Shot Diet,"spacing, efficient",49.727177125877866
1643644,Alicia Florez,WAS,18.56368563685637,0.3772727272727272,0.3052631578947368,0.3894736842105263,Diversified Shot Profile,spacing,
1641656,Laeticia Amihere,GSV,16.500711237553343,0.4734042553191489,0.5733333333333334,0.1333333333333333,Modern Shot Diet,rim-pressure,
1643506,Teja Oblak,PDX,27.93053545586107,0.5458015267175572,0.2580645161290322,0.3951612903225806,Diversified Shot Profile,"high-usage, spacing",44.89729276108056
1643455,Angela Dugalic,WAS,17.346938775510203,0.484375,0.4117647058823529,0.3411764705882353,Modern Shot Diet,rim-pressure,
1643462,Chance Gray,LAS,13.194444444444445,0.5333333333333333,0.1617647058823529,0.75,Perimeter-Leaning,spacing,
1628317,Karlie Samuelson,PDX,11.869436201780417,0.6458333333333334,0.046875,0.890625,Modern Shot Diet,"spacing, efficient",
1642804,Te-Hina Paopao,ATL,15.826330532212886,0.4793814432989691,0.0967741935483871,0.6451612903225807,Modern Shot Diet,spacing,40.64636038685978
204335,Betnijah Laney-Hamilton,WAS,16.79049034175334,0.5058823529411764,0.0821917808219178,0.5616438356164384,Perimeter-Leaning,spacing,
1642797,Anastasiia Olairi Kosu,MIN,17.105263157894736,0.5510204081632653,0.6097560975609756,0.0365853658536585,Paint-Oriented,rim-pressure,
1642786,Aicha Coulibaly,CHI,16.9811320754717,0.5240384615384616,0.5487804878048781,0.2073170731707317,Modern Shot Diet,rim-pressure,
1643431,Madina Okot,ATL,27.10280373831776,0.6323529411764706,0.7931034482758621,0.0689655172413793,Modern Shot Diet,"high-usage, rim-pressure, efficient",
1643448,Nell Angloma,CON,19.175911251980985,0.4900990099009901,0.4074074074074074,0.1851851851851851,Paint-Oriented,rim-pressure,
1643441,Raegan Beers,CON,15.82278481012658,0.5569620253164557,0.5230769230769231,0.0769230769230769,Paint-Oriented,rim-pressure,
1629574,Li Yueru,DAL,15.25974025974026,0.5375,0.3968253968253968,0.492063492063492,Perimeter-Leaning,"spacing, rim-pressure",
1631006,Kierstan Bell,LVA,13.799283154121865,0.3507462686567164,0.0615384615384615,0.7076923076923077,Modern Shot Diet,spacing,
1630148,Jihyun Park,LAS,12.925170068027212,0.5,0.1833333333333333,0.4833333333333333,Perimeter-Leaning,spacing,
204323,Cheyenne Parker-Tyus,LVA,19.814814814814813,0.5947368421052631,0.5263157894736842,0.1578947368421052,Paint-Oriented,"rim-pressure, efficient",
