game_id,game_date,team_id,team_abbreviation,opponent_team_id,opponent_team_abbreviation,home_away,home_away,team_score,opponent_team_score,team_winner,off_efg_pct,off_tov_pct,off_orb_pct,off_fta_rate,def_efg_pct,def_tov_pct,def_orb_allowed_pct,def_fta_rate_allowed,net_points
401857038,2026-07-03,19,CHI,17,LVA,away,away,90,98,False,48.5,18.6,17.6,47.7,53.6,13.7,18.8,43.5,-8
401857038,2026-07-03,17,LVA,19,CHI,home,home,98,90,True,53.6,13.7,18.8,43.5,48.5,18.6,17.6,47.7,8
401857037,2026-07-03,8,MIN,9,NYL,away,away,86,99,False,45.9,8.3,37.2,10.6,66.1,17.7,31.8,29.0,-13
401857037,2026-07-03,9,NYL,8,MIN,home,home,99,86,True,66.1,17.7,31.8,29.0,45.9,8.3,37.2,10.6,13
401857036,2026-07-02,14,SEA,11,PHX,away,away,67,90,False,48.4,16.2,15.6,19.4,52.7,10.9,35.1,26.0,-23
401857036,2026-07-02,11,PHX,14,SEA,home,home,90,67,True,52.7,10.9,35.1,26.0,48.4,16.2,15.6,19.4,23
401857035,2026-07-02,3,DAL,18,CON,away,away,86,83,True,55.1,15.7,17.9,23.5,47.7,15.0,29.7,54.7,3
401857035,2026-07-02,18,CON,3,DAL,home,home,83,86,False,47.7,15.0,29.7,54.7,55.1,15.7,17.9,23.5,-3
401857034,2026-07-02,20,ATL,16,WAS,away,away,76,81,False,41.1,14.7,34.8,22.8,63.4,28.8,32.0,33.9,-5
401857034,2026-07-02,16,WAS,20,ATL,home,home,81,76,True,63.4,28.8,32.0,33.9,41.1,14.7,34.8,22.8,5
401857321,2026-06-30,17,LVA,9,NYL,away,away,85,93,False,46.8,9.6,23.8,17.7,52.3,14.2,33.3,43.9,-8
401857321,2026-06-30,9,NYL,17,LVA,home,home,93,85,True,52.3,14.2,33.3,43.9,46.8,9.6,23.8,17.7,8
401857033,2026-06-28,9,NYL,129689,GSV,away,away,67,76,False,49.0,15.2,14.8,40.4,48.5,9.9,25.9,27.7,-9
401857033,2026-06-28,129689,GSV,9,NYL,home,home,76,67,True,48.5,9.9,25.9,27.7,49.0,15.2,14.8,40.4,9
401857032,2026-06-28,17,LVA,19,CHI,away,away,107,99,True,60.3,12.2,19.4,58.7,51.9,10.8,29.7,31.2,8
401857032,2026-06-28,19,CHI,17,LVA,home,home,99,107,False,51.9,10.8,29.7,31.2,60.3,12.2,19.4,58.7,-8
401857031,2026-06-28,132052,PDX,16,WAS,away,away,123,124,False,51.5,16.6,26.7,20.8,48.0,12.8,27.3,41.8,-1
401857031,2026-06-28,16,WAS,132052,PDX,home,home,124,123,True,48.0,12.8,27.3,41.8,51.5,16.6,26.7,20.8,1
401857030,2026-06-28,8,MIN,3,DAL,away,away,85,77,True,49.3,11.2,25.0,23.6,42.6,15.7,28.9,20.3,8
401857030,2026-06-28,3,DAL,8,MIN,home,home,77,85,False,42.6,15.7,28.9,20.3,49.3,11.2,25.0,23.6,-8
401857029,2026-06-27,20,ATL,14,SEA,away,away,90,105,False,47.9,13.8,18.8,37.1,71.4,19.1,28.6,31.7,-15
401857029,2026-06-27,14,SEA,20,ATL,home,home,105,90,True,71.4,19.1,28.6,31.7,47.9,13.8,18.8,37.1,15
401857028,2026-06-27,6,LAS,5,IND,away,away,87,111,False,45.5,9.4,13.5,27.3,62.7,12.8,31.0,49.3,-24
401857028,2026-06-27,5,IND,6,LAS,home,home,111,87,True,62.7,12.8,31.0,49.3,45.5,9.4,13.5,27.3,24
401857027,2026-06-27,11,PHX,131935,TOR,away,away,89,80,True,50.7,9.1,18.4,43.3,55.2,14.2,13.8,17.9,9
401857027,2026-06-27,131935,TOR,11,PHX,home,home,80,89,False,55.2,14.2,13.8,17.9,50.7,9.1,18.4,43.3,-9
401857026,2026-06-26,20,ATL,129689,GSV,away,away,75,78,False,38.8,15.1,21.2,40.3,47.6,19.8,23.1,40.3,-3
401857026,2026-06-26,129689,GSV,20,ATL,home,home,78,75,True,47.6,19.8,23.1,40.3,38.8,15.1,21.2,40.3,3
401857024,2026-06-26,16,WAS,18,CON,away,away,57,68,False,39.1,24.1,35.3,45.5,44.9,11.1,13.2,14.7,-11
401857024,2026-06-26,18,CON,16,WAS,home,home,68,57,True,44.9,11.1,13.2,14.7,39.1,24.1,35.3,45.5,11
401857025,2026-06-26,132052,PDX,19,CHI,away,away,94,124,False,46.2,9.0,29.7,34.2,77.2,15.1,31.6,35.3,-30
401857025,2026-06-26,19,CHI,132052,PDX,home,home,124,94,True,77.2,15.1,31.6,35.3,46.2,9.0,29.7,34.2,30
401857022,2026-06-25,3,DAL,17,LVA,away,away,84,99,False,50.0,13.5,9.7,22.9,60.0,16.8,25.0,55.0,-15
401857022,2026-06-25,17,LVA,3,DAL,home,home,99,84,True,60.0,16.8,25.0,55.0,50.0,13.5,9.7,22.9,15
401857023,2026-06-25,9,NYL,14,SEA,away,away,88,99,False,52.1,14.0,21.2,28.2,58.0,15.5,38.2,20.0,-11
401857023,2026-06-25,14,SEA,9,NYL,home,home,99,88,True,58.0,15.5,38.2,20.0,52.1,14.0,21.2,28.2,11
401857021,2026-06-25,6,LAS,131935,TOR,away,away,97,125,False,50.0,8.3,17.8,33.8,63.7,9.8,40.5,33.8,-28
401857021,2026-06-25,131935,TOR,6,LAS,home,home,125,97,True,63.7,9.8,40.5,33.8,50.0,8.3,17.8,33.8,28
401857020,2026-06-24,20,ATL,129689,GSV,away,away,66,77,False,42.2,13.0,31.6,34.4,57.5,15.5,21.4,20.0,-11
