game_id,game_date,player_id,player_name,team_abbreviation,opponent_team_abbreviation,home_away,minutes,points,rebounds,assists,turnovers,field_goals_made,field_goals_attempted,three_point_field_goals_made,free_throws_attempted,plus_minus,bench_ts_pct,bench_efg_pct
401857038,2026-07-03,2566081,Elizabeth Williams,CHI,LVA,away,18.0,5.0,4.0,2.0,0.0,2.0,4.0,0.0,2.0,0.0,51.229508196721305,50.0
401857038,2026-07-03,981,Courtney Vandersloot,CHI,LVA,away,19.0,11.0,2.0,3.0,2.0,4.0,6.0,1.0,4.0,14.0,70.87628865979381,75.0
401857038,2026-07-03,2529137,Natasha Cloud,CHI,LVA,away,34.0,15.0,3.0,5.0,2.0,4.0,8.0,2.0,6.0,-2.0,70.48872180451127,62.5
401857038,2026-07-03,4432865,Jacy Sheldon,CHI,LVA,away,19.0,5.0,2.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,64.43298969072166,50.0
401857038,2026-07-03,4433433,Aicha Coulibaly,CHI,LVA,away,9.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,-3.0,0.0,0.0
401857038,2026-07-03,2529458,Cheyenne Parker-Tyus,LVA,CHI,home,20.0,5.0,3.0,1.0,2.0,1.0,6.0,0.0,5.0,-17.0,30.487804878048784,16.666666666666664
401857038,2026-07-03,4433633,Kierstan Bell,LVA,CHI,home,13.0,3.0,3.0,0.0,0.0,1.0,5.0,1.0,0.0,-7.0,30.0,30.0
401857038,2026-07-03,4280892,Chennedy Carter,LVA,CHI,home,11.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,-13.0,106.38297872340425,100.0
401857037,2026-07-03,4596309,Liatu King,MIN,NYL,away,7.0,6.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,100.0,100.0
401857037,2026-07-03,4873358,Antonia Delaere,MIN,NYL,away,13.0,6.0,2.0,2.0,0.0,2.0,7.0,2.0,0.0,-1.0,42.857142857142854,42.857142857142854
401857037,2026-07-03,5278237,Anastasiia Olairi Kosu,MIN,NYL,away,14.0,9.0,3.0,3.0,0.0,4.0,6.0,0.0,2.0,6.0,65.40697674418605,66.66666666666666
401857037,2026-07-03,4280850,Maya Caldwell,MIN,NYL,away,23.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,0.0,2.0,50.0,50.0
401857037,2026-07-03,4790258,Raquel Carrera,NYL,MIN,home,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,,
401857037,2026-07-03,4337216,Han Xu,NYL,MIN,home,8.0,5.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,-6.0,102.45901639344261,100.0
401857037,2026-07-03,2327695,Rebekah Gardner,NYL,MIN,home,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-5.0,0.0,0.0
401857037,2026-07-03,4038379,Marine Johannes,NYL,MIN,home,15.0,0.0,4.0,5.0,3.0,0.0,1.0,0.0,0.0,-6.0,0.0,0.0
401857036,2026-07-02,3917453,Katie Lou Samuelson,SEA,PHX,away,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-15.0,0.0,0.0
401857036,2026-07-02,4420318,Ezi Magbegor,SEA,PHX,away,17.0,8.0,0.0,3.0,2.0,3.0,4.0,2.0,0.0,1.0,100.0,100.0
401857036,2026-07-02,4432830,Jordan Horston,SEA,PHX,away,21.0,6.0,2.0,2.0,0.0,2.0,6.0,0.0,4.0,-8.0,38.659793814432994,33.33333333333333
401857036,2026-07-02,4433643,Mackenzie Holmes,SEA,PHX,away,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,,
401857036,2026-07-02,4898400,Taylor Thierry,SEA,PHX,away,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,,
