team_abbreviation,games,net_points_per_game,off_efg_pct,off_tov_pct,off_orb_pct,off_fta_rate,def_efg_pct,def_tov_pct,def_orb_allowed_pct,def_fta_rate_allowed,bench_games,bench_points_per_game,bench_minutes_per_game,bench_points_share,bench_minutes_share,bench_ts_pct,bench_efg_pct,bench_ast_to,last3_bench_points_per_game,bench_trend_label,bench_depth_rank,team_win_pct,offense_score,defense_score,bench_score,team_grade_score,team_grade_rank
GSV,28,5.25,49.989285714285714,12.160714285714286,26.539285714285715,28.932142857142857,48.88928571428572,16.014285714285712,24.99285714285714,33.839285714285715,28,35.5,78.7,43.2,39.4,55.7,51.5,1.9,34.0,steady,1,,58.33333333333333,65.0,93.33333333333333,72.22222222222221,1
IND,29,6.310344827586207,55.858620689655176,15.23448275862069,26.73793103448276,34.679310344827584,51.57586206896552,13.651724137931033,23.351724137931036,34.90344827586207,29,23.7,72.3,24.7,35.8,59.3,55.9,1.7,26.3,surging,5,,73.33333333333333,48.33333333333333,83.33333333333333,68.33333333333333,2
NYL,31,2.3225806451612905,53.94193548387097,15.648387096774194,25.68064516129032,33.4741935483871,51.877419354838715,12.274193548387096,22.812903225806455,26.738709677419354,31,22.0,60.1,24.5,29.8,59.3,54.7,1.6,28.3,surging,7,,58.333333333333336,60.0,64.44444444444444,60.925925925925924,3
CON,29,-7.068965517241379,47.46896551724138,15.1,28.137931034482758,32.800000000000004,52.63448275862069,16.341379310344827,25.28620689655172,38.50344827586206,29,29.5,77.4,36.6,38.5,52.3,48.2,1.6,26.7,steady,2,,50.0,46.666666666666664,77.77777777777777,58.148148148148145,4
DAL,29,3.5172413793103448,52.251724137931035,11.593103448275862,24.54137931034483,24.42413793103448,51.741379310344826,14.10344827586207,23.144827586206898,29.17241379310345,29,22.0,56.9,24.7,28.2,53.0,48.8,2.3,13.3,slipping,8,,53.333333333333336,66.66666666666667,46.666666666666664,55.55555555555555,5
LVA,30,4.4,55.193333333333335,13.26,22.363333333333333,30.95,50.45333333333333,13.353333333333333,23.673333333333336,29.113333333333333,30,20.5,62.0,22.6,30.9,51.5,48.5,1.8,12.0,slipping,10,,61.666666666666664,58.333333333333336,43.333333333333336,54.44444444444445,6
MIN,30,9.4,54.57,13.8,29.226666666666667,25.853333333333335,49.156666666666666,16.18,26.5,29.533333333333335,30,16.5,52.3,17.6,26.1,54.6,51.4,1.9,25.7,surging,15,,63.333333333333336,68.33333333333333,31.11111111111111,54.25925925925926,7
WAS,28,-1.6785714285714286,47.92857142857143,17.12142857142857,30.889285714285712,39.896428571428565,48.871428571428574,13.492857142857144,22.657142857142855,29.214285714285715,28,19.4,65.2,24.3,31.8,47.2,43.8,1.9,16.3,slipping,12,,53.33333333333333,73.33333333333333,31.111111111111114,52.59259259259259,8
CHI,29,-1.8275862068965518,49.61379310344827,13.510344827586207,22.372413793103448,34.758620689655174,49.393103448275866,13.979310344827585,28.21379310344828,34.02758620689655,29,26.3,70.9,30.0,35.0,50.6,46.2,1.7,25.7,steady,4,,55.0,43.333333333333336,55.55555555555555,51.2962962962963,9
ATL,28,4.142857142857143,49.51428571428572,13.792857142857143,32.096428571428575,35.825,55.175000000000004,18.542857142857144,20.764285714285712,31.75,28,17.1,42.5,19.0,21.2,51.3,48.2,1.5,25.0,surging,14,,71.66666666666667,65.0,15.555555555555557,50.74074074074074,10
PDX,29,-5.896551724137931,52.49655172413794,16.2448275862069,23.43793103448276,27.49310344827586,53.46551724137931,14.924137931034483,30.400000000000002,35.76206896551724,29,28.2,74.6,33.6,36.8,57.3,54.0,1.5,31.3,surging,3,,33.33333333333333,31.666666666666664,86.66666666666667,50.555555555555564,11
PHX,30,-3.3333333333333335,50.07333333333334,14.75,21.253333333333334,35.916666666666664,53.44666666666667,14.84,24.173333333333336,27.529999999999998,30,19.6,57.1,23.8,28.4,51.5,44.8,1.4,18.3,steady,11,,51.666666666666664,63.33333333333333,34.444444444444436,49.81481481481481,12
SEA,31,-5.419354838709677,49.400000000000006,15.906451612903227,24.219354838709677,28.719354838709677,49.02258064516129,13.606451612903227,28.009677419354837,33.519354838709674,31,22.4,65.9,27.9,32.8,53.0,48.0,1.7,19.0,slipping,6,,28.333333333333332,48.33333333333333,63.33333333333332,46.66666666666666,13
LAS,27,-5.037037037037037,52.6037037037037,15.618518518518519,21.566666666666666,30.825925925925926,54.65555555555556,14.71111111111111,28.38148148148148,30.496296296296297,27,19.1,51.7,21.9,25.7,54.7,49.8,1.5,17.3,steady,13,,40.0,38.333333333333336,35.55555555555555,37.96296296296296,14
TOR,28,-5.5,52.34285714285714,15.396428571428572,24.103571428571428,31.45357142857143,53.667857142857144,13.467857142857143,30.657142857142855,31.910714285714285,28,21.2,61.8,24.9,30.8,51.0,46.0,1.6,18.7,slipping,9,,48.333333333333336,23.333333333333332,37.77777777777778,36.48148148148149,15
