block,games,wins,pf,pa,op,dp,ortg,drtg,net
Pre-injury (g1-10),10,5,888,898,795,805,111.69811320754717,111.55279503105591,0.14531817649125855
Return games 1-5 (g27-31),5,0,408,489,395,405,103.29113924050633,120.74074074074075,-17.449601500234422
Return games 6-10 (g32-36),6,1,520,562,481,483,108.10810810810811,116.35610766045548,-8.247999552347366
Rice OUT (g11-26),16,5,1413,1518,1300,1306,108.6923076923077,116.23277182235834,-7.540464130050651
