player,side,poss,ppp,fg3a_rate,fg2a_rate,fta_rate,tov_rate,oreb_rate,fg2_pct,fg3_pct,sec_chance
Lauren Betts,OFF (own team w/ player),812,1.020935960591133,0.2561576354679803,0.5578817733990148,0.270935960591133,0.21798029556650247,0.1564039408866995,0.5121412803532008,0.32211538461538464,0.12438423645320197
Lauren Betts,OFF (own team w/o player),1250,1.0128,0.2416,0.572,0.344,0.208,0.1792,0.4951048951048951,0.271523178807947,0.1464
Lauren Betts,DEF (opp vs player on),826,1.0907990314769975,0.33171912832929784,0.5399515738498789,0.2675544794188862,0.15980629539951574,0.14043583535108958,0.5112107623318386,0.33211678832116787,0.1198547215496368
Lauren Betts,DEF (opp vs player off),1233,1.0202757502027575,0.33414436334144365,0.5336577453365775,0.24087591240875914,0.17518248175182483,0.15085158150851583,0.4787234042553192,0.3179611650485437,0.12408759124087591
Gabriela Jaquez,OFF (own team w/ player),969,1.1372549019607843,0.26831785345717235,0.587203302373581,0.2755417956656347,0.15583075335397317,0.12693498452012383,0.5325131810193322,0.36923076923076925,0.11145510835913312
Gabriela Jaquez,OFF (own team w/o player),1246,1.0096308186195826,0.29614767255216695,0.5441412520064205,0.30497592295345105,0.16613162118780098,0.13723916532905298,0.4882005899705015,0.2791327913279133,0.11717495987158909
Gabriela Jaquez,DEF (opp vs player on),957,1.0877742946708464,0.30616509926854757,0.5287356321839081,0.30825496342737724,0.16614420062695925,0.14106583072100312,0.5019762845849802,0.3310580204778157,0.11912225705329153
Gabriela Jaquez,DEF (opp vs player off),1255,1.094820717131474,0.2836653386454183,0.6055776892430279,0.2788844621513944,0.16892430278884463,0.1752988047808765,0.5131578947368421,0.29775280898876405,0.150597609561753
Kiki Rice,OFF (own team w/ player),468,1.1559829059829059,0.36752136752136755,0.47863247863247865,0.2948717948717949,0.16025641025641027,0.12606837606837606,0.5089285714285714,0.37790697674418605,0.11324786324786325
Kiki Rice,OFF (own team w/o player),1619,1.0846201358863496,0.3372452130945028,0.5033971587399629,0.25633106856084004,0.17974058060531192,0.1340333539221742,0.5067484662576687,0.358974358974359,0.11612106238418778
Kiki Rice,DEF (opp vs player on),465,1.1118279569892473,0.3204301075268817,0.5526881720430108,0.2623655913978495,0.16129032258064516,0.15698924731182795,0.5642023346303502,0.28859060402684567,0.13978494623655913
Kiki Rice,DEF (opp vs player off),1622,1.1683107274969173,0.33415536374845867,0.5413070283600493,0.2885326757090012,0.16646115906288533,0.16707768187422933,0.5592255125284739,0.33579335793357934,0.1381011097410604
Angela Dugalic,OFF (own team w/ player),588,1.010204081632653,0.2534013605442177,0.5493197278911565,0.28741496598639454,0.20748299319727892,0.13945578231292516,0.49226006191950467,0.3288590604026846,0.11224489795918367
Angela Dugalic,OFF (own team w/o player),1474,1.0183175033921303,0.24491180461329715,0.573270013568521,0.32632293080054275,0.21370420624151967,0.1824966078697422,0.5053254437869823,0.2770083102493075,0.14789687924016282
Angela Dugalic,DEF (opp vs player on),589,1.0797962648556876,0.3548387096774194,0.5127334465195246,0.266553480475382,0.1833616298811545,0.15959252971137522,0.5033112582781457,0.3397129186602871,0.13242784380305603
Angela Dugalic,DEF (opp vs player off),1470,1.0360544217687075,0.32448979591836735,0.545578231292517,0.24557823129251702,0.16326530612244897,0.1414965986394558,0.48753117206982544,0.3165618448637317,0.11836734693877551
Gianna Kneepkens,OFF (own team w/ player),397,0.9420654911838791,0.19143576826196473,0.6372795969773299,0.2972292191435768,0.21158690176322417,0.16876574307304787,0.47035573122529645,0.27631578947368424,0.14609571788413098
Gianna Kneepkens,OFF (own team w/o player),1741,1.022975301550833,0.2337736932797243,0.6306720275703619,0.27225732337736935,0.18150488225157954,0.16082711085582999,0.4972677595628415,0.28746928746928746,0.13325674899483056
Gianna Kneepkens,DEF (opp vs player on),399,1.137844611528822,0.2581453634085213,0.543859649122807,0.3558897243107769,0.20050125313283207,0.16040100250626566,0.5576036866359447,0.3300970873786408,0.13533834586466165
Gianna Kneepkens,DEF (opp vs player off),1737,1.0909614277489925,0.30166954519286127,0.5135290731145653,0.29303396660909614,0.19689119170984457,0.13471502590673576,0.5179372197309418,0.36259541984732824,0.11917098445595854
Charlisse Leger-Walker,OFF (own team w/ player),1142,0.9518388791593695,0.21628721541155868,0.62784588441331,0.2513134851138354,0.2119089316987741,0.1628721541155867,0.4783821478382148,0.27530364372469635,0.138353765323993
Charlisse Leger-Walker,OFF (own team w/o player),996,1.072289156626506,0.23694779116465864,0.6365461847389559,0.30622489959839355,0.15863453815261044,0.16164658634538154,0.5078864353312302,0.2966101694915254,0.13253012048192772
Charlisse Leger-Walker,DEF (opp vs player on),1137,1.0765171503957784,0.29463500439753737,0.49340369393139843,0.3403693931398417,0.2022867194371152,0.13808267370272648,0.5115864527629234,0.34626865671641793,0.12576956904133685
Charlisse Leger-Walker,DEF (opp vs player off),999,1.1261261261261262,0.2922922922922923,0.5485485485485485,0.26426426426426425,0.1921921921921922,0.14114114114114115,0.5401459854014599,0.3698630136986301,0.11811811811811812
