player_id,player_name,off_poss,def_poss,on_pts_for,on_pts_against,off_court_off_poss,off_court_def_poss,off_court_pts_for,off_court_pts_against,on_ortg,on_drtg,on_net,off_ortg,off_drtg,off_net,ortg_swing,drtg_swing,net_swing,on_poss_share
201886,DeWanna Bonner,1955.0,1989.0,2061.0,2134.0,896.0,900.0,959.0,1014.0,105.42199488491049,107.29009552538965,-1.868100640479156,107.03125,112.66666666666667,-5.635416666666671,-1.6092551150895105,-5.376571141277026,3.7673160261875154,0.6857243072606103
202252,Alysha Clark,502.0,526.0,549.0,563.0,1381.0,1376.0,1560.0,1457.0,109.3625498007968,107.0342205323194,2.328329268477404,112.96162201303403,105.88662790697674,7.074994106057289,-3.599072212237232,1.1475926253426536,-4.746664837579885,0.2665958576739246
202664,Courtney Vandersloot,909.0,908.0,968.0,981.0,749.0,768.0,843.0,821.0,106.49064906490648,108.0396475770925,-1.5489985121860173,112.55006675567422,106.90104166666667,5.6490250890075515,-6.059417690767745,1.1386059104258237,-7.198023601193569,0.5482509047044632
203014,Nneka Ogwumike,2197.0,2215.0,2378.0,2547.0,669.0,671.0,689.0,728.0,108.23850705507509,114.98871331828443,-6.750206263209336,102.98953662182362,108.49478390461998,-5.505247282796361,5.248970433251472,6.493929413664446,-1.2449589804129744,0.7665736217725052
203024,Damiris Dantas,209.0,216.0,235.0,250.0,818.0,822.0,970.0,878.0,112.4401913875598,115.74074074074075,-3.3005493531809407,118.58190709046454,106.81265206812651,11.76925502233803,-6.141715702904733,8.928088672614237,-15.06980437551897,0.2035053554040896
203026,Tiffany Hayes,1079.0,1084.0,1235.0,1140.0,1458.0,1487.0,1578.0,1470.0,114.45783132530121,105.1660516605166,9.291779664784613,108.23045267489712,98.85675857431069,9.373694100586434,6.227378650404091,6.309293086205912,-0.08191443580182067,0.4253054789121009
203398,Brittney Griner,892.0,890.0,883.0,947.0,532.0,543.0,574.0,575.0,98.99103139013454,106.40449438202246,-7.413462991887926,107.89473684210526,105.89318600368325,2.0015508384220055,-8.903705451970723,0.5113083783392085,-9.415013830309931,0.6264044943820225
203400,Skylar Diggins,1115.0,1127.0,1186.0,1266.0,446.0,455.0,460.0,454.0,106.36771300448432,112.33362910381544,-5.965916099331125,103.13901345291481,99.78021978021978,3.358793672695029,3.2286995515695054,12.553409323595659,-9.324709772026154,0.7142857142857143
203405,Kayla Alexander,77.0,80.0,74.0,107.0,232.0,232.0,258.0,300.0,96.1038961038961,133.75,-37.646103896103895,111.20689655172413,129.31034482758622,-18.103448275862092,-15.103000447828023,4.439655172413779,-19.542655620241803,0.24919093851132687
203822,Rebekah Gardner,1055.0,1077.0,1133.0,1127.0,1751.0,1744.0,2031.0,1916.0,107.39336492890996,104.64252553389043,2.7508393950195256,115.99086236436322,109.8623853211009,6.128477043262322,-8.597497435453263,-5.219859787210467,-3.3776376482427963,0.3759800427655025
203824,Odyssey Sims,852.0,869.0,946.0,941.0,1341.0,1345.0,1543.0,1457.0,111.03286384976525,108.28538550057539,2.747478349189862,115.06338553318417,108.3271375464684,6.736247986715767,-4.030521683418925,-0.04175204589301984,-3.9887696375259054,0.38850889192886456
203825,Kayla McBride,2458.0,2492.0,2896.0,2611.0,565.0,568.0,609.0,557.0000000000001,117.8193653376729,104.7752808988764,13.044084438796503,107.78761061946902,98.06338028169016,9.724230337778863,10.031754718203885,6.711900617186245,3.31985410101764,0.8130995699636123
203826,Alyssa Thomas,2292.0,2314.0,2475.0,2545.0,409.0,420.0,378.0,451.0,107.98429319371728,109.98271391529819,-1.9984207215809136,92.42053789731052,107.38095238095238,-14.960414483641856,15.563755296406754,2.601761534345812,12.961993762060942,0.8485746019992595
203827,Natasha Howard,2227.0,2249.0,2646.0,2308.0,796.0,811.0,859.0,860.0,118.81454872025145,102.62338817252112,16.191160547730334,107.9145728643216,106.0419235511714,1.8726493131502053,10.899975855929853,-3.418535378650276,14.318511234580129,0.7366854118425405
203828,Stefanie Dolson,1127.0,1148.0,1134.0,1264.0,1850.0,1869.0,1946.0,2004.0,100.62111801242236,110.10452961672475,-9.48341160430239,105.18918918918918,107.223113964687,-2.033924775497823,-4.568071176766821,2.881415652037745,-7.449486828804567,0.37856902922405106
203833,Chelsea Gray,2430.0,2453.0,2792.0,2629.0,527.0,545.0,580.0000000000001,569.9999999999999,114.8971193415638,107.17488789237667,7.72223144918712,110.05692599620495,104.58715596330272,5.4697700329022325,4.840193345358841,2.5877319290739536,2.2524614162848877,0.821778829895164
203855,Stephanie Talbot,1251.0,1264.0,1346.0,1321.0,1786.0,1816.0,2097.0,1989.0,107.5939248601119,104.50949367088607,3.0844311892258247,117.41321388577828,109.52643171806167,7.8867821677166035,-9.819289025666379,-5.0169380471756,-4.802350978490779,0.4119196575567995
203866,Kayla Thornton,1660.0,1675.0,1828.0,1661.0,1026.0,1049.0,1143.0,1097.0,110.12048192771084,99.16417910447761,10.95630282323323,111.40350877192982,104.57578646329837,6.827722308631451,-1.2830268442189805,-5.41160735882076,4.128580514601779,0.6180193596425912
204296,Rebecca Allen,825.0,838.0,925.0,944.0,930.0,928.0,1035.0,1000.0,112.12121212121211,112.64916467780431,-0.5279525565921972,111.29032258064515,107.75862068965519,3.5317018909899645,0.8308895405669574,4.890543988149119,-4.059654447582162,0.4700854700854701
204319,Jewell Loyd,1922.0,1956.0,2185.0,2110.0,959.0,964.0,1088.0,1050.0,113.68366285119666,107.87321063394684,5.810452217249818,113.45151199165797,108.92116182572613,4.530350165931836,0.23215085953869163,-1.0479511917792905,1.2801020513179822,0.6671294689343977
204322,Elizabeth Williams,1260.0,1289.0,1321.0,1359.0,1785.0,1791.0,1909.0,1943.0,104.84126984126985,105.43056633048874,-0.5892964892188957,106.9467787114846,108.48687883863764,-1.540100127153039,-2.1055088702147486,-3.056312508148892,0.9508036379341434,0.41379310344827586
204323,Cheyenne Parker-Tyus,520.0,536.0,578.0,598.0,1474.0,1486.0,1701.0,1561.0,111.15384615384616,111.56716417910448,-0.4133180252583202,115.40027137042061,105.0471063257066,10.353165044714018,-4.246425216574451,6.520057853397887,-10.766483069972338,0.26078234704112335
204324,Dearica Hamby,2155.0,2164.0,2296.0,2452.0,794.0,807.0,872.0,918.0,106.5429234338747,113.3086876155268,-6.765764181652088,109.82367758186398,113.75464684014871,-3.9309692582847333,-3.2807541479892706,-0.44595922462191595,-2.8347949233673546,0.7307561885384877
204329,Kiah Stokes,1431.0,1440.0,1470.0,1444.0,1177.0,1205.0,1410.0,1243.0,102.72536687631026,100.27777777777777,2.4475890985324895,119.79609175870858,103.15352697095437,16.64256478775421,-17.070724882398324,-2.8757491931766026,-14.194975689221721,0.5486963190184049
204330,Isabelle Harrison,1104.0,1106.0,1179.0,1299.0,834.0,846.0,919.0,978.0,106.79347826086956,117.45027124773961,-10.656792986870045,110.19184652278177,115.60283687943263,-5.410990356650856,-3.3983682619122106,1.8474343683069776,-5.245802630219188,0.5696594427244582
204333,Natasha Cloud,2134.0,2155.0,2257.0,2324.0,831.0,842.0,875.0,894.9999999999999,105.76382380506091,107.84222737819024,-2.0784035731293358,105.29482551143201,106.29453681710213,-0.9997113056701181,0.4689982936288999,1.5476905610881175,-1.0786922674592176,0.7197301854974705
204335,Betnijah Laney-Hamilton,704.0,717.0,786.0,742.0,1041.0,1040.0,1136.0,1076.0,111.64772727272727,103.48675034867503,8.160976924052235,109.12584053794427,103.46153846153847,5.664302076405804,2.5218867347829956,0.02521188713656386,2.4966748476464318,0.4034383954154728
204365,Erica Wheeler,1950.0,1963.0,2160.0,2207.0,918.0,927.0,931.0,1078.0,110.76923076923077,112.42995415180846,-1.660723382577686,101.4161220043573,116.28910463861921,-14.872982634261902,9.353108764873468,-3.859150486810748,13.212259251684216,0.6799163179916318
204468,Valeriane Ayayi,996.0,1010.0,1045.0,1089.0,1383.0,1400.0,1464.0,1533.0,104.91967871485943,107.82178217821783,-2.902103463358401,105.85683297180044,109.5,-3.6431670281995565,-0.9371542569410138,-1.6782178217821695,0.7410635648411557,0.41866330390920553
1627668,Breanna Stewart,2369.0,2367.0,2691.0,2603.0,514.0,531.0,560.0,525.0,113.59223300970874,109.97042670046473,3.6218063092440076,108.94941634241245,98.87005649717514,10.079359845237306,4.642816667296287,11.100370203289586,-6.4575535359932985,0.8217134928893514
1627671,Rachel Banham,877.0,887.0,890.0,898.0,1828.0,1846.0,1965.0,2018.0,101.4823261117446,101.2401352874859,0.24219082425869942,107.4945295404814,109.31744312026001,-1.8229135797786142,-6.012203428736797,-8.07730783277411,2.0651044040373137,0.3242144177449168
1627673,Jonquel Jones,2032.0,2040.0,2287.0,2231.0,852.0,861.0,963.0,916.0,112.54921259842521,109.3627450980392,3.1864675003860157,113.0281690140845,106.38792102206736,6.640247992017137,-0.47895641565928315,2.9748240759718385,-3.4537804916311217,0.7045769764216366
1627674,Kahleah Copper,2272.0,2294.0,2426.0,2534.0,506.0,519.0,516.0,542.0,106.7781690140845,110.46207497820401,-3.6839059641195178,101.97628458498025,104.43159922928709,-2.4553146443068385,4.801884429104248,6.030475748916928,-1.2285913198126792,0.8178545716342692
1627675,Courtney Williams,2319.0,2341.0,2705.0,2443.0,704.0,719.0,800.0,725.0,116.64510564898663,104.35711234515163,12.287993303834995,113.63636363636364,100.83449235048678,12.801871285876857,3.0087420126229887,3.5226199946648507,-0.513877982041862,0.7671187562024478
1627700,Julie Allemand,1628.0,1634.0,1755.0,1874.0,628.0,646.0,670.0,731.9999999999999,107.80098280098281,114.68788249694002,-6.8868996959572115,106.68789808917198,113.31269349845199,-6.624795409280011,1.1130847118108278,1.375188998488028,-0.2621042866772001,0.7216312056737588
1627701,Temi Fagbenle,623.0,624.0,669.0,726.0,927.0,938.0,986.0,1111.0,107.3836276083467,116.34615384615385,-8.962526237807154,106.36461704422871,118.44349680170576,-12.078879757477054,1.0190105641179912,-2.097342955551909,3.1163535196699,0.4019354838709677
1628242,Emma Cannon,207.0,205.0,228.0,229.0,1047.0,1061.0,1069.0,1238.0,110.14492753623189,111.70731707317074,-1.562389536938852,102.10124164278893,116.6823751178134,-14.581133475024458,8.043685893442955,-4.975058044642651,13.018743938085606,0.16507177033492823
1628244,Sami Whitcomb,417.0,417.0,460.0,484.0,633.0,642.0,653.0,721.0,110.31175059952038,116.06714628297361,-5.75539568345323,103.15955766192732,112.30529595015577,-9.145738288228443,7.152192937593057,3.7618503328178434,3.3903426047752134,0.39714285714285713
1628269,Nia Coffey,1756.0,1773.0,2001.0,1841.0,1267.0,1287.0,1504.0,1327.0,113.95216400911161,103.83530738860689,10.11685662050472,118.70560378847672,103.1080031080031,15.597600680473619,-4.7534397793651095,0.7273042806037893,-5.480744059968899,0.5808799206086669
