player_id,player_name,minutes,off_poss_x,def_poss_x,total_poss,points,fg2_m,fg2_a,fg3_m,fg3_a,ft_points,fta,at_rim_fgm,at_rim_fga,short_mid_range_fgm,short_mid_range_fga,long_mid_range_fgm,long_mid_range_fga,corner3_fgm,corner3_fga,arc3_fgm,arc3_fga,assists,two_pt_assists,three_pt_assists,assist_points,turnovers,live_ball_turnovers,dead_ball_turnovers,bad_pass_turnovers,lost_ball_turnovers,off_rebounds,def_rebounds,rebounds,self_oreb,steals,blocks,blocked_at_rim,fouls,shooting_fouls,offensive_fouls,fouls_drawn,charge_fouls_drawn,two_pt_shooting_fouls_drawn,three_pt_shooting_fouls_drawn,pts_assisted2s,pts_unassisted2s,pts_assisted3s,pts_unassisted3s,pts_putbacks,second_chance_points,penalty_points,first_chance_points,fg2a_blocked,fg3a_blocked,plus_minus,team_points,opponent_points,second_chance_off_poss,penalty_off_poss,recovered_blocks,fga_total,games_played,team_wins,teams,off_fgrebound_pct,def_fgrebound_pct,off_at_rim_rebound_pct,def_at_rim_rebound_pct,def_three_pt_rebound_pct,off_three_pt_rebound_pct,self_oreb_pct,shot_quality_avg,on_off_rtg,on_def_rtg,usage,avg2pt_shot_distance,avg3pt_shot_distance,min_per_game,pts_per_game,pace_neutral_pts_75,ast_75,tov_75,live_tov_75,oreb_75,dreb_75,stl_75,blk_75,stocks_75,foul_75,fouls_drawn_75,shot_75,fta_75,ts_pct,efg_pct,fg3_pct,fg2_pct,ftr,ast_to_tov,ast_pts_created_75,pts_plus_created_75,rim_share,short_mid_share,long_mid_share,mid_share,three_share,corner3_share,rim_and_three_share,rim_accuracy,three_accuracy,blocked_rate,unassisted_pts_share,putback_pts_share,second_chance_pts_share,penalty_pts_share,shot_making_over_sq,net_on_court,pm_per_100,display_name,position_abbreviation,experience_years,draft_year,draft_selection,draft_round,college_id,age,display_height,off_poss_y,def_poss_y,on_pts_for,on_pts_against,off_court_off_poss,off_court_def_poss,off_court_pts_for,off_court_pts_against,on_ortg,on_drtg,on_net,off_ortg,off_drtg,off_net,ortg_swing,drtg_swing,net_swing,on_poss_share,is_rookie,is_ucla,min_per_game__lg_pctile,min_per_game__rk_pctile,min_per_game__rk_rank,usage__lg_pctile,usage__rk_pctile,usage__rk_rank,pace_neutral_pts_75__lg_pctile,pace_neutral_pts_75__rk_pctile,pace_neutral_pts_75__rk_rank,ts_pct__lg_pctile,ts_pct__rk_pctile,ts_pct__rk_rank,efg_pct__lg_pctile,efg_pct__rk_pctile,efg_pct__rk_rank,shot_quality_avg__lg_pctile,shot_quality_avg__rk_pctile,shot_quality_avg__rk_rank,shot_making_over_sq__lg_pctile,shot_making_over_sq__rk_pctile,shot_making_over_sq__rk_rank,ast_75__lg_pctile,ast_75__rk_pctile,ast_75__rk_rank,tov_75__lg_pctile,tov_75__rk_pctile,tov_75__rk_rank,ast_to_tov__lg_pctile,ast_to_tov__rk_pctile,ast_to_tov__rk_rank,ast_pts_created_75__lg_pctile,ast_pts_created_75__rk_pctile,ast_pts_created_75__rk_rank,oreb_75__lg_pctile,oreb_75__rk_pctile,oreb_75__rk_rank,dreb_75__lg_pctile,dreb_75__rk_pctile,dreb_75__rk_rank,off_fgrebound_pct__lg_pctile,off_fgrebound_pct__rk_pctile,off_fgrebound_pct__rk_rank,def_fgrebound_pct__lg_pctile,def_fgrebound_pct__rk_pctile,def_fgrebound_pct__rk_rank,stl_75__lg_pctile,stl_75__rk_pctile,stl_75__rk_rank,blk_75__lg_pctile,blk_75__rk_pctile,blk_75__rk_rank,stocks_75__lg_pctile,stocks_75__rk_pctile,stocks_75__rk_rank,foul_75__lg_pctile,foul_75__rk_pctile,foul_75__rk_rank,fta_75__lg_pctile,fta_75__rk_pctile,fta_75__rk_rank,ftr__lg_pctile,ftr__rk_pctile,ftr__rk_rank,shot_75__lg_pctile,shot_75__rk_pctile,shot_75__rk_rank,rim_share__lg_pctile,rim_share__rk_pctile,rim_share__rk_rank,mid_share__lg_pctile,mid_share__rk_pctile,mid_share__rk_rank,three_share__lg_pctile,three_share__rk_pctile,three_share__rk_rank,rim_accuracy__lg_pctile,rim_accuracy__rk_pctile,rim_accuracy__rk_rank,three_accuracy__lg_pctile,three_accuracy__rk_pctile,three_accuracy__rk_rank,unassisted_pts_share__lg_pctile,unassisted_pts_share__rk_pctile,unassisted_pts_share__rk_rank,blocked_rate__lg_pctile,blocked_rate__rk_pctile,blocked_rate__rk_rank,on_net__lg_pctile,on_net__rk_pctile,on_net__rk_rank,net_swing__lg_pctile,net_swing__rk_pctile,net_swing__rk_rank,ortg_swing__lg_pctile,ortg_swing__rk_pctile,ortg_swing__rk_rank,drtg_swing__lg_pctile,drtg_swing__rk_pctile,drtg_swing__rk_rank,on_poss_share__lg_pctile,on_poss_share__rk_pctile,on_poss_share__rk_rank
1629576,Maria Conde,868.1833,1737.0,1772.0,3509.0,289.0,47.0,125.0,53.0,147.0,36.0,41.0,18.0,54.0,21.0,42.0,8.0,29.0,18.0,42.0,35.0,105.0,82.0,49.0,33.0,197.0,49.0,32.0,17.0,24.0,8.0,32.0,117.0,149.0,5.0,15.0,5.0,1.0,65.0,26.0,2.0,48.0,0.0,17.0,0.0,66.0,28.0,153.0,6.0,6.0,24.0,83.0,265.0,9.0,1.0,-163.0,2804,3012,208.0,477.0,2.0,272.0,32,10,TOR,0.03675895332952119,0.134213827712495,0.03552444005811881,0.12996806930215507,0.13062914324201005,0.043804440156442914,0.024355073059736273,0.5117401523109244,110.0748416810593,117.09932279909707,17.183182443028432,7.5232,24.564625850340136,27.130728125,9.03125,12.478411053540588,3.540587219343696,2.1157167530224528,1.3816925734024181,1.3816925734024181,4.952031602708804,0.6348758465011287,0.2116252821670429,0.8465011286681716,2.7511286681715577,2.0725388601036268,11.744386873920552,1.770293609671848,0.49820714384222864,0.4650735294117647,0.36054421768707484,0.376,0.15073529411764705,1.6734693877551021,8.506044905008636,20.984455958549226,0.19852941176470587,0.15441176470588236,0.10661764705882353,0.2610294117647059,0.5404411764705882,0.15441176470588236,0.738970588235294,0.3333333333333333,0.36054421768707484,0.03676470588235294,0.13438735177865613,0.023715415019762844,0.08304498269896193,0.28719723183391005,-0.04666662289915968,-7.0244811180377695,-4.645198062125962,Maria Conde,F,0,,,,52.0,29,"6' 3""",1737.0,1772.0,1912.0,2075.0,837.0,829.0,892.0,937.0,110.0748416810593,117.09932279909707,-7.0244811180377695,106.5710872162485,113.02774427020508,-6.456657053956576,3.5037544648107968,4.07157852889199,-0.5678240640811936,0.6748251748251748,True,False,68.45637583892618,89.1891891891892,5.0,40.26845637583892,56.75675675675676,17.0,30.87248322147651,40.54054054054054,23.0,20.13422818791946,40.54054054054054,23.0,24.832214765100673,45.94594594594595,21.0,51.006711409395976,43.24324324324324,22.0,22.14765100671141,40.54054054054054,23.0,60.40268456375839,64.86486486486487,14.0,66.44295302013423,70.27027027027027,12.0,67.11409395973155,72.97297297297297,11.0,61.07382550335571,67.56756756756756,13.0,48.99328859060403,51.35135135135135,19.0,64.42953020134227,78.37837837837837,9.0,46.97986577181208,45.94594594594595,21.0,63.758389261744966,75.67567567567568,10.0,3.3557046979865772,13.513513513513514,33.0,18.120805369127517,35.13513513513514,25.0,3.3557046979865772,16.216216216216218,32.0,81.87919463087249,86.48648648648648,6.0,16.10738255033557,18.91891891891892,31.0,14.093959731543624,18.91891891891892,31.0,46.97986577181208,67.56756756756756,13.0,29.53020134228188,27.027027027027028,28.0,61.07382550335571,59.45945945945946,16.0,80.53691275167785,86.48648648648648,6.0,1.006711409395973,2.7027027027027026,37.0,63.19444444444444,72.22222222222221,11.0,18.120805369127517,16.216216216216218,32.0,76.51006711409396,75.67567567567568,10.0,16.10738255033557,24.324324324324326,29.0,44.29530201342282,48.64864864864865,20.0,67.11409395973155,70.27027027027027,12.0,22.14765100671141,16.216216216216218,32.0,68.45637583892618,89.1891891891892,5.0
1630148,Jihyun Park,292.6667,623.0,628.0,1251.0,73.0,17.0,32.0,9.0,33.0,12.0,21.0,10.0,12.0,7.0,17.0,0.0,3.0,4.0,14.0,5.0,19.0,15.0,6.0,9.0,39.0,9.0,7.0,2.0,6.0,1.0,10.0,23.0,33.0,3.0,14.0,1.0,0.0,35.0,10.0,0.0,21.0,1.0,6.0,0.0,22.0,12.0,24.0,3.0,2.0,5.0,21.0,68.0,2.0,0.0,-20.0,2802,2996,65.0,203.0,1.0,65.0,32,11,LAS,0.038213103186234595,0.08352447932463855,0.0,0.03821656050955413,0.09293296936609038,0.04210807918673087,0.060995184590690206,0.5029930769230769,106.74157303370787,109.07643312101911,12.009718089391582,7.309375,24.303030303030305,9.145834375,2.28125,8.78812199036918,1.8057784911717496,1.0834670947030498,0.8426966292134831,1.203852327447833,2.7468152866242037,1.6719745222929936,0.11942675159235669,1.7914012738853502,4.179936305732484,2.528089887640449,7.825040128410915,2.528089887640449,0.49164870689655177,0.46923076923076923,0.2727272727272727,0.53125,0.3230769230769231,1.6666666666666667,4.69502407704655,13.483146067415731,0.18461538461538463,0.26153846153846155,0.046153846153846156,0.3076923076923077,0.5076923076923077,0.2153846153846154,0.6923076923076923,0.8333333333333334,0.2727272727272727,0.03076923076923077,0.2459016393442623,0.03278688524590164,0.0684931506849315,0.2876712328767123,-0.0337623076923077,-2.3348600873112417,-1.5987210231814548,Jihyun Park,F,0,,,,,26,"6' 1""",623.0,628.0,665.0,685.0,2006.0,2017.0,2137.0,2311.0,106.74157303370787,109.07643312101911,-2.3348600873112417,106.53040877367897,114.57610312345068,-8.045694349771708,0.21116426002889455,-5.4996700024315714,5.710834262460466,0.23697223278813237,True,False,1.342281879194631,8.108108108108109,35.0,6.0402684563758395,5.405405405405405,36.0,6.7114093959731544,8.108108108108109,35.0,15.436241610738255,35.13513513513514,25.0,26.845637583892618,48.64864864864865,20.0,40.26845637583892,27.027027027027028,28.0,28.859060402684566,45.94594594594595,21.0,12.080536912751679,21.62162162162162,30.0,95.30201342281879,97.2972972972973,2.0,65.77181208053692,67.56756756756756,12.0,14.093959731543624,27.027027027027028,28.0,44.29530201342282,40.54054054054054,23.0,18.79194630872483,27.027027027027028,28.0,48.322147651006716,51.35135135135135,19.0,23.48993288590604,29.72972972972973,27.0,77.85234899328859,81.08108108108108,8.0,12.080536912751679,24.324324324324326,29.0,40.939597315436245,51.35135135135135,19.0,36.241610738255034,51.35135135135135,19.0,36.241610738255034,43.24324324324324,22.0,59.73154362416108,62.16216216216216,15.0,6.0402684563758395,5.405405405405405,36.0,24.832214765100673,21.62162162162162,30.0,44.63087248322148,37.83783783783784,24.0,72.48322147651007,78.37837837837837,9.0,97.98657718120806,100.0,1.0,23.61111111111111,38.88888888888889,23.0,45.63758389261745,45.94594594594595,21.0,83.89261744966443,86.48648648648648,6.0,38.25503355704698,59.45945945945946,16.0,73.8255033557047,75.67567567567568,10.0,51.67785234899329,56.75675675675676,17.0,85.90604026845638,89.1891891891892,5.0,2.013422818791946,13.513513513513514,33.0
1630469,Marine Fauthoux,227.1167,459.0,459.0,918.0,64.0,10.0,21.0,10.0,31.0,14.0,21.0,8.0,11.0,2.0,9.0,0.0,1.0,2.0,4.0,8.0,27.0,34.0,16.0,18.0,86.0,22.0,18.0,4.0,14.0,4.0,6.0,30.0,36.0,0.0,3.0,0.0,0.0,15.0,6.0,0.0,29.0,0.0,6.0,2.0,6.0,14.0,18.0,12.0,0.0,5.0,20.0,59.0,4.0,2.0,10.0,1507,1445,72.0,146.0,0.0,52.0,16,12,NYL,0.030874288689008784,0.14052907876437287,0.0,0.13351488743645606,0.12157900197115883,0.0607843137254902,0.0,0.4984302884615385,109.58605664488017,107.4074074074074,15.475468529935691,4.966666666666667,26.703225806451616,14.19479375,4.0,10.457516339869281,5.555555555555555,3.5947712418300655,2.941176470588235,0.9803921568627452,4.901960784313726,0.4901960784313726,0.0,0.4901960784313726,2.450980392156863,4.738562091503268,8.49673202614379,3.4313725490196076,0.5225342913128674,0.4807692307692308,0.3225806451612903,0.47619047619047616,0.40384615384615385,1.5454545454545454,14.052287581699346,24.509803921568626,0.21153846153846154,0.17307692307692307,0.019230769230769232,0.1923076923076923,0.5961538461538461,0.07692307692307693,0.8076923076923077,0.7272727272727273,0.3225806451612903,0.11538461538461539,0.52,0.0,0.078125,0.3125,-0.01766105769230769,2.1786492374727686,1.0893246187363834,Marine Fauthoux,G,0,2021.0,29.0,3.0,,25,"5' 9""",459.0,459.0,503.0,493.0,848.0,851.0,1004.0,952.0,109.58605664488017,107.40740740740742,2.1786492374727544,118.39622641509433,111.8683901292597,6.527836285834638,-8.81016977021416,-4.460982721852275,-4.349187048361884,0.35118592195868403,True,False,,51.35135135135135,19.0,,21.62162162162162,30.0,,24.324324324324326,29.0,,51.35135135135135,19.0,,54.054054054054056,18.0,,21.62162162162162,30.0,,56.75675675675676,17.0,,83.78378378378379,7.0,,13.513513513513514,33.0,,56.75675675675676,17.0,,89.1891891891892,5.0,,35.13513513513514,25.0,,75.67567567567568,10.0,,35.13513513513514,25.0,,83.78378378378379,7.0,,8.108108108108109,35.0,,9.45945945945946,32.0,,5.405405405405405,36.0,,97.2972972972973,2.0,,54.054054054054056,18.0,,83.78378378378379,7.0,,13.513513513513514,33.0,,29.72972972972973,27.0,,83.78378378378379,7.0,,89.1891891891892,5.0,,79.72972972972973,8.0,,61.111111111111114,15.0,,91.8918918918919,4.0,,21.62162162162162,30.0,,78.37837837837837,9.0,,32.432432432432435,26.0,,16.216216216216218,32.0,,75.67567567567568,10.0,,51.35135135135135,19.0
1631136,Pauline Astier,883.35,1743.0,1750.0,3493.0,354.0,115.0,190.0,15.0,47.0,79.0,90.0,86.0,114.0,26.0,67.0,3.0,9.0,4.0,8.0,11.0,39.0,129.0,61.0,68.0,326.0,63.0,40.0,23.0,29.0,11.0,21.0,71.0,92.0,0.0,33.0,5.0,2.0,111.0,33.0,3.0,113.0,1.0,37.0,0.0,110.0,120.0,42.0,3.0,4.0,26.0,115.0,328.0,14.0,1.0,104.0,3448,3329,186.0,449.0,3.0,237.0,38,23,NYL,0.03224919786962141,0.08648247738061608,0.006454388984509466,0.060421768707482996,0.11061871779014637,0.04567553311098922,0.0,0.5149282934833568,116.06425702811245,109.65714285714286,17.166888569723202,4.579473684210527,25.374468085106383,23.246052631578948,9.31578947368421,15.23235800344234,5.550774526678141,2.710843373493976,1.721170395869191,0.9036144578313253,3.0428571428571427,1.4142857142857144,0.21428571428571427,1.6285714285714286,4.757142857142857,4.862306368330465,10.197934595524957,3.87263339070568,0.6399132321041214,0.580168776371308,0.3191489361702128,0.6052631578947368,0.379746835443038,2.0476190476190474,14.027538726333907,29.259896729776244,0.4810126582278481,0.28270042194092826,0.0379746835443038,0.32067510548523204,0.19831223628691982,0.03375527426160337,0.679324894514768,0.7543859649122807,0.3191489361702128,0.06329113924050633,0.44727272727272727,0.014545454545454545,0.07344632768361582,0.3248587570621469,0.06524048288795126,6.407114170969592,2.977383338104781,Pauline Astier,G,0,,,,,24,"5' 11""",1743.0,1750.0,2023.0,1919.0,1305.0,1315.0,1425.0,1410.0,116.06425702811245,109.65714285714286,6.407114170969592,109.19540229885058,107.22433460076046,1.971067698090124,6.868854729261869,2.432808256382401,4.436046472879468,0.5718503937007874,True,False,54.36241610738255,78.37837837837837,9.0,39.59731543624161,54.054054054054056,18.0,52.348993288590606,72.97297297297297,11.0,95.9731543624161,100.0,1.0,85.90604026845638,91.8918918918919,4.0,57.71812080536913,48.64864864864865,20.0,82.5503355704698,91.8918918918919,4.0,83.22147651006712,81.08108108108108,8.0,34.899328859060404,45.94594594594595,21.0,81.20805369127517,94.5945945945946,3.0,86.57718120805369,86.48648648648648,6.0,32.88590604026846,29.72972972972973,27.0,25.503355704697988,35.13513513513514,25.0,42.281879194630875,37.83783783783784,24.0,26.845637583892618,35.13513513513514,25.0,59.73154362416108,56.75675675675676,17.0,18.79194630872483,37.83783783783784,24.0,32.21476510067114,43.24324324324324,22.0,17.449664429530202,27.027027027027028,28.0,52.348993288590606,62.16216216216216,15.0,71.14093959731544,75.67567567567568,10.0,28.859060402684566,32.432432432432435,26.0,83.89261744966443,83.78378378378379,7.0,39.59731543624161,29.72972972972973,27.0,18.79194630872483,16.216216216216218,32.0,92.61744966442953,91.8918918918919,4.0,41.66666666666667,58.333333333333336,16.0,85.23489932885906,86.48648648648648,6.0,39.59731543624161,48.64864864864865,20.0,73.8255033557047,89.1891891891892,5.0,67.78523489932886,67.56756756756756,13.0,79.86577181208054,83.78378378378379,7.0,30.201342281879196,27.027027027027028,28.0,53.691275167785236,78.37837837837837,9.0
1641683,Holly Winterburn,226.9833,448.0,459.0,907.0,75.0,25.0,39.0,4.0,33.0,13.0,15.0,16.0,21.0,9.0,18.0,0.0,0.0,0.0,3.0,4.0,30.0,44.0,24.0,20.0,108.0,23.0,9.0,14.0,8.0,1.0,5.0,21.0,26.0,0.0,10.0,0.0,0.0,20.0,5.0,1.0,15.0,1.0,5.0,0.0,38.0,12.0,0.0,12.0,0.0,2.0,28.0,73.0,2.0,1.0,-80.0,1986,2084,53.0,145.0,0.0,72.0,23,10,PDX,0.02186313837129054,0.10636640836981842,0.0,0.0,0.13758775114984265,0.03175332633053221,0.0,0.5156212072649572,100.0,115.0326797385621,19.67013648735713,4.928205128205128,26.881818181818183,9.868839130434782,3.260869565217391,12.555803571428571,7.366071428571429,3.8504464285714284,1.5066964285714286,0.8370535714285714,3.4313725490196076,1.6339869281045754,0.0,1.6339869281045754,3.2679738562091507,2.5111607142857144,12.053571428571429,2.5111607142857144,0.4770992366412214,0.4305555555555556,0.12121212121212122,0.6410256410256411,0.20833333333333334,1.9130434782608696,18.080357142857142,30.636160714285715,0.2916666666666667,0.25,0.0,0.25,0.4583333333333333,0.041666666666666664,0.75,0.7619047619047619,0.12121212121212122,0.041666666666666664,0.3870967741935484,0.0,0.02666666666666667,0.37333333333333335,-0.08506565170940161,-15.032679738562095,-8.820286659316427,Holly Winterburn,G,0,,,,2483.0,25,"5' 11""",448.0,459.0,448.0,528.0,1380.0,1390.0,1538.0,1556.0,100.0,115.03267973856208,-15.03267973856208,111.44927536231883,111.94244604316548,-0.49317068084664584,-11.44927536231883,3.0902336953966056,-14.539509057715435,0.24507658643326038,True,False,,16.216216216216218,32.0,,83.78378378378379,7.0,,48.64864864864865,20.0,,27.027027027027028,28.0,,18.91891891891892,31.0,,54.054054054054056,18.0,,21.62162162162162,30.0,,94.5945945945946,3.0,,8.108108108108109,35.0,,81.08108108108108,8.0,,97.2972972972973,2.0,,27.027027027027028,28.0,,51.35135135135135,19.0,,27.027027027027028,28.0,,51.35135135135135,19.0,,75.67567567567568,10.0,,9.45945945945946,32.0,,45.94594594594595,21.0,,78.37837837837837,9.0,,40.54054054054054,23.0,,32.432432432432435,26.0,,75.67567567567568,10.0,,48.64864864864865,20.0,,64.86486486486487,14.0,,62.16216216216216,15.0,,94.5945945945946,3.0,,5.555555555555555,35.0,,78.37837837837837,9.0,,72.97297297297297,11.0,,5.405405405405405,36.0,,5.405405405405405,36.0,,5.405405405405405,36.0,,18.91891891891892,31.0,,16.216216216216218,32.0
1642296,Nyadiew Puoch,605.6499,1186.0,1202.0,2388.0,141.0,37.0,78.0,17.0,68.0,16.0,26.0,31.0,59.0,6.0,19.0,0.0,0.0,11.0,35.0,6.0,33.0,26.0,16.0,10.0,62.0,18.0,12.0,6.0,6.0,6.0,28.0,38.0,66.0,6.0,26.0,4.0,2.0,74.0,28.0,1.0,31.0,0.0,14.0,1.0,54.0,20.0,51.0,0.0,8.0,14.0,29.0,127.0,10.0,1.0,-87.0,3031,3189,141.0,216.0,1.0,146.0,35,14,PDX,0.048458991278537394,0.0650567544976491,0.025449690837549183,0.07608153078202995,0.059191765245401345,0.04745121142675949,0.05768690275435638,0.5467027397260275,106.91399662731872,112.72878535773711,12.675111194235793,3.338461538461538,23.86176470588235,17.30428285714286,4.0285714285714285,8.916526138279933,1.6441821247892074,1.1382799325463744,0.7588532883642496,1.7706576728499155,2.3710482529118138,1.6222961730449252,0.24958402662229617,1.8718801996672214,4.6173044925124795,1.960370994940978,9.232715008431704,1.6441821247892074,0.4477896341463415,0.4280821917808219,0.25,0.47435897435897434,0.1780821917808219,1.4444444444444444,3.920741989881956,12.837268128161888,0.4041095890410959,0.13013698630136986,0.0,0.13013698630136986,0.4657534246575342,0.23972602739726026,0.8698630136986301,0.5254237288135594,0.25,0.07534246575342465,0.16,0.064,0.09929078014184398,0.20567375886524822,-0.11862054794520555,-5.814788730418385,-3.6432160804020097,Nyadiew Puoch,F,0,2024.0,12.0,1.0,,22,"6' 3""",1186.0,1202.0,1268.0,1355.0,1622.0,1628.0,1763.0,1834.0,106.91399662731871,112.72878535773711,-5.8147887304184,108.69297163995068,112.65356265356266,-3.9605910136119746,-1.7789750126319746,0.07522270417445043,-1.854197716806425,0.42236467236467234,True,False,34.22818791946309,59.45945945945946,16.0,10.06711409395973,10.81081081081081,34.0,7.38255033557047,10.81081081081081,34.0,4.697986577181208,10.81081081081081,34.0,8.053691275167784,16.216216216216218,32.0,93.28859060402685,91.8918918918919,4.0,4.026845637583892,10.81081081081081,34.0,8.053691275167784,13.513513513513514,33.0,93.28859060402685,94.5945945945946,3.0,50.671140939597315,48.64864864864865,20.0,7.38255033557047,10.81081081081081,34.0,62.41610738255034,70.27027027027027,12.0,14.76510067114094,21.62162162162162,30.0,61.74496644295302,67.56756756756756,13.0,14.76510067114094,21.62162162162162,30.0,73.8255033557047,70.27027027027027,12.0,20.80536912751678,40.54054054054054,23.0,43.624161073825505,56.75675675675676,17.0,19.463087248322147,29.72972972972973,27.0,12.080536912751679,16.216216216216218,32.0,18.79194630872483,21.62162162162162,30.0,15.436241610738255,21.62162162162162,30.0,75.83892617449665,70.27027027027027,12.0,95.9731543624161,97.2972972972973,2.0,64.42953020134227,64.86486486486487,14.0,10.06711409395973,16.216216216216218,32.0,16.319444444444446,27.77777777777778,26.0,21.476510067114095,27.027027027027028,28.0,28.187919463087248,43.24324324324324,22.0,22.14765100671141,35.13513513513514,25.0,39.59731543624161,45.94594594594595,21.0,34.899328859060404,45.94594594594595,21.0,48.322147651006716,45.94594594594595,21.0,33.557046979865774,59.45945945945946,16.0
1642302,Isobel Borlase,487.2668,977.0,986.0,1963.0,171.0,46.0,97.0,17.0,55.0,28.0,30.0,32.0,57.0,14.0,38.0,0.0,2.0,2.0,9.0,15.0,46.0,40.0,25.0,15.0,95.0,26.0,10.0,16.0,6.0,4.0,10.0,44.0,54.0,2.0,9.0,4.0,0.0,51.0,24.0,0.0,29.0,0.0,12.0,0.0,52.0,40.0,51.0,0.0,4.0,16.0,70.0,155.0,12.0,0.0,21.0,3382,3175,145.0,315.0,4.0,152.0,37,24,ATL,0.0169789394381483,0.10412248938070542,0.007969001315981869,0.12902298850574712,0.07949869603013619,0.0314094298741177,0.013817809621289662,0.5302575657894737,114.63664278403276,111.4604462474645,16.448455617672963,4.585567010309278,24.60909090909091,13.169372972972972,4.621621621621622,13.126919140225178,3.0706243602865917,1.9959058341862845,0.7676560900716479,0.7676560900716479,3.3468559837728193,0.6845841784989858,0.3042596348884381,0.9888438133874239,3.8793103448275863,2.226202661207779,11.668372569089048,2.3029682702149437,0.5175544794188862,0.47039473684210525,0.3090909090909091,0.4742268041237113,0.19736842105263158,1.5384615384615385,7.292732855680655,20.419651995905834,0.375,0.25,0.013157894736842105,0.2631578947368421,0.3618421052631579,0.05921052631578947,0.736842105263158,0.5614035087719298,0.3090909090909091,0.07894736842105263,0.27972027972027974,0.027972027972027972,0.0935672514619883,0.4093567251461988,-0.05986282894736844,3.1761965365682556,1.0697911360163017,Isobel Borlase,G,0,2024.0,20.0,2.0,,21,"5' 11""",977.0,986.0,1120.0,1099.0,2007.0,2028.0,2262.0,2076.0,114.63664278403276,111.46044624746449,3.17619653656827,112.70553064275038,102.36686390532543,10.338666737424944,1.9311121412823837,9.093582342139058,-7.162470200856674,0.3274128686327078,True,False,16.778523489932887,43.24324324324324,22.0,30.87248322147651,37.83783783783784,24.0,37.58389261744966,56.75675675675676,17.0,30.201342281879196,43.24324324324324,22.0,27.516778523489933,51.35135135135135,19.0,82.5503355704698,83.78378378378379,7.0,14.76510067114094,35.13513513513514,25.0,49.664429530201346,54.054054054054056,18.0,72.48322147651007,81.08108108108108,8.0,57.04697986577181,54.054054054054056,18.0,49.664429530201346,56.75675675675676,17.0,25.503355704697988,21.62162162162162,30.0,33.557046979865774,45.94594594594595,21.0,14.76510067114094,8.108108108108109,35.0,40.939597315436245,48.64864864864865,20.0,6.0402684563758395,16.216216216216218,32.0,26.174496644295303,48.64864864864865,20.0,8.053691275167784,18.91891891891892,31.0,44.966442953020135,62.16216216216216,15.0,30.87248322147651,37.83783783783784,24.0,25.503355704697988,29.72972972972973,27.0,44.966442953020135,62.16216216216216,15.0,69.12751677852349,62.16216216216216,15.0,60.40268456375839,56.75675675675676,17.0,41.61073825503356,37.83783783783784,24.0,20.13422818791946,32.432432432432435,26.0,36.11111111111111,50.0,19.0,52.348993288590606,59.45945945945946,16.0,24.161073825503358,32.432432432432435,26.0,63.758389261744966,83.78378378378379,7.0,16.10738255033557,21.62162162162162,30.0,59.06040268456376,62.16216216216216,15.0,4.026845637583892,2.7027027027027026,37.0,17.449664429530202,45.94594594594595,21.0
