state,off_poss,pf,raw_off,def_poss,pa,raw_def,ortg,drtg,net
Austin,1219.0827550463137,1261,1236,1218.3189462238968,1278,1238,103.4384248961092,104.89863955256386,-1.4602146564546672
Betts,606.968065042104,597,615,598.7634247665753,619,608,98.35772825355934,103.3797280188438,-5.021999765284463
Betts+Austin,208.26910472361254,202,211,211.13253158587628,209,214,96.98990172741556,98.98995594385279,-2.000054216437235
none,35.680075187969926,40,36,33.78509742365164,55,34,112.10738707604126,162.79366997324868,-50.68628289720742
