player,team,on_poss,on_ortg,on_drtg,on_net,off_poss,off_ortg,off_drtg,off_net,net_swing
Kiki Rice,TOR,1086.6803960781247,111.99245007015901,116.4895076153606,-4.497057545201585,1884.3196039218751,106.77594160843951,117.000761711531,-10.224820103091488,5.727762557889903
Charlisse Leger-Walker,CON,1671.4304105412937,100.69219689828184,110.46865505699668,-9.776458158714846,1187.5695894587063,97.84689758935635,108.51425783309926,-10.66736024374292,0.890902085028074
Lauren Betts,WAS,1195.4206528917493,100.4667266785758,102.07674748655737,-1.61002080798157,1738.5793471082507,106.75382766320405,107.70469379926975,-0.9508661360656987,-0.6591546719158714
Gianna Kneepkens,CON,472.74157379445995,94.34329974835538,108.69023879715401,-14.346939048798632,2386.25842620554,100.53395615724324,109.85338717091734,-9.319431013674105,-5.0275080351245265
Gabriela Jaquez,CHI,1238.1094885247842,103.30265714415428,109.494146193195,-6.191489049040712,1888.8905114752158,108.0528483573136,108.55263708856897,-0.4997887312553786,-5.691700317785333
Angela Dugalic,WAS,610.1401026345281,95.55182448795945,110.97475756313085,-15.4229330751714,2323.859897365472,106.46080698775084,103.95869484197928,2.5021121457715623,-17.925045220942962
