block,on_poss,on_net,off_net,net_swing
Pre-injury (g1-10),523.9385587242839,1.296179504760289,-5.776241377978593,7.072420882738882
Return games 1-5 (g27-31),211.44357062690395,-26.915736594662945,-9.883482422469257,-17.03225417219369
Return games 6+ (g32+),352.28786549707604,-7.776317991020207,-14.084268787111043,6.307950796090836
Rice OUT (g11-26),0.0,,-8.618356913565577,
