player,metric,value,league_pctile,rookie_pctile,rookie_rank,lower_is_better,league_median,rookie_median
Lauren Betts,min_per_game,16.821752777777775,32.21476510067114,56.75675675675676,17.0,False,22.482577272727273,14.19479375
Lauren Betts,usage,16.570281701977592,33.557046979865774,43.24324324324324,22.0,False,18.313632100165844,17.104845933231744
Lauren Betts,pace_neutral_pts_75,14.65146299483649,49.664429530201346,70.27027027027027,12.0,False,14.83433734939759,13.08651026392962
Lauren Betts,ts_pct,0.5923799582463466,70.46979865771812,81.08108108108108,8.0,False,0.5613472333600642,0.533021320852834
Lauren Betts,efg_pct,0.5521472392638037,71.14093959731544,81.08108108108108,8.0,False,0.5155440414507773,0.4765625
Lauren Betts,shot_quality_avg,0.480780981595092,14.76510067114094,8.108108108108109,35.0,False,0.5113504216867469,0.5156212072649572
Lauren Betts,shot_making_over_sq,0.07136625766871169,88.59060402684564,97.2972972972973,2.0,False,0.003609316770186388,-0.025081249999999944
Lauren Betts,ast_75,2.323580034423408,27.516778523489933,35.13513513513514,25.0,False,3.0952380952380953,2.9750479846449136
Lauren Betts,tov_75,2.129948364888124,63.08724832214765,64.86486486486487,14.0,True,2.407704654895666,2.4069319640564824
Lauren Betts,ast_to_tov,1.0909090909090908,26.845637583892618,32.432432432432435,26.0,False,1.4210526315789473,1.4444444444444444
Lauren Betts,ast_pts_created_75,5.292598967297762,24.161073825503358,35.13513513513514,25.0,False,7.354721549636803,6.573896353166987
Lauren Betts,oreb_75,2.7753872633390704,83.89261744966443,91.8918918918919,4.0,False,1.4296187683284458,1.3816925734024181
Lauren Betts,dreb_75,6.958762886597938,85.23489932885906,94.5945945945946,3.0,False,3.984819734345351,3.4554973821989527
Lauren Betts,off_fgrebound_pct,0.07146963152900541,79.19463087248322,91.8918918918919,4.0,False,0.03974141324482758,0.038836481704770234
Lauren Betts,def_fgrebound_pct,0.16921838909347559,79.86577181208054,91.8918918918919,4.0,False,0.11404379229878943,0.10636640836981842
Lauren Betts,stl_75,1.2242268041237114,44.29530201342282,43.24324324324324,22.0,False,1.3372389200203771,1.3953488372093024
Lauren Betts,blk_75,1.675257731958763,89.26174496644296,97.2972972972973,2.0,False,0.5118110236220472,0.3289473684210526
Lauren Betts,stocks_75,2.8994845360824746,82.5503355704698,94.5945945945946,3.0,False,2.0270270270270268,1.802325581395349
Lauren Betts,foul_75,3.157216494845361,70.46979865771812,83.78378378378379,7.0,True,3.7958115183246077,4.247572815533981
Lauren Betts,fta_75,4.195352839931154,58.38926174496645,70.27027027027027,12.0,False,3.6873840445269015,3.4303534303534304
Lauren Betts,ftr,0.3987730061349693,75.16778523489933,78.37837837837837,9.0,False,0.28405797101449276,0.2840909090909091
Lauren Betts,shot_75,10.520654044750431,32.21476510067114,37.83783783783784,24.0,False,11.850921273031826,11.188524590163935
