espn_id,o_rapm,d_rapm,rapm,off_poss,def_poss,poss,player_id,player_name,team_abbreviation,o_rapm_scaled,d_rapm_scaled,rapm_scaled,marginal_pts_vs_average,marginal_pts_vs_replacement,waa,war
4065870,3.319053087408253,1.596418387362766,4.915471474771019,2445.898480528412,2457.8959172686073,2445.898480528412,1629498.0,Jackie Young,LVA,4.206657905460396,1.9880677302151506,6.194725635675547,151.755217364177,200.7931613421472,5.106097426260799,6.756073775569115
2529130,2.77120520833398,1.8184361921215748,4.589641400455555,2279.840354251787,2277.3773834882877,2279.840354251787,203827.0,Natasha Howard,MIN,3.5123006442762734,2.2645531657802924,5.776853810056566,131.64726908540442,177.21944646280517,4.429526664892942,5.962890602275277
3149391,3.9112794868880836,0.6384681233006047,4.549747610188688,2298.4576073397443,2301.3741433787927,2298.4576073397443,1628932.0,A'ja Wilson,LVA,4.9572617070824885,0.7951035159409771,5.752365223023466,132.23886555113887,178.23718305832423,4.449432070740192,5.99713431594293
4398935,1.4976670182351655,2.5701620991658958,4.067829117401061,1967.5613799993114,1962.2846759104807,1967.5613799993114,1631007.0,Veronica Burton,GSV,1.8981838000445697,3.200699998961265,5.098883799005835,100.15477697256412,139.45323753166204,3.3699009352679687,4.692173551670211
3142191,3.8701240589118897,0.13703537847048994,4.00715943738238,2633.3813477506433,2615.717297683549,2633.3813477506433,1628909.0,Kelsey Mitchell,IND,4.905100201409239,0.17065426957719793,5.075754470986436,133.6338270409564,186.12481349529833,4.496368244643176,6.262528878140282
3058901,1.6940354212305142,1.622189174817524,3.316224596048038,2512.724217962614,2507.8295782585406,2512.724217962614,1628277.0,Allisha Gray,ATL,2.1470664400893713,2.0201608652771155,4.167227305366486,104.61205012369658,154.8175880859081,3.519874500331777,5.20913680462341
3142250,2.6624371465127425,0.6010960303356955,3.263533176848438,2343.987740920466,2336.739088328316,2343.987740920466,1628886.0,Jordin Canada,ATL,3.3744450526143757,0.7485629269435808,4.123007979557957,96.58854087200332,143.39580916449114,3.249908032942817,4.824828989927253
4065780,1.6718182503495649,1.357952545790461,3.029770796140026,1320.8853749005007,1332.6576545545724,1320.8853749005007,1630097.0,Kaila Charles,GSV,2.118907795119854,1.6910990607602254,3.8100068558800793,50.52490425268644,77.06033454723718,1.7000080000387183,2.5928438094763475
4433791,2.1170344076782186,0.8174097294009129,2.9344441370791317,2278.487777815321,2274.44406064326,2278.487777815321,1643426.0,Olivia Miles,MIN,2.6831868284895037,1.0179448684942876,3.7011316969837913,84.28867054517505,129.81798892976087,2.8360551367458866,4.367977000526368
4433433,1.7764257074246748,0.6715212324606983,2.447946939885373,709.8978924227088,720.5307985255696,709.8978924227088,1642786.0,Aicha Coulibaly,CHI,2.2514901234786753,0.8362655447829368,3.087755668261612,22.008831742299257,36.31311865178204,0.7405296573407248,1.2218250212933814
