block,on_net,off_net,net_swing,on_off_poss
Pre-injury (g1-10),7.124614391276282,-13.511321392362277,20.63593578363856,526
Return games 1-5 (g27-31),-24.708656730086773,-9.464794911164716,-15.243861818922056,207
Return games 6-10 (g32-36),-2.657807308970092,-20.718432510885336,18.060625201915244,301
