tgn,game_date,opponent_team_abbreviation,win,rest_days,game_id,minutes,off_poss,points,usage,assists,turnovers,fouls,plus_minus,status
1,2026-05-08,WAS,False,,1022600002,17.5667,31.0,0.0,7.5,1.0,0.0,0.0,1.0,played
2,2026-05-13,SEA,True,5.0,1022600015,20.5,42.0,12.0,19.565217391304348,1.0,0.0,3.0,-3.0,played
3,2026-05-15,LAS,False,2.0,1022600023,21.0,41.0,11.0,16.3265306122449,2.0,1.0,4.0,15.0,played
4,2026-05-17,LAS,True,2.0,1022600028,35.0333,68.0,19.0,15.384615384615383,2.0,0.0,5.0,5.0,played
5,2026-05-19,PHX,True,2.0,1022600031,34.0667,71.0,15.0,13.253012048192772,3.0,2.0,5.0,13.0,played
6,2026-05-21,MIN,False,2.0,1022600036,22.8333,43.0,11.0,16.0,4.0,0.0,1.0,-12.0,played
7,2026-05-23,PDX,False,2.0,1022600042,30.1667,59.0,19.0,20.28985507246377,3.0,1.0,2.0,-17.0,played
8,2026-05-27,CHI,True,4.0,1022600050,34.15,71.0,14.0,17.72151898734177,7.0,3.0,4.0,11.0,played
9,2026-05-30,SEA,True,3.0,1022600060,27.9667,57.0,17.0,24.193548387096776,1.0,3.0,3.0,24.0,played
10,2026-06-03,NYL,False,4.0,1022600070,23.35,43.0,9.0,24.0,2.0,3.0,1.0,-4.0,played
11,2026-06-07,CHI,True,4.0,1022600081,,,,,,,,,OUT
12,2026-06-10,CON,True,3.0,1022600089,,,,,,,,,OUT
13,2026-06-12,WAS,False,2.0,1022600095,,,,,,,,,OUT
14,2026-06-14,ATL,False,2.0,1022600102,,,,,,,,,OUT
15,2026-06-16,IND,False,2.0,1022600106,,,,,,,,,OUT
16,2026-06-19,CON,True,3.0,1022600114,,,,,,,,,OUT
17,2026-06-22,ATL,False,3.0,1022600124,,,,,,,,,OUT
18,2026-06-25,LAS,True,3.0,1022600132,,,,,,,,,OUT
19,2026-06-27,PHX,False,2.0,1022600138,,,,,,,,,OUT
20,2026-07-05,DAL,False,8.0,1022600152,,,,,,,,,OUT
21,2026-07-08,GSV,False,3.0,1022600159,,,,,,,,,OUT
22,2026-07-10,DAL,False,2.0,1022600166,,,,,,,,,OUT
23,2026-07-12,NYL,True,2.0,1022600171,,,,,,,,,OUT
24,2026-07-14,WAS,False,2.0,1022600178,,,,,,,,,OUT
25,2026-07-17,ATL,False,3.0,1022600185,,,,,,,,,OUT
26,2026-07-20,LVA,False,3.0,1022600194,,,,,,,,,OUT
27,2026-07-28,MIN,False,8.0,1022600204,17.1333,35.0,4.0,21.951219512195124,4.0,2.0,5.0,0.0,played
28,2026-07-30,MIN,False,2.0,1022600210,23.0,45.0,6.0,25.49019607843137,2.0,4.0,3.0,-29.0,played
29,2026-08-02,GSV,False,3.0,1022600221,26.8167,49.0,16.0,26.315789473684212,3.0,2.0,5.0,-1.0,played
30,2026-08-04,GSV,False,2.0,1022600225,22.8833,41.0,2.0,12.5,0.0,2.0,5.0,-15.0,played
31,2026-08-06,PDX,False,2.0,1022600232,17.6167,37.0,5.0,9.523809523809524,1.0,2.0,1.0,-11.0,played
32,2026-08-10,ATL,False,4.0,1022600243,30.0833,64.0,18.0,18.84057971014493,6.0,0.0,1.0,2.0,played
33,2026-08-12,DAL,False,2.0,1022600248,31.45,62.0,13.0,17.333333333333332,5.0,1.0,5.0,-7.0,played
34,2026-08-18,IND,False,6.0,1022600264,29.8667,64.0,10.0,18.072289156626507,6.0,2.0,4.0,2.0,played
35,2026-08-19,WAS,False,1.0,1022600267,24.4833,48.0,19.0,24.074074074074073,2.0,1.0,4.0,2.0,played
36,2026-08-21,PDX,True,2.0,1022600274,31.8,63.0,19.0,15.942028985507248,4.0,0.0,3.0,-7.0,played
37,2026-08-23,LVA,False,2.0,1022600281,29.7833,57.0,14.0,23.80952380952381,5.0,1.0,0.0,-18.0,played
