team,player_a,player_b,r,games_both,combined_mpg,combined_sd,r_pctile,name_a,name_b
ATL,1628277,1628886,-0.06765996046092249,36,63.934716666666674,5.949601328660603,50.52790346907994,Allisha Gray,Jordin Canada
ATL,1628277,1631009,0.26265199927742866,36,67.2861,7.269054601174567,88.38612368024133,Allisha Gray,Rhyne Howard
ATL,1628277,1631044,0.17966621096110388,36,61.858791666666676,7.526292197751068,81.44796380090497,Allisha Gray,Naz Hillmon
ATL,1628277,1642291,0.2625570728001838,36,64.09351666666666,6.238325589702967,88.23529411764706,Allisha Gray,Angel Reese
ATL,1628277,1642302,-0.0805546749711429,37,46.03378378378378,6.980501760161559,48.114630467571644,Allisha Gray,Isobel Borlase
ATL,1628277,1642804,0.0699725945713028,28,44.91606785714286,7.638361013407969,68.17496229260935,Allisha Gray,Te-Hina Paopao
ATL,1628277,1643431,-0.16177677652592057,36,42.418513888888896,6.023764715579346,35.74660633484163,Allisha Gray,Madina Okot
ATL,1628886,1631009,-0.1318416874941298,35,65.56618000000002,5.723894443512266,41.32730015082956,Jordin Canada,Rhyne Howard
ATL,1628886,1631044,-0.15149685968562773,35,60.139520000000005,6.305813000286977,37.405731523378584,Jordin Canada,Naz Hillmon
ATL,1628886,1642291,-0.23401900395980066,35,62.172380000000004,5.046183602299628,28.355957767722472,Jordin Canada,Angel Reese
ATL,1628886,1642302,-0.5378289774288671,36,43.95879722222222,5.571221819133758,5.128205128205128,Jordin Canada,Isobel Borlase
ATL,1628886,1642804,-0.111874762766417,27,42.88271481481482,6.912472728320313,43.288084464555055,Jordin Canada,Te-Hina Paopao
ATL,1628886,1643431,-0.3399767454967383,35,40.56523428571429,5.520482213535915,16.89291101055807,Jordin Canada,Madina Okot
ATL,1631009,1631044,0.11031666614386544,35,63.484754285714295,7.9765751993071365,74.50980392156863,Rhyne Howard,Naz Hillmon
ATL,1631009,1642291,0.22574594059565672,35,65.86285428571429,6.480860068664763,85.52036199095022,Rhyne Howard,Angel Reese
ATL,1631009,1642302,0.11693281569502025,36,47.95323888888888,6.6488503390018066,75.56561085972851,Rhyne Howard,Isobel Borlase
ATL,1631009,1642804,-0.46492975717886237,27,45.89937037037037,5.694377532931045,7.993966817496228,Rhyne Howard,Te-Hina Paopao
ATL,1631009,1643431,-0.34901089519628964,35,43.85808857142857,5.455197024897797,15.837104072398189,Rhyne Howard,Madina Okot
ATL,1631044,1642291,-0.13352692593945983,35,60.01380857142857,6.632407267943183,40.874811463046754,Naz Hillmon,Angel Reese
ATL,1631044,1642302,-0.20438560695102978,36,42.224075,6.95291920613719,31.52337858220211,Naz Hillmon,Isobel Borlase
ATL,1631044,1642804,-0.006829212120014502,27,41.65370000000001,7.994974918515525,58.371040723981906,Naz Hillmon,Te-Hina Paopao
ATL,1631044,1643431,-0.06972965272135363,35,38.61904571428571,7.300769662985292,49.924585218702866,Naz Hillmon,Madina Okot
ATL,1642291,1642302,-0.060391844848671376,36,44.20093055555556,7.492163741129581,51.88536953242836,Angel Reese,Isobel Borlase
ATL,1642291,1642804,-0.030075190413853294,27,43.32221481481481,6.306432904930288,55.35444947209653,Angel Reese,Te-Hina Paopao
ATL,1642291,1643431,-0.4604181674483361,35,40.12476285714286,5.62009138998781,8.295625942684765,Angel Reese,Madina Okot
ATL,1642302,1642804,-0.21553688127394235,28,24.858928571428578,8.00421311157129,30.46757164404223,Isobel Borlase,Te-Hina Paopao
ATL,1642302,1643431,0.25120258643103555,36,22.647225000000002,9.258113300802707,87.17948717948718,Isobel Borlase,Madina Okot
ATL,1642804,1643431,0.34029501056753425,28,22.220232142857146,8.865063938231273,93.66515837104072,Te-Hina Paopao,Madina Okot
CHI,202664,203400,-0.7993463545295858,3,44.32223333333334,8.052042471530646,0.1508295625942685,Courtney Vandersloot,Skylar Diggins
CHI,202664,204322,-0.2447761443644621,20,36.937504999999994,7.378343214005289,26.69683257918552,Courtney Vandersloot,Elizabeth Williams
CHI,202664,204333,0.419549670763054,20,52.08,8.103567249382408,96.22926093514329,Courtney Vandersloot,Natasha Cloud
CHI,202664,1627671,-0.2763063208740664,17,33.17548823529412,7.547884358537361,24.283559577677224,Courtney Vandersloot,Rachel Banham
CHI,202664,1628922,0.1916609548706282,16,48.02605,6.42303843612974,82.20211161387631,Courtney Vandersloot,Azura Stevens
CHI,202664,1642289,0.012740510574645666,19,48.77982631578948,7.4809202729226145,61.085972850678736,Courtney Vandersloot,Kamilla Cardoso
CHI,202664,1642292,-0.3494970310676783,20,40.49083,7.233865670587565,15.686274509803921,Courtney Vandersloot,Jacy Sheldon
CHI,202664,1642321,0.05563382397766827,15,45.08777333333334,4.360469429097658,66.66666666666666,Courtney Vandersloot,Sydney Taylor
CHI,202664,1642786,0.17987964795929165,16,34.56145,8.540353857462037,81.59879336349924,Courtney Vandersloot,Aicha Coulibaly
CHI,202664,1643447,-0.28584002526621527,20,36.23167000000001,6.7592333522842365,22.77526395173454,Courtney Vandersloot,Gabriela Jaquez
CHI,203400,204322,0.2554480873265814,19,46.7693,7.555756118424622,87.63197586726999,Skylar Diggins,Elizabeth Williams
CHI,203400,204333,-0.39123746299078443,18,55.56944999999999,10.154378599416813,13.273001508295627,Skylar Diggins,Natasha Cloud
CHI,203400,1627671,0.019210416926193956,16,42.85521249999999,8.157801990477173,61.68929110105581,Skylar Diggins,Rachel Banham
CHI,203400,1628922,-0.060128398769020173,15,52.33890666666666,4.987697966635606,52.03619909502263,Skylar Diggins,Azura Stevens
CHI,203400,1642289,0.13109262577188358,19,55.782457894736844,8.166788362312037,77.67722473604827,Skylar Diggins,Kamilla Cardoso
CHI,203400,1642292,0.126293440727108,19,50.78684210526316,9.059862631121693,76.92307692307693,Skylar Diggins,Jacy Sheldon
CHI,203400,1642321,0.002423215024686096,17,47.133341176470594,11.299529679319557,60.18099547511312,Skylar Diggins,Sydney Taylor
CHI,203400,1642786,-0.2896613049633281,10,42.05499,7.3420704846112725,22.171945701357465,Skylar Diggins,Aicha Coulibaly
CHI,203400,1643447,0.10405025015138045,15,51.558899999999994,8.246111621849415,73.7556561085973,Skylar Diggins,Gabriela Jaquez
CHI,204322,204333,0.029371060118925853,36,45.54537222222222,7.064862420523179,63.19758672699849,Elizabeth Williams,Natasha Cloud
CHI,204322,1627671,0.09899103345676184,33,29.64949696969697,7.900015815114108,72.85067873303167,Elizabeth Williams,Rachel Banham
CHI,204322,1628922,-0.22781912737942114,28,40.87262857142857,6.268705668155767,28.808446455505276,Elizabeth Williams,Azura Stevens
CHI,204322,1642289,-0.43533929341323974,36,43.017133333333334,5.29353422307414,9.653092006033184,Elizabeth Williams,Kamilla Cardoso
CHI,204322,1642292,0.25371957480474544,37,37.43062972972974,8.800545563292744,87.33031674208145,Elizabeth Williams,Jacy Sheldon
CHI,204322,1642321,-0.05015307926016569,30,36.86944666666667,8.974647177955333,53.09200603318251,Elizabeth Williams,Sydney Taylor
CHI,204322,1642786,0.110930355017247,25,29.252664000000003,9.118216149960473,74.6606334841629,Elizabeth Williams,Aicha Coulibaly
CHI,204322,1643447,-0.2908143595953458,33,34.63586363636363,8.772719537678231,21.87028657616893,Elizabeth Williams,Gabriela Jaquez
CHI,204333,1627671,-0.07547722259542752,32,42.066140625,7.34495091508926,48.86877828054298,Natasha Cloud,Rachel Banham
CHI,204333,1628922,0.19595235071870987,28,53.929175,6.808365797100624,82.95625942684767,Natasha Cloud,Azura Stevens
CHI,204333,1642289,0.08309619478357702,35,55.96523714285714,6.671469296281508,69.98491704374057,Natasha Cloud,Kamilla Cardoso
CHI,204333,1642292,-0.34207096374504625,36,49.66434722222223,6.992233357436607,16.440422322775262,Natasha Cloud,Jacy Sheldon
CHI,204333,1642321,0.11654733672731932,29,49.91264482758621,8.686618967271535,75.41478129713424,Natasha Cloud,Sydney Taylor
CHI,204333,1642786,0.20245049354724032,24,43.87360416666667,6.37623788278072,83.40874811463047,Natasha Cloud,Aicha Coulibaly
CHI,204333,1643447,-0.34465497423761443,32,47.579690625,7.283996859371141,16.138763197586727,Natasha Cloud,Gabriela Jaquez
CHI,1627671,1628922,-0.2005119325047948,25,37.301339999999996,5.4541094540416655,31.975867269984914,Rachel Banham,Azura Stevens
CHI,1627671,1642289,0.15080730673544443,32,39.954168749999994,7.742284936691972,79.18552036199095,Rachel Banham,Kamilla Cardoso
CHI,1627671,1642292,0.43454838063654894,33,34.66767575757576,9.466966397493387,96.53092006033182,Rachel Banham,Jacy Sheldon
CHI,1627671,1642321,-0.5753147777744689,26,31.673084615384617,6.580899854682022,4.223227752639517,Rachel Banham,Sydney Taylor
CHI,1627671,1642786,0.021224668285924096,22,25.53106818181818,10.37269749153248,61.990950226244344,Rachel Banham,Aicha Coulibaly
