game_date,player_name,team_abbreviation,opponent_team_abbreviation,is_home,win,minutes,points,fg2_m,fg2_a,fg3_m,fg3_a,fta,ft_points,at_rim_fgm,at_rim_fga,assists,turnovers,off_rebounds,def_rebounds,rebounds,steals,blocks,fouls,plus_minus,usage,ts_pct,off_poss,def_poss,on_off_rtg,on_def_rtg,shot_quality_avg,game_no
2026-05-08,Angela Dugalic,WAS,TOR,False,True,12.4167,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,-10.0,18.51851851851852,0.25,22.0,22.0,50.0,95.45454545454545,0.4828625,1
2026-05-10,Angela Dugalic,WAS,NYL,True,False,10.4167,5.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,23.80952380952381,0.5,20.0,21.0,105.0,85.71428571428572,0.5237625,2
2026-05-15,Angela Dugalic,WAS,IND,False,True,6.4333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,-7.0,0.0,0.0,11.0,12.0,54.54545454545455,108.33333333333334,0.0,3
2026-05-18,Angela Dugalic,WAS,DAL,False,False,12.9167,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,-12.0,8.333333333333334,0.5,23.0,24.0,113.04347826086956,158.33333333333334,0.49955,4
2026-05-24,Angela Dugalic,WAS,SEA,False,False,11.9167,13.0,4.0,5.0,1.0,1.0,3.0,2.0,4.0,5.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,25.925925925925924,0.9285714285714286,24.0,24.0,137.5,125.0,0.5808916666666667,5
2026-05-27,Angela Dugalic,WAS,SEA,False,True,16.1167,2.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,-1.0,19.444444444444446,0.16666666666666666,29.0,31.0,86.20689655172414,83.87096774193549,0.43245833333333333,6
2026-05-29,Angela Dugalic,WAS,LAS,True,False,17.15,6.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,1.0,3.0,-12.0,10.526315789473685,1.0,35.0,35.0,102.85714285714286,137.14285714285714,0.47700000000000004,7
2026-06-02,Angela Dugalic,WAS,CHI,True,True,13.2333,8.0,3.0,6.0,0.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,4.0,7.0,0.0,0.0,2.0,1.0,27.77777777777778,0.4444444444444444,25.0,27.0,116.0,103.7037037037037,0.50736875,8
2026-06-06,Angela Dugalic,WAS,ATL,False,False,14.4167,5.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,8.0,9.0,0.0,0.0,1.0,-9.0,12.903225806451614,0.8333333333333334,28.0,28.0,96.42857142857142,128.57142857142856,0.6298666666666667,9
2026-06-08,Angela Dugalic,WAS,IND,True,False,17.65,7.0,3.0,4.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,5.0,5.0,2.0,1.0,5.0,-3.0,21.62162162162162,0.5833333333333334,36.0,37.0,83.33333333333334,89.1891891891892,0.60287,10
2026-06-12,Angela Dugalic,WAS,TOR,True,True,17.5,10.0,3.0,4.0,0.0,2.0,4.0,4.0,3.0,4.0,0.0,1.0,1.0,5.0,6.0,0.0,0.0,0.0,-2.0,22.5,0.625,33.0,37.0,103.03030303030303,97.2972972972973,0.560125,11
2026-06-14,Angela Dugalic,WAS,NYL,False,False,25.5667,4.0,2.0,7.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,5.0,3.0,3.0,6.0,2.0,0.0,5.0,-14.0,26.229508196721312,0.18181818181818182,49.0,49.0,81.63265306122449,110.20408163265306,0.46765909090909097,12
2026-06-17,Angela Dugalic,WAS,CON,False,True,26.9333,6.0,3.0,4.0,0.0,3.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,-2.0,12.499999999999998,0.42857142857142855,51.0,50.0,111.76470588235294,118.0,0.46681428571428574,13
2026-06-19,Angela Dugalic,WAS,NYL,False,True,7.2833,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.555555555555555,0.0,16.0,16.0,118.75,112.5,0.3708,14
2026-06-21,Angela Dugalic,WAS,MIN,False,True,15.2833,6.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,4.0,5.0,0.0,0.0,0.0,6.0,21.875,0.6,28.0,30.0,114.28571428571428,86.66666666666667,0.5981375,15
2026-06-24,Angela Dugalic,WAS,MIN,True,False,8.0833,3.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,10.0,0.75,19.0,17.0,110.52631578947368,52.94117647058823,0.0,16
2026-06-26,Angela Dugalic,WAS,CON,False,False,8.4167,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,9.090909090909092,0.5,17.0,15.0,88.23529411764706,86.66666666666667,0.51825,17
2026-06-28,Angela Dugalic,WAS,PDX,True,True,10.75,3.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,-19.0,25.0,0.375,22.0,21.0,59.09090909090909,152.38095238095238,0.49041666666666667,18
2026-07-02,Angela Dugalic,WAS,ATL,True,True,7.7167,2.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.75,0.3333333333333333,14.0,12.0,114.28571428571428,108.33333333333334,0.609,19
2026-07-06,Angela Dugalic,WAS,GSV,True,False,9.6333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-14.0,4.761904761904762,0.0,17.0,19.0,58.8235294117647,126.3157894736842,0.49305,20
2026-07-12,Angela Dugalic,WAS,SEA,True,True,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,5.0,5.0,120.0,140.0,0.0,21
2026-07-14,Angela Dugalic,WAS,TOR,False,True,3.9167,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,-4.0,10.0,0.0,5.0,7.0,80.0,114.28571428571428,0.5403,22
2026-07-16,Angela Dugalic,WAS,PDX,True,False,7.5833,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,-5.0,15.789473684210526,0.5,15.0,16.0,40.0,68.75,0.43035,23
2026-07-18,Angela Dugalic,WAS,GSV,False,False,3.4667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-3.0,28.57142857142857,0.0,6.0,5.0,66.66666666666667,140.0,0.3427,24
2026-07-22,Angela Dugalic,WAS,LVA,True,True,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,8.333333333333334,0.0,10.0,9.0,130.0,77.77777777777779,0.0,25
2026-07-28,Angela Dugalic,WAS,CON,True,True,3.9833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,-3.0,25.0,0.0,8.0,9.0,100.0,122.22222222222223,0.0,26
2026-08-09,Angela Dugalic,WAS,PHX,True,True,9.0667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,-8.0,9.523809523809524,0.0,19.0,20.0,68.42105263157895,105.0,0.27435,27
2026-08-11,Angela Dugalic,WAS,LVA,False,False,1.0833,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,50.0,1.25,2.0,2.0,250.0,100.0,0.306825,28
2026-08-13,Angela Dugalic,WAS,LVA,False,False,3.5167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-3.0,0.0,0.0,8.0,9.0,75.0,100.0,0.0,29
2026-08-19,Angela Dugalic,WAS,TOR,True,True,5.2167,4.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,28.57142857142857,0.5,12.0,11.0,108.33333333333334,118.18181818181819,0.5743666666666667,30
2026-08-21,Angela Dugalic,WAS,MIN,True,False,0.9333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,2.0,0.0,100.0,0.0,31
2026-05-08,Charlisse Leger-Walker,CON,NYL,False,False,20.7167,4.0,2.0,7.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,-17.0,19.607843137254903,0.2222222222222222,44.0,42.0,77.27272727272727,121.42857142857143,0.45016666666666666,1
2026-05-10,Charlisse Leger-Walker,CON,SEA,True,False,20.3833,6.0,2.0,4.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,4.0,-11.0,15.686274509803921,0.42857142857142855,42.0,43.0,80.95238095238095,104.65116279069768,0.502925,2
2026-05-13,Charlisse Leger-Walker,CON,LVA,True,False,16.35,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,-16.0,10.81081081081081,0.5,33.0,36.0,72.72727272727272,111.11111111111111,0.70485,3
