player,month,games,mpg,usage,pts75,ts_pct,ast75,tov75,foul75,three_share,rim_share,on_net
Lauren Betts,2026-05,7,13.395228571428571,19.358296331001046,15.976331360946746,0.5184331797235023,0.8875739644970414,1.3313609467455623,4.237288135593221,0.0,0.41379310344827586,-15.0636846855882
Lauren Betts,2026-06,11,18.356063636363636,17.33138490356384,14.925373134328359,0.5910165484633569,2.0522388059701493,2.2388059701492535,4.00763358778626,0.0,0.5689655172413793,-0.022786829212705584
Lauren Betts,2026-07,10,16.28665,18.02611255144267,16.721311475409838,0.6080114449213162,2.9508196721311477,2.459016393442623,3.145161290322581,0.0,0.4166666666666667,-2.316234796404018
Lauren Betts,2026-08,9,18.218511111111113,12.177432178692085,11.285266457680251,0.6362672322375398,3.056426332288401,1.8808777429467083,1.4150943396226414,0.0,0.625,5.632775379034328
Gianna Kneepkens,2026-05,10,10.04833,16.20311113807222,13.902439024390244,0.5266075388026608,1.4634146341463414,0.7317073170731707,5.306603773584905,0.42424242424242425,0.12121212121212122,-12.017947537965938
Gianna Kneepkens,2026-06,6,5.93335,17.248989660420932,11.301369863013697,0.435126582278481,5.136986301369863,2.054794520547945,3.0,0.4,0.3,-2.630136986301366
Gianna Kneepkens,2026-07,6,6.674983333333333,12.961183123721822,16.346153846153847,0.7227891156462585,0.9615384615384615,0.0,11.74698795180723,0.7,0.3,-15.508186592523941
Gianna Kneepkens,2026-08,6,9.547233333333333,18.09638325045515,14.224137931034482,0.45230263157894735,1.293103448275862,0.646551724137931,4.605263157894736,0.4782608695652174,0.08695652173913043,-10.329703569268005
Kiki Rice,2026-05,9,27.031488888888887,17.045768411083852,18.322981366459626,0.6902199344875994,3.7267080745341614,1.5527950310559007,4.166666666666666,0.3283582089552239,0.47761194029850745,8.353142652659557
Kiki Rice,2026-06,1,23.35,24.0,15.697674418604652,0.48283261802575106,3.488372093023256,5.232558139534883,1.7045454545454546,0.125,0.375,-6.606765327695555
Kiki Rice,2026-07,2,20.06665,23.941893830703016,9.375,0.30637254901960786,5.625,5.625,7.317073170731708,0.4666666666666667,0.13333333333333333,-33.201219512195124
Kiki Rice,2026-08,9,27.198144444444445,18.780394122715226,17.938144329896907,0.6092436974789915,4.948453608247423,1.7010309278350515,4.320987654320988,0.25609756097560976,0.3048780487804878,-10.685163972678282
Gabriela Jaquez,2026-05,6,28.34445,17.52894775621834,15.220588235294118,0.5708140304434149,1.5441176470588236,1.5441176470588236,3.409090909090909,0.24489795918367346,0.40816326530612246,6.594251336898395
Gabriela Jaquez,2026-06,9,21.579644444444444,17.716794441847668,13.23529411764706,0.5278457772337821,2.3017902813299234,2.877237851662404,2.2443890274314215,0.3157894736842105,0.38596491228070173,-1.4905192262311004
Gabriela Jaquez,2026-07,9,16.6111,19.88985999456429,14.652317880794701,0.46529968454258674,1.2417218543046358,1.2417218543046358,1.1829652996845426,0.3220338983050847,0.3559322033898305,-9.336285959011434
Gabriela Jaquez,2026-08,9,11.83148888888889,11.835859361981948,7.429245283018869,0.5167322834645669,1.4150943396226414,3.183962264150943,4.10958904109589,0.3157894736842105,0.3684210526315789,-24.14060480744378
Charlisse Leger-Walker,2026-05,10,21.61667,18.766466731247743,13.297872340425533,0.4807692307692308,4.787234042553191,2.8368794326241136,4.205607476635514,0.373134328358209,0.23880597014925373,-19.01637171074435
Charlisse Leger-Walker,2026-06,9,18.670377777777777,15.204805599059535,12.20414201183432,0.5517656500802568,6.21301775147929,1.9970414201183433,3.794642857142857,0.3333333333333333,0.2222222222222222,7.65004226542689
Charlisse Leger-Walker,2026-07,10,28.50333,16.624791673260155,8.4375,0.38228155339805825,5.892857142857142,3.482142857142857,3.295254833040422,0.4358974358974359,0.16666666666666666,-8.379362289731361
Charlisse Leger-Walker,2026-08,7,25.061914285714288,14.863695230798431,10.744985673352435,0.5397236614853195,5.587392550143266,2.5787965616045847,3.186968838526912,0.5333333333333333,0.15555555555555556,-14.818542659318013
Angela Dugalic,2026-05,7,12.480971428571431,16.03534581711732,13.71951219512195,0.5514705882352942,2.2865853658536586,1.371951219512195,4.437869822485207,0.36,0.36,-18.45143599364988
Angela Dugalic,2026-06,11,15.0106,18.812633921225792,12.5,0.47235829251224637,2.5462962962962963,3.2407407407407405,4.587155963302752,0.3137254901960784,0.45098039215686275,-7.359270585570286
Angela Dugalic,2026-07,8,5.4625,13.563204887218046,3.75,0.2577319587628866,3.75,4.6875,1.829268292682927,0.3333333333333333,0.5,-23.567073170731703
Angela Dugalic,2026-08,6,3.3222333333333336,15.66998892580288,15.697674418604652,0.5710659898477157,1.744186046511628,1.744186046511628,1.7045454545454546,0.5714285714285714,0.2857142857142857,-20.771670190274833
