player_id,player_name,team_abbreviation,position_name,position_abbreviation,active,status_type,current_rank,eligibility_player_name,espn_athlete_id,espn_player_name,eligibility_team_abbreviation,eligibility_type,date_of_birth,age_on_cutoff,experience_years,eligible_flag,eligibility_snapshot_active,eligibility_snapshot_status_type,eligibility_review_status,eligibility_reviewed_by,eligibility_reviewed_at,source_system,eligibility_source_url,source_snapshot_path,source_snapshot_sha256,source_as_of,identity_match_method,assignment_player_name,assignment_team_abbreviation,role_code,secondary_role_code,assignment_confidence,assignment_review_status,assignment_reviewed_by,assignment_reviewed_at,assignment_notes,recent_minutes,recent_off_poss,recent_team_possessions,recent_points,recent_assists,recent_turnovers,recent_fga,recent_fgm,recent_fta,recent_ftm,recent_at_rim_fga,recent_at_rim_fgm,recent_def_poss,recent_total_poss,recent_fg3a,recent_fg3m,recent_rebounds,recent_off_rebounds,recent_games,recent_possession_share_sd,recent_minutes_per_game,recent_possession_share,recent_assists_per_75,recent_assist_turnover_ratio,recent_true_shooting_attempts,recent_true_shooting_pct,recent_rim_fga_share,recent_rim_fg_pct,recent_turnover_rate,recent_three_point_fga_share,recent_fta_rate,recent_rebounds_per_75_total_possessions,recent_offensive_rebounds_per_75_off_poss,baseline_minutes,baseline_off_poss,baseline_team_possessions,baseline_points,baseline_assists,baseline_turnovers,baseline_fga,baseline_fgm,baseline_fta,baseline_ftm,baseline_at_rim_fga,baseline_at_rim_fgm,baseline_def_poss,baseline_total_poss,baseline_fg3a,baseline_fg3m,baseline_rebounds,baseline_off_rebounds,baseline_games,baseline_possession_share_sd,baseline_minutes_per_game,baseline_possession_share,baseline_assists_per_75,baseline_assist_turnover_ratio,baseline_true_shooting_attempts,baseline_true_shooting_pct,baseline_rim_fga_share,baseline_rim_fg_pct,baseline_turnover_rate,baseline_three_point_fga_share,baseline_fta_rate,baseline_rebounds_per_75_total_possessions,baseline_offensive_rebounds_per_75_off_poss,season_minutes,season_off_poss,season_team_possessions,season_points,season_assists,season_turnovers,season_fga,season_fgm,season_fta,season_ftm,season_at_rim_fga,season_at_rim_fgm,season_def_poss,season_total_poss,season_fg3a,season_fg3m,season_rebounds,season_off_rebounds,season_games,season_possession_share_sd,season_minutes_per_game,season_possession_share,season_assists_per_75,season_assist_turnover_ratio,season_true_shooting_attempts,season_true_shooting_pct,season_rim_fga_share,season_rim_fg_pct,season_turnover_rate,season_three_point_fga_share,season_fta_rate,season_rebounds_per_75_total_possessions,season_offensive_rebounds_per_75_off_poss,recent_team_games,baseline_team_games,season_team_games,recent_games_met,recent_possessions_met,insufficient_recent_games,insufficient_recent_possessions,season_possessions_met,recent_sample_met,inactive_rostered,currently_rostered,score_eligible,sample_status,exclusion_reason,funnel_status,role_label,fulfillment_score,opportunity_score,stability_score,score_status,coverage_pct,formula_version,analysis_mode
1642291,Angel Reese,ATL,Forward,F,True,active,4.0,Angel Reese,4433402.0,Angel Reese,ATL,experience_le_3,2002-05-06T07:00Z,24.0,3.0,True,True,active,reviewed,Krystal Beasley,2026-08-22,ESPN,https://www.espn.com/wnba/player/bio/_/id/4433402/angel-reese,analysis/role_fulfillment_matrix/data/live_inputs/player_core_2026.csv,e5b1f81f0caf215ee0996544f095f7cfbde50f22f6c81e8519af9eb2fae09c26,2026-08-22,normalized_full_name_exact,Angel Reese,ATL,interior_hub_rebounder,interior_finisher_rim_runner,0.95,reviewed,Krystal Beasley,2026-08-22,Reviewed six-role taxonomy assignment,200.25,405.0,500.0,115.0,23.0,15.0,86.0,44.0,30.0,23.0,58.0,36.0,412.0,817.0,14.0,4.0,77.0,27.0,6.0,0.09660324528424287,33.375,0.81,4.2592592592592595,1.5333333333333334,99.2,0.5796370967741935,0.6744186046511628,0.6206896551724138,0.037037037037037035,0.16279069767441862,0.3488372093023256,7.068543451652387,5.0,163.35,346.0,414.0,87.0,14.0,12.0,75.0,32.0,30.0,21.0,44.0,26.0,348.0,694.0,11.0,2.0,67.0,26.0,5.0,0.0861048335551725,32.67,0.8357487922705314,3.0346820809248554,1.1666666666666667,88.2,0.4931972789115646,0.5866666666666667,0.5909090909090909,0.03468208092485549,0.14666666666666667,0.4,7.240634005763689,5.635838150289017,1122.1333333333332,2274.0,2903.0,586.0,97.0,114.0,469.0,207.0,221.0,163.0,336.0,177.0,2289.0,4563.0,50.0,9.0,432.0,179.0,36.0,0.09096782588118882,31.170370370370367,0.7833275921460559,3.199208443271768,0.8508771929824561,566.24,0.5174484317603842,0.7164179104477612,0.5267857142857143,0.05013192612137203,0.10660980810234541,0.47121535181236673,7.100591715976331,5.903693931398417,6.0,5.0,37.0,True,True,False,False,True,True,False,True,True,recent_sample_met,,included,Interior Hub / Rebounder,95.84,77.43,79.68,dry_run_scored,100.0,rfm-live-v1,live_dry_run
1642815,Makayla Timpson,IND,Forward,F,True,active,5.0,Makayla Timpson,4433546.0,Makayla Timpson,IND,experience_le_3,2002-09-20T07:00Z,23.0,2.0,True,True,active,reviewed,Krystal Beasley,2026-08-22,ESPN,https://www.espn.com/wnba/player/bio/_/id/4433546/makayla-timpson,analysis/role_fulfillment_matrix/data/live_inputs/player_core_2026.csv,e5b1f81f0caf215ee0996544f095f7cfbde50f22f6c81e8519af9eb2fae09c26,2026-08-22,normalized_full_name_exact,Makayla Timpson,IND,interior_finisher_rim_runner,interior_hub_rebounder,0.95,reviewed,Krystal Beasley,2026-08-22,Reviewed six-role taxonomy assignment,197.9,396.0,577.0,70.0,4.0,10.0,46.0,32.0,11.0,6.0,33.0,24.0,402.0,798.0,0.0,0.0,52.0,14.0,7.0,0.12568770226510664,28.271428571428572,0.6863084922010398,0.7575757575757577,0.4,50.84,0.6884343036978756,0.717391304347826,0.7272727272727273,0.025252525252525252,0.0,0.2391304347826087,4.887218045112782,2.6515151515151514,131.11666666666667,270.0,416.0,40.0,3.0,5.0,28.0,19.0,5.0,2.0,23.0,18.0,273.0,543.0,0.0,0.0,26.0,7.0,5.0,0.11713727284436865,26.223333333333336,0.6490384615384616,0.8333333333333334,0.6,30.2,0.6622516556291391,0.8214285714285714,0.782608695652174,0.018518518518518517,0.0,0.17857142857142858,3.5911602209944755,1.9444444444444444,720.55,1471.0,3140.0,206.0,20.0,30.0,138.0,88.0,47.0,30.0,105.0,74.0,1497.0,2968.0,0.0,0.0,182.0,59.0,38.0,0.218540849239065,18.961842105263155,0.46847133757961784,1.0197144799456153,0.6666666666666666,158.68,0.6491051172170406,0.7608695652173914,0.7047619047619048,0.020394289598912305,0.0,0.34057971014492755,4.599056603773585,3.0081577158395647,7.0,5.0,39.0,True,True,False,False,True,True,False,True,True,recent_sample_met,,included,Interior Finisher / Rim Runner,94.02,80.04,73.86,dry_run_scored,100.0,rfm-live-v1,live_dry_run
1643426,Olivia Miles,MIN,Guard,G,True,active,1.0,Olivia Miles,4433791.0,Olivia Miles,MIN,experience_le_3,2003-01-29T08:00Z,23.0,0.0,True,True,active,reviewed,Krystal Beasley,2026-08-22,ESPN,https://www.espn.com/wnba/player/bio/_/id/4433791/olivia-miles,analysis/role_fulfillment_matrix/data/live_inputs/player_core_2026.csv,e5b1f81f0caf215ee0996544f095f7cfbde50f22f6c81e8519af9eb2fae09c26,2026-08-22,normalized_full_name_exact,Olivia Miles,MIN,lead_creator,perimeter_scorer_spacer,0.95,reviewed,Krystal Beasley,2026-08-22,Reviewed six-role taxonomy assignment,128.21666666666667,243.0,303.0,80.0,29.0,11.0,60.0,29.0,15.0,13.0,12.0,7.0,244.0,487.0,22.0,9.0,17.0,1.0,4.0,0.05329344474470813,32.05416666666667,0.801980198019802,8.950617283950617,2.6363636363636362,66.6,0.6006006006006006,0.2,0.5833333333333334,0.04526748971193416,0.36666666666666664,0.25,2.6180698151950716,0.308641975308642,188.53333333333333,382.0,481.0,137.0,39.0,20.0,97.0,52.0,17.0,15.0,48.0,30.0,383.0,765.0,34.0,18.0,26.0,4.0,6.0,0.10084311531796035,31.42222222222222,0.7941787941787942,7.657068062827225,1.95,104.48,0.6556278713629402,0.4948453608247423,0.625,0.05235602094240838,0.35051546391752575,0.17525773195876287,2.549019607843137,0.7853403141361257,1117.0,2227.0,2866.0,720.0,222.0,111.0,513.0,257.0,166.0,145.0,216.0,137.0,2245.0,4472.0,151.0,61.0,166.0,22.0,36.0,0.08812397256611695,31.02777777777778,0.7770411723656664,7.476425684777728,2.0,586.04,0.6142925397583783,0.42105263157894735,0.6342592592592593,0.049842837898518184,0.29434697855750486,0.3235867446393762,2.783989266547406,0.740907049842838,4.0,6.0,38.0,True,True,False,False,True,True,False,True,True,recent_sample_met,,included,Lead Creator,90.7,80.78,75.97,dry_run_scored,100.0,rfm-live-v1,live_dry_run
1642286,Caitlin Clark,IND,Guard,G,True,active,5.0,Caitlin Clark,4433403.0,Caitlin Clark,IND,experience_le_3,2002-01-22T08:00Z,24.0,3.0,True,True,active,reviewed,Krystal Beasley,2026-08-22,ESPN,https://www.espn.com/wnba/player/bio/_/id/4433403/caitlin-clark,analysis/role_fulfillment_matrix/data/live_inputs/player_core_2026.csv,e5b1f81f0caf215ee0996544f095f7cfbde50f22f6c81e8519af9eb2fae09c26,2026-08-22,normalized_full_name_exact,Caitlin Clark,IND,lead_creator,perimeter_scorer_spacer,0.95,reviewed,Krystal Beasley,2026-08-22,Reviewed six-role taxonomy assignment,245.16666666666669,493.0,577.0,169.0,62.0,27.0,126.0,60.0,32.0,24.0,19.0,12.0,499.0,992.0,61.0,25.0,24.0,0.0,7.0,0.025009539800081193,35.023809523809526,0.854419410745234,9.432048681541582,2.2962962962962963,140.08,0.6032267275842376,0.15079365079365079,0.631578947368421,0.05476673427991886,0.48412698412698413,0.25396825396825395,1.814516129032258,0.0,175.38333333333333,358.0,416.0,123.0,46.0,26.0,76.0,36.0,44.0,36.0,16.0,9.0,353.0,711.0,37.0,15.0,22.0,1.0,5.0,0.013304028931556708,35.07666666666667,0.8605769230769231,9.636871508379889,1.7692307692307692,95.36,0.6449244966442953,0.21052631578947367,0.5625,0.07262569832402235,0.4868421052631579,0.5789473684210527,2.320675105485232,0.20949720670391062,1091.9166666666667,2252.0,2908.0,775.0,288.0,161.0,549.0,247.0,216.0,181.0,116.0,76.0,2233.0,4485.0,272.0,100.0,134.0,8.0,35.0,0.11780118559712785,31.19761904761905,0.7744154057771664,9.591474245115453,1.7888198757763976,644.04,0.6016707036830011,0.21129326047358835,0.6551724137931034,0.07149200710479574,0.49544626593806923,0.39344262295081966,2.240802675585284,0.2664298401420959,7.0,5.0,39.0,True,True,False,False,True,True,False,True,True,recent_sample_met,,included,Lead Creator,86.76,79.38,94.0,dry_run_scored,100.0,rfm-live-v1,live_dry_run
1642769,Mai Yamamoto,LVA,Guard,G,True,active,3.0,Mai Yamamoto,5220104.0,Mai Yamamoto,LVA,experience_le_3,1999-10-23T07:00Z,26.0,0.0,True,True,active,reviewed,Krystal Beasley,2026-08-22,ESPN,https://www.espn.com/wnba/player/bio/_/id/5220104/mai-yamamoto,analysis/role_fulfillment_matrix/data/live_inputs/player_core_2026.csv,e5b1f81f0caf215ee0996544f095f7cfbde50f22f6c81e8519af9eb2fae09c26,2026-08-22,normalized_full_name_exact,Mai Yamamoto,LVA,secondary_creator_connector,perimeter_scorer_spacer,0.9,reviewed,Krystal Beasley,2026-08-22,Reviewed six-role taxonomy assignment,99.13333333333333,193.0,470.0,36.0,9.0,2.0,26.0,10.0,9.0,9.0,0.0,0.0,195.0,388.0,17.0,7.0,4.0,1.0,6.0,0.07602586489953768,16.522222222222222,0.4106382978723404,3.4974093264248705,4.5,29.96,0.6008010680907877,0.0,,0.010362694300518135,0.6538461538461539,0.34615384615384615,0.7731958762886598,0.38860103626943004,30.9,64.0,238.0,19.0,7.0,2.0,14.0,7.0,0.0,0.0,3.0,2.0,68.0,132.0,10.0,5.0,1.0,0.0,3.0,0.2795051893750346,10.299999999999999,0.2689075630252101,8.203125,3.5,14.0,0.6785714285714286,0.21428571428571427,0.6666666666666666,0.03125,0.7142857142857143,0.0,0.5681818181818182,0.0,130.03333333333333,257.0,708.0,55.0,16.0,4.0,40.0,17.0,9.0,9.0,3.0,2.0,263.0,520.0,27.0,12.0,5.0,1.0,9.0,0.18571164769675144,14.448148148148148,0.3629943502824859,4.669260700389105,4.0,43.96,0.6255686988171064,0.075,0.6666666666666666,0.01556420233463035,0.675,0.225,0.7211538461538461,0.2918287937743191,6.0,7.0,39.0,True,True,False,False,False,True,False,True,True,recent_sample_met,,included,Secondary Creator / Connector,60.0,50.81,72.09,dry_run_scored,100.0,rfm-live-v1,live_dry_run
1631136,Pauline Astier,NYL,Guard,G,True,active,6.0,Pauline Astier,5345320.0,Pauline Astier,NYL,experience_le_3,2002-02-15T08:00Z,24.0,0.0,True,True,active,reviewed,Krystal Beasley,2026-08-22,ESPN,https://www.espn.com/wnba/player/bio/_/id/5345320/pauline-astier,analysis/role_fulfillment_matrix/data/live_inputs/player_core_2026.csv,e5b1f81f0caf215ee0996544f095f7cfbde50f22f6c81e8519af9eb2fae09c26,2026-08-22,normalized_full_name_exact,Pauline Astier,NYL,secondary_creator_connector,downhill_pressure_wing,0.9,reviewed,Krystal Beasley,2026-08-22,Reviewed six-role taxonomy assignment,104.53333333333333,210.0,409.0,34.0,15.0,9.0,29.0,13.0,10.0,8.0,15.0,13.0,213.0,423.0,7.0,0.0,11.0,4.0,5.0,0.0756963051147304,20.906666666666666,0.5134474327628362,5.357142857142857,1.6666666666666667,33.4,0.5089820359281437,0.5172413793103449,0.8666666666666667,0.04285714285714286,0.2413793103448276,0.3448275862068966,1.950354609929078,1.4285714285714286,125.66666666666666,253.0,488.0,58.0,16.0,8.0,32.0,23.0,10.0,10.0,16.0,14.0,253.0,506.0,4.0,2.0,8.0,3.0,6.0,0.10987909705188445,20.944444444444443,0.5184426229508197,4.743083003952568,2.0,36.4,0.7967032967032968,0.5,0.875,0.03162055335968379,0.125,0.3125,1.185770750988142,0.8893280632411067,883.35,1743.0,3048.0,354.0,129.0,63.0,237.0,130.0,90.0,79.0,114.0,86.0,1750.0,3493.0,47.0,15.0,92.0,21.0,38.0,0.11678477368800523,23.246052631578948,0.5718503937007874,5.550774526678141,2.0476190476190474,276.6,0.6399132321041214,0.4810126582278481,0.7543859649122807,0.03614457831325301,0.19831223628691982,0.379746835443038,1.975379330088749,0.9036144578313253,5.0,6.0,38.0,True,True,False,False,True,True,False,True,True,recent_sample_met,,included,Secondary Creator / Connector,44.06,50.94,70.53,dry_run_scored,100.0,rfm-live-v1,live_dry_run
1642767,Janelle Salaun,GSV,Forward,F,True,active,2.0,Janelle Salaun,4790264.0,Janelle Salaun,GSV,experience_le_3,2001-09-05T07:00Z,24.0,2.0,True,True,active,reviewed,Krystal Beasley,2026-08-22,ESPN,https://www.espn.com/wnba/player/bio/_/id/4790264/janelle-salaun,analysis/role_fulfillment_matrix/data/live_inputs/player_core_2026.csv,e5b1f81f0caf215ee0996544f095f7cfbde50f22f6c81e8519af9eb2fae09c26,2026-08-22,normalized_full_name_exact,Janelle Salaun,GSV,perimeter_scorer_spacer,secondary_creator_connector,0.9,reviewed,Krystal Beasley,2026-08-22,Reviewed six-role taxonomy assignment,63.8,117.0,224.0,38.0,7.0,1.0,33.0,13.0,9.0,7.0,3.0,3.0,119.0,236.0,17.0,5.0,13.0,4.0,3.0,0.07651446879077228,21.266666666666666,0.5223214285714286,4.487179487179487,7.0,36.96,0.514069264069264,0.09090909090909091,1.0,0.008547008547008548,0.5151515151515151,0.2727272727272727,4.13135593220339,2.5641025641025643,110.96666666666667,216.0,372.0,75.0,6.0,5.0,47.0,24.0,15.0,14.0,5.0,5.0,218.0,434.0,31.0,13.0,12.0,1.0,5.0,0.1104461750634669,22.193333333333335,0.5806451612903226,2.083333333333333,1.2,53.6,0.6996268656716418,0.10638297872340426,1.0,0.023148148148148147,0.6595744680851063,0.3191489361702128,2.0737327188940093,0.3472222222222222,778.3,1478.0,2608.0,458.0,42.0,27.0,345.0,146.0,98.0,81.0,43.0,31.0,1495.0,2973.0,218.0,85.0,133.0,35.0,35.0,0.1136306384560433,22.237142857142857,0.566717791411043,2.1312584573748308,1.5555555555555556,388.12,0.5900237040090693,0.1246376811594203,0.7209302325581395,0.018267929634641408,0.6318840579710145,0.28405797101449276,3.355196770938446,1.7760487144790256,4.0,5.0,36.0,True,True,False,False,True,True,False,True,True,recent_sample_met,,included,Perimeter Scorer / Spacer,43.41,46.85,54.4,dry_run_scored,100.0,rfm-live-v1,live_dry_run
1642302,Isobel Borlase,ATL,Guard,G,True,active,4.0,Isobel Borlase,5208983.0,Isobel Borlase,ATL,experience_le_3,2004-09-12T07:00Z,21.0,0.0,True,True,active,reviewed,Krystal Beasley,2026-08-22,ESPN,https://www.espn.com/wnba/player/bio/_/id/5208983/isobel-borlase,analysis/role_fulfillment_matrix/data/live_inputs/player_core_2026.csv,e5b1f81f0caf215ee0996544f095f7cfbde50f22f6c81e8519af9eb2fae09c26,2026-08-22,normalized_full_name_exact,Isobel Borlase,ATL,downhill_pressure_wing,perimeter_scorer_spacer,0.8,reviewed,Krystal Beasley,2026-08-22,Reviewed six-role taxonomy assignment,96.3,198.0,500.0,33.0,11.0,4.0,28.0,10.0,10.0,9.0,9.0,5.0,202.0,400.0,9.0,4.0,9.0,0.0,6.0,0.15032886660687556,16.05,0.396,4.166666666666666,2.75,32.4,0.5092592592592593,0.32142857142857145,0.5555555555555556,0.020202020202020204,0.32142857142857145,0.35714285714285715,1.6875,0.0,66.06666666666666,132.0,414.0,13.0,5.0,3.0,17.0,5.0,3.0,2.0,6.0,3.0,134.0,266.0,4.0,1.0,9.0,3.0,5.0,0.08041777660742233,13.213333333333333,0.3188405797101449,2.840909090909091,1.6666666666666667,18.32,0.3548034934497816,0.35294117647058826,0.5,0.022727272727272728,0.23529411764705882,0.17647058823529413,2.537593984962406,1.7045454545454546,487.26666666666665,977.0,2984.0,171.0,40.0,26.0,152.0,63.0,30.0,28.0,57.0,32.0,986.0,1963.0,55.0,17.0,54.0,10.0,37.0,0.14121473182900995,13.169369369369369,0.3274128686327078,3.0706243602865917,1.5384615384615385,165.2,0.5175544794188862,0.375,0.5614035087719298,0.02661207778915046,0.3618421052631579,0.19736842105263158,2.0631686194600105,0.7676560900716479,6.0,5.0,37.0,True,True,False,False,True,True,False,True,True,recent_sample_met,,included,Downhill Pressure Wing,39.93,42.47,55.8,dry_run_scored,100.0,rfm-live-v1,live_dry_run
1643431,Madina Okot,ATL,Center,C,True,active,4.0,Madina Okot,5108587.0,Madina Okot,ATL,experience_le_3,2004-08-23T07:00Z,21.0,0.0,True,True,active,reviewed,Krystal Beasley,2026-08-22,ESPN,https://www.espn.com/wnba/player/bio/_/id/5108587/madina-okot,analysis/role_fulfillment_matrix/data/live_inputs/player_core_2026.csv,e5b1f81f0caf215ee0996544f095f7cfbde50f22f6c81e8519af9eb2fae09c26,2026-08-22,normalized_full_name_exact,Madina Okot,ATL,interior_finisher_rim_runner,interior_hub_rebounder,0.9,reviewed,Krystal Beasley,2026-08-22,Reviewed six-role taxonomy assignment,71.06666666666666,147.0,500.0,34.0,4.0,12.0,26.0,13.0,10.0,8.0,17.0,10.0,149.0,296.0,0.0,0.0,25.0,8.0,6.0,0.13369739747090367,11.844444444444443,0.294,2.0408163265306123,0.3333333333333333,30.4,0.5592105263157895,0.6538461538461539,0.5882352941176471,0.08163265306122448,0.0,0.38461538461538464,6.33445945945946,4.081632653061225,15.533333333333333,29.0,327.0,4.0,0.0,2.0,4.0,1.0,2.0,2.0,1.0,0.0,33.0,62.0,0.0,0.0,4.0,1.0,4.0,0.06836338571082966,3.8833333333333333,0.08868501529051988,0.0,0.0,4.88,0.4098360655737705,0.25,0.0,0.06896551724137931,0.0,0.5,4.838709677419355,2.586206896551724,342.2,677.0,2897.0,206.0,10.0,48.0,140.0,81.0,56.0,43.0,109.0,72.0,694.0,1371.0,8.0,1.0,128.0,43.0,36.0,0.13560449694812615,9.505555555555555,0.23369002416292717,1.1078286558345642,0.20833333333333334,164.64,0.6256073858114675,0.7785714285714286,0.6605504587155964,0.07090103397341212,0.05714285714285714,0.4,7.00218818380744,4.763663220088627,6.0,5.0,37.0,True,True,False,False,True,True,False,True,True,recent_sample_met,,included,Interior Finisher / Rim Runner,35.56,40.29,55.96,dry_run_scored,100.0,rfm-live-v1,live_dry_run
1642822,Kaitlyn Chen,GSV,Guard,G,True,active,2.0,Kaitlyn Chen,4899328.0,Kaitlyn Chen,GSV,experience_le_3,2002-02-22T08:00Z,24.0,2.0,True,True,active,reviewed,Krystal Beasley,2026-08-22,ESPN,https://www.espn.com/wnba/player/bio/_/id/4899328/kaitlyn-chen,analysis/role_fulfillment_matrix/data/live_inputs/player_core_2026.csv,e5b1f81f0caf215ee0996544f095f7cfbde50f22f6c81e8519af9eb2fae09c26,2026-08-22,normalized_full_name_exact,Kaitlyn Chen,GSV,secondary_creator_connector,perimeter_scorer_spacer,0.9,reviewed,Krystal Beasley,2026-08-22,Reviewed six-role taxonomy assignment,62.166666666666664,121.0,302.0,15.0,5.0,6.0,16.0,6.0,0.0,0.0,2.0,1.0,123.0,244.0,5.0,3.0,4.0,0.0,4.0,0.25132514779988774,15.541666666666666,0.40066225165562913,3.0991735537190084,0.8333333333333334,16.0,0.46875,0.125,0.5,0.049586776859504134,0.3125,0.0,1.2295081967213115,0.0,62.71666666666667,118.0,372.0,16.0,17.0,9.0,23.0,8.0,0.0,0.0,6.0,4.0,123.0,241.0,8.0,0.0,3.0,1.0,5.0,0.10954920113086487,12.543333333333333,0.3172043010752688,10.805084745762713,1.8888888888888888,23.0,0.34782608695652173,0.2608695652173913,0.6666666666666666,0.07627118644067797,0.34782608695652173,0.0,0.933609958506224,0.635593220338983,521.55,987.0,2686.0,240.0,72.0,44.0,185.0,98.0,37.0,26.0,54.0,40.0,1017.0,2004.0,48.0,18.0,41.0,12.0,36.0,0.16615955064585475,14.487499999999999,0.36746090841399853,5.47112462006079,1.6363636363636365,201.28,0.5961844197138315,0.2918918918918919,0.7407407407407407,0.044579533941236066,0.2594594594594595,0.2,1.5344311377245508,0.9118541033434651,4.0,5.0,36.0,True,True,False,False,True,True,False,True,True,recent_sample_met,,included,Secondary Creator / Connector,11.56,42.71,43.43,dry_run_scored,100.0,rfm-live-v1,live_dry_run
