off_poss,def_poss,total_poss,points,opponent_points,fg2_a,fg2_m,fg3_a,fg3_m,fta,ft_points,at_rim_fga,at_rim_fgm,short_mid_range_fga,short_mid_range_fgm,long_mid_range_fga,long_mid_range_fgm,corner3_fga,corner3_fgm,arc3_fga,arc3_fgm,turnovers,live_ball_turnovers,off_rebounds,def_rebounds,assists,pts_assisted2s,pts_assisted3s,second_chance_points,second_chance_off_poss,penalty_off_poss,penalty_points,steals,blocks,fouls,games_in_window,is_baseline_block,window_start_utc,window_end_utc,shotquality_pbp_avg,shotquality_pbp_avg_weight,off_rating,def_rating,net_rating,pace,points_per_game,opponent_points_per_game,fga,fgm,efg_pct,ts_pct,points_per_fga,fg2_pct,fg3_pct,ft_attempt_rate,three_point_attempt_rate,rim_fga_share,short_mid_fga_share,long_mid_fga_share,midrange_fga_share,corner3_fga_share,above_break3_fga_share,rim_and_three_fga_share,corner3_share_of_3pa,rim_accuracy,shot_making_over_shotquality,turnover_rate,live_ball_turnover_rate,assist_rate,assisted_points_share,off_reb_per_100_off_poss,def_reb_per_100_def_poss,second_chance_points_share,second_chance_off_poss_share,penalty_off_poss_share,penalty_points_share,steals_per_100_def_poss,blocks_per_100_def_poss,fouls_per_100_def_poss,team_abbreviation,period,games,first_game_date,last_game_date
1910.0,1932.0,3842.0,2119.0,2034.0,1058.0,537.0,642.0,200.0,586.0,445.0,701.0,414.0,315.0,116.0,42.0,7.0,117.0,38.0,525.0,162.0,335.0,153.0,370.0,609.0,477.0,580.0,561.0,345.0,305.0,531.0,620.0,229.0,66.0,462.0,24.0,0.0,4.27499424e+16,4.27499424e+16,0.5370089877803259,1700.0,110.94240837696334,105.27950310559007,5.662905271373276,79.58333333333333,88.29166666666667,84.75,1700.0,737.0,0.4923529411764706,0.541157602255547,1.2464705882352942,0.5075614366729678,0.3115264797507788,0.3447058823529412,0.3776470588235294,0.4123529411764706,0.18529411764705883,0.024705882352941175,0.21,0.0688235294117647,0.3088235294117647,0.79,0.1822429906542056,0.5905848787446505,-0.044656046603855304,0.17539267015706805,0.08010471204188482,0.6472184531886025,0.5384615384615384,19.3717277486911,31.521739130434785,0.16281264747522417,0.15968586387434555,0.2780104712041885,0.292590844738084,11.853002070393375,3.4161490683229814,23.91304347826087,ATL,baseline,24.0,2026-05-09,2026-07-13
824.0,830.0,1654.0,943.0,882.0,454.0,225.0,266.0,88.0,275.0,229.0,281.0,167.0,144.0,50.0,29.0,8.0,47.0,12.0,219.0,76.0,138.0,67.0,152.0,285.0,231.0,306.0,234.0,145.0,124.0,212.0,259.0,71.0,48.0,215.0,10.0,0.0,1.78568064e+16,1.78568064e+16,0.5316966512345679,720.0,114.44174757281553,106.26506024096385,8.176687331851682,82.4,94.3,88.2,720.0,313.0,0.49583333333333335,0.56064209274673,1.3097222222222222,0.4955947136563877,0.3308270676691729,0.3819444444444444,0.36944444444444446,0.3902777777777778,0.2,0.04027777777777778,0.24027777777777778,0.06527777777777778,0.30416666666666664,0.7597222222222222,0.17669172932330826,0.594306049822064,-0.03586331790123454,0.16747572815533981,0.08131067961165049,0.7380191693290735,0.5726405090137858,18.446601941747574,34.33734939759036,0.1537645811240721,0.15048543689320387,0.25728155339805825,0.27465535524920465,8.55421686746988,5.783132530120482,25.903614457831324,ATL,recent,10.0,2026-07-17,2026-08-16
2054.0,2079.0,4133.0,2178.0,2235.0,1151.0,578.0,591.0,186.0,609.0,464.0,663.0,395.0,363.0,138.0,125.0,45.0,136.0,44.0,455.0,142.0,337.0,196.0,280.0,698.0,527.0,742.0,468.0,254.0,240.0,540.0,604.0,169.0,124.0,537.0,25.0,0.0,4.4532288e+16,4.4532288e+16,0.5283573756972597,1742.0,106.03700097370982,107.5036075036075,-1.4666065298976747,82.16,87.12,89.4,1742.0,764.0,0.491963260619977,0.5418018269020279,1.2502870264064294,0.5021720243266724,0.3147208121827411,0.34959816303099883,0.33926521239954077,0.3805970149253731,0.20838117106773824,0.07175660160734787,0.2801377726750861,0.07807118254879448,0.26119402985074625,0.7198622273249139,0.23011844331641285,0.5957767722473605,-0.036394115077282685,0.1640701071080818,0.09542356377799416,0.6897905759162304,0.5555555555555556,13.631937682570594,33.573833573833575,0.11662075298438934,0.11684518013631938,0.2629016553067186,0.2773186409550046,8.128908128908128,5.964405964405964,25.82972582972583,CHI,baseline,25.0,2026-05-09,2026-07-17
827.0,836.0,1663.0,886.0,911.0,488.0,245.0,214.0,74.0,224.0,174.0,284.0,173.0,139.0,45.0,65.0,27.0,47.0,16.0,167.0,58.0,134.0,72.0,106.0,276.0,221.0,318.0,186.0,111.0,93.0,176.0,177.0,88.0,39.0,205.0,10.0,0.0,1.78574112e+16,1.78574112e+16,0.5302498621260694,702.0,107.1342200725514,108.97129186602872,-1.837071793477321,82.7,88.6,91.1,702.0,319.0,0.5071225071225072,0.5533626461476967,1.2621082621082622,0.5020491803278688,0.34579439252336447,0.3190883190883191,0.30484330484330485,0.4045584045584046,0.198005698005698,0.09259259259259259,0.2905982905982906,0.06695156695156695,0.2378917378917379,0.7094017094017094,0.21962616822429906,0.6091549295774648,-0.023127355003562222,0.16203143893591293,0.08706166868198308,0.6927899686520376,0.5688487584650113,12.817412333736398,33.014354066985646,0.1252821670428894,0.1124546553808948,0.21281741233373638,0.19977426636568849,10.526315789473683,4.6650717703349285,24.52153110047847,CHI,recent,10.0,2026-07-19,2026-08-16
1818.0,1839.0,3657.0,1823.0,1986.0,1146.0,558.0,421.0,117.0,520.0,356.0,542.0,329.0,400.0,154.0,204.0,75.0,72.0,23.0,349.0,94.0,337.0,169.0,301.0,584.0,433.0,658.0,312.0,269.0,246.0,551.0,568.0,195.0,105.0,525.0,23.0,0.0,4.09568832e+16,4.09568832e+16,0.49842150138669294,1567.0,100.27502750275028,107.99347471451877,-7.718447211768492,79.04347826086956,79.26086956521739,86.34782608695652,1567.0,675.0,0.4680918953414167,0.5075732264171957,1.1633694958519465,0.4869109947643979,0.27790973871733965,0.3318442884492661,0.2686662412252712,0.34588385449904274,0.2552648372686662,0.1301850670070198,0.38544990427568604,0.04594767070835992,0.2227185705169113,0.614550095724314,0.171021377672209,0.6070110701107011,-0.030329606045276236,0.18536853685368537,0.09295929592959296,0.6414814814814814,0.5320899616017554,16.556655665566556,31.756389342033714,0.14755896873285793,0.1353135313531353,0.3030803080308031,0.3115743280307186,10.60358890701468,5.709624796084829,28.548123980424144,CON,baseline,23.0,2026-05-08,2026-07-10
796.0,796.0,1592.0,791.0,892.0,472.0,214.0,207.0,71.0,199.0,150.0,193.0,120.0,186.0,69.0,93.0,25.0,48.0,20.0,159.0,51.0,148.0,79.0,123.0,260.0,195.0,252.0,207.0,99.0,102.0,189.0,198.0,69.0,54.0,228.0,10.0,0.0,1.78529184e+16,1.78529184e+16,0.4970119205136926,679.0,99.37185929648241,112.0603015075377,-12.688442211055289,79.6,79.1,89.2,679.0,285.0,0.47201767304860087,0.5159413483615112,1.1649484536082475,0.4533898305084746,0.34299516908212563,0.2930780559646539,0.30486008836524303,0.28424153166421207,0.27393225331369664,0.13696612665684832,0.4108983799705449,0.07069219440353461,0.2341678939617084,0.5891016200294551,0.2318840579710145,0.6217616580310881,-0.024994247465091712,0.18592964824120603,0.0992462311557789,0.6842105263157895,0.5802781289506953,15.452261306532664,32.663316582914575,0.12515802781289506,0.12814070351758794,0.23743718592964824,0.2503160556257901,8.668341708542714,6.78391959798995,28.643216080402013,CON,recent,10.0,2026-07-14,2026-08-15
2068.0,2081.0,4149.0,2335.0,2230.0,1258.0,660.0,630.0,217.0,457.0,364.0,480.0,325.0,512.0,214.0,266.0,121.0,114.0,33.0,516.0,184.0,300.0,142.0,303.0,727.0,580.0,776.0,576.0,309.0,258.0,357.0,403.0,176.0,90.0,486.0,26.0,0.0,4.63150656e+16,4.63150656e+16,0.4884014875549518,1888.0,112.9110251450677,107.16001922152812,5.75100592353958,79.53846153846153,89.8076923076923,85.76923076923077,1888.0,877.0,0.5219809322033898,0.5588584448656825,1.2367584745762712,0.5246422893481717,0.34444444444444444,0.2420550847457627,0.3336864406779661,0.2542372881355932,0.2711864406779661,0.1408898305084746,0.4120762711864407,0.06038135593220339,0.2733050847457627,0.5879237288135594,0.18095238095238095,0.6770833333333334,0.03357944464843804,0.1450676982591876,0.06866537717601548,0.661345496009122,0.5790149892933619,14.65183752417795,34.93512734262374,0.1323340471092077,0.12475822050290135,0.17263056092843326,0.17259100642398287,8.45747236905334,4.324843825084094,23.35415665545411,DAL,baseline,26.0,2026-05-09,2026-07-20
784.0,792.0,1576.0,849.0,880.0,437.0,236.0,241.0,74.0,194.0,155.0,168.0,112.0,171.0,79.0,98.0,45.0,50.0,17.0,191.0,57.0,133.0,67.0,113.0,280.0,200.0,272.0,192.0,107.0,99.0,205.0,220.0,66.0,42.0,180.0,10.0,0.0,1.7859312e+16,1.7859312e+16,0.4828289309991021,678.0,108.29081632653062,111.11111111111111,-2.820294784580497,78.4,84.9,88.0,678.0,310.0,0.5117994100294986,0.5560941102494236,1.252212389380531,0.540045766590389,0.3070539419087137,0.2861356932153392,0.3554572271386431,0.24778761061946902,0.252212389380531,0.14454277286135694,0.3967551622418879,0.07374631268436578,0.28171091445427726,0.6032448377581121,0.2074688796680498,0.6666666666666666,0.028970479030396457,0.16964285714285715,0.08545918367346939,0.6451612903225806,0.5465253239104829,14.41326530612245,35.35353535353536,0.12603062426383982,0.12627551020408162,0.2614795918367347,0.2591283863368669,8.333333333333332,5.303030303030303,22.727272727272727,DAL,recent,10.0,2026-07-22,2026-08-17
1793.0,1819.0,3612.0,1967.0,1828.0,898.0,424.0,734.0,254.0,467.0,357.0,344.0,208.0,409.0,169.0,145.0,47.0,190.0,68.0,544.0,186.0,276.0,142.0,310.0,638.0,436.0,424.0,672.0,286.0,266.0,452.0,494.0,177.0,104.0,476.0,24.0,0.0,4.27452768e+16,4.27452768e+16,0.4858844289941489,1632.0,109.70440602342444,100.49477735019241,9.209628673232032,74.70833333333333,81.95833333333333,76.16666666666667,1632.0,678.0,0.49325980392156865,0.5352439210222696,1.2052696078431373,0.47216035634743875,0.3460490463215259,0.2861519607843137,0.4497549019607843,0.2107843137254902,0.2506127450980392,0.08884803921568628,0.3394607843137255,0.11642156862745098,0.3333333333333333,0.6605392156862745,0.25885558583106266,0.6046511627906976,0.007375374927419742,0.1539319576129392,0.07919687674288901,0.6430678466076696,0.5571936959837316,17.289459007250418,35.074216602528864,0.14539908490086426,0.1483547127718907,0.2520914668153932,0.25114387391967463,9.730621220450796,5.7174271577789995,26.168224299065418,GSV,baseline,24.0,2026-05-08,2026-07-10
744.0,755.0,1499.0,868.0,780.0,365.0,190.0,310.0,114.0,179.0,146.0,129.0,94.0,176.0,73.0,60.0,23.0,71.0,25.0,239.0,89.0,114.0,61.0,115.0,241.0,212.0,210.0,321.0,109.0,101.0,142.0,192.0,89.0,29.0,183.0,10.0,0.0,1.78553376e+16,1.78553376e+16,0.48458022222222225,675.0,116.66666666666667,103.31125827814569,13.355408388520985,74.4,86.8,78.0,675.0,304.0,0.5348148148148149,0.575780089153046,1.285925925925926,0.5205479452054794,0.36774193548387096,0.2651851851851852,0.45925925925925926,0.19111111111111112,0.2607407407407407,0.08888888888888889,0.3496296296296296,0.10518518518518519,0.3540740740740741,0.6503703703703704,0.22903225806451613,0.7286821705426356,0.05023459259259261,0.1532258064516129,0.08198924731182795,0.6973684210526315,0.6117511520737328,15.456989247311828,31.920529801324506,0.12557603686635946,0.135752688172043,0.19086021505376344,0.22119815668202766,11.788079470198676,3.8410596026490067,24.23841059602649,GSV,recent,10.0,2026-07-15,2026-08-17
