team_abbreviation,dimension,baseline_value,recent_value,delta,league_scale,z_delta
ATL,three_point_attempt_rate,0.37628865979381443,0.36995827538247567,-0.006330384411338763,0.050443404684413044,-0.12549478868334288
ATL,rim_fga_share,0.40335051546391754,0.4381084840055633,0.034757968541645756,0.05815079271966341,0.5977213192812162
ATL,midrange_fga_share,0.22036082474226804,0.19193324061196107,-0.028427584130306965,0.058844169397011585,-0.48309942041174714
ATL,corner3_share_of_3pa,0.18493150684931506,0.19172932330827067,0.006797816458955608,0.030733017041944796,0.22118936288220142
ATL,ft_attempt_rate,0.3472938144329897,0.3616133518776078,0.014319537444618113,0.04221213900935763,0.3392279515009591
ATL,turnover_rate,0.17525773195876287,0.170316301703163,-0.004941430255599871,0.015704202441784446,-0.3146565560344613
ATL,live_ball_turnover_rate,0.07731958762886598,0.08637469586374696,0.009055108234880982,0.010658823415013403,0.8495410686817908
ATL,off_reb_per_100_off_poss,19.243986254295535,18.369829683698295,-0.8741565705972398,1.9568467032219692,-0.44671693963453124
ATL,assist_rate,0.6437125748502994,0.7345679012345679,0.09085532638426852,0.019207007525681472,4.730321798582465
ATL,assisted_points_share,0.5358255451713395,0.5866099893730075,0.050784444201667944,0.01807023533814567,2.810391965093208
ATL,second_chance_off_poss_share,0.15693012600229095,0.15450121654501217,-0.0024289094572787773,0.014055422510176658,-0.17280942323293055
ATL,penalty_off_poss_share,0.281786941580756,0.24574209245742093,-0.03604484912333508,0.03672341091110656,-0.9815223648638188
ATL,pace,79.36363636363636,82.2,2.836363636363643,1.8596041745647498,1.5252512739855024
CHI,three_point_attempt_rate,0.3318639798488665,0.3286908077994429,-0.0031731720494236337,0.050443404684413044,-0.06290558833757985
CHI,rim_fga_share,0.3778337531486146,0.4233983286908078,0.045564575542193175,0.05815079271966341,0.7835589750573724
CHI,midrange_fga_share,0.2903022670025189,0.2479108635097493,-0.04239140349276957,0.058844169397011585,-0.7204010852249777
CHI,corner3_share_of_3pa,0.22580645161290322,0.2330508474576271,0.007244395844723889,0.030733017041944796,0.23572029504414255
CHI,ft_attempt_rate,0.3614609571788413,0.3022284122562674,-0.059232544922573904,0.04221213900935763,-1.4032111689351534
CHI,turnover_rate,0.1664899257688229,0.14527845036319612,-0.02121147540562679,0.015704202441784446,-1.3506878483168967
CHI,live_ball_turnover_rate,0.09650053022269353,0.07627118644067797,-0.02022934378201556,0.010658823415013403,-1.8978965120598277
CHI,off_reb_per_100_off_poss,13.732767762460233,12.227602905569007,-1.5051648568912253,1.9568467032219692,-0.7691787273949232
CHI,assist_rate,0.6835260115606936,0.7091988130563798,0.02567280149568618,0.019207007525681472,1.3366372383287386
CHI,assisted_points_share,0.5455460493205838,0.5941558441558441,0.04860979483526029,0.01807023533814567,2.6900476903389636
CHI,second_chance_off_poss_share,0.11770943796394485,0.10653753026634383,-0.011171907697601027,0.014055422510176658,-0.7948468065981042
CHI,penalty_off_poss_share,0.26617179215270415,0.22276029055690072,-0.043411501595803426,0.03672341091110656,-1.1821206287424169
CHI,pace,82.0,82.6,0.5999999999999943,1.8596041745647498,0.3226493079584678
CON,three_point_attempt_rate,0.26454293628808867,0.2962406015037594,0.031697665215670745,0.050443404684413044,0.6283807648190981
CON,rim_fga_share,0.34418282548476453,0.3097744360902256,-0.03440838939453894,0.05815079271966341,-0.5917097220052842
CON,midrange_fga_share,0.3912742382271468,0.39398496240601505,0.0027107241788682512,0.058844169397011585,0.04606614736252724
CON,corner3_share_of_3pa,0.17277486910994763,0.19289340101522842,0.02011853190528079,0.030733017041944796,0.6546227426296212
CON,ft_attempt_rate,0.3296398891966759,0.29473684210526313,-0.03490304709141279,0.04221213900935763,-0.8268485774595655
CON,turnover_rate,0.1779508687837028,0.20906801007556675,0.031117141291863937,0.015704202441784446,1.981453143336335
CON,live_ball_turnover_rate,0.08987417615338526,0.10957178841309824,0.019697612259712977,0.010658823415013403,1.8480100000501047
CON,off_reb_per_100_off_poss,16.29718394248053,15.239294710327457,-1.057889232153073,1.9568467032219692,-0.5406091496136346
CON,assist_rate,0.6304,0.696551724137931,0.06615172413793102,0.019207007525681472,3.444145270911166
CON,assisted_points_share,0.5253126861226921,0.5916561314791403,0.0663434453564482,0.01807023533814567,3.6714212136683897
CON,second_chance_off_poss_share,0.1330137807070102,0.12846347607052896,-0.004550304636481234,0.014055422510176658,-0.32374015318192256
CON,penalty_off_poss_share,0.3073696824445776,0.24307304785894207,-0.0642966345856355,0.03672341091110656,-1.7508350392961385
CON,pace,79.47619047619048,79.4,-0.07619047619047592,1.8596041745647498,-0.04097134069313901
DAL,three_point_attempt_rate,0.33872901678657075,0.32808022922636104,-0.010648787560209705,0.050443404684413044,-0.21110366413272988
DAL,rim_fga_share,0.25239808153477217,0.2664756446991404,0.014077563164368256,0.05815079271966341,0.24208720992393273
DAL,midrange_fga_share,0.4088729016786571,0.4054441260744986,-0.003428775604158496,0.058844169397011585,-0.058268739949834815
DAL,corner3_share_of_3pa,0.17699115044247787,0.2096069868995633,0.032615836457085434,0.030733017041944796,1.0612637351084322
DAL,ft_attempt_rate,0.23980815347721823,0.2722063037249284,0.032398150247710145,0.04221213900935763,0.7675079019456487
DAL,turnover_rate,0.14754098360655737,0.15776081424936386,0.010219830642806488,0.015704202441784446,0.650770434263787
DAL,live_ball_turnover_rate,0.06939890710382514,0.08269720101781171,0.01329829391398657,0.010658823415013403,1.2476324446144178
DAL,off_reb_per_100_off_poss,14.863387978142075,14.249363867684478,-0.6140241104575974,1.9568467032219692,-0.3137824283560895
DAL,assist_rate,0.6601815823605707,0.6524390243902439,-0.007742557970326747,0.019207007525681472,-0.40311110202743766
DAL,assisted_points_share,0.5772793759141882,0.5668934240362812,-0.01038595187790703,0.01807023533814567,-0.5747546550200499
DAL,second_chance_off_poss_share,0.12622950819672132,0.12340966921119594,-0.0028198389855253886,0.014055422510176658,-0.20062285452349216
DAL,penalty_off_poss_share,0.17049180327868851,0.2430025445292621,0.07251074125057358,0.03672341091110656,1.9745099774662696
DAL,pace,79.56521739130434,78.6,-0.9652173913043498,1.8596041745647498,-0.5190445388897151
GSV,three_point_attempt_rate,0.45310435931307796,0.4574468085106383,0.0043424491975603274,0.050443404684413044,0.08608556905957895
GSV,rim_fga_share,0.20607661822985468,0.21124620060790272,0.005169582378048043,0.05815079271966341,0.08889960284754594
GSV,midrange_fga_share,0.34081902245706736,0.331306990881459,-0.00951203157560837,0.058844169397011585,-0.16164781783956053
GSV,corner3_share_of_3pa,0.260932944606414,0.24584717607973422,-0.015085768526679755,0.030733017041944796,-0.4908651990167615
GSV,ft_attempt_rate,0.28335535006605017,0.27203647416413373,-0.011318875901916436,0.04221213900935763,-0.26814267572195893
GSV,turnover_rate,0.14763061968408261,0.16395663956639567,0.016326019882313053,0.015704202441784446,1.0395956077892963
GSV,live_ball_turnover_rate,0.07654921020656136,0.08130081300813008,0.004751602801568722,0.010658823415013403,0.4457905546006033
GSV,off_reb_per_100_off_poss,17.43620899149453,15.582655826558264,-1.853553164936267,1.9568467032219692,-0.9472142921999827
GSV,assist_rate,0.642512077294686,0.7119205298013245,0.06940845250663852,0.019207007525681472,3.613704655128253
GSV,assisted_points_share,0.5556786703601108,0.6260162601626016,0.07033758980249083,0.01807023533814567,3.8924556590588777
