team_abbreviation,shift_nature,off_rating_delta,def_rating_delta,net_rating_delta,baseline_off_rating,recent_off_rating,baseline_shot_quality,recent_shot_quality,shot_quality_delta,baseline_shot_making,recent_shot_making,shot_making_delta,baseline_shot_rate,recent_shot_rate,shot_rate_delta,baseline_ft_points_rate,recent_ft_points_rate,ft_points_rate_delta,shot_quality_effect,shot_making_effect,shot_rate_effect,free_throw_effect,modelled_off_rating_delta,decomposition_residual
WAS,Conversion-led (cosmetic),11.210588298270963,2.0021921812203374,9.208396117050626,99.68684759916493,110.8974358974359,0.502079685781369,0.5064709305717527,0.004391244790383775,-0.027902797466327012,0.009177355568336654,0.037080153034663665,0.808455114822547,0.8602564102564103,0.05180129543386336,0.2301670146137787,0.22179487179487178,-0.008372142818906914,0.7327720791156335,6.187607872063473,5.12742262898256,-0.8372142818906914,11.210588298270975,-1.2434497875801753e-14
IND,Conversion-led (cosmetic),8.25242774794603,1.593444011683971,6.6589837362620585,113.87675885492479,122.12918660287082,0.5150875834902993,0.5141265315830326,-0.0009610519072666968,0.028995943191835294,0.08644408182638252,0.05744813863454723,0.8364871421639981,0.8385167464114832,0.002029604247485106,0.22852983988355166,0.21411483253588517,-0.014415007347666486,-0.16097656817946,9.622585560428995,0.23231949046312206,-1.4415007347666486,8.252427747946008,2.1316282072803006e-14
NYL,Conversion-led (cosmetic),7.441010584502692,4.136246558308898,3.3047640261937943,110.97678916827853,118.41779975278122,0.5081365939013218,0.5043295354611272,-0.0038070584401945773,0.024319546449555363,0.05317397085023323,0.02885442440067787,0.8268858800773694,0.8813349814585909,0.0544491013812215,0.22920696324951645,0.20148331273176762,-0.027723650517748832,-0.650329664862693,4.9289729708850185,5.934732330255255,-2.7723650517748832,7.4410105845026955,-3.552713678800501e-15
GSV,Conversion-led (cosmetic),6.962260643242232,2.816480927953279,4.145779715288953,109.70440602342444,116.66666666666667,0.4858844289941489,0.48458022222222225,-0.0013042067719266637,0.007375374927419742,0.05023459259259261,0.042859217665172866,0.9102063580591188,0.907258064516129,-0.002948293542989755,0.19910764082543222,0.19623655913978494,-0.0028710816856472865,-0.2370349407658422,7.789510328586027,-0.3031065760132134,-0.28710816856472865,6.962260643242242,-1.0658141036401503e-14
PDX,Conversion-led (cosmetic),6.812395977979335,2.773873170826292,4.0385228071530435,106.17780010045203,112.99019607843137,0.5047204430565476,0.5070198614455966,0.0022994183890490127,0.010125162644164964,0.052265852840117644,0.04214069019595268,0.8458061275740834,0.8578431372549019,0.012037009680818556,0.19085886489201406,0.17034313725490197,-0.020515727637112097,0.3917402448037601,7.179295587172081,1.2929329097147033,-2.0515727637112096,6.812395977979335,0.0
SEA,Possession-led,6.544888894937898,5.055791258912066,1.4890976360258321,101.66589541878758,108.21078431372548,0.49743168946413335,0.5029161797696136,0.005484490305480205,-0.003200920233364102,-0.015194488091578084,-0.011993567858213983,0.8422026839426192,0.8982843137254902,0.05608162978287101,0.1841739935215178,0.20588235294117646,0.02170835941965865,0.9545684065525095,-2.0874648912871594,5.50694943770667,2.170835941965865,6.544888894937886,1.2434497875801753e-14
MIN,Conversion-led (cosmetic),6.370625776201962,7.233885602159901,-0.8632598259579396,114.15503129513722,120.52565707133918,0.5135241105665399,0.5086258232438782,-0.004898287322661732,0.030191736427995663,0.05659156806046961,0.026399831632473947,0.8810784785748677,0.9211514392991239,0.04007296072425626,0.18343765045739047,0.1639549436795995,-0.01948270677779096,-0.8827839959243867,4.757856639488073,4.443823810417345,-1.948270677779096,6.370625776201935,2.6645352591003757e-14
ATL,Possession-led,3.499339195852187,0.9855571353737815,2.5137820604784054,110.94240837696334,114.44174757281553,0.5370089877803259,0.5316966512345679,-0.005312336545758023,-0.044656046603855304,-0.03586331790123454,0.008792728702620767,0.8900523560209425,0.8737864077669902,-0.016265948253952223,0.23298429319371727,0.2779126213592233,0.044928328165506015,-0.9370105125695288,1.5508955725153286,-1.6073786806442298,4.492832816550601,3.4993391958521713,1.554312234475219e-14
CHI,Conversion-led (cosmetic),1.0972190988415775,1.467684362421224,-0.3704652635796464,106.03700097370982,107.1342200725514,0.5283573756972597,0.5302498621260694,0.001892486428809681,-0.036394115077282685,-0.023127355003562222,0.013266760073720463,0.8481012658227848,0.848851269649335,0.0007500038265502162,0.22590068159688412,0.21039903264812576,-0.015501648948758356,0.32114596437151655,2.2513062144600227,0.07493181488587239,-1.5501648948758358,1.0972190988415758,1.7763568394002505e-15
PHX,Conversion-led (cosmetic),0.5787501184842796,-2.7191803709944793,3.297930489478759,105.76453346360528,106.34328358208955,0.5004312666031284,0.5012947750565,0.0008635084533715753,-0.0001374945702259378,0.007993150640094426,0.008130645210320364,0.8314606741573034,0.8034825870646766,-0.027978087092626835,0.2256961406936981,0.24502487562189054,0.019328734928192454,0.14117873268480713,1.3293143596000045,-2.824616466619792,1.9328734928192453,0.5787501184842649,1.4654943925052066e-14
LAS,Conversion-led (cosmetic),0.39900543596269245,-1.1844585782541373,1.5834640142168297,107.78958017197775,108.18858560794044,0.5116274062193693,0.5042152177213453,-0.007412188498024053,0.008991150481661658,0.04326679666714395,0.03427564618548229,0.8340920586747598,0.8622828784119106,0.028190819737150874,0.2094081942336874,0.13771712158808933,-0.07169107264559807,-1.2573850797010095,5.8144347141502495,3.0110630660732567,-7.169107264559807,0.3990054359626889,3.552713678800501e-15
CON,Possession-led,-0.9031682062678641,4.066826793018933,-4.969994999286797,100.27502750275028,99.37185929648241,0.49842150138669294,0.4970119205136926,-0.00140958087300036,-0.030329606045276236,-0.024994247465091712,0.005335358580184524,0.8619361936193619,0.8530150753768844,-0.008921118242477544,0.19581958195819582,0.1884422110552764,-0.007377370902919428,-0.24173625069048044,0.9149879967637461,-0.8386828620491876,-0.7377370902919428,-0.9031682062678648,6.661338147750939e-16
LVA,Conversion-led (cosmetic),-3.4649125444192492,1.9598488250261852,-5.424761369445434,114.52081316553726,111.05590062111801,0.4792528722180257,0.4839580156294747,0.004705143411449009,0.0712835478836118,0.049766324546478335,-0.021517223337133462,0.8572120038722169,0.8472049689440994,-0.010007034928117498,0.20135527589545016,0.2062111801242236,0.004855904228773439,0.8019526290008554,-3.6674320663689604,-1.0850235299285083,0.4855904228773439,-3.464912544419269,1.9984014443252818e-14
DAL,Possession-led,-4.62020881853708,3.9510918895829974,-8.571300708120077,112.9110251450677,108.29081632653062,0.4884014875549518,0.4828289309991021,-0.00557255655584965,0.03357944464843804,0.028970479030396457,-0.004608965618041583,0.9129593810444874,0.8647959183673469,-0.048163462677140445,0.1760154738878143,0.19770408163265307,0.021688607744838773,-0.9906641948433875,-0.8193613052280364,-4.979044092949519,2.1688607744838775,-4.6202088185370656,-1.4210854715202004e-14
TOR,Possession-led,-5.978923337206226,10.436833652291668,-16.415756989497893,110.78904991948471,104.81012658227849,0.519412246183755,0.5153933140174967,-0.004018932166258371,0.007105325701229015,-0.004215966774575697,-0.011321292475804712,0.8400429414922168,0.8493670886075949,0.0093241471153781,0.22329575952764358,0.17974683544303796,-0.04354892408460562,-0.6789624311967656,-1.9126305062318008,0.9675620086828967,-4.354892408460562,-5.978923337206231,5.329070518200751e-15
