season,franchise_id,sportsdataverse_team_id,sportsdataverse_team_abbreviation,sportsdataverse_team_name,pbpstats_team_id,pbpstats_team_abbreviation
2026,atlanta_dream,20,ATL,Atlanta Dream,1611661330,ATL
2026,chicago_sky,19,CHI,Chicago Sky,1611661329,CHI
2026,connecticut_sun,18,CON,Connecticut Sun,1611661323,CON
2026,dallas_wings,3,DAL,Dallas Wings,1611661321,DAL
2026,golden_state_valkyries,129689,GS,Golden State Valkyries,1611661331,GSV
2026,indiana_fever,5,IND,Indiana Fever,1611661325,IND
2026,los_angeles_sparks,6,LA,Los Angeles Sparks,1611661320,LAS
2026,las_vegas_aces,17,LV,Las Vegas Aces,1611661319,LVA
2026,minnesota_lynx,8,MIN,Minnesota Lynx,1611661324,MIN
2026,new_york_liberty,9,NY,New York Liberty,1611661313,NYL
2026,portland_fire,132052,POR,Portland Fire,1611661327,PDX
2026,phoenix_mercury,11,PHX,Phoenix Mercury,1611661317,PHX
2026,seattle_storm,14,SEA,Seattle Storm,1611661328,SEA
2026,toronto_tempo,131935,TOR,Toronto Tempo,1611661332,TOR
2026,washington_mystics,16,WSH,Washington Mystics,1611661322,WAS
