id,text,_dataset,_league,_season,_season_type,_source_endpoint,_source_params_json,_run_id,_fetched_at_utc,_row_content_hash,_source_response_keys
1611661330,ATL,teams_directory,wnba,,,/get-teams/wnba,{},20260628T150901Z,2026-06-28T15:09:01+00:00,a56497d8cb14b4da9e6ee56ca9e2912b4ab1edb562c697d7d37dbca857af4aed,"[""teams""]"
1611661329,CHI,teams_directory,wnba,,,/get-teams/wnba,{},20260628T150901Z,2026-06-28T15:09:01+00:00,2faeaf83fe837ab4bda46764d5ae4b6203557ee3eadeca8341d640aaf666e7ed,"[""teams""]"
1611661323,CON,teams_directory,wnba,,,/get-teams/wnba,{},20260628T150901Z,2026-06-28T15:09:01+00:00,5a9380ea07f8374f7bd62477ce5299a05bcd8dc7c5cb43251a255980313b5c31,"[""teams""]"
1611661321,DAL,teams_directory,wnba,,,/get-teams/wnba,{},20260628T150901Z,2026-06-28T15:09:01+00:00,03b99f1a7b071003a5c93c6c16de82c7b6cf291044d5415737bffc06ce1f7330,"[""teams""]"
1611661331,GSV,teams_directory,wnba,,,/get-teams/wnba,{},20260628T150901Z,2026-06-28T15:09:01+00:00,9b6b08c85764388b3e7ebc62dc1616075f6846259f7858274e10ac93bdb21e85,"[""teams""]"
1611661325,IND,teams_directory,wnba,,,/get-teams/wnba,{},20260628T150901Z,2026-06-28T15:09:01+00:00,805d61009df68382dacf7eee424ca7594b645544e94c3695a9a92b380dc29164,"[""teams""]"
1611661320,LAS,teams_directory,wnba,,,/get-teams/wnba,{},20260628T150901Z,2026-06-28T15:09:01+00:00,99e87db1e4227a95e13bb6d242098d7b0224aec307691a64b69aa320d4a954b6,"[""teams""]"
1611661319,LVA,teams_directory,wnba,,,/get-teams/wnba,{},20260628T150901Z,2026-06-28T15:09:01+00:00,973dfc6e8f48e03cfb64ac48ae9625f977e068f265e383af9802947e329dbad6,"[""teams""]"
1611661324,MIN,teams_directory,wnba,,,/get-teams/wnba,{},20260628T150901Z,2026-06-28T15:09:01+00:00,cc84770731b6a40ccf75fd93c1c79e22abc6f0f39e0ff5195fafd5a2f7e48e03,"[""teams""]"
1611661313,NYL,teams_directory,wnba,,,/get-teams/wnba,{},20260628T150901Z,2026-06-28T15:09:01+00:00,0bf97154f6c23ee5547485cbc8a9b2598c988aaea92130fe62bc177388300711,"[""teams""]"
1611661327,PDX,teams_directory,wnba,,,/get-teams/wnba,{},20260628T150901Z,2026-06-28T15:09:01+00:00,af8cf21ca17ec6e388d903b5dbe13df057dd8fd5b547981c2a8ecf8f3aed07ac,"[""teams""]"
1611661317,PHX,teams_directory,wnba,,,/get-teams/wnba,{},20260628T150901Z,2026-06-28T15:09:01+00:00,21c24c9ed3dfef842c723953452ac804f12b334a21058e09f4c74030b8a7bb26,"[""teams""]"
1611661328,SEA,teams_directory,wnba,,,/get-teams/wnba,{},20260628T150901Z,2026-06-28T15:09:01+00:00,53d7bfbe4a74bbfe12770843cf2b622969232ed66640e89bc9fb5b9c4a0b6a33,"[""teams""]"
1611661332,TOR,teams_directory,wnba,,,/get-teams/wnba,{},20260628T150901Z,2026-06-28T15:09:01+00:00,f6822342f0b759f482a794248c25b9d710ddde92ef5d3ba7ee1b57d6842ee6f0,"[""teams""]"
1611661322,WAS,teams_directory,wnba,,,/get-teams/wnba,{},20260628T150901Z,2026-06-28T15:09:01+00:00,303c087aa41b1bd76634189827e07314847b521f14fb6076f7a98dd5e8500bf7,"[""teams""]"
