player_id,player_name,team_id,team_abbreviation,games_played
1627668,Breanna Stewart,1611661313,NYL,37
1627671,Rachel Banham,1611661329,CHI,35
1627673,Jonquel Jones,1611661313,NYL,37
1627674,Kahleah Copper,1611661317,PHX,37
1627675,Courtney Williams,1611661324,MIN,38
1627700,Julie Allemand,1611661332,TOR,29
1627701,Temi Fagbenle,1611661332,TOR,20
1628242,Emma Cannon,1611661320,LAS,16
1628244,Sami Whitcomb,1611661317,PHX,15
1628269,Nia Coffey,1611661324,MIN,39
1628276,Kelsey Plum,1611661317,PHX,17
1628277,Allisha Gray,1611661330,ATL,38
1628278,Shatori Walker-Kimbrough,1611661330,ATL,10
1628279,Brittney Sykes,1611661332,TOR,17
1628280,Brionna Jones,1611661330,ATL,9
1628317,Karlie Samuelson,1611661327,PDX,26
1628508,Cecilia Zandalasini,1611661331,GSV,33
1628878,Ariel Atkins,1611661320,LAS,36
1628881,Monique Billings,1611661325,IND,38
1628882,Lexie Brown,1611661328,SEA,10
1628886,Jordin Canada,1611661330,ATL,37
1628899,Myisha Hines-Allen,1611661325,IND,33
1628909,Kelsey Mitchell,1611661325,IND,39
1628915,Kia Nurse,1611661332,TOR,36
1628920,Mercedes Russell,1611661325,IND,4
1628922,Azura Stevens,1611661329,CHI,30
1628931,Gabby Williams,1611661331,GSV,35
1628932,A'ja Wilson,1611661319,LVA,36
1629477,Sabrina Ionescu,1611661313,NYL,25
1629478,Katie Lou Samuelson,1611661328,SEA,30
1629479,Teaira McCowan,1611661324,MIN,10
1629481,Arike Ogunbowale,1611661321,DAL,39
1629482,Sophie Cunningham,1611661325,IND,38
1629483,Napheesa Collier,1611661324,MIN,11
1629484,Megan DiLeo,1611661327,PDX,36
1629488,Brianna Turner,1611661319,LVA,36
1629491,Jessica Shepard,1611661321,DAL,37
1629496,Ezi Magbegor,1611661328,SEA,12
1629497,Marina Mabrey,1611661332,TOR,32
1629498,Jackie Young,1611661319,LVA,38
1629501,Alanna Smith,1611661321,DAL,31
1629524,Bridget Carleton,1611661327,PDX,37
1629539,Amy Okonkwo,1611661327,PDX,2
1629546,Marine Johannes,1611661313,NYL,35
1629566,Han Xu,1611661313,NYL,38
1629567,Natisha Hiedeman,1611661328,SEA,36
1629568,Kennedy Burke,1611661323,CON,36
1629574,Li Yueru,1611661321,DAL,28
1629576,Maria Conde,1611661332,TOR,32
1629581,Emese Hof,1611661324,MIN,3
1630096,DiJonai Carrington,1611661329,CHI,11
1630097,Kaila Charles,1611661331,GSV,37
1630108,Mariella Fasoula,1611661332,TOR,3
1630112,Tyasha Harris,1611661325,IND,34
1630115,Joyner Holmes,1611661328,SEA,1
1630134,Sug Sutton,1611661321,DAL,24
1630138,Peyton Williams,1611661317,PHX,1
1630142,Leonie Fiebich,1611661313,NYL,15
1630143,Luisa Geiselsoder,1611661327,PDX,21
1630148,Jihyun Park,1611661320,LAS,33
1630149,Satou Sabally,1611661313,NYL,13
1630150,Chennedy Carter,1611661319,LVA,13
1630154,Kamiah Smalls,1611661327,PDX,2
1630384,Raquel Carrera,1611661313,NYL,20
1630386,Awak Kuier,1611661321,DAL,36
1630389,Dana Evans,1611661319,LVA,10
1630442,Natasha Mack,1611661317,PHX,30
1630446,Michaela Onyenwere,1611661322,WAS,34
1630461,Kiana Williams,1611661320,LAS,21
1630469,Marine Fauthoux,1611661313,NYL,16
1630471,Maya Caldwell,1611661324,MIN,39
1630993,Anneli Maley,1611661313,NYL,8
1630996,Rae Burrell,1611661320,LAS,37
1631006,Kierstan Bell,1611661319,LVA,25
1631007,Veronica Burton,1611661331,GSV,37
1631009,Rhyne Howard,1611661330,ATL,37
1631019,NaLyssa Smith,1611661319,LVA,38
1631021,Sika Kone,1611661330,ATL,30
1631022,Shakira Austin,1611661322,WAS,37
1631039,Miela Sowah,1611661331,GSV,3
1631044,Naz Hillmon,1611661330,ATL,37
1631055,Nyara Sabally,1611661332,TOR,24
1631064,Chloe Bibby,1611661324,MIN,6
1631083,Emily Engstler,1611661327,PDX,38
1631086,Lexie Hull,1611661325,IND,39
1631118,Lexi Held,1611661317,PHX,36
1631135,Olivia Nelson-Ododa,1611661323,CON,32
1631136,Pauline Astier,1611661313,NYL,38
1631141,Jade Melbourne,1611661328,SEA,37
1631263,Nikolina Milic,1611661332,TOR,7
1641648,Aliyah Boston,1611661325,IND,35
1641649,Diamond Miller,1611661323,CON,37
1641650,Haley Jones,1611661321,DAL,7
1641651,Jordan Horston,1611661328,SEA,33
1641652,Maddy Siegrist,1611661321,DAL,36
1641656,Laeticia Amihere,1611661331,GSV,32
1641657,Dorka Juhasz,1611661324,MIN,17
1641660,Zia Cooke,1611661328,SEA,38
1641683,Holly Winterburn,1611661327,PDX,25
1641695,Ashten Prechtel,1611661331,GSV,2
1642210,Julie Vanloo,1611661313,NYL,5
1642286,Caitlin Clark,1611661325,IND,35
1642287,Cameron Brink,1611661320,LAS,28
1642288,Rickea Jackson,1611661329,CHI,4
1642289,Kamilla Cardoso,1611661329,CHI,38
1642290,Aaliyah Edwards,1611661323,CON,23
1642291,Angel Reese,1611661330,ATL,37
1642292,Jacy Sheldon,1611661329,CHI,39
1642293,Alissa Pili,1611661320,LAS,5
1642296,Nyadiew Puoch,1611661327,PDX,37
1642302,Isobel Borlase,1611661330,ATL,38
1642303,Leila Lacan,1611661323,CON,27
1642304,Carla Leite,1611661327,PDX,35
1642307,Mackenzie Holmes,1611661328,SEA,24
1642320,Jaylyn Sherrod,1611661330,ATL,10
1642321,Sydney Taylor,1611661329,CHI,32
1642324,Kate Martin,1611661320,LAS,17
1642767,Janelle Salaun,1611661331,GSV,36
1642768,Kyara Linskens,1611661317,PHX,19
1642769,Mai Yamamoto,1611661319,LVA,9
1642775,Alex Wilson,1611661322,WAS,4
1642777,Monique Akoa Makani,1611661320,LAS,24
1642781,Georgia Amoore,1611661322,WAS,38
1642782,Sarah Ashlee Barker,1611661327,PDX,26
1642784,Paige Bueckers,1611661321,DAL,37
1642785,Sonia Citron,1611661322,WAS,35
1642786,Aicha Coulibaly,1611661329,CHI,27
1642788,Bree Hall,1611661325,IND,3
1642790,Sania Feagin,1611661320,LAS,3
