entity_id,team_id,name,short_name,row_id,team_abbreviation,seconds_played,games_played,minutes,plus_minus,off_poss,def_poss,penalty_off_poss,penalty_def_poss,second_chance_off_poss,total_poss,at_rim_fgm,at_rim_fga,second_chance_at_rim_fgm,second_chance_at_rim_fga,penalty_at_rim_fgm,penalty_at_rim_fga,short_mid_range_fgm,short_mid_range_fga,long_mid_range_fgm,long_mid_range_fga,corner3_fgm,corner3_fga,second_chance_corner3_fgm,second_chance_corner3_fga,penalty_corner3_fgm,penalty_corner3_fga,arc3_fgm,arc3_fga,second_chance_arc3_fgm,second_chance_arc3_fga,penalty_arc3_fgm,penalty_arc3_fga,fg2_m,fg2_a,fg3_m,fg3_a,ft_points,points,opponent_points,second_chance_fg2_m,second_chance_fg2_a,second_chance_fg3_m,second_chance_fg3_a,second_chance_ft_points,second_chance_points,penalty_fg2_m,penalty_fg2_a,penalty_fg3_m,penalty_fg3_a,penalty_ft_points,penalty_points,pts_assisted2s,pts_unassisted2s,pts_assisted3s,pts_unassisted3s,pts_putbacks,non_heave_arc3_fga,non_heave_arc3_fgm,fg2a_blocked,fg3a_blocked,two_pt_assists,three_pt_assists,assists,arc3_assists,corner3_assists,at_rim_assists,short_mid_range_assists,long_mid_range_assists,assist_points,off_three_pt_rebounds,off_two_pt_rebounds,def_three_pt_rebounds,def_two_pt_rebounds,ftdef_rebounds,def_rebounds,off_rebounds,rebounds,self_oreb,steals,bad_pass_steals,lost_ball_steals,live_ball_turnovers,bad_pass_out_of_bounds_turnovers,bad_pass_turnovers,dead_ball_turnovers,lost_ball_turnovers,step_out_of_bounds_turnovers,turnovers,second_chance_turnovers,penalty_turnovers,shooting_fouls,fouls,loose_ball_fouls,offensive_fouls,fouls_drawn,charge_fouls_drawn,offensive_fouls_drawn,fta,2pt_and_1_free_throw_trips,3pt_and_1_free_throw_trips,technical_free_throw_trips,two_pt_shooting_fouls_drawn,three_pt_shooting_fouls_drawn,non_shooting_fouls_drawn,blocked2s,blocked_at_rim,blocked_long_mid_range,blocked_short_mid_range,blocks,recovered_blocks,first_chance_points,penalty_points_excluding_take_fouls,penalty_off_poss_excluding_take_fouls,non_shooting_penalty_non_take_fouls,non_shooting_penalty_non_take_fouls_drawn,period2_fouls2_minutes,period3_fouls3_minutes,period4_fouls4_minutes,on_off_rtg,on_def_rtg,assisted2s_pct,non_putbacks_assisted2s_pct,assisted3s_pct,fg3_pct,second_chance_fg3_pct,penalty_fg3_pct,non_heave_fg3_pct,fg2_pct,second_chance_fg2_pct,penalty_fg2_pct,efg_pct,second_chance_efg_pct,penalty_efg_pct,ts_pct,second_chance_ts_pct,penalty_ts_pct,fg3_apct,fg3_apct_blocked,fg2_apct_blocked,at_rim_pct_blocked,short_mid_range_pct_blocked,arc3_pct_blocked,usage,live_ball_turnover_pct,def_ftrebound_pct,def_two_pt_rebound_pct,off_two_pt_rebound_pct,def_three_pt_rebound_pct,off_three_pt_rebound_pct,def_fgrebound_pct,off_fgrebound_pct,off_at_rim_rebound_pct,off_short_mid_range_rebound_pct,off_long_mid_range_rebound_pct,off_arc3_rebound_pct,off_corner3_rebound_pct,def_at_rim_rebound_pct,def_short_mid_range_rebound_pct,def_long_mid_range_rebound_pct,def_arc3_rebound_pct,def_corner3_rebound_pct,self_oreb_pct,blocks_recovered_pct,at_rim_frequency,at_rim_accuracy,unblocked_at_rim_accuracy,at_rim_pct_assisted,short_mid_range_frequency,short_mid_range_accuracy,unblocked_short_mid_range_accuracy,short_mid_range_pct_assisted,long_mid_range_frequency,long_mid_range_accuracy,unblocked_long_mid_range_accuracy,long_mid_range_pct_assisted,corner3_frequency,corner3_accuracy,unblocked_corner3_accuracy,corner3_pct_assisted,arc3_frequency,arc3_accuracy,unblocked_arc3_accuracy,arc3_pct_assisted,second_chance_at_rim_frequency,second_chance_at_rim_accuracy,second_chance_at_rim_pct_assisted,second_chance_corner3_frequency,second_chance_corner3_accuracy,second_chance_corner3_pct_assisted,second_chance_arc3_frequency,second_chance_arc3_accuracy,second_chance_arc3_pct_assisted,penalty_at_rim_frequency,penalty_at_rim_accuracy,penalty_corner3_frequency,penalty_corner3_accuracy,penalty_arc3_frequency,penalty_arc3_accuracy,at_rim_fg3_afrequency,non_heave_arc3_accuracy,shotquality_pbp_avg,shotquality_pbp_second_chance_avg,shotquality_pbp_penalty_avg,shooting_fouls_drawn_pct,two_pt_shooting_fouls_drawn_pct,three_pt_shooting_fouls_drawn_pct,second_chance_points_pct,penalty_points_pct,avg2pt_shot_distance,avg3pt_shot_distance,at_rim_off_rebounded_pct,short_mid_range_off_rebounded_pct,long_mid_range_off_rebounded_pct,three_pt_off_rebounded_pct,penalty_off_poss_pct,dataset,league,season,season_type,source_endpoint,source_params_json,run_id,fetched_at_utc,row_content_hash,lost_ball_out_of_bounds_turnovers,charge_fouls,loose_ball_fouls_drawn,period2_fouls3_minutes,period4_fouls5_minutes,period_otfouls4_minutes,period_otfouls5_minutes,long_mid_range_pct_blocked,defensive_3_seconds_violations,ftoff_rebounds,travels,blocked3s,blocked_arc3,blocked_corner3,period1_fouls2_minutes,period3_fouls4_minutes,off_ftrebound_pct,corner3_pct_blocked,clear_path_fouls,period3_fouls5_minutes,offensive_goaltends,period1_fouls3_minutes,period2_fouls4_minutes,source_response_keys,single_row_table_data_json,player_id_clean,player_name_clean,dataset_clean,_cleaned_at_utc,_clean_run_id,_row_content_hash
203825,1611661324,Kayla McBride,Kayla McBride,203825,MIN,73950.70000000001,38,1233,285.0,2458,2492,427.0,527.0,296.0,4950,64.0,95.0,10.0,13.0,9.0,13.0,33.0,82.0,19.0,43.0,27.0,63.0,2.0,5.0,5.0,10.0,85.0,200.0,10.0,22.0,14.0,29.0,116.0,220.0,112.0,263.0,126.0,694.0,2611,16.0,27.0,12.0,27.0,11.0,79.0,17.0,33.0,19.0,39.0,27.0,118.0,172.0,60.0,324.0,12.0,10.0,200.0,85.0,7.0,2.0,57.0,22.0,79.0,14.0,8.0,31.0,23.0,3.0,180.0,6.0,17.0,53.0,36.0,5.0,94.0,23.0,117.0,11.0,64.0,46.0,18.0,34.0,7.0,24.0,16.0,10.0,2.0,50.0,6.0,14.0,18.0,72.0,2.0,6.0,110.0,2.0,14.0,137.0,10.0,1.0,8.0,36.0,15.0,9.0,9.0,6.0,1.0,2.0,9.0,5.0,615.0,109.0,413.0,14.0,4.0,21.0,15.0,7.0,117.8193653376729,104.7752808988764,0.7413793103448276,0.7747747747747747,0.9642857142857143,0.42585551330798477,0.4444444444444444,0.48717948717948717,0.42585551330798477,0.5272727272727272,0.5925925925925926,0.5151515151515151,0.587991718426501,0.6296296296296297,0.6319444444444444,0.6447368421052632,0.6754385964912281,0.6941176470588235,0.5445134575569358,0.0076045627376425855,0.031818181818181815,0.05263157894736842,0.024390243902439025,0.01,20.763467713164466,0.68,0.09803921568627451,0.05806451612903226,0.025297619047619048,0.09498207885304659,0.013986013986013986,0.07555178268251274,0.02089009990917348,0.038461538461538464,0.029166666666666667,0.005050505050505051,0.012232415902140673,0.0196078431372549,0.036585365853658534,0.05653710247349823,0.12087912087912088,0.09069767441860466,0.109375,0.045081967213114756,0.5555555555555556,0.19668737060041408,0.6736842105263158,0.7111111111111111,0.765625,0.16977225672877846,0.4024390243902439,0.4125,0.6363636363636364,0.08902691511387163,0.4418604651162791,0.4418604651162791,0.8421052631578947,0.13043478260869565,0.42857142857142855,0.42857142857142855,1.0,0.4140786749482402,0.425,0.4292929292929293,0.9529411764705882,0.24074074074074073,0.7692307692307693,0.5,0.09259259259259259,0.4,1.0,0.4074074074074074,0.45454545454545453,1.0,0.18055555555555555,0.6923076923076923,0.1388888888888889,0.5,0.4027777777777778,0.4827586206896552,0.7412008281573499,0.425,0.5211248962655601,0.5529055555555555,0.5005133802816901,0.09404990403071017,0.14634146341463414,0.04727272727272727,0.1138328530259366,0.17002881844380405,7.427727272727273,24.448288973384027,0.45161290322580644,0.46938775510204084,0.16666666666666666,0.3221476510067114,0.17371847030105778,player_totals,wnba,2026,Regular Season,/get-totals/wnba,"{""Season"": ""2026"", ""SeasonType"": ""Regular Season"", ""Type"": ""Player""}",20260822T140916Z,2026-08-22T14:09:19+00:00,0862ef350a9c4ca7a743feeb7fcc737ffbc9b7d076dc9f28121363ff8688216d,,,,,,,,,,,,,,,,,,,,,,,,"[""single_row_table_data"", ""multi_row_table_data""]",{},203825,Kayla McBride,player_totals,2026-08-22T14:09:22+00:00,20260822T140916Z,615283ce28e40b942c91ec51f13daa096f78eb690828dd51b1c7743951698313
203833,1611661319,Chelsea Gray,Chelsea Gray,203833,LVA,73552.7,37,1226,163.0,2430,2453,601.0,486.0,273.0,4883,12.0,18.0,1.0,3.0,1.0,1.0,56.0,114.0,27.0,61.0,8.0,19.0,1.0,2.0,2.0,3.0,60.0,161.0,13.0,23.0,14.0,44.0,95.0,193.0,68.0,180.0,55.0,449.0,2629,7.0,15.0,14.0,25.0,3.0,59.0,27.0,50.0,16.0,47.0,24.0,126.0,48.0,142.0,177.0,27.0,2.0,161.0,60.0,8.0,1.0,187.0,66.0,253.0,47.0,19.0,92.0,77.0,18.0,572.0,4.0,6.0,43.0,58.0,6.0,107.0,10.0,117.0,6.0,47.0,32.0,15.0,70.0,21.0,57.0,36.0,13.0,1.0,106.0,5.0,26.0,37.0,81.0,1.0,7.0,60.0,1.0,14.0,59.0,2.0,,10.0,12.0,3.0,8.0,12.0,3.0,2.0,7.0,12.0,8.0,390.0,126.0,600.0,8.0,7.0,60.0,46.0,20.0,114.89711934156378,107.17488789237667,0.25263157894736843,0.2553191489361702,0.8676470588235294,0.37777777777777777,0.56,0.3404255319148936,0.37777777777777777,0.49222797927461137,0.4666666666666667,0.54,0.5281501340482574,0.7,0.5257731958762887,0.5571065989847716,0.7125,0.573394495412844,0.48257372654155495,0.005555555555555556,0.04145077720207254,0.05555555555555555,0.05263157894736842,0.006211180124223602,18.301610541727673,0.660377358490566,0.1,0.08516886930983847,0.00974025974025974,0.0899581589958159,0.009216589861751152,0.08714408973252805,0.009523809523809525,,0.017142857142857144,,0.012048192771084338,,0.07657657657657657,0.07736389684813753,0.12727272727272726,0.09162303664921466,0.08333333333333333,0.03015075376884422,0.6666666666666666,0.04825737265415549,0.6666666666666666,0.7058823529411765,0.3333333333333333,0.30563002680965146,0.49122807017543857,0.5185185185185185,0.25,0.16353887399463807,0.4426229508196721,0.45,0.2222222222222222,0.05093833780160858,0.42105263157894735,0.42105263157894735,1.0,0.4316353887399464,0.37267080745341613,0.375,0.85,0.075,0.3333333333333333,,0.05,0.5,1.0,0.575,0.5652173913043478,1.0,0.010309278350515464,1.0,0.030927835051546393,0.6666666666666666,0.4536082474226804,0.3181818181818182,0.5308310991957105,0.37267080745341613,0.4596745283018868,0.5200692307692308,0.43301894736842106,0.038860103626943004,0.059113300492610835,0.01639344262295082,0.13140311804008908,0.2806236080178174,11.00362694300518,25.706666666666667,0.16666666666666666,0.3620689655172414,0.20588235294117646,0.3211009174311927,0.24732510288065843,player_totals,wnba,2026,Regular Season,/get-totals/wnba,"{""Season"": ""2026"", ""SeasonType"": ""Regular Season"", ""Type"": ""Player""}",20260822T140916Z,2026-08-22T14:09:19+00:00,f349b5f5a5809d3e0c309cf3324c46cb78b5c017922239a177f4e42f40cacbd6,4.0,1.0,3.0,9.0,5.0,2.0,3.0,0.01639344262295082,,,,,,,,,,,,,,,,"[""single_row_table_data"", ""multi_row_table_data""]",{},203833,Chelsea Gray,player_totals,2026-08-22T14:09:22+00:00,20260822T140916Z,fd667e6ff25a2986acd01c444c992dca7365e5e113f912eb3308fb1ec48e616c
1628909,1611661325,Kelsey Mitchell,Kelsey Mitchell,1628909,IND,72863.5,37,1214,236.0,2478,2495,726.0,664.0,301.0,4973,125.0,206.0,11.0,19.0,37.0,62.0,48.0,86.0,40.0,99.0,9.0,32.0,1.0,4.0,3.0,12.0,99.0,210.0,9.0,27.0,29.0,58.0,213.0,391.0,108.0,242.0,162.0,912.0,2706,17.0,33.0,10.0,31.0,11.0,75.0,59.0,108.0,32.0,70.0,63.0,277.0,242.0,184.0,201.0,123.0,2.0,210.0,99.0,30.0,,57.0,43.0,100.0,32.0,11.0,33.0,21.0,3.0,243.0,9.0,9.0,14.0,30.0,1.0,45.0,18.0,63.0,10.0,38.0,24.0,14.0,36.0,8.0,18.0,29.0,18.0,1.0,65.0,3.0,20.0,36.0,93.0,4.0,9.0,161.0,,17.0,188.0,18.0,1.0,8.0,68.0,8.0,18.0,4.0,2.0,,2.0,4.0,4.0,837.0,275.0,717.0,10.0,17.0,36.0,39.0,23.0,118.72477804681193,108.45691382765531,0.568075117370892,0.5707547169811321,0.6203703703703703,0.4462809917355372,0.3225806451612903,0.45714285714285713,0.4462809917355372,0.5447570332480819,0.5151515151515151,0.5462962962962963,0.5924170616113744,0.5,0.601123595505618,0.6391242937853108,0.5357142857142857,0.647887323943662,0.382306477093207,,0.07672634271099744,0.10194174757281553,0.08139534883720931,,27.372521246458923,0.5538461538461539,0.012987012987012988,0.042735042735042736,0.015126050420168067,0.03278688524590164,0.019736842105263157,0.03897254207263064,0.017126546146527116,0.01646090534979424,0.00851063829787234,0.02564102564102564,0.01907356948228883,0.02247191011235955,0.050359712230215826,0.038461538461538464,0.03571428571428571,0.037267080745341616,0.01904761904761905,0.03597122302158273,1.0,0.325434439178515,0.6067961165048543,0.6756756756756757,0.656,0.1358609794628752,0.5581395348837209,0.6075949367088608,0.4166666666666667,0.15639810426540285,0.40404040404040403,0.41237113402061853,0.475,0.05055292259083728,0.28125,0.28125,0.6666666666666666,0.33175355450236965,0.4714285714285714,0.4714285714285714,0.6161616161616161,0.296875,0.5789473684210527,0.9090909090909091,0.0625,0.25,1.0,0.421875,0.3333333333333333,0.6666666666666666,0.34831460674157305,0.5967741935483871,0.06741573033707865,0.25,0.3258426966292135,0.5,0.707740916271722,0.4714285714285714,0.518192654028436,0.5291195652173913,0.5085379213483147,0.10755813953488372,0.15419501133786848,0.024291497975708502,0.08223684210526316,0.30372807017543857,7.376470588235294,25.085537190082643,0.3,0.21052631578947367,0.3684210526315789,0.25,0.2929782082324455,player_totals,wnba,2026,Regular Season,/get-totals/wnba,"{""Season"": ""2026"", ""SeasonType"": ""Regular Season"", ""Type"": ""Player""}",20260822T140916Z,2026-08-22T14:09:19+00:00,cf249c2215b938ee4b2e892e9c586dacbceacd0141763171cf88a87e270aeaea,5.0,2.0,4.0,1.0,6.0,5.0,,0.020202020202020204,1.0,,,,,,,,,,,,,,,"[""single_row_table_data"", ""multi_row_table_data""]",{},1628909,Kelsey Mitchell,player_totals,2026-08-22T14:09:22+00:00,20260822T140916Z,357a454c2718ad5b3de2f91e3bd2917053f59d6a0efbff7992a95f1c6b3f68fb
1631009,1611661330,Rhyne Howard,Rhyne Howard,1631009,ATL,72343.20000000001,35,1206,161.0,2430,2447,584.0,535.0,374.0,4877,46.0,73.0,8.0,10.0,9.0,13.0,37.0,79.0,6.0,36.0,12.0,25.0,1.0,2.0,3.0,6.0,102.0,279.0,9.0,32.0,21.0,72.0,89.0,188.0,114.0,304.0,115.0,635.0,2569,12.0,25.0,10.0,34.0,12.0,66.0,18.0,34.0,24.0,78.0,49.0,157.0,54.0,124.0,285.0,57.0,6.0,279.0,102.0,6.0,2.0,90.0,39.0,129.0,29.0,10.0,69.0,19.0,2.0,297.0,12.0,11.0,56.0,48.0,2.0,106.0,26.0,132.0,7.0,84.0,63.0,21.0,24.0,6.0,12.0,21.0,12.0,2.0,45.0,6.0,10.0,47.0,98.0,6.0,6.0,94.0,1.0,13.0,132.0,15.0,,20.0,51.0,2.0,7.0,30.0,19.0,,11.0,33.0,17.0,569.0,157.0,576.0,8.0,6.0,39.0,57.0,44.0,112.34567901234567,104.98569677155702,0.30337078651685395,0.313953488372093,0.8333333333333334,0.375,0.29411764705882354,0.3076923076923077,0.375,0.4734042553191489,0.48,0.5294117647058824,0.5284552845528455,0.4576271186440678,0.48214285714285715,0.5772811918063314,0.515625,0.5769230769230769,0.6178861788617886,0.006578947368421052,0.031914893617021274,0.0410958904109589,0.0379746835443038,0.007168458781362007,20.13167013167013,0.5333333333333333,0.028985507246376812,0.08450704225352113,0.0167427701674277,0.13333333333333333,0.022222222222222223,0.10526315789473684,0.01921470342522974,0.02046783625730994,0.015209125475285171,,0.024943310657596373,0.010101010101010102,0.1,0.06967213114754098,0.0851063829787234,0.1238390092879257,0.16494845360824742,0.02564102564102564,0.5151515151515151,0.1483739837398374,0.6301369863013698,0.6571428571428571,0.30434782608695654,0.16056910569105692,0.46835443037974683,0.4868421052631579,0.24324324324324326,0.07317073170731707,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0508130081300813,0.48,0.48,0.8333333333333334,0.5670731707317073,0.3655913978494624,0.36823104693140796,0.8333333333333334,0.1694915254237288,0.8,0.25,0.03389830508474576,0.5,,0.5423728813559322,0.28125,0.7777777777777778,0.11607142857142858,0.6923076923076923,0.05357142857142857,0.5,0.6428571428571429,0.2916666666666667,0.766260162601626,0.3655913978494624,0.5018683505154639,0.5133630434782609,0.45632783018867923,0.1,0.22767857142857142,0.006535947712418301,0.10393700787401575,0.247244094488189,7.776063829787234,25.27598684210526,0.48148148148148145,0.30952380952380953,0.21428571428571427,0.3114754098360656,0.2403292181069959,player_totals,wnba,2026,Regular Season,/get-totals/wnba,"{""Season"": ""2026"", ""SeasonType"": ""Regular Season"", ""Type"": ""Player""}",20260822T140916Z,2026-08-22T14:09:19+00:00,18f3d065987f61e9e70b0d79a8a630dface2f1c704d32a5439611b0ea7239098,2.0,1.0,3.0,15.0,19.0,4.0,,,1.0,3.0,4.0,3.0,2.0,1.0,5.0,12.0,0.03488372093023256,,,,,,,"[""single_row_table_data"", ""multi_row_table_data""]",{},1631009,Rhyne Howard,player_totals,2026-08-22T14:09:22+00:00,20260822T140916Z,ca033009bf5fd2deed2da31f0e26eb05b1458f5389cabe2b8a3f8e234960fed6
1629498,1611661319,Jackie Young,Jackie Young,1629498,LVA,72107.6,37,1202,252.0,2388,2418,623.0,498.0,273.0,4806,57.0,78.0,8.0,11.0,12.0,18.0,81.0,157.0,24.0,59.0,8.0,19.0,,1.0,,7.0,78.0,200.0,7.0,17.0,22.0,50.0,162.0,294.0,86.0,219.0,111.0,693.0,2543,9.0,15.0,7.0,18.0,8.0,47.0,38.0,64.0,22.0,57.0,60.0,202.0,146.0,178.0,156.0,102.0,8.0,200.0,78.0,8.0,1.0,169.0,76.0,245.0,55.0,21.0,68.0,70.0,31.0,566.0,8.0,19.0,59.0,77.0,2.0,138.0,28.0,166.0,11.0,32.0,27.0,5.0,63.0,14.0,48.0,28.0,15.0,,91.0,3.0,22.0,36.0,80.0,7.0,6.0,101.0,1.0,8.0,119.0,12.0,3.0,3.0,32.0,12.0,17.0,6.0,3.0,,3.0,11.0,7.0,646.0,200.0,622.0,10.0,15.0,51.0,21.0,15.0,117.04355108877722,105.16956162117452,0.4506172839506173,0.4620253164556962,0.6046511627906976,0.3926940639269406,0.3888888888888889,0.38596491228070173,0.3926940639269406,0.5510204081632653,0.6,0.59375,0.5672514619883041,0.5909090909090909,0.5867768595041323,0.6180679785330948,0.6388888888888888,0.6778523489932886,0.4269005847953216,0.0045662100456621,0.027210884353741496,0.05128205128205128,0.025477707006369428,0.005,24.074074074074073,0.6923076923076923,0.03278688524590164,0.11526946107784432,0.031096563011456628,0.12421052631578948,0.01834862385321101,0.1189851268591426,0.025787965616045846,0.03225806451612903,0.03468208092485549,0.02127659574468085,0.020527859237536656,0.010526315789473684,0.1187214611872146,0.10119047619047619,0.1504424778761062,0.12144702842377261,0.13636363636363635,0.04417670682730924,0.6363636363636364,0.15204678362573099,0.7307692307692307,0.7702702702702703,0.5263157894736842,0.3060428849902534,0.5159235668789809,0.5294117647058824,0.3950617283950617,0.11500974658869395,0.4067796610169492,0.4067796610169492,0.4583333333333333,0.037037037037037035,0.42105263157894735,0.42105263157894735,1.0,0.3898635477582846,0.39,0.39195979899497485,0.5641025641025641,0.3333333333333333,0.7272727272727273,0.375,0.030303030303030304,,,0.5151515151515151,0.4117647058823529,0.7142857142857143,0.1487603305785124,0.6666666666666666,0.05785123966942149,,0.4132231404958678,0.44,0.5789473684210527,0.39,0.48336058823529415,0.5511823529411766,0.46941848739495795,0.08118081180811808,0.10191082802547771,0.05263157894736842,0.06782106782106782,0.29148629148629146,8.461904761904762,25.068493150684933,0.25,0.41333333333333333,0.22857142857142856,0.3046875,0.26088777219430487,player_totals,wnba,2026,Regular Season,/get-totals/wnba,"{""Season"": ""2026"", ""SeasonType"": ""Regular Season"", ""Type"": ""Player""}",20260822T140916Z,2026-08-22T14:09:19+00:00,ba3f10b4ba012fabd1ad8ef70f06078438da8ea7b5b94134377c086d58d94a75,4.0,1.0,,,1.0,4.0,1.0,,,1.0,2.0,5.0,3.0,2.0,3.0,7.0,0.017241379310344827,,,,,,,"[""single_row_table_data"", ""multi_row_table_data""]",{},1629498,Jackie Young,player_totals,2026-08-22T14:09:22+00:00,20260822T140916Z,a78770c5c8582ec5c9e95695ed4bae6e71c572bdf74b323b2b28208d8a915e62
1627668,1611661313,Breanna Stewart,Breanna Stewart,1627668,NYL,71572.5,36,1193,88.0,2369,2367,599.0,506.0,263.0,4736,108.0,166.0,11.0,25.0,24.0,37.0,109.0,254.0,9.0,17.0,8.0,27.0,1.0,4.0,1.0,2.0,21.0,82.0,2.0,12.0,4.0,21.0,226.0,437.0,29.0,109.0,207.0,746.0,2603,23.0,57.0,3.0,16.0,26.0,81.0,51.0,110.0,5.0,23.0,98.0,215.0,310.0,142.0,78.0,9.0,22.0,82.0,21.0,28.0,2.0,62.0,53.0,115.0,37.0,16.0,44.0,12.0,6.0,283.0,20.0,35.0,91.0,124.0,22.0,237.0,56.0,293.0,19.0,47.0,37.0,10.0,41.0,11.0,25.0,37.0,16.0,1.0,78.0,6.0,18.0,31.0,79.0,5.0,13.0,223.0,1.0,5.0,244.0,15.0,,6.0,89.0,2.0,33.0,49.0,21.0,,28.0,49.0,26.0,665.0,208.0,588.0,5.0,27.0,23.0,55.0,20.0,113.59223300970874,109.97042670046471,0.6858407079646017,0.7209302325581395,0.896551724137931,0.26605504587155965,0.1875,0.21739130434782608,0.26605504587155965,0.517162471395881,0.40350877192982454,0.4636363636363636,0.4935897435897436,0.3767123287671233,0.4398496240601504,0.565648854961832,0.47058823529411764,0.5779569892473119,0.19963369963369965,0.01834862385321101,0.06407322654462243,0.060240963855421686,0.07086614173228346,0.024390243902439025,27.360955580440464,0.5256410256410257,0.4074074074074074,0.19808306709265175,0.06862745098039216,0.1864754098360656,0.03787878787878788,0.19299820466786355,0.052986512524084775,0.08024691358024691,0.07023411371237458,0.02040816326530612,0.02729528535980149,0.072,0.2,0.17627118644067796,0.2426470588235294,0.1909814323607427,0.17117117117117117,0.07480314960629922,0.5306122448979592,0.304029304029304,0.6506024096385542,0.6923076923076923,0.6944444444444444,0.4652014652014652,0.42913385826771655,0.461864406779661,0.6513761467889908,0.031135531135531136,0.5294117647058824,0.5294117647058824,1.0,0.04945054945054945,0.2962962962962963,0.2962962962962963,1.0,0.15018315018315018,0.25609756097560976,0.2625,0.8571428571428571,0.3424657534246575,0.44,0.2727272727272727,0.0547945205479452,0.25,1.0,0.1643835616438356,0.16666666666666666,1.0,0.2781954887218045,0.6486486486486487,0.015037593984962405,0.5,0.15789473684210525,0.19047619047619047,0.5036630036630036,0.25609756097560976,0.4846893577981652,0.4695598039215686,0.4495363636363636,0.14630225080385853,0.17416829745596868,0.018018018018018018,0.10857908847184987,0.28820375335120646,5.945308924485126,24.853211009174313,0.2982456140350877,0.25874125874125875,,0.35064935064935066,0.25284930350358803,player_totals,wnba,2026,Regular Season,/get-totals/wnba,"{""Season"": ""2026"", ""SeasonType"": ""Regular Season"", ""Type"": ""Player""}",20260822T140916Z,2026-08-22T14:09:19+00:00,805b60e57fbfcad3db015716b16f5a7b95449f3593de3f12c23d668342f5b8f8,2.0,4.0,7.0,,3.0,3.0,2.0,,,1.0,4.0,,,,1.0,2.0,0.02702702702702703,,,,,,,"[""single_row_table_data"", ""multi_row_table_data""]",{},1627668,Breanna Stewart,player_totals,2026-08-22T14:09:22+00:00,20260822T140916Z,b6af5a3cae4e70e6836104e6ddcd552945013c1cfe44c051c4e2ff6e033fcbf7
1628277,1611661330,Allisha Gray,Allisha Gray,1628277,ATL,70678.79999999999,36,1178,234.0,2376,2377,620.0,534.0,366.0,4753,120.0,180.0,14.0,17.0,30.0,44.0,47.0,127.0,6.0,13.0,8.0,33.0,,5.0,4.0,8.0,55.0,159.0,7.0,27.0,11.0,32.0,173.0,320.0,63.0,192.0,166.0,701.0,2475,21.0,29.0,7.0,32.0,26.0,89.0,39.0,71.0,15.0,40.0,64.0,187.0,244.0,102.0,180.0,9.0,2.0,159.0,55.0,22.0,,54.0,34.0,88.0,22.0,12.0,47.0,6.0,1.0,210.0,9.0,12.0,41.0,41.0,10.0,92.0,25.0,117.0,8.0,47.0,41.0,6.0,32.0,8.0,15.0,24.0,17.0,1.0,56.0,4.0,14.0,48.0,101.0,1.0,6.0,179.0,6.0,22.0,210.0,27.0,1.0,3.0,90.0,9.0,14.0,11.0,9.0,,2.0,14.0,1.0,612.0,183.0,612.0,7.0,10.0,71.0,48.0,70.0,114.0151515151515,104.1228439209087,0.7052023121387283,0.7093023255813954,0.9523809523809523,0.328125,0.21875,0.375,0.328125,0.540625,0.7241379310344828,0.5492957746478874,0.5224609375,0.5163934426229508,0.5540540540540541,0.5845896147403685,0.6013513513513513,0.6584507042253521,0.375,,0.06875,0.06666666666666667,0.07874015748031496,,23.139617292700212,0.5714285714285714,0.13157894736842105,0.07360861759425494,0.018575851393188854,0.09557109557109557,0.01764705882352941,0.08316430020283976,0.018166089965397925,0.008902077151335312,0.030534351145038167,0.02127659574468085,0.009779951100244499,0.04950495049504951,0.056768558951965066,0.06224066390041494,0.14942528735632185,0.09821428571428571,0.08602150537634409,0.03187250996015936,0.07142857142857142,0.3515625,0.6666666666666666,0.7142857142857143,0.7333333333333333,0.248046875,0.3700787401574803,0.4017094017094017,0.5957446808510638,0.025390625,0.46153846153846156,0.46153846153846156,1.0,0.064453125,0.24242424242424243,0.24242424242424243,1.0,0.310546875,0.34591194968553457,0.34591194968553457,0.9454545454545454,0.2786885245901639,0.8235294117647058,0.7857142857142857,0.08196721311475409,,,0.4426229508196721,0.25925925925925924,1.0,0.3963963963963964,0.6818181818181818,0.07207207207207207,0.5,0.2882882882882883,0.34375,0.7265625,0.34591194968553457,0.5299626953125,0.5413795918367347,0.5134671171171171,0.16838487972508592,0.2349869451697128,0.04020100502512563,0.12696148359486448,0.26676176890156916,5.093125,24.77135416666667,0.4666666666666667,0.2911392405063291,0.42857142857142855,0.2677165354330709,0.2609427609427609,player_totals,wnba,2026,Regular Season,/get-totals/wnba,"{""Season"": ""2026"", ""SeasonType"": ""Regular Season"", ""Type"": ""Player""}",20260822T140916Z,2026-08-22T14:09:19+00:00,1ee7c05d6685ae1851f8f7f1e74dddbc03223c984d8b0303d8ab1029186d29b1,1.0,3.0,9.0,,2.0,1.0,4.0,,,4.0,4.0,3.0,2.0,1.0,1.0,11.0,0.047619047619047616,,,,,,,"[""single_row_table_data"", ""multi_row_table_data""]",{},1628277,Allisha Gray,player_totals,2026-08-22T14:09:22+00:00,20260822T140916Z,55570da190146771d65ba71647585d02d6a2300bada8b5b6b7391b797b78ddbd
