player_id,player_name,dataset,league,season,season_type,source_endpoint,source_params_json,run_id,fetched_at_utc,row_content_hash,source_response_keys,player_id_clean,player_name_clean,dataset_clean,_cleaned_at_utc,_clean_run_id,_row_content_hash
100003,Lisa Leslie,players_directory,wnba,,,/get-all-players-for-league/wnba,{},20260603T195605Z,2026-06-03T19:56:05+00:00,abc4a0fda3272f3f694fb100cd7e4c8a62db8714cedbc1d1057f14ed96e5df09,"[""players""]",100003,Lisa Leslie,players_directory,2026-06-03T19:56:08+00:00,20260603T195605Z,f7237c97ef9bd408cc8446e55ff90d69e802052392acd5250d4da4fc7763a5d4
100008,Tamecka Dixon,players_directory,wnba,,,/get-all-players-for-league/wnba,{},20260603T195605Z,2026-06-03T19:56:05+00:00,71bbed8a1967489aa67ad76a55664af0219e9d8c2befa52f5f6d2700092c90c6,"[""players""]",100008,Tamecka Dixon,players_directory,2026-06-03T19:56:08+00:00,20260603T195605Z,ae38f3278b74bf66dd9d53c33269b05a56d129d726685b08aeb908c785feed9a
100072,Sheryl Swoopes,players_directory,wnba,,,/get-all-players-for-league/wnba,{},20260603T195605Z,2026-06-03T19:56:05+00:00,174e74e78aea5fdc4a2cbaa5fc716d8ff87f91dd9d9f93f905373c8886475d95,"[""players""]",100072,Sheryl Swoopes,players_directory,2026-06-03T19:56:08+00:00,20260603T195605Z,5b4e560af772e18cfe6048cf8cb5a4ba393e2c37d402d175c3d3db7fa6b344c5
100076,Tina Thompson,players_directory,wnba,,,/get-all-players-for-league/wnba,{},20260603T195605Z,2026-06-03T19:56:05+00:00,a011df28870c8d38bf91f869ab436931aec37d7eb7d8860a64771bfccc7ea25d,"[""players""]",100076,Tina Thompson,players_directory,2026-06-03T19:56:08+00:00,20260603T195605Z,c573da03f8ea7b9e9571a35b2db112b938de7457eed48bfdc71a7062e1aa7414
100103,Vickie Johnson,players_directory,wnba,,,/get-all-players-for-league/wnba,{},20260603T195605Z,2026-06-03T19:56:05+00:00,ee045bc67f9edc218d7927976852e41eef9496085b5ab8d3102d95165abc351b,"[""players""]",100103,Vickie Johnson,players_directory,2026-06-03T19:56:08+00:00,20260603T195605Z,6753c5d948e6a42020c123240af61a4e776b8139c2abbd21c1b71dc485f0164f
100222,Kristi Harrower,players_directory,wnba,,,/get-all-players-for-league/wnba,{},20260603T195605Z,2026-06-03T19:56:05+00:00,ffcf65ca774985320c9b68c4bf01a44a03ae610506c7f77ab0c7da5ff728b28c,"[""players""]",100222,Kristi Harrower,players_directory,2026-06-03T19:56:08+00:00,20260603T195605Z,acfca3245fa1ea1288ea85160446de986edf88b1232ba33aff4def54634c0f35
100234,Ticha Penicheiro,players_directory,wnba,,,/get-all-players-for-league/wnba,{},20260603T195605Z,2026-06-03T19:56:05+00:00,f8c9fc461a8de10eae4b78af6b5ee0d4e4bf891b525f3767bb983eac731050e0,"[""players""]",100234,Ticha Penicheiro,players_directory,2026-06-03T19:56:08+00:00,20260603T195605Z,4a9609cccd6e150d56369b5f55dbb747039fbea3700a82d40944b4d9b3b77d9f
100236,Tangela Smith,players_directory,wnba,,,/get-all-players-for-league/wnba,{},20260603T195605Z,2026-06-03T19:56:05+00:00,97c4337f0ad69e884448fd96736904423cb261446e2c7203449d2573ebbd50f8,"[""players""]",100236,Tangela Smith,players_directory,2026-06-03T19:56:08+00:00,20260603T195605Z,256779fd8dde38d11d0ca8a11c9525ac57c27d2754cfc4a5ac4d9e3411a07994
100284,Tully Bevilaqua,players_directory,wnba,,,/get-all-players-for-league/wnba,{},20260603T195605Z,2026-06-03T19:56:05+00:00,ed1efbafe6edf959587cb59d12f48e4bf111e376bdd65a4d2a54396df4b29e13,"[""players""]",100284,Tully Bevilaqua,players_directory,2026-06-03T19:56:08+00:00,20260603T195605Z,6f8f187ce97fb6874241ad8483a6ad45ab3bae2888b147393944b1a281f547fa
100342,Becky Hammon,players_directory,wnba,,,/get-all-players-for-league/wnba,{},20260603T195605Z,2026-06-03T19:56:05+00:00,0f3aca9f47a4ed1ec1effa6e48ec94028f5402d59d9142415378c3c41003105f,"[""players""]",100342,Becky Hammon,players_directory,2026-06-03T19:56:08+00:00,20260603T195605Z,14c82097fb5e0236fca02da7bad5d095205e354bc49c7b0e2d56112ea6719a11
