team_id,franchise_id,opponent_id,opponent_franchise_id,games_played,wins,losses,win_pct,points_for,points_against,point_differential
18,connecticut_sun,16,washington_mystics,3,1,2,0.33333333333333331,233,237,-4
18,connecticut_sun,17,las_vegas_aces,3,0,3,0,241,300,-59
18,connecticut_sun,19,chicago_sky,3,1,2,0.33333333333333331,260,242,18
18,connecticut_sun,20,atlanta_dream,2,0,2,0,144,195,-51
18,connecticut_sun,3,dallas_wings,2,0,2,0,146,169,-23
18,connecticut_sun,5,indiana_fever,2,0,2,0,163,208,-45
18,connecticut_sun,6,los_angeles_sparks,3,2,1,0.66666666666666663,237,235,2
18,connecticut_sun,8,minnesota_lynx,2,1,1,0.5,170,175,-5
18,connecticut_sun,9,new_york_liberty,3,0,3,0,230,277,-47
19,chicago_sky,11,phoenix_mercury,3,1,2,0.33333333333333331,261,263,-2
19,chicago_sky,129689,golden_state_valkyries,3,2,1,0.66666666666666663,213,224,-11
19,chicago_sky,131935,toronto_tempo,2,0,2,0,172,196,-24
19,chicago_sky,132052,portland_fire,3,3,0,1,323,255,68
19,chicago_sky,14,seattle_storm,3,2,1,0.66666666666666663,265,267,-2
19,chicago_sky,16,washington_mystics,1,0,1,0,72,90,-18
19,chicago_sky,17,las_vegas_aces,3,1,2,0.33333333333333331,273,288,-15
19,chicago_sky,18,connecticut_sun,3,2,1,0.66666666666666663,242,260,-18
19,chicago_sky,20,atlanta_dream,2,0,2,0,166,175,-9
19,chicago_sky,3,dallas_wings,3,0,3,0,272,288,-16
19,chicago_sky,5,indiana_fever,3,0,3,0,282,317,-35
19,chicago_sky,6,los_angeles_sparks,3,2,1,0.66666666666666663,278,272,6
19,chicago_sky,8,minnesota_lynx,3,1,2,0.33333333333333331,219,243,-24
19,chicago_sky,9,new_york_liberty,3,1,2,0.33333333333333331,282,277,5
20,atlanta_dream,11,phoenix_mercury,3,3,0,1,277,251,26
20,atlanta_dream,129689,golden_state_valkyries,3,0,3,0,224,243,-19
20,atlanta_dream,131935,toronto_tempo,4,4,0,1,414,351,63
20,atlanta_dream,132052,portland_fire,2,1,1,0.5,178,168,10
20,atlanta_dream,14,seattle_storm,3,2,1,0.66666666666666663,277,272,5
20,atlanta_dream,16,washington_mystics,3,1,2,0.33333333333333331,259,237,22
20,atlanta_dream,17,las_vegas_aces,3,1,2,0.33333333333333331,268,276,-8
20,atlanta_dream,18,connecticut_sun,2,2,0,1,195,144,51
20,atlanta_dream,19,chicago_sky,2,2,0,1,175,166,9
20,atlanta_dream,3,dallas_wings,3,3,0,1,245,222,23
20,atlanta_dream,5,indiana_fever,4,2,2,0.5,383,375,8
20,atlanta_dream,6,los_angeles_sparks,2,2,0,1,225,180,45
20,atlanta_dream,8,minnesota_lynx,2,1,1,0.5,172,186,-14
20,atlanta_dream,9,new_york_liberty,1,0,1,0,90,104,-14
3,dallas_wings,11,phoenix_mercury,1,1,0,1,85,70,15
3,dallas_wings,129689,golden_state_valkyries,3,0,3,0,226,263,-37
3,dallas_wings,131935,toronto_tempo,3,3,0,1,291,259,32
3,dallas_wings,132052,portland_fire,2,1,1,0.5,184,181,3
3,dallas_wings,14,seattle_storm,3,3,0,1,283,236,47
