game_id,game_date,home_id,away_id,home_abbreviation,home_display_name,away_abbreviation,away_display_name,home_rest_days,away_rest_days,home_b2b,away_b2b,home_predictive_net_rating,season_games_played_x,home_pace,away_predictive_net_rating,season_games_played_y,away_pace,avg_pace,base_margin,rest_diff,expected_home_margin,margin_sigma,home_win_probability,away_win_probability,model_version
401857161,2026-08-21,16,8,WSH,Washington Mystics,MIN,Minnesota Lynx,1,1,False,False,1.3418512814706698,35,77.206349206349202,11.258006207233164,37,79.911351351351342,78.558850278850272,-7.7900173015485947,0,-6.2900173015485947,12.096350411887235,0.30153423386091693,0.69846576613908307,v1_heuristic_margin
401857162,2026-08-21,19,129689,CHI,Chicago Sky,GS,Golden State Valkyries,2,1,False,False,-2.3284063387107001,36,82.344814814814811,8.3995949608324434,35,74.795428571428573,78.570121693121692,-8.4290036762907246,1,-6.5790036762907249,12.096350411887235,0.29326087100528153,0.70673912899471847,v1_heuristic_margin
401857163,2026-08-21,131935,132052,TOR,Toronto Tempo,POR,Portland Fire,1,4,False,False,-11.269010549829666,35,80.203365079365085,-4.6644716887598872,35,79.183047619047628,79.693206349206349,-5.2633687829658617,-2,-4.4633687829658619,12.096350411887235,0.35606954739468355,0.64393045260531645,v1_heuristic_margin
401857164,2026-08-22,9,5,NY,New York Liberty,IND,Indiana Fever,3,1,False,False,4.5075405901387615,37,79.798258258258258,6.4513402151189858,37,81.719459459459458,80.758858858858858,-1.5697903956368071,2,0.63020960436319284,12.096350411887235,0.52077515585662859,0.47922484414337141,v1_heuristic_margin
401857165,2026-08-22,6,18,LA,Los Angeles Sparks,CON,Connecticut Sun,1,1,False,False,-7.3887125928903439,36,81.676604938271609,-11.903707538823397,35,79.278222222222226,80.477413580246917,3.6335511557657889,0,5.1335511557657885,12.096350411887235,0.66435872125056272,0.33564127874943728,v1_heuristic_margin
401857166,2026-08-22,11,20,PHX,Phoenix Mercury,ATL,Atlanta Dream,5,1,False,False,-3.7539753676457104,36,79.320493827160504,8.0528561640489649,36,80.560185185185176,79.940339506172847,-9.438421211358591,2,-7.2384212113585908,12.096350411887235,0.27478749453114648,0.72521250546885352,v1_heuristic_margin
401857167,2026-08-23,3,14,DAL,Dallas Wings,SEA,Seattle Storm,2,6,False,False,0.7909013786877126,37,78.884444444444441,-6.4487833523421445,37,80.760900900900893,79.822672672672667,5.7789098453834251,-2,6.5789098453834249,12.096350411887235,0.70673645987282752,0.29326354012717248,v1_heuristic_margin
401857168,2026-08-23,19,5,CHI,Chicago Sky,IND,Indiana Fever,1,0,False,True,-2.3284063387107001,36,82.344814814814811,6.4513402151189858,37,81.719459459459458,82.032137137137141,-7.2022137333306402,1,-4.6022137333306405,12.096350411887235,0.35180087947755539,0.64819912052244466,v1_heuristic_margin
401857169,2026-08-23,132052,16,POR,Portland Fire,WSH,Washington Mystics,1,1,False,False,-4.6644716887598872,35,79.183047619047628,1.3418512814706698,35,77.206349206349202,78.194698412698415,-4.6966261322644138,0,-3.1966261322644138,12.096350411887235,0.39578837060201483,0.60421162939798512,v1_heuristic_margin
401857170,2026-08-23,131935,17,TOR,Toronto Tempo,LV,Las Vegas Aces,1,2,False,False,-11.269010549829666,35,80.203365079365085,2.6998252398093499,38,79.458538011695907,79.830951545530496,-11.151454530701445,-1,-10.001454530701444,12.096350411887235,0.20417071582354074,0.79582928417645926,v1_heuristic_margin
