game_id,game_date,home_id,away_id,home_win_branch_n,home_loss_branch_n,conditional_estimate_available,home_playoff_probability_if_home_win,home_playoff_probability_if_home_loss,home_playoff_probability_swing,away_playoff_probability_if_home_win,away_playoff_probability_if_home_loss,away_playoff_probability_swing,home_top4_probability_if_home_win,home_top4_probability_if_home_loss,home_top4_probability_swing,away_top4_probability_if_home_win,away_top4_probability_if_home_loss,away_top4_probability_swing,home_expected_rank_if_home_win,home_expected_rank_if_home_loss,home_expected_rank_swing,away_expected_rank_if_home_win,away_expected_rank_if_home_loss,away_expected_rank_swing,direct_h2h_tiebreak_flag,cutline_matchup_flag,top4_matchup_flag,raw_leverage,leverage_score,leverage_label
401857164,2026-08-22,9,5,5221,4779,True,1,1,0,1,1,0,0.085807316606014178,0.0046034735300272021,0.081203843075986978,0.37751388622869181,0.69993722536095415,-0.32242333913226234,6.4006895230798699,7.1615400711445911,0.76085054806472119,4.9228117218923577,3.9882820673781127,-0.93452965451424497,False,False,False,23.08351896599272,99.019562684290051,Critical
401857165,2026-08-22,6,18,6619,3381,True,0,0,0,0,0,0,0,0,0,0,0,0,11.735458528478622,12.277136941733215,0.54167841325459243,14.369240066475298,13.989648033126294,-0.37959203334900415,False,False,False,2.1667136530183697,3.4097841333782446,Low
401857166,2026-08-22,11,20,2813,7187,True,0,0,0,1,1,0,0,0,0,0.36046924991112689,0.5932934465006261,-0.23282419658949921,10.323142552435122,10.835675525253931,0.51253297281880883,4.8937077852826167,4.2562960901627935,-0.63741169511982321,False,False,False,16.519098575849245,69.013891625746339,High
401857167,2026-08-23,3,14,7108,2892,True,1,1,0,0,0,0,0.013927968486212718,0.00034578146611341634,0.013582187020099301,0,0,0,6.6533483398987059,7.203319502074689,0.54997116217598307,14.735931344963422,14.466459197786998,-0.26947214717642431,False,False,False,3.0148158699098904,7.2864213125386206,Low
401857168,2026-08-23,19,5,3661,6339,True,0.00027314941272876261,0,0.00027314941272876261,1,1,0,0,0,0,0.36246927069106799,0.62927906609875373,-0.26680979540768573,9.2955476645725206,9.6750276068780572,0.37947994230553661,4.9713193116634802,4.1902508282063415,-0.78106848345713864,False,False,False,19.160176599562575,81.086140767267096,High
401857169,2026-08-23,132052,16,4168,5832,True,0,0,0,0.99976007677543188,1,-0.0002399232245681171,0,0,0,0.0095969289827255271,0.039437585733882029,-0.029840656751156502,9.9508157389635326,10.397119341563785,0.4463036026002527,7.1993761996161227,6.6169410150891634,-0.5824351845269593,False,False,False,4.1441724656340391,12.448659637490701,Low
401857170,2026-08-23,131935,17,2308,7692,True,0,0,0,1,1,0,0,0,0,0.72876949740034658,0.91744669786791466,-0.18867720046756808,12.457538994800693,12.8295631825273,0.37202418772660728,3.7954939341421143,3.0327613104524183,-0.76273262368969608,False,False,False,14.371562522812869,59.197600687017427,Moderate
401857171,2026-08-24,8,129689,6412,3588,True,1,1,0,1,1,0,1,1,0,0.97535870243293821,0.99581939799331098,-0.020460695560372777,1,1.0052954292084726,0.0052954292084725907,2.5683094198378043,2.2140468227424748,-0.35426259709532948,False,False,False,2.6446921220036845,5.5946022682701546,Low
401857172,2026-08-24,6,20,1778,8222,True,0,0,0,1,1,0,0,0,0,0.32564679415073117,0.57151544636341522,-0.24586865221268406,11.478627671541057,12.01374361469229,0.5351159431512329,4.9769403824521934,4.3185356360982725,-0.65840474635392088,False,False,False,17.385738118176725,72.975262087706781,High
401857173,2026-08-25,18,19,3081,6919,True,0,0,0,0,0.00014452955629426219,-0.00014452955629426219,0,0,0,0,0,0,13.9915611814346,14.351929469576529,0.36036828814192923,9.8636806231742948,9.3902298019945079,-0.47345082117978698,False,False,False,1.9082562403485741,2.2283868970195488,Low
401857174,2026-08-25,3,132052,6821,3179,True,1,1,0,0,0,0,0.014367394810145141,0.00062912865681031768,0.013738266153334823,0,0,0,6.6361237355226503,7.1906259830135264,0.55450224749087607,10.351854566779064,9.9090909090909083,-0.44276365768815573,False,True,False,13.042304959163594,53.121624007213462,Moderate
401857175,2026-08-25,11,16,4445,5555,True,0,0,0,0.99977502812148478,1,-0.00022497187851522327,0,0,0,0.0069741282339707538,0.043024302430243022,-0.036050174196272267,10.388301462317211,10.934113411341134,0.54581194902392305,7.1824521934758154,6.6014401440144015,-0.58101204946141394,False,False,False,4.5095558374735143,14.118810635458283,Low
401857176,2026-08-26,18,129689,1049,8951,True,0,0,0,1,1,0,0,0,0,0.93994280266920882,0.98771087029382187,-0.047768067624613053,13.932316491897044,14.277064015193833,0.34474752329678893,2.8798856053384174,2.3897888504077756,-0.49009675493064186,False,False,False,4.8264710771993506,15.567415976294038,Low
401857177,2026-08-26,14,131935,6441,3559,True,0,0,0,0,0,0,0,0,0,0,0,0,14.578015836050303,14.802753582466986,0.22473774641668243,12.873311597578017,12.509131778589492,-0.36417981898852503,False,False,False,1.4567192759541001,0.16443169318504516,Low
401857178,2026-08-27,9,129689,5064,4936,True,1,1,0,1,1,0,0.074052132701421802,0.019246353322528362,0.054805779378893443,0.9713665086887836,0.9943273905996759,-0.022960881910892295,6.4413507109004735,7.0956239870340356,0.65427327613356212,2.6184834123222749,2.2593192868719609,-0.35916412545031395,False,False,False,5.9054398672678552,20.499333902489322,Low
401857179,2026-08-27,11,16,4335,5665,True,0,0,0,0.99976931949250292,1,-0.00023068050749708302,0,0,0,0.0080738177623990767,0.041482789055604589,-0.033408971293205511,10.360322952710495,10.944924977934686,0.58460202522419102,7.204844290657439,6.5955869373345104,-0.60925735332292863,False,False,False,4.464635741633753,13.913482892934365,Low
401857180,2026-08-28,20,132052,8464,1536,True,1,1,0,0,0,0,0.56628071833648397,0.31575520833333331,0.25052551000315065,0,0,0,4.3332939508506616,4.999348958333333,0.66605500748267144,10.279418714555765,9.8346354166666661,-0.44478329788909932,False,False,False,17.695750630119726,74.392315369571818,High
401857181,2026-08-28,5,18,9252,748,True,1,1,0,0,0,0,0.55134025075659321,0.28743315508021389,0.26390709567637932,0,0,0,4.4136402939904888,5.25,0.83635970600951115,14.267833981841765,13.907754010695188,-0.36007997114657719,False,False,False,19.179864564620804,81.176133572151485,High
401857182,2026-08-28,17,131935,8440,1560,True,1,1,0,0,0,0,0.9033175355450237,0.71474358974358976,0.18857394580143394,0,0,0,3.09478672985782,3.8256410256410258,0.73085429578320582,12.797511848341232,12.452564102564102,-0.34494774577713017,False,False,False,14.23785393121886,58.586424714330619,Moderate
401857183,2026-08-28,6,16,3850,6150,True,0,0,0,0.99974025974025971,1,-0.00025974025974029313,0,0,0,0.0093506493506493506,0.038048780487804877,-0.028698131137155525,11.605714285714285,12.114471544715448,0.50875725900116286,7.2015584415584417,6.6456910569105689,-0.55586738464787278,False,False,False,3.9713314327948517,11.658611031740415,Low
401857184,2026-08-29,9,19,6865,3135,True,1,1,0,0,0.00031897926634768739,-0.00031897926634768739,0.062345229424617628,0.013397129186602871,0.048948100238014755,0,0,0,6.5727603787327018,7.1837320574162682,0.61097167868356639,9.6461762563729057,9.2950558213716103,-0.35112043500129531,False,False,False,5.4126706556499196,18.246907946682654,Low
401857185,2026-08-29,11,131935,7341,2659,True,0,0,0,0,0,0,0,0,0,0,0,0,10.503609862416564,11.210229409552463,0.70661954713589914,12.873314262362076,12.385859345618654,-0.48745491674342212,False,False,False,2.8264781885435966,6.4255382217038015,Low
401857186,2026-08-30,20,8,4407,5593,True,1,1,0,1,1,0,0.67597004765146362,0.41104952619345608,0.26492052145800754,1,1,0,4.0494667574313592,4.7398533881637759,0.69038663073241668,1.0038574994327207,1.0003575898444483,-0.0034999095882723985,False,False,False,18.656777810410119,78.785127489498066,High
401857187,2026-08-30,14,6,6032,3968,True,0,0,0,0,0,0,0,0,0,0,0,0,14.56117374005305,14.805191532258064,0.24401779220501396,12.125331564986737,11.604334677419354,-0.52099688756738338,False,False,False,2.0839875502695335,3.0316468296242092,Low
401857188,2026-08-30,132052,129689,2459,7541,True,0,0,0,1,1,0,0,0,0,0.95729971533143554,0.99098262829863415,-0.033682912967198608,9.8723058153721031,10.321575387879591,0.44926957250748778,2.7600650671004474,2.3372231799496088,-0.42284188715083859,False,False,False,3.8180530680618676,10.957982504128873,Low
401857189,2026-08-30,3,18,8450,1550,True,1,1,0,0,0,0,0.011597633136094675,0.0012903225806451613,0.010307310555449513,0,0,0,6.7278106508875739,7.2735483870967741,0.54573773620920019,14.295502958579881,13.943225806451613,-0.35227715212826816,False,False,False,2.8013895781637714,6.3108593093807377,Low
401857190,2026-09-17,20,18,9304,696,True,1,1,0,0,0,0,0.54159501289767842,0.34339080459770116,0.19820420829997726,0,0,0,4.3967110920034393,4.9554597701149428,0.55874867811150342,14.265262252794496,13.915229885057471,-0.3500323677370254,False,False,False,14.127247210444649,58.080846356582782,Moderate
401857191,2026-09-17,19,16,4674,5326,True,0.0002139495079161318,0,0.0002139495079161318,0.99978605049208391,1,-0.00021394950791608913,0,0,0,0.0066324347454000858,0.044874202027788211,-0.038241767282388123,9.330124090714591,9.7168606834397302,0.38673659272513916,7.1895592640136927,6.5702215546376266,-0.61933770937606614,False,False,False,4.7932518252391656,15.415572266128118,Low
401857192,2026-09-17,3,6,7480,2520,True,1,1,0,0,0,0,0.013235294117647059,0.00039682539682539683,0.012838468720821661,0,0,0,6.6721925133689837,7.2285714285714286,0.55637891520244498,12.047192513368984,11.536904761904761,-0.51028775146422234,False,False,False,2.9958237840590796,7.1996093402873136,Low
401857193,2026-09-17,132052,11,5223,4777,True,0,0,0,0,0,0,0,0,0,0,0,0,9.8204097262109897,10.638266694578187,0.81785696836719701,11.141298104537622,10.19970692903496,-0.94159117550266203,False,False,False,3.7663647020106481,10.721717302159901,Low
401857194,2026-09-17,14,17,2955,7045,True,0,0,0,1,1,0,0,0,0,0.7590524534686971,0.92207239176721079,-0.16301993829851369,14.47072758037225,14.736550745209369,0.26582316483711921,3.7137055837563451,2.9970191625266147,-0.71668642122973036,False,False,False,12.647941982829742,51.319008537413666,Moderate
401857195,2026-09-18,131935,5,1589,8411,True,0,0,0,1,1,0,0,0,0,0.3064820641913153,0.57412911663298061,-0.26764705244166531,12.441787287602265,12.800737129948876,0.35894984234661109,5.1950912523599753,4.3403875876827964,-0.85470366467717884,False,False,False,19.477637805208634,82.537241693826758,High
401857196,2026-09-18,8,9,7154,2846,True,1,1,0,1,1,0,1,1,0,0.024042493709812693,0.10470836261419536,-0.080665868904382668,1.0002795638803466,1.0059732958538299,0.0056937319734833292,6.9610008386916409,6.2698524244553759,-0.69114841423626494,False,False,False,7.6045457912080199,28.265870842128749,Low
401857197,2026-09-18,129689,132052,8470,1530,True,1,1,0,0,0,0,0.9887839433293979,0.94901960784313721,0.039764335486260682,0,0,0,2.3706021251475797,2.8320261437908498,0.4614240186432701,10.287131050767414,9.7901960784313733,-0.49693497233604056,False,False,False,4.3736000185198032,13.497362687343122,Low
401857198,2026-09-19,3,11,6603,3397,True,1,1,0,0,0,0,0.014690292291382705,0.00088313217544892548,0.013807160115933779,0,0,0,6.608359836437983,7.209007948189579,0.60064811175159605,10.871724973496896,10.341183397115101,-0.53054157638179511,False,False,False,3.2310220539624108,8.2746900786956132,Low
401857199,2026-09-19,20,19,7976,2024,True,1,1,0,0,0.00049407114624505926,-0.00049407114624505926,0.57635406218655971,0.33646245059288538,0.23989161159367434,0,0,0,4.3019057171514543,4.9624505928853759,0.66054487573392162,9.6070712136409231,9.2564229249011856,-0.35064828873973752,False,False,False,17.085083313180654,71.600982464416916,High
401857200,2026-09-19,129689,14,8289,1711,True,1,1,0,0,0,0,0.98817710218361687,0.95616598480420811,0.03201111737940876,0,0,0,2.3637350705754616,2.816481589713618,0.45274651913815633,14.707443599951743,14.418468731735826,-0.28897486821591656,False,False,False,3.7316531193171509,10.563052215172721,Low
401857201,2026-09-20,18,8,823,9177,True,0,0,0,1,1,0,0,0,0,1,1,0,13.914945321992709,14.27013185136755,0.35518652937484063,1.008505467800729,1.0013076168682575,-0.0071978509324714945,False,False,False,1.4207461174993625,0,Low
401857202,2026-09-20,131935,9,2055,7945,True,0,0,0,1,1,0,0,0,0,0.011192214111922141,0.056261799874134676,-0.045069585762212538,12.458394160583941,12.817495280050347,0.35910111946640555,7.2126520681265207,6.6483322844556323,-0.56431978367088842,False,False,False,4.961454280416306,16.184418141517646,Low
401857203,2026-09-20,5,16,6778,3222,True,1,1,0,0.99985246385364412,1,-0.00014753614635587553,0.63366774859840658,0.31688392302917445,0.31678382556923212,0.0026556506344054295,0.078212290502793297,-0.07555663986838787,4.1317497786957809,5.2008069522036005,1.0690571735078196,7.1357332546473886,6.2790192427063936,-0.85671401194099506,False,False,False,23.298011842820795,99.999999999999986,Critical
401857204,2026-09-20,6,132052,4837,5163,True,0,0,0,0,0,0,0,0,0,0,0,0,11.597064296051272,12.219833430176253,0.62276913412498125,10.498242712425057,9.9420879333720702,-0.55615477905298683,False,False,False,2.491076536499925,4.8924323196464563,Low
