team_id,franchise_id,team_abbreviation,team_name,season_games_played,season_win_pct,season_net_rating,recent_games_played,recent_net_rating,efg_diff,tov_diff,oreb_diff,ftr_diff,predictive_net_rating,z_season_net_rating,z_season_win_pct,z_recent_net_rating,z_efg_diff,z_tov_diff,z_oreb_diff,z_ftr_diff,composite_strength,pbpstats_snapshot_available,pbpstats_snapshot_as_of,pbpstats_cutoff_safety_upper_bound,pbpstats_provenance_kind,pbpstats_snapshot_safe_for_cutoff,pbpstats_games_played,pbpstats_plus_minus,pbpstats_off_poss,pbpstats_def_poss,pbpstats_total_poss,pbpstats_efg_pct,pbpstats_ts_pct,pbpstats_pace,pbpstats_shotquality_pbp_feature,pbpstats_shot_making_over_shotquality_pbp
11,phoenix_mercury,PHX,Phoenix Mercury,37,0.35135135135135137,-4.7295093669343515,10,-4.3812343016681385,-0.031971699279223408,-0.0016632163525276242,-0.018928186233364643,0.089098687496073442,-4.6250268473544871,-0.71050097783907273,-0.80442234536044155,-0.40864577505532784,-1.0517420180520969,-0.069742323595199857,-0.42248456681105473,1.7192527734639993,-0.52522154627046236,True,,2026-08-25,last_saved_at_utc_upper_bound,False,,,,,,,,,,
129689,golden_state_valkyries,GS,Golden State Valkyries,37,0.70270270270270274,8.3047914505052809,10,10.439982954195173,0.010803250572482952,0.044542866160603573,0.0086039059812746746,-0.050582806549046233,8.9453489016122489,1.2866764024130037,1.1254380109063031,1.3293907760638284,0.37854137048319281,1.947737264246963,0.19244805723022526,-0.97288301738425897,1.0333332907603652,True,,2026-08-25,last_saved_at_utc_upper_bound,False,,,,,,,,,,
131935,toronto_tempo,TOR,Toronto Tempo,37,0.29729729729729731,-8.3008244577976544,10,-14.604475453777809,-0.021862550549454098,-0.016149862873225479,-0.05164456380379201,-0.010737921287717845,-10.1919197565917,-1.2577148113330694,-1.1013239386322484,-1.6074924343095069,-0.7137183020559722,-0.70226756837194104,-1.1532088340285991,-0.20493703837278784,-1.1201135428154438,True,,2026-08-25,last_saved_at_utc_upper_bound,False,,,,,,,,,,
132052,portland_fire,POR,Portland Fire,37,0.40540540540540543,-5.3635652778706264,10,-2.4478227193195652,-0.0022032742232802422,-0.0083411830667510945,-0.049926173916836139,-0.090818001491766359,-4.4888425103053082,-0.80765403122285984,-0.50752075208863467,-0.18192080770154415,-0.05636308697253805,-0.36131998613360017,-1.1148283871641249,-1.748351586771588,-0.61146865652896942,True,,2026-08-25,last_saved_at_utc_upper_bound,False,,,,,,,,,,
14,seattle_storm,SEA,Seattle Storm,38,0.18421052631578946,-6.9859970708043759,10,-8.8382987902839822,-0.0061217909357067944,-0.009616467437226342,-0.036898707272664776,-0.049064273016095963,-7.5416875866482567,-1.0562507241512347,-1.7224733245561601,-0.93131141433303266,-0.18738812337612923,-0.41700226963808856,-0.82385833717094115,-0.9436157296765677,-1.0108289945085731,True,,2026-08-25,last_saved_at_utc_upper_bound,False,,,,,,,,,,
16,washington_mystics,WSH,Washington Mystics,37,0.59459459459459463,-0.85327761079623288,10,4.1930697988341432,-0.001658189768975855,-0.042063213280607137,0.081416497575471453,0.10801597208717595,0.66062661209287987,-0.1165663669686659,0.53163482436268938,0.59683533151089407,-0.03813687646748265,-1.8337128815433545,1.8187261353073383,2.0838529609227523,0.2360467955075736,True,,2026-08-25,last_saved_at_utc_upper_bound,False,,,,,,,,,,
17,las_vegas_aces,LV,Las Vegas Aces,39,0.66666666666666663,4.5095329378265614,10,0.46909696458518652,0.035516128885444656,0.013708880402990955,-0.035047278091866058,0.024220050253323924,3.2974021458541491,0.70514889588273777,0.92750361539176474,0.16013699630910841,1.2048759297629419,0.60144401681312187,-0.78250644151770088,0.46882155079789806,0.59359212703867714,True,,2026-08-25,last_saved_at_utc_upper_bound,False,,,,,,,,,,
18,connecticut_sun,CON,Connecticut Sun,36,0.25,-10.017723436245255,10,-16.252398913314131,-0.056519485810465481,0.0056542847937678022,0.0054485794923607922,-0.054827487988913431,-11.888126079365918,-1.5207862143918034,-1.3611128327450794,-1.8007391263103136,-1.8725563363076976,0.24975910118945305,0.12197345681089818,-1.0546924145641359,-1.2860799948197517,True,,2026-08-25,last_saved_at_utc_upper_bound,False,,,,,,,,,,
19,chicago_sky,CHI,Chicago Sky,38,0.39473684210526316,-2.9231910704059367,10,-5.1213653509689765,-0.0050569038072508813,0.0056744296714163027,-0.035069655913256656,-0.00045540421896117294,-3.5826433545748486,-0.43372832283519258,-0.56611975076070198,-0.49543856636901951,-0.15178105952740845,0.25063867974805248,-0.7830062528767785,-0.0067580855340804383,-0.38962000165078586,True,,2026-08-25,last_saved_at_utc_upper_bound,False,,,,,,,,,,
20,atlanta_dream,ATL,Atlanta Dream,38,0.65789473684210531,6.9444629693365592,10,12.105723844505617,-0.039010621690879682,0.030906049389808274,0.094289845519190854,0.020423044494958627,8.4928412318872759,1.078240421814199,0.87932221648362108,1.5247268609530773,-1.2871053284354783,1.3523178306603867,2.106253925404546,0.39564038123759654,0.92865230752413652,True,,2026-08-25,last_saved_at_utc_upper_bound,False,,,,,,,,,,
