season,cutoff_date,team_id,team_abbreviation,final_rank,probability,playoff_rank
2026,2026-09-23,11,PHX,1,0,1
2026,2026-09-23,11,PHX,2,0,2
2026,2026-09-23,11,PHX,3,0,3
2026,2026-09-23,11,PHX,4,0,4
2026,2026-09-23,11,PHX,5,0,5
2026,2026-09-23,11,PHX,6,0,6
2026,2026-09-23,11,PHX,7,0,7
2026,2026-09-23,11,PHX,8,0,8
2026,2026-09-23,11,PHX,9,0.21709999999999999,
2026,2026-09-23,11,PHX,10,0.50729999999999997,
2026,2026-09-23,11,PHX,11,0.12620000000000001,
2026,2026-09-23,11,PHX,12,0.14940000000000001,
2026,2026-09-23,11,PHX,13,0,
2026,2026-09-23,11,PHX,14,0,
2026,2026-09-23,11,PHX,15,0,
2026,2026-09-23,129689,GS,1,0,1
2026,2026-09-23,129689,GS,2,0.85589999999999999,2
2026,2026-09-23,129689,GS,3,0.14410000000000001,3
2026,2026-09-23,129689,GS,4,0,4
2026,2026-09-23,129689,GS,5,0,5
2026,2026-09-23,129689,GS,6,0,6
2026,2026-09-23,129689,GS,7,0,7
2026,2026-09-23,129689,GS,8,0,8
2026,2026-09-23,129689,GS,9,0,
2026,2026-09-23,129689,GS,10,0,
2026,2026-09-23,129689,GS,11,0,
2026,2026-09-23,129689,GS,12,0,
2026,2026-09-23,129689,GS,13,0,
2026,2026-09-23,129689,GS,14,0,
2026,2026-09-23,129689,GS,15,0,
2026,2026-09-23,131935,TOR,1,0,1
2026,2026-09-23,131935,TOR,2,0,2
2026,2026-09-23,131935,TOR,3,0,3
2026,2026-09-23,131935,TOR,4,0,4
2026,2026-09-23,131935,TOR,5,0,5
2026,2026-09-23,131935,TOR,6,0,6
2026,2026-09-23,131935,TOR,7,0,7
2026,2026-09-23,131935,TOR,8,0,8
2026,2026-09-23,131935,TOR,9,0,
2026,2026-09-23,131935,TOR,10,0,
2026,2026-09-23,131935,TOR,11,0,
2026,2026-09-23,131935,TOR,12,0,
2026,2026-09-23,131935,TOR,13,1,
2026,2026-09-23,131935,TOR,14,0,
2026,2026-09-23,131935,TOR,15,0,
2026,2026-09-23,132052,POR,1,0,1
2026,2026-09-23,132052,POR,2,0,2
2026,2026-09-23,132052,POR,3,0,3
2026,2026-09-23,132052,POR,4,0,4
2026,2026-09-23,132052,POR,5,0,5
2026,2026-09-23,132052,POR,6,0,6
2026,2026-09-23,132052,POR,7,0,7
2026,2026-09-23,132052,POR,8,0,8
2026,2026-09-23,132052,POR,9,0.46610000000000001,
2026,2026-09-23,132052,POR,10,0.40699999999999997,
2026,2026-09-23,132052,POR,11,0.1154,
2026,2026-09-23,132052,POR,12,0.0115,
2026,2026-09-23,132052,POR,13,0,
2026,2026-09-23,132052,POR,14,0,
2026,2026-09-23,132052,POR,15,0,
2026,2026-09-23,14,SEA,1,0,1
2026,2026-09-23,14,SEA,2,0,2
2026,2026-09-23,14,SEA,3,0,3
2026,2026-09-23,14,SEA,4,0,4
2026,2026-09-23,14,SEA,5,0,5
2026,2026-09-23,14,SEA,6,0,6
2026,2026-09-23,14,SEA,7,0,7
2026,2026-09-23,14,SEA,8,0,8
2026,2026-09-23,14,SEA,9,0,
2026,2026-09-23,14,SEA,10,0,
2026,2026-09-23,14,SEA,11,0,
2026,2026-09-23,14,SEA,12,0,
2026,2026-09-23,14,SEA,13,0,
2026,2026-09-23,14,SEA,14,0,
2026,2026-09-23,14,SEA,15,1,
2026,2026-09-23,16,WSH,1,0,1
2026,2026-09-23,16,WSH,2,0,2
2026,2026-09-23,16,WSH,3,0,3
2026,2026-09-23,16,WSH,4,0,4
2026,2026-09-23,16,WSH,5,0.40100000000000002,5
2026,2026-09-23,16,WSH,6,0.59899999999999998,6
2026,2026-09-23,16,WSH,7,0,7
2026,2026-09-23,16,WSH,8,0,8
2026,2026-09-23,16,WSH,9,0,
2026,2026-09-23,16,WSH,10,0,
2026,2026-09-23,16,WSH,11,0,
2026,2026-09-23,16,WSH,12,0,
2026,2026-09-23,16,WSH,13,0,
2026,2026-09-23,16,WSH,14,0,
2026,2026-09-23,16,WSH,15,0,
2026,2026-09-23,17,LV,1,0,1
2026,2026-09-23,17,LV,2,0.14410000000000001,2
2026,2026-09-23,17,LV,3,0.85589999999999999,3
2026,2026-09-23,17,LV,4,0,4
2026,2026-09-23,17,LV,5,0,5
2026,2026-09-23,17,LV,6,0,6
2026,2026-09-23,17,LV,7,0,7
2026,2026-09-23,17,LV,8,0,8
2026,2026-09-23,17,LV,9,0,
2026,2026-09-23,17,LV,10,0,
2026,2026-09-23,17,LV,11,0,
2026,2026-09-23,17,LV,12,0,
2026,2026-09-23,17,LV,13,0,
2026,2026-09-23,17,LV,14,0,
2026,2026-09-23,17,LV,15,0,
2026,2026-09-23,18,CON,1,0,1
2026,2026-09-23,18,CON,2,0,2
2026,2026-09-23,18,CON,3,0,3
2026,2026-09-23,18,CON,4,0,4
2026,2026-09-23,18,CON,5,0,5
2026,2026-09-23,18,CON,6,0,6
2026,2026-09-23,18,CON,7,0,7
2026,2026-09-23,18,CON,8,0,8
2026,2026-09-23,18,CON,9,0,
2026,2026-09-23,18,CON,10,0,
2026,2026-09-23,18,CON,11,0,
2026,2026-09-23,18,CON,12,0,
2026,2026-09-23,18,CON,13,0,
2026,2026-09-23,18,CON,14,1,
2026,2026-09-23,18,CON,15,0,
2026,2026-09-23,19,CHI,1,0,1
2026,2026-09-23,19,CHI,2,0,2
2026,2026-09-23,19,CHI,3,0,3
2026,2026-09-23,19,CHI,4,0,4
2026,2026-09-23,19,CHI,5,0,5
2026,2026-09-23,19,CHI,6,0,6
2026,2026-09-23,19,CHI,7,0,7
2026,2026-09-23,19,CHI,8,0,8
2026,2026-09-23,19,CHI,9,0.16089999999999999,
2026,2026-09-23,19,CHI,10,0.0448,
2026,2026-09-23,19,CHI,11,0.63839999999999997,
2026,2026-09-23,19,CHI,12,0.15590000000000001,
2026,2026-09-23,19,CHI,13,0,
2026,2026-09-23,19,CHI,14,0,
2026,2026-09-23,19,CHI,15,0,
2026,2026-09-23,20,ATL,1,0,1
2026,2026-09-23,20,ATL,2,0,2
2026,2026-09-23,20,ATL,3,0,3
2026,2026-09-23,20,ATL,4,1,4
2026,2026-09-23,20,ATL,5,0,5
2026,2026-09-23,20,ATL,6,0,6
2026,2026-09-23,20,ATL,7,0,7
2026,2026-09-23,20,ATL,8,0,8
2026,2026-09-23,20,ATL,9,0,
2026,2026-09-23,20,ATL,10,0,
2026,2026-09-23,20,ATL,11,0,
2026,2026-09-23,20,ATL,12,0,
2026,2026-09-23,20,ATL,13,0,
2026,2026-09-23,20,ATL,14,0,
2026,2026-09-23,20,ATL,15,0,
2026,2026-09-23,3,DAL,1,0,1
2026,2026-09-23,3,DAL,2,0,2
2026,2026-09-23,3,DAL,3,0,3
2026,2026-09-23,3,DAL,4,0,4
2026,2026-09-23,3,DAL,5,0,5
2026,2026-09-23,3,DAL,6,0,6
2026,2026-09-23,3,DAL,7,1,7
2026,2026-09-23,3,DAL,8,0,8
2026,2026-09-23,3,DAL,9,0,
2026,2026-09-23,3,DAL,10,0,
2026,2026-09-23,3,DAL,11,0,
2026,2026-09-23,3,DAL,12,0,
2026,2026-09-23,3,DAL,13,0,
2026,2026-09-23,3,DAL,14,0,
2026,2026-09-23,3,DAL,15,0,
2026,2026-09-23,5,IND,1,0,1
2026,2026-09-23,5,IND,2,0,2
2026,2026-09-23,5,IND,3,0,3
2026,2026-09-23,5,IND,4,0,4
2026,2026-09-23,5,IND,5,0.59899999999999998,5
2026,2026-09-23,5,IND,6,0.40100000000000002,6
2026,2026-09-23,5,IND,7,0,7
2026,2026-09-23,5,IND,8,0,8
2026,2026-09-23,5,IND,9,0,
2026,2026-09-23,5,IND,10,0,
2026,2026-09-23,5,IND,11,0,
2026,2026-09-23,5,IND,12,0,
2026,2026-09-23,5,IND,13,0,
2026,2026-09-23,5,IND,14,0,
2026,2026-09-23,5,IND,15,0,
2026,2026-09-23,6,LA,1,0,1
2026,2026-09-23,6,LA,2,0,2
2026,2026-09-23,6,LA,3,0,3
2026,2026-09-23,6,LA,4,0,4
2026,2026-09-23,6,LA,5,0,5
2026,2026-09-23,6,LA,6,0,6
2026,2026-09-23,6,LA,7,0,7
2026,2026-09-23,6,LA,8,0,8
2026,2026-09-23,6,LA,9,0.15590000000000001,
2026,2026-09-23,6,LA,10,0.040899999999999999,
2026,2026-09-23,6,LA,11,0.12,
2026,2026-09-23,6,LA,12,0.68320000000000003,
2026,2026-09-23,6,LA,13,0,
2026,2026-09-23,6,LA,14,0,
2026,2026-09-23,6,LA,15,0,
2026,2026-09-23,8,MIN,1,1,1
2026,2026-09-23,8,MIN,2,0,2
2026,2026-09-23,8,MIN,3,0,3
2026,2026-09-23,8,MIN,4,0,4
2026,2026-09-23,8,MIN,5,0,5
2026,2026-09-23,8,MIN,6,0,6
2026,2026-09-23,8,MIN,7,0,7
2026,2026-09-23,8,MIN,8,0,8
2026,2026-09-23,8,MIN,9,0,
2026,2026-09-23,8,MIN,10,0,
2026,2026-09-23,8,MIN,11,0,
2026,2026-09-23,8,MIN,12,0,
2026,2026-09-23,8,MIN,13,0,
2026,2026-09-23,8,MIN,14,0,
2026,2026-09-23,8,MIN,15,0,
2026,2026-09-23,9,NY,1,0,1
2026,2026-09-23,9,NY,2,0,2
2026,2026-09-23,9,NY,3,0,3
2026,2026-09-23,9,NY,4,0,4
2026,2026-09-23,9,NY,5,0,5
2026,2026-09-23,9,NY,6,0,6
2026,2026-09-23,9,NY,7,0,7
2026,2026-09-23,9,NY,8,1,8
2026,2026-09-23,9,NY,9,0,
2026,2026-09-23,9,NY,10,0,
2026,2026-09-23,9,NY,11,0,
2026,2026-09-23,9,NY,12,0,
2026,2026-09-23,9,NY,13,0,
2026,2026-09-23,9,NY,14,0,
2026,2026-09-23,9,NY,15,0,
