game_id,game_date,home_id,away_id,home_abbreviation,home_display_name,away_abbreviation,away_display_name,home_rest_days,away_rest_days,home_b2b,away_b2b
401857107,2026-08-02,8,5,MIN,Minnesota Lynx,IND,Indiana Fever,2,1,False,False
401857108,2026-08-02,132052,6,POR,Portland Fire,LA,Los Angeles Sparks,1,4,False,False
401857109,2026-08-02,3,18,DAL,Dallas Wings,CON,Connecticut Sun,1,2,False,False
401857110,2026-08-02,129689,131935,GS,Golden State Valkyries,TOR,Toronto Tempo,3,2,False,False
401857111,2026-08-03,20,17,ATL,Atlanta Dream,LV,Las Vegas Aces,2,1,False,False
401857112,2026-08-03,9,14,NY,New York Liberty,SEA,Seattle Storm,1,2,False,False
401857113,2026-08-03,19,11,CHI,Chicago Sky,PHX,Phoenix Mercury,1,1,False,False
401857114,2026-08-04,129689,131935,GS,Golden State Valkyries,TOR,Toronto Tempo,1,1,False,False
401857115,2026-08-05,20,11,ATL,Atlanta Dream,PHX,Phoenix Mercury,1,1,False,False
401857116,2026-08-05,9,14,NY,New York Liberty,SEA,Seattle Storm,1,1,False,False
401857117,2026-08-05,16,3,WSH,Washington Mystics,DAL,Dallas Wings,4,2,False,False
401857118,2026-08-05,19,6,CHI,Chicago Sky,LA,Los Angeles Sparks,1,2,False,False
401857119,2026-08-06,5,17,IND,Indiana Fever,LV,Las Vegas Aces,3,2,False,False
401857120,2026-08-06,8,6,MIN,Minnesota Lynx,LA,Los Angeles Sparks,3,0,False,True
401857121,2026-08-06,132052,131935,POR,Portland Fire,TOR,Toronto Tempo,3,1,False,False
401857122,2026-08-07,18,11,CON,Connecticut Sun,PHX,Phoenix Mercury,4,1,False,False
401857123,2026-08-07,16,20,WSH,Washington Mystics,ATL,Atlanta Dream,1,1,False,False
401857124,2026-08-07,3,129689,DAL,Dallas Wings,GS,Golden State Valkyries,1,2,False,False
401857125,2026-08-08,8,17,MIN,Minnesota Lynx,LV,Las Vegas Aces,1,1,False,False
401857126,2026-08-08,19,5,CHI,Chicago Sky,IND,Indiana Fever,2,1,False,False
401857127,2026-08-08,132052,14,POR,Portland Fire,SEA,Seattle Storm,1,2,False,False
401857128,2026-08-09,9,17,NY,New York Liberty,LV,Las Vegas Aces,3,0,False,True
401857129,2026-08-09,16,11,WSH,Washington Mystics,PHX,Phoenix Mercury,1,1,False,False
401857130,2026-08-09,8,3,MIN,Minnesota Lynx,DAL,Dallas Wings,0,1,True,False
401857131,2026-08-09,6,129689,LA,Los Angeles Sparks,GS,Golden State Valkyries,2,1,False,False
401857132,2026-08-10,20,131935,ATL,Atlanta Dream,TOR,Toronto Tempo,2,3,False,False
401857133,2026-08-10,14,19,SEA,Seattle Storm,CHI,Chicago Sky,1,1,False,False
401857134,2026-08-11,5,9,IND,Indiana Fever,NY,New York Liberty,2,1,False,False
401857135,2026-08-11,17,16,LV,Las Vegas Aces,WSH,Washington Mystics,1,1,False,False
401857136,2026-08-11,6,11,LA,Los Angeles Sparks,PHX,Phoenix Mercury,1,1,False,False
401857137,2026-08-12,3,131935,DAL,Dallas Wings,TOR,Toronto Tempo,2,1,False,False
401857138,2026-08-12,129689,19,GS,Golden State Valkyries,CHI,Chicago Sky,2,1,False,False
401857139,2026-08-12,132052,8,POR,Portland Fire,MIN,Minnesota Lynx,3,2,False,False
401857140,2026-08-13,18,20,CON,Connecticut Sun,ATL,Atlanta Dream,5,2,False,False
401857141,2026-08-13,9,6,NY,New York Liberty,LA,Los Angeles Sparks,1,1,False,False
401857142,2026-08-13,17,16,LV,Las Vegas Aces,WSH,Washington Mystics,1,1,False,False
401857143,2026-08-14,5,3,IND,Indiana Fever,DAL,Dallas Wings,2,1,False,False
401857144,2026-08-14,14,132052,SEA,Seattle Storm,POR,Portland Fire,3,1,False,False
401857145,2026-08-15,18,9,CON,Connecticut Sun,NY,New York Liberty,1,1,False,False
401857146,2026-08-15,16,6,WSH,Washington Mystics,LA,Los Angeles Sparks,1,1,False,False
401857147,2026-08-15,17,8,LV,Las Vegas Aces,MIN,Minnesota Lynx,1,2,False,False
401857148,2026-08-16,14,19,SEA,Seattle Storm,CHI,Chicago Sky,1,3,False,False
401857149,2026-08-16,11,132052,PHX,Phoenix Mercury,POR,Portland Fire,4,1,False,False
401857150,2026-08-16,20,5,ATL,Atlanta Dream,IND,Indiana Fever,2,1,False,False
401857151,2026-08-17,129689,3,GS,Golden State Valkyries,DAL,Dallas Wings,4,2,False,False
