player_id,player_name,espn_athlete_id,espn_player_name,team_abbreviation,eligibility_type,date_of_birth,age_on_cutoff,experience_years,eligible_flag,active,status_type,review_status,reviewed_by,reviewed_at,source_system,source_url,source_snapshot_path,source_snapshot_sha256,source_as_of,identity_match_method
1628932,A'ja Wilson,3149391,A'ja Wilson,LVA,experience_le_3,1996-08-08T07:00Z,30,9,False,True,active,pending,,,ESPN,https://www.espn.com/wnba/player/bio/_/id/3149391/aja-wilson,analysis/role_fulfillment_matrix/data/live_inputs/player_core_2026.csv,e5b1f81f0caf215ee0996544f095f7cfbde50f22f6c81e8519af9eb2fae09c26,2026-08-22,normalized_full_name_exact
1642290,Aaliyah Edwards,4433408,Aaliyah Edwards,CON,experience_le_3,2002-07-09T07:00Z,24,3,True,True,active,pending,,,ESPN,https://www.espn.com/wnba/player/bio/_/id/4433408/aaliyah-edwards,analysis/role_fulfillment_matrix/data/live_inputs/player_core_2026.csv,e5b1f81f0caf215ee0996544f095f7cfbde50f22f6c81e8519af9eb2fae09c26,2026-08-22,normalized_full_name_exact
1642801,Aaliyah Nye,4597509,Aaliyah Nye,ATL,experience_le_3,2002-08-14T07:00Z,24,2,True,True,active,pending,,,ESPN,https://www.espn.com/wnba/player/bio/_/id/4597509/aaliyah-nye,analysis/role_fulfillment_matrix/data/live_inputs/player_core_2026.csv,e5b1f81f0caf215ee0996544f095f7cfbde50f22f6c81e8519af9eb2fae09c26,2026-08-22,normalized_full_name_exact
1642786,Aicha Coulibaly,4433433,Aicha Coulibaly,CHI,experience_le_3,2001-10-18T07:00Z,24,0,True,True,active,pending,,,ESPN,https://www.espn.com/wnba/player/bio/_/id/4433433/aicha-coulibaly,analysis/role_fulfillment_matrix/data/live_inputs/player_core_2026.csv,e5b1f81f0caf215ee0996544f095f7cfbde50f22f6c81e8519af9eb2fae09c26,2026-08-22,normalized_full_name_exact
1629501,Alanna Smith,3913881,Alanna Smith,DAL,experience_le_3,1996-09-10T07:00Z,29,8,False,True,active,pending,,,ESPN,https://www.espn.com/wnba/player/bio/_/id/3913881/alanna-smith,analysis/role_fulfillment_matrix/data/live_inputs/player_core_2026.csv,e5b1f81f0caf215ee0996544f095f7cfbde50f22f6c81e8519af9eb2fae09c26,2026-08-22,normalized_full_name_exact
1643525,Alex Fowler,4595823,Alex Fowler,NYL,experience_le_3,2001-07-21T07:00Z,25,0,True,False,free-agent,pending,,,ESPN,https://www.espn.com/wnba/player/bio/_/id/4595823/alex-fowler,analysis/role_fulfillment_matrix/data/live_inputs/player_core_2026.csv,e5b1f81f0caf215ee0996544f095f7cfbde50f22f6c81e8519af9eb2fae09c26,2026-08-22,normalized_full_name_exact
1642775,Alex Wilson,5278157,Alex Wilson,WAS,experience_le_3,1994-03-21T08:00Z,32,0,True,False,free-agent,pending,,,ESPN,https://www.espn.com/wnba/player/bio/_/id/5278157/alex-wilson,analysis/role_fulfillment_matrix/data/live_inputs/player_core_2026.csv,e5b1f81f0caf215ee0996544f095f7cfbde50f22f6c81e8519af9eb2fae09c26,2026-08-22,normalized_full_name_exact
1643644,Alicia Florez,5349415,Alicia Florez,WAS,experience_le_3,2004-04-19T07:00Z,22,0,True,True,active,pending,,,ESPN,https://www.espn.com/wnba/player/bio/_/id/5349415/alicia-florez,analysis/role_fulfillment_matrix/data/live_inputs/player_core_2026.csv,e5b1f81f0caf215ee0996544f095f7cfbde50f22f6c81e8519af9eb2fae09c26,2026-08-22,normalized_full_name_exact
1642293,Alissa Pili,5105752,Alissa Pili,LAS,experience_le_3,2001-06-08T07:00Z,25,3,True,True,active,pending,,,ESPN,https://www.espn.com/wnba/player/bio/_/id/5105752/alissa-pili,analysis/role_fulfillment_matrix/data/live_inputs/player_core_2026.csv,e5b1f81f0caf215ee0996544f095f7cfbde50f22f6c81e8519af9eb2fae09c26,2026-08-22,normalized_full_name_exact
1641648,Aliyah Boston,4432831,Aliyah Boston,IND,experience_le_3,2001-12-11T08:00Z,24,4,False,True,active,pending,,,ESPN,https://www.espn.com/wnba/player/bio/_/id/4432831/aliyah-boston,analysis/role_fulfillment_matrix/data/live_inputs/player_core_2026.csv,e5b1f81f0caf215ee0996544f095f7cfbde50f22f6c81e8519af9eb2fae09c26,2026-08-22,normalized_full_name_exact
