normalized_name,player_id,pbpstats_player_name,team_abbreviation,latest_game_date,espn_athlete_id,espn_player_name,experience_years,source_url,match_status,match_method,exclusion_reason
breannastewart,1627668,Breanna Stewart,NYL,2026-08-18,2998928,Breanna Stewart,10,https://www.espn.com/wnba/player/bio/_/id/2998928/breanna-stewart,matched,normalized_full_name_exact,
breehall,1642788,Bree Hall,IND,2026-07-08,4898383,Bree Hall,2,https://www.espn.com/wnba/player/bio/_/id/4898383/bree-hall,matched,normalized_full_name_exact,
briannaturner,1629488,Brianna Turner,LVA,2026-08-20,3142086,Brianna Turner,8,https://www.espn.com/wnba/player/bio/_/id/3142086/brianna-turner,matched,normalized_full_name_exact,
bridgetcarleton,1629524,Bridget Carleton,PDX,2026-08-16,3906972,Bridget Carleton,8,https://www.espn.com/wnba/player/bio/_/id/3906972/bridget-carleton,matched,normalized_full_name_exact,
brionnajones,1628280,Brionna Jones,ATL,2026-08-13,3058895,Brionna Jones,10,https://www.espn.com/wnba/player/bio/_/id/3058895/brionna-jones,matched,normalized_full_name_exact,
brittneygriner,203398,Brittney Griner,CON,2026-08-13,2490553,Brittney Griner,13,https://www.espn.com/wnba/player/bio/_/id/2490553/brittney-griner,matched,normalized_full_name_exact,
brittneysykes,1628279,Brittney Sykes,TOR,2026-08-18,2988756,Brittney Sykes,10,https://www.espn.com/wnba/player/bio/_/id/2988756/brittney-sykes,matched,normalized_full_name_exact,
caitlinclark,1642286,Caitlin Clark,IND,2026-08-20,4433403,Caitlin Clark,3,https://www.espn.com/wnba/player/bio/_/id/4433403/caitlin-clark,matched,normalized_full_name_exact,
cameronbrink,1642287,Cameron Brink,LAS,2026-08-20,4433404,Cameron Brink,3,https://www.espn.com/wnba/player/bio/_/id/4433404/cameron-brink,matched,normalized_full_name_exact,
carlaleite,1642304,Carla Leite,PDX,2026-08-16,5208982,Carla Leite,2,https://www.espn.com/wnba/player/bio/_/id/5208982/carla-leite,matched,normalized_full_name_exact,
cassandreprosper,1643467,Cassandre Prosper,WAS,2026-08-19,5122345,Cassandre Prosper,0,https://www.espn.com/wnba/player/bio/_/id/5122345/cassandre-prosper,matched,normalized_full_name_exact,
ceciliazandalasini,1628508,Cecilia Zandalasini,GSV,2026-08-19,4257500,Cecilia Zandalasini,5,https://www.espn.com/wnba/player/bio/_/id/4257500/cecilia-zandalasini,matched,normalized_full_name_exact,
chancegray,1643462,Chance Gray,LAS,2026-08-20,5105729,Chance Gray,0,https://www.espn.com/wnba/player/bio/_/id/5105729/chance-gray,matched,normalized_full_name_exact,
charlisselegerwalker,1643449,Charlisse Leger-Walker,CON,2026-08-20,4703609,Charlisse Leger-Walker,0,https://www.espn.com/wnba/player/bio/_/id/4703609/charlisse-leger-walker,matched,normalized_full_name_exact,
chelseagray,203833,Chelsea Gray,LVA,2026-08-20,2529122,Chelsea Gray,12,https://www.espn.com/wnba/player/bio/_/id/2529122/chelsea-gray,matched,normalized_full_name_exact,
chennedycarter,1630150,Chennedy Carter,LVA,2026-07-05,4280892,Chennedy Carter,4,https://www.espn.com/wnba/player/bio/_/id/4280892/chennedy-carter,matched,normalized_full_name_exact,
cheyenneparkertyus,204323,Cheyenne Parker-Tyus,LVA,2026-08-20,2529458,Cheyenne Parker-Tyus,12,https://www.espn.com/wnba/player/bio/_/id/2529458/cheyenne-parker-tyus,matched,normalized_full_name_exact,
chloebibby,1631064,Chloe Bibby,CHI,2026-07-30,4280877,Chloe Bibby,2,https://www.espn.com/wnba/player/bio/_/id/4280877/chloe-bibby,matched,normalized_full_name_exact,
costanzaverona,1643424,Costanza Verona,DAL,2026-06-09,5345473,Costanza Verona,0,https://www.espn.com/wnba/player/bio/_/id/5345473/costanza-verona,matched,normalized_full_name_exact,
cotiemcmahon,1643430,Cotie McMahon,WAS,2026-08-19,4583144,Cotie McMahon,0,https://www.espn.com/wnba/player/bio/_/id/4583144/cotie-mcmahon,matched,normalized_full_name_exact,
courtneyvandersloot,202664,Courtney Vandersloot,CHI,2026-08-18,981,Courtney Vandersloot,16,https://www.espn.com/wnba/player/bio/_/id/981/courtney-vandersloot,matched,normalized_full_name_exact,
courtneywilliams,1627675,Courtney Williams,MIN,2026-08-19,2987891,Courtney Williams,11,https://www.espn.com/wnba/player/bio/_/id/2987891/courtney-williams,matched,normalized_full_name_exact,
damirisdantas,203024,Damiris Dantas,IND,2026-07-17,2955898,Damiris Dantas,11,https://www.espn.com/wnba/player/bio/_/id/2955898/damiris-dantas,matched,normalized_full_name_exact,
danaevans,1630389,Dana Evans,LVA,2026-08-09,4281190,Dana Evans,6,https://www.espn.com/wnba/player/bio/_/id/4281190/dana-evans,matched,normalized_full_name_exact,
dariannalittlepagebuggs,1643440,Darianna Littlepage-Buggs,WAS,2026-08-19,5106145,Darianna Littlepage-Buggs,0,https://www.espn.com/wnba/player/bio/_/id/5106145/darianna-littlepage-buggs,matched,normalized_full_name_exact,
dewannabonner,201886,DeWanna Bonner,PHX,2026-08-16,869,DeWanna Bonner,17,https://www.espn.com/wnba/player/bio/_/id/869/dewanna-bonner,matched,normalized_full_name_exact,
dearicahamby,204324,Dearica Hamby,LAS,2026-08-20,2566106,Dearica Hamby,12,https://www.espn.com/wnba/player/bio/_/id/2566106/dearica-hamby,matched,normalized_full_name_exact,
dijonaicarrington,1630096,DiJonai Carrington,CHI,2026-08-18,4066548,DiJonai Carrington,6,https://www.espn.com/wnba/player/bio/_/id/4066548/dijonai-carrington,matched,normalized_full_name_exact,
diamondmiller,1641649,Diamond Miller,CON,2026-08-20,4433635,Diamond Miller,4,https://www.espn.com/wnba/player/bio/_/id/4433635/diamond-miller,matched,normalized_full_name_exact,
dominiquemalonga,1642798,Dominique Malonga,SEA,2026-08-16,5220150,Dominique Malonga,2,https://www.espn.com/wnba/player/bio/_/id/5220150/dominique-malonga,matched,normalized_full_name_exact,
dorkajuhasz,1641657,Dorka Juhasz,MIN,2026-08-19,4398938,Dorka Juhasz,3,https://www.espn.com/wnba/player/bio/_/id/4398938/dorka-juhasz,matched,normalized_full_name_exact,
eliskajoklova,1643490,Eliska Joklova,MIN,2026-08-12,5345478,Eliska Joklova,0,https://www.espn.com/wnba/player/bio/_/id/5345478/eliska-joklova,matched,normalized_full_name_exact,
elizabethwilliams,204322,Elizabeth Williams,CHI,2026-08-18,2566081,Elizabeth Williams,12,https://www.espn.com/wnba/player/bio/_/id/2566081/elizabeth-williams,matched,normalized_full_name_exact,
emesehof,1629581,Emese Hof,MIN,2026-05-23,3913680,Emese Hof,0,https://www.espn.com/wnba/player/bio/_/id/3913680/emese-hof,matched,normalized_full_name_exact,
emilyengstler,1631083,Emily Engstler,PDX,2026-08-16,4398729,Emily Engstler,5,https://www.espn.com/wnba/player/bio/_/id/4398729/emily-engstler,matched,normalized_full_name_exact,
emmacannon,1628242,Emma Cannon,LAS,2026-08-20,2284331,Emma Cannon,8,https://www.espn.com/wnba/player/bio/_/id/2284331/emma-cannon,matched,normalized_full_name_exact,
emmacechova,1643488,Emma Cechova,MIN,2026-05-14,5345322,Emma Cechova,0,https://www.espn.com/wnba/player/bio/_/id/5345322/emma-cechova,matched,normalized_full_name_exact,
ericawheeler,204365,Erica Wheeler,LAS,2026-08-20,2491214,Erica Wheeler,11,https://www.espn.com/wnba/player/bio/_/id/2491214/erica-wheeler,matched,normalized_full_name_exact,
ezimagbegor,1629496,Ezi Magbegor,SEA,2026-08-16,4420318,Ezi Magbegor,7,https://www.espn.com/wnba/player/bio/_/id/4420318/ezi-magbegor,matched,normalized_full_name_exact,
flaujaejohnson,1643428,Flau'jae Johnson,SEA,2026-08-16,4698736,Flau'jae Johnson,0,https://www.espn.com/wnba/player/bio/_/id/4698736/flaujae-johnson,matched,normalized_full_name_exact,
friedabuhner,1643494,Frieda Buhner,PDX,2026-08-16,5105406,Frieda Buhner,0,https://www.espn.com/wnba/player/bio/_/id/5105406/frieda-buhner,matched,normalized_full_name_exact,
gabbywilliams,1628931,Gabby Williams,GSV,2026-08-19,3142328,Gabby Williams,8,https://www.espn.com/wnba/player/bio/_/id/3142328/gabby-williams,matched,normalized_full_name_exact,
gabrielajaquez,1643447,Gabriela Jaquez,CHI,2026-08-18,4858656,Gabriela Jaquez,0,https://www.espn.com/wnba/player/bio/_/id/4858656/gabriela-jaquez,matched,normalized_full_name_exact,
georgiaamoore,1642781,Georgia Amoore,WAS,2026-08-19,4704180,Georgia Amoore,0,https://www.espn.com/wnba/player/bio/_/id/4704180/georgia-amoore,matched,normalized_full_name_exact,
giannakneepkens,1643429,Gianna Kneepkens,CON,2026-08-20,4898898,Gianna Kneepkens,0,https://www.espn.com/wnba/player/bio/_/id/4898898/gianna-kneepkens,matched,normalized_full_name_exact,
gracevanslooten,1643453,Grace VanSlooten,IND,2026-08-14,5105731,Grace VanSlooten,0,https://www.espn.com/wnba/player/bio/_/id/5105731/grace-vanslooten,matched,normalized_full_name_exact,
haileyvanlith,1642817,Hailey Van Lith,CON,2026-08-13,4433412,Hailey Van Lith,2,https://www.espn.com/wnba/player/bio/_/id/4433412/hailey-van-lith,matched,normalized_full_name_exact,
haleyjones,1641650,Haley Jones,DAL,2026-08-14,4595910,Haley Jones,4,https://www.espn.com/wnba/player/bio/_/id/4595910/haley-jones,matched,normalized_full_name_exact,
hanxu,1629566,Han Xu,NYL,2026-08-18,4337216,Han Xu,4,https://www.espn.com/wnba/player/bio/_/id/4337216/han-xu,matched,normalized_full_name_exact,
hollywinterburn,1641683,Holly Winterburn,PDX,2026-08-16,4433690,Holly Winterburn,0,https://www.espn.com/wnba/player/bio/_/id/4433690/holly-winterburn,matched,normalized_full_name_exact,
indyanivar,1643469,Indya Nivar,ATL,2026-07-11,5105740,Indya Nivar,0,https://www.espn.com/wnba/player/bio/_/id/5105740/indya-nivar,matched,normalized_full_name_exact,
isabelleharrison,204330,Isabelle Harrison,TOR,2026-08-19,2566453,Isabelle Harrison,9,https://www.espn.com/wnba/player/bio/_/id/2566453/isabelle-harrison,matched,normalized_full_name_exact,
isobelborlase,1642302,Isobel Borlase,ATL,2026-08-20,5208983,Isobel Borlase,0,https://www.espn.com/wnba/player/bio/_/id/5208983/isobel-borlase,matched,normalized_full_name_exact,
jjquinerly,1642808,JJ Quinerly,DAL,2026-06-11,4434015,JJ Quinerly,1,https://www.espn.com/wnba/player/bio/_/id/4434015/jj-quinerly,matched,normalized_full_name_exact,
jackieyoung,1629498,Jackie Young,LVA,2026-08-20,4065870,Jackie Young,8,https://www.espn.com/wnba/player/bio/_/id/4065870/jackie-young,matched,normalized_full_name_exact,
jacysheldon,1642292,Jacy Sheldon,CHI,2026-08-18,4432865,Jacy Sheldon,3,https://www.espn.com/wnba/player/bio/_/id/4432865/jacy-sheldon,matched,normalized_full_name_exact,
jademelbourne,1631141,Jade Melbourne,SEA,2026-08-16,5017726,Jade Melbourne,4,https://www.espn.com/wnba/player/bio/_/id/5017726/jade-melbourne,matched,normalized_full_name_exact,
janellesalaun,1642767,Janelle Salaun,GSV,2026-08-19,4790264,Janelle Salaun,2,https://www.espn.com/wnba/player/bio/_/id/4790264/janelle-salaun,matched,normalized_full_name_exact,
jaylynsherrod,1642320,Jaylyn Sherrod,ATL,2026-08-16,4433386,Jaylyn Sherrod,3,https://www.espn.com/wnba/player/bio/_/id/4433386/jaylyn-sherrod,matched,normalized_full_name_exact,
jessicashepard,1629491,Jessica Shepard,DAL,2026-08-20,3906949,Jessica Shepard,6,https://www.espn.com/wnba/player/bio/_/id/3906949/jessica-shepard,matched,normalized_full_name_exact,
jewellloyd,204319,Jewell Loyd,LVA,2026-08-20,2987869,Jewell Loyd,12,https://www.espn.com/wnba/player/bio/_/id/2987869/jewell-loyd,matched,normalized_full_name_exact,
jihyunpark,1630148,Jihyun Park,LAS,2026-08-20,4874375,Jihyun Park,0,https://www.espn.com/wnba/player/bio/_/id/4874375/jihyun-park,matched,normalized_full_name_exact,
jonqueljones,1627673,Jonquel Jones,NYL,2026-08-18,2999101,Jonquel Jones,10,https://www.espn.com/wnba/player/bio/_/id/2999101/jonquel-jones,matched,normalized_full_name_exact,
jordanharrison,1643527,Jordan Harrison,PDX,2026-08-16,5108051,Jordan Harrison,0,https://www.espn.com/wnba/player/bio/_/id/5108051/jordan-harrison,matched,normalized_full_name_exact,
jordanhorston,1641651,Jordan Horston,SEA,2026-08-16,4432830,Jordan Horston,3,https://www.espn.com/wnba/player/bio/_/id/4432830/jordan-horston,matched,normalized_full_name_exact,
jordincanada,1628886,Jordin Canada,ATL,2026-08-20,3142250,Jordin Canada,9,https://www.espn.com/wnba/player/bio/_/id/3142250/jordin-canada,matched,normalized_full_name_exact,
jovananogic,1643505,Jovana Nogic,PHX,2026-06-17,3906769,Jovana Nogic,0,https://www.espn.com/wnba/player/bio/_/id/3906769/jovana-nogic,matched,normalized_full_name_exact,
joynerholmes,1630115,Joyner Holmes,SEA,2026-05-22,4068161,Joyner Holmes,4,https://www.espn.com/wnba/player/bio/_/id/4068161/joyner-holmes,matched,normalized_full_name_exact,
julieallemand,1627700,Julie Allemand,TOR,2026-08-19,4001679,Julie Allemand,4,https://www.espn.com/wnba/player/bio/_/id/4001679/julie-allemand,matched,normalized_full_name_exact,
julievanloo,1642210,Julie Vanloo,NYL,2026-05-21,2566110,Julie Vanloo,2,https://www.espn.com/wnba/player/bio/_/id/2566110/julie-vanloo,matched,normalized_full_name_exact,
justejocyte,1642794,Juste Jocyte,GSV,2026-08-12,5277552,Juste Jocyte,0,https://www.espn.com/wnba/player/bio/_/id/5277552/juste-jocyte,matched,normalized_full_name_exact,
justinepissott,1643495,Justine Pissott,LVA,2026-08-20,4682855,Justine Pissott,0,https://www.espn.com/wnba/player/bio/_/id/4682855/justine-pissott,matched,normalized_full_name_exact,
kahleahcopper,1627674,Kahleah Copper,PHX,2026-08-16,2998938,Kahleah Copper,11,https://www.espn.com/wnba/player/bio/_/id/2998938/kahleah-copper,matched,normalized_full_name_exact,
kailacharles,1630097,Kaila Charles,GSV,2026-08-19,4065780,Kaila Charles,6,https://www.espn.com/wnba/player/bio/_/id/4065780/kaila-charles,matched,normalized_full_name_exact,
kaitlynchen,1642822,Kaitlyn Chen,GSV,2026-08-19,4899328,Kaitlyn Chen,2,https://www.espn.com/wnba/player/bio/_/id/4899328/kaitlyn-chen,matched,normalized_full_name_exact,
kamiahsmalls,1630154,Kamiah Smalls,PDX,2026-05-14,4068346,Kamiah Smalls,3,https://www.espn.com/wnba/player/bio/_/id/4068346/kamiah-smalls,matched,normalized_full_name_exact,
kamillacardoso,1642289,Kamilla Cardoso,CHI,2026-08-18,4433405,Kamilla Cardoso,3,https://www.espn.com/wnba/player/bio/_/id/4433405/kamilla-cardoso,matched,normalized_full_name_exact,
karliesamuelson,1628317,Karlie Samuelson,PDX,2026-08-16,3056730,Karlie Samuelson,8,https://www.espn.com/wnba/player/bio/_/id/3056730/karlie-samuelson,matched,normalized_full_name_exact,
katemartin,1642324,Kate Martin,LAS,2026-08-20,4398907,Kate Martin,3,https://www.espn.com/wnba/player/bio/_/id/4398907/kate-martin,matched,normalized_full_name_exact,
katielousamuelson,1629478,Katie Lou Samuelson,SEA,2026-08-16,3917453,Katie Lou Samuelson,6,https://www.espn.com/wnba/player/bio/_/id/3917453/katie-lou-samuelson,matched,normalized_full_name_exact,
kaylaalexander,203405,Kayla Alexander,TOR,2026-07-20,2491232,Kayla Alexander,7,https://www.espn.com/wnba/player/bio/_/id/2491232/kayla-alexander,matched,normalized_full_name_exact,
kaylamcbride,203825,Kayla McBride,MIN,2026-08-19,2529205,Kayla McBride,13,https://www.espn.com/wnba/player/bio/_/id/2529205/kayla-mcbride,matched,normalized_full_name_exact,
kaylathornton,203866,Kayla Thornton,GSV,2026-08-19,2529622,Kayla Thornton,11,https://www.espn.com/wnba/player/bio/_/id/2529622/kayla-thornton,matched,normalized_full_name_exact,
kelseymitchell,1628909,Kelsey Mitchell,IND,2026-08-20,3142191,Kelsey Mitchell,9,https://www.espn.com/wnba/player/bio/_/id/3142191/kelsey-mitchell,matched,normalized_full_name_exact,
kelseyplum,1628276,Kelsey Plum,PHX,2026-08-09,3065570,Kelsey Plum,9,https://www.espn.com/wnba/player/bio/_/id/3065570/kelsey-plum,matched,normalized_full_name_exact,
kennedyburke,1629568,Kennedy Burke,CON,2026-08-20,3922628,Kennedy Burke,7,https://www.espn.com/wnba/player/bio/_/id/3922628/kennedy-burke,matched,normalized_full_name_exact,
kianurse,1628915,Kia Nurse,TOR,2026-08-19,3142327,Kia Nurse,8,https://www.espn.com/wnba/player/bio/_/id/3142327/kia-nurse,matched,normalized_full_name_exact,
kiahstokes,204329,Kiah Stokes,GSV,2026-08-19,2590093,Kiah Stokes,11,https://www.espn.com/wnba/player/bio/_/id/2590093/kiah-stokes,matched,normalized_full_name_exact,
kianawilliams,1630461,Kiana Williams,LAS,2026-08-13,4282168,Kiana Williams,5,https://www.espn.com/wnba/player/bio/_/id/4282168/kiana-williams,matched,normalized_full_name_exact,
kierstanbell,1631006,Kierstan Bell,LVA,2026-08-20,4433633,Kierstan Bell,5,https://www.espn.com/wnba/player/bio/_/id/4433633/kierstan-bell,matched,normalized_full_name_exact,
kikiiriafen,1642792,Kiki Iriafen,WAS,2026-08-19,4898384,Kiki Iriafen,2,https://www.espn.com/wnba/player/bio/_/id/4898384/kiki-iriafen,matched,normalized_full_name_exact,
kikirice,1643445,Kiki Rice,TOR,2026-08-19,4565505,Kiki Rice,0,https://www.espn.com/wnba/player/bio/_/id/4565505/kiki-rice,matched,normalized_full_name_exact,
kyaralinskens,1642768,Kyara Linskens,PHX,2026-08-09,4873359,Kyara Linskens,2,https://www.espn.com/wnba/player/bio/_/id/4873359/kyara-linskens,matched,normalized_full_name_exact,
laeticiaamihere,1641656,Laeticia Amihere,GSV,2026-08-17,4432834,Laeticia Amihere,4,https://www.espn.com/wnba/player/bio/_/id/4432834/laeticia-amihere,matched,normalized_full_name_exact,
laurajuskaite,1643420,Laura Juskaite,TOR,2026-08-19,5345444,Laura Juskaite,0,https://www.espn.com/wnba/player/bio/_/id/5345444/laura-juskaite,matched,normalized_full_name_exact,
lauraziegler,1643461,Laura Ziegler,LAS,2026-06-27,5107515,Laura Ziegler,0,https://www.espn.com/wnba/player/bio/_/id/5107515/laura-ziegler,matched,normalized_full_name_exact,
laurenbetts,1643427,Lauren Betts,WAS,2026-08-19,5105737,Lauren Betts,0,https://www.espn.com/wnba/player/bio/_/id/5105737/lauren-betts,matched,normalized_full_name_exact,
leilalacan,1642303,Leila Lacan,CON,2026-08-20,5208981,Leila Lacan,2,https://www.espn.com/wnba/player/bio/_/id/5208981/leila-lacan,matched,normalized_full_name_exact,
leoniefiebich,1630142,Leonie Fiebich,NYL,2026-07-03,4683006,Leonie Fiebich,3,https://www.espn.com/wnba/player/bio/_/id/4683006/leonie-fiebich,matched,normalized_full_name_exact,
lexiheld,1631118,Lexi Held,PHX,2026-08-16,4399342,Lexi Held,2,https://www.espn.com/wnba/player/bio/_/id/4399342/lexi-held,matched,normalized_full_name_exact,
lexiebrown,1628882,Lexie Brown,SEA,2026-06-01,3058892,Lexie Brown,8,https://www.espn.com/wnba/player/bio/_/id/3058892/lexie-brown,matched,normalized_full_name_exact,
lexiehull,1631086,Lexie Hull,IND,2026-08-20,4398829,Lexie Hull,5,https://www.espn.com/wnba/player/bio/_/id/4398829/lexie-hull,matched,normalized_full_name_exact,
liyueru,1629574,Li Yueru,DAL,2026-08-14,4336633,Li Yueru,4,https://www.espn.com/wnba/player/bio/_/id/4336633/li-yueru,matched,normalized_full_name_exact,
liatuking,1642820,Liatu King,MIN,2026-07-15,4596309,Liatu King,2,https://www.espn.com/wnba/player/bio/_/id/4596309/liatu-king,matched,normalized_full_name_exact,
lucyolsen,1642802,Lucy Olsen,WAS,2026-08-19,4433815,Lucy Olsen,2,https://www.espn.com/wnba/player/bio/_/id/4433815/lucy-olsen,matched,normalized_full_name_exact,
luisageiselsoder,1630143,Luisa Geiselsoder,PDX,2026-07-28,4682797,Luisa Geiselsoder,2,https://www.espn.com/wnba/player/bio/_/id/4682797/luisa-geiselsoder,matched,normalized_full_name_exact,
mackenzieholmes,1642307,Mackenzie Holmes,SEA,2026-08-16,4433643,Mackenzie Holmes,2,https://www.espn.com/wnba/player/bio/_/id/4433643/mackenzie-holmes,matched,normalized_full_name_exact,
maddysiegrist,1641652,Maddy Siegrist,DAL,2026-08-20,4399415,Maddy Siegrist,4,https://www.espn.com/wnba/player/bio/_/id/4399415/maddy-siegrist,matched,normalized_full_name_exact,
maddywestbeld,1642818,Maddy Westbeld,CHI,2026-07-12,4433424,Maddy Westbeld,2,https://www.espn.com/wnba/player/bio/_/id/4433424/maddy-westbeld,matched,normalized_full_name_exact,
madinaokot,1643431,Madina Okot,ATL,2026-08-20,5108587,Madina Okot,0,https://www.espn.com/wnba/player/bio/_/id/5108587/madina-okot,matched,normalized_full_name_exact,
maiyamamoto,1642769,Mai Yamamoto,LVA,2026-08-20,5220104,Mai Yamamoto,0,https://www.espn.com/wnba/player/bio/_/id/5220104/mai-yamamoto,matched,normalized_full_name_exact,
makaylatimpson,1642815,Makayla Timpson,IND,2026-08-20,4433546,Makayla Timpson,2,https://www.espn.com/wnba/player/bio/_/id/4433546/makayla-timpson,matched,normalized_full_name_exact,
mariaconde,1629576,Maria Conde,TOR,2026-08-10,3910470,Maria Conde,0,https://www.espn.com/wnba/player/bio/_/id/3910470/maria-conde,matched,normalized_full_name_exact,
mariellafasoula,1630108,Mariella Fasoula,TOR,2026-05-23,3904479,Mariella Fasoula,0,https://www.espn.com/wnba/player/bio/_/id/3904479/mariella-fasoula,matched,normalized_full_name_exact,
