normalized_name,player_id,pbpstats_player_name,team_abbreviation,latest_game_date,espn_athlete_id,espn_player_name,experience_years,source_url,match_status,match_method,exclusion_reason
ajawilson,1628932,A'ja Wilson,LVA,2026-08-20,3149391,A'ja Wilson,9,https://www.espn.com/wnba/player/bio/_/id/3149391/aja-wilson,matched,normalized_full_name_exact,
aaliyahedwards,1642290,Aaliyah Edwards,CON,2026-08-13,4433408,Aaliyah Edwards,3,https://www.espn.com/wnba/player/bio/_/id/4433408/aaliyah-edwards,matched,normalized_full_name_exact,
aaliyahnye,1642801,Aaliyah Nye,ATL,2026-08-20,4597509,Aaliyah Nye,2,https://www.espn.com/wnba/player/bio/_/id/4597509/aaliyah-nye,matched,normalized_full_name_exact,
aichacoulibaly,1642786,Aicha Coulibaly,CHI,2026-08-16,4433433,Aicha Coulibaly,0,https://www.espn.com/wnba/player/bio/_/id/4433433/aicha-coulibaly,matched,normalized_full_name_exact,
alannasmith,1629501,Alanna Smith,DAL,2026-08-20,3913881,Alanna Smith,8,https://www.espn.com/wnba/player/bio/_/id/3913881/alanna-smith,matched,normalized_full_name_exact,
alexfowler,1643525,Alex Fowler,NYL,2026-05-21,4595823,Alex Fowler,0,https://www.espn.com/wnba/player/bio/_/id/4595823/alex-fowler,matched,normalized_full_name_exact,
alexwilson,1642775,Alex Wilson,WAS,2026-05-18,5278157,Alex Wilson,0,https://www.espn.com/wnba/player/bio/_/id/5278157/alex-wilson,matched,normalized_full_name_exact,
aliciaflorez,1643644,Alicia Florez,WAS,2026-08-19,5349415,Alicia Florez,0,https://www.espn.com/wnba/player/bio/_/id/5349415/alicia-florez,matched,normalized_full_name_exact,
alissapili,1642293,Alissa Pili,LAS,2026-08-18,5105752,Alissa Pili,3,https://www.espn.com/wnba/player/bio/_/id/5105752/alissa-pili,matched,normalized_full_name_exact,
aliyahboston,1641648,Aliyah Boston,IND,2026-08-20,4432831,Aliyah Boston,4,https://www.espn.com/wnba/player/bio/_/id/4432831/aliyah-boston,matched,normalized_full_name_exact,
allishagray,1628277,Allisha Gray,ATL,2026-08-20,3058901,Allisha Gray,10,https://www.espn.com/wnba/player/bio/_/id/3058901/allisha-gray,matched,normalized_full_name_exact,
alyshaclark,202252,Alysha Clark,DAL,2026-08-20,924,Alysha Clark,14,https://www.espn.com/wnba/player/bio/_/id/924/alysha-clark,matched,normalized_full_name_exact,
alyssathomas,203826,Alyssa Thomas,PHX,2026-08-16,2529140,Alyssa Thomas,13,https://www.espn.com/wnba/player/bio/_/id/2529140/alyssa-thomas,matched,normalized_full_name_exact,
amyokonkwo,1629539,Amy Okonkwo,ATL,2026-06-27,3142242,Amy Okonkwo,1,https://www.espn.com/wnba/player/bio/_/id/3142242/amy-okonkwo,matched,normalized_full_name_exact,
anastasiiaolairikosu,1642797,Anastasiia Olairi Kosu,MIN,2026-07-30,5278237,Anastasiia Olairi Kosu,2,https://www.espn.com/wnba/player/bio/_/id/5278237/anastasiia-olairi-kosu,matched,normalized_full_name_exact,
aneesahmorrow,1642800,Aneesah Morrow,TOR,2026-08-19,4684384,Aneesah Morrow,2,https://www.espn.com/wnba/player/bio/_/id/4684384/aneesah-morrow,matched,normalized_full_name_exact,
angelreese,1642291,Angel Reese,ATL,2026-08-20,4433402,Angel Reese,3,https://www.espn.com/wnba/player/bio/_/id/4433402/angel-reese,matched,normalized_full_name_exact,
angeladugalic,1643455,Angela Dugalic,WAS,2026-08-19,4433411,Angela Dugalic,0,https://www.espn.com/wnba/player/bio/_/id/4433411/angela-dugalic,matched,normalized_full_name_exact,
annelimaley,1630993,Anneli Maley,NYL,2026-08-18,4281930,Anneli Maley,2,https://www.espn.com/wnba/player/bio/_/id/4281930/anneli-maley,matched,normalized_full_name_exact,
antoniadelaere,1643489,Antonia Delaere,MIN,2026-08-12,4873358,Antonia Delaere,0,https://www.espn.com/wnba/player/bio/_/id/4873358/antonia-delaere,matched,normalized_full_name_exact,
arielatkins,1628878,Ariel Atkins,LAS,2026-08-20,3146151,Ariel Atkins,9,https://www.espn.com/wnba/player/bio/_/id/3146151/ariel-atkins,matched,normalized_full_name_exact,
arikeogunbowale,1629481,Arike Ogunbowale,DAL,2026-08-20,3904577,Arike Ogunbowale,8,https://www.espn.com/wnba/player/bio/_/id/3904577/arike-ogunbowale,matched,normalized_full_name_exact,
ashlonjackson,1643437,Ashlon Jackson,CON,2026-08-20,5106232,Ashlon Jackson,0,https://www.espn.com/wnba/player/bio/_/id/5106232/ashlon-jackson,matched,normalized_full_name_exact,
ashtenprechtel,1641695,Ashten Prechtel,GSV,2026-08-12,4433634,Ashten Prechtel,0,https://www.espn.com/wnba/player/bio/_/id/4433634/ashten-prechtel,matched,normalized_full_name_exact,
aubreygriffin,1642826,Aubrey Griffin,NYL,2026-05-14,4432844,Aubrey Griffin,0,https://www.espn.com/wnba/player/bio/_/id/4432844/aubrey-griffin,matched,normalized_full_name_exact,
awafam,1643443,Awa Fam,SEA,2026-08-16,5345325,Awa Fam,0,https://www.espn.com/wnba/player/bio/_/id/5345325/awa-fam,matched,normalized_full_name_exact,
awakkuier,1630386,Awak Kuier,DAL,2026-08-20,4790266,Awak Kuier,4,https://www.espn.com/wnba/player/bio/_/id/4790266/awak-kuier,matched,normalized_full_name_exact,
aziahajames,1642793,Aziaha James,DAL,2026-08-12,4433807,Aziaha James,2,https://www.espn.com/wnba/player/bio/_/id/4433807/aziaha-james,matched,normalized_full_name_exact,
azurastevens,1628922,Azura Stevens,CHI,2026-08-18,3142010,Azura Stevens,9,https://www.espn.com/wnba/player/bio/_/id/3142010/azura-stevens,matched,normalized_full_name_exact,
azzifudd,1643425,Azzi Fudd,DAL,2026-08-05,4433790,Azzi Fudd,0,https://www.espn.com/wnba/player/bio/_/id/4433790/azzi-fudd,matched,normalized_full_name_exact,
betnijahlaneyhamilton,204335,Betnijah Laney-Hamilton,WAS,2026-08-19,2593770,Betnijah Laney-Hamilton,10,https://www.espn.com/wnba/player/bio/_/id/2593770/betnijah-laney-hamilton,matched,normalized_full_name_exact,
