season,entity_id_feature,entity_name_feature,sample_size_flag,detected_zone_fga_total,efg_pct_feature,ts_pct_feature,points_per_fga_feature,shotquality_pbp_feature,shot_making_over_shotquality_pbp,rim_fga_share,midrange_fga_share,three_point_fga_share,rim_and_three_fga_share,shot_diet_diversity_score,shot_zone_concentration_score,shooting_efficiency_category,shotquality_pbp_profile_label,shot_diet_profile_label,specialized_shooter_label,shot_diet_risk_label,leaderboard_name,leaderboard_sort_col,leaderboard_generated_at_utc,run_id
2026,1631135,Olivia Nelson-Ododa,Usable,111.0,0.5945945945945946,0.6151079136690647,1.5405405405405406,0.514290990990991,0.08030360360360367,0.5855855855855856,0.4144144144144144,,,0.5404991106736314,0.4653031409788167,Strong Efficiency,Average Shot Quality Profile,Unavailable Shot Diet,Rim Pressure Finisher,Specialist-Dependent,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,1643506,Teja Oblak,Low,80.0,0.56875,0.5843373493975904,1.2125,0.4884981012658227,0.08025189873417726,0.275,0.3375,0.3875,0.6625000000000001,0.8834712792773136,0.2646875,Strong Efficiency,Average Shot Quality Profile,Diversified Shot Profile,Low-Volume Efficient Shooter,Clean Shot Profile,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,1629497,Marina Mabrey,Strong,326.0,0.5659509202453987,0.6146408839779005,1.3680981595092025,0.4903248447204969,0.0756260755249018,0.15644171779141106,0.29141104294478526,0.5521472392638037,0.7085889570552147,0.8798463795675597,0.2914674997177161,Strong Efficiency,Average Shot Quality Profile,Modern Shot Diet,Above-Break Spacer,Clean Shot Profile,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,1643443,Awa Fam,Usable,164.0,0.5701219512195121,0.5901162790697675,1.2378048780487805,0.4954334355828221,0.07468851563669004,0.23170731707317074,0.3475609756097561,0.42073170731707316,0.6524390243902439,0.8863178391923996,0.2661362284354551,Strong Efficiency,Average Shot Quality Profile,Diversified Shot Profile,Balanced Three-Level Scorer,Clean Shot Profile,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,1629491,Jessica Shepard,Usable,233.0,0.5965665236051502,0.6338289962825279,1.463519313304721,0.5237629310344828,0.07280359257066737,0.575107296137339,0.3905579399141631,0.034334763948497854,0.6094420600858369,0.6400117097654625,0.4282819724069332,Strong Efficiency,Average Shot Quality Profile,Paint-Oriented,Rim Pressure Finisher,Spacing-Limited Profile,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,1629567,Natisha Hiedeman,Strong,293.0,0.5443686006825939,0.583596214511041,1.2798634812286689,0.4730192832764505,0.07134931740614336,0.13993174061433447,0.378839590443686,0.4812286689419795,0.621160409556314,0.8382593683089476,0.3044298710526622,Average Efficiency,Tough-Shot Maker,Perimeter-Leaning,Above-Break Spacer,High Variance Profile,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,203833,Chelsea Gray,Usable,219.0,0.5296803652968036,0.5622317596566524,1.2328767123287672,0.458769495412844,0.07091086988395962,0.0410958904109589,0.4703196347031963,0.4885844748858447,0.5296803652968036,0.794304784879274,0.325577031337962,Average Efficiency,Tough-Shot Maker,Perimeter-Leaning,Above-Break Spacer,Midrange-Heavy Risk,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,1627675,Courtney Williams,Strong,326.0,0.5122699386503068,0.5238805970149254,1.0797546012269938,0.4413964506172839,0.0708734880330229,0.07668711656441718,0.6932515337423313,0.23006134969325154,0.3067484662576687,0.8102173877670101,0.3339229929617223,Average Efficiency,Tough-Shot Maker,Midrange-Heavy,Midrange Specialist,Midrange-Heavy Risk,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,203014,Nneka Ogwumike,Usable,248.0,0.5725806451612904,0.6127272727272727,1.3629032258064515,0.5017272177419355,0.07085342741935485,0.31451612903225806,0.39112903225806456,0.29435483870967744,0.6088709677419355,0.8531700642208409,0.2809248178980229,Strong Efficiency,Average Shot Quality Profile,Balanced Shot Diet,No Clear Shooting Specialty,Balanced / Low Risk,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,1643425,Azzi Fudd,Strong,255.0,0.5470588235294118,0.5555555555555556,1.1411764705882352,0.4832814960629921,0.06377732746641973,0.13725490196078433,0.43137254901960786,0.43137254901960786,0.5686274509803921,0.9275920588832659,0.24589004229142641,Average Efficiency,Tough-Shot Maker,Diversified Shot Profile,Midrange Specialist,Midrange-Heavy Risk,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,203398,Brittney Griner,Usable,134.0,0.5373134328358209,0.5686274509803921,1.3059701492537314,0.4746223880597015,0.06269104477611936,0.41044776119402987,0.5671641791044776,,,0.6170148355851169,0.4171307640899978,Average Efficiency,Tough-Shot Maker,Unavailable Shot Diet,Midrange Specialist,Midrange-Heavy Risk,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,1629498,Jackie Young,Strong,294.0,0.5391156462585034,0.5798722044728435,1.2380952380952381,0.4768823630136986,0.062233283244804816,0.16326530612244897,0.445578231292517,0.391156462585034,0.5544217687074829,0.8777264563244759,0.26856865195057616,Average Efficiency,Tough-Shot Maker,Balanced Shot Diet,Midrange Specialist,Midrange-Heavy Risk,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,1641648,Aliyah Boston,Usable,244.0,0.5614754098360656,0.6073943661971831,1.4139344262295082,0.4999444672131147,0.06153094262295089,0.35655737704918034,0.41393442622950816,0.22950819672131145,0.5860655737704918,0.8053506904193024,0.30912389142703567,Average Efficiency,Average Shot Quality Profile,Paint-Oriented,No Clear Shooting Specialty,Balanced / Low Risk,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,1630142,Leonie Fiebich,Usable,102.0,0.5784313725490197,0.6194690265486725,1.3725490196078431,0.5209176470588236,0.057513725490196066,0.21568627450980393,0.19607843137254904,0.5882352941176471,0.803921568627451,0.8891117857304557,0.2527873894655902,Strong Efficiency,Average Shot Quality Profile,Modern Shot Diet,Corner Spacer,Clean Shot Profile,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,1642782,Sarah Ashlee Barker,Usable,186.0,0.5725806451612904,0.5959595959595959,1.2688172043010753,0.5185375,0.054043145161290385,0.3118279569892473,0.26344086021505375,0.42473118279569894,0.7365591397849462,0.8783667832886969,0.25315065325471153,Strong Efficiency,Average Shot Quality Profile,Modern Shot Diet,Corner Spacer,Clean Shot Profile,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,1628909,Kelsey Mitchell,Strong,353.0,0.5694050991501416,0.6134663341645885,1.405099150141643,0.519406940509915,0.04999815864022661,0.32294617563739375,0.2776203966005666,0.39943342776203966,0.7223796033994334,0.8995870623499224,0.2619473713776693,Strong Efficiency,Average Shot Quality Profile,Modern Shot Diet,Balanced Three-Level Scorer,Clean Shot Profile,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
2026,1630446,Michaela Onyenwere,Usable,119.0,0.5672268907563025,0.6231884057971014,1.4453781512605042,0.5180584033613446,0.04916848739495794,0.3445378151260504,0.23529411764705882,0.42016806722689076,0.7647058823529411,0.9093230176889633,0.2527363886731163,Strong Efficiency,Average Shot Quality Profile,Modern Shot Diet,Balanced Three-Level Scorer,Clean Shot Profile,player_shot_making_over_shotquality_leaders,shot_making_over_shotquality_pbp,2026-07-11T14:43:08+00:00,20260711T144306Z
