season,entity_id_feature,entity_name_feature,sample_size_flag,detected_zone_fga_total,specialized_shooter_label,efg_pct_feature,ts_pct_feature,shotquality_pbp_feature,rim_fga_share,midrange_fga_share,three_point_fga_share,rim_and_three_fga_share
2026,1641652,Maddy Siegrist,Low,67.0,Balanced Three-Level Scorer,0.5298507462686567,0.5507246376811594,0.5061940298507462,0.3283582089552239,0.3731343283582089,0.29850746268656714,0.6268656716417911
2026,1627671,Rachel Banham,Low,62.0,High-Volume Low-Efficiency Shooter,0.4274193548387097,0.453125,0.4857774193548387,0.03225806451612903,0.2096774193548387,0.7580645161290323,0.7903225806451613
2026,1630150,Chennedy Carter,Low,83.0,Low-Volume Efficient Shooter,0.7108433734939759,0.7216494845360825,0.5267620481927711,0.43373493975903615,0.3614457831325301,0.20481927710843373,0.6385542168674698
2026,1629581,Emese Hof,Low,6.0,Rim Pressure Finisher,0.5,0.5,0.5111166666666667,0.5,,,
2026,203822,Rebekah Gardner,Low,49.0,Low-Volume Efficient Shooter,0.6224489795918368,0.6607142857142857,0.5501448979591836,0.4489795918367347,,0.2857142857142857,0.7346938775510203
2026,1628915,Kia Nurse,Low,37.0,High-Volume Low-Efficiency Shooter,0.4324324324324324,0.5116279069767442,0.5081094594594594,0.08108108108108109,0.16216216216216217,0.7567567567567568,0.8378378378378379
2026,1643489,Antonia Delaere,Low,22.0,Low-Volume Efficient Shooter,0.5909090909090909,0.6304347826086957,0.5465795454545455,0.22727272727272727,0.18181818181818182,0.5909090909090908,0.8181818181818181
2026,1642797,Anastasiia Olairi Kosu,Low,30.0,Low-Volume Efficient Shooter,0.5666666666666667,0.6142857142857143,0.5406333333333334,0.7,0.3,,
2026,1642321,Sydney Taylor,Low,72.0,High-Volume Low-Efficiency Shooter,0.4027777777777778,0.4625,0.5194992857142857,0.2222222222222222,0.19444444444444445,0.5833333333333334,0.8055555555555556
2026,1643462,Chance Gray,Low,25.0,High-Volume Low-Efficiency Shooter,0.4,0.4423076923076923,0.5480395833333334,0.28,,0.72,1.0
